,PrimaryAction,SecondaryAction,ActionResult,ScoreResult,Size
0,DefReb,-1,DefReb,-1.0,521518
1,Sub,-1,-1,-1.0,330671
2,JS,-1,miss3,0.0,257354
3,FreeThrow,-1,make1,1.0,253759
4,OffReb,-1,OffReb,-1.0,238252
5,JS,-1,miss2,0.0,225527
6,ShootingFoul,DrawnBy,ShootingFoul,-1.0,136340
7,JS,assist,make3,3.0,119397
8,LU,-1,miss2,0.0,99196
9,LU,-1,make2,2.0,94042
10,PersonalFoul,DrawnBy,PersonalFoul,-1.0,92675
11,JS,-1,make2,2.0,89891
12,Timeout,-1,-1,-1.0,89195
13,LU,assist,make2,2.0,86746
14,FreeThrow,-1,make1,0.0,78672
15,JS,assist,make2,2.0,73764
16,bad pass,steal,turnover,-1.0,46976
17,DK,assist,make2,2.0,45114
18,LU,block,miss2,0.0,43878
19,lost ball,steal,turnover,-1.0,25421
20,OffensiveFoul,-1,turnover,-1.0,25209
21,BadPass,steal,turnover,-1.0,24757
22,BadPass,-1,turnover,-1.0,24737
23,JS,-1,make3,3.0,24642
24,HS,-1,miss2,0.0,21597
25,JS,block,miss2,0.0,20197
26,OffensiveFoul,DrawnBy,OffensiveFoul,-1.0,19547
27,LooseBallFoul,DrawnBy,LooseBallFoul,-1.0,16869
28,LostBall,steal,turnover,-1.0,14776
29,DK,-1,make2,2.0,14086
30,Traveling,-1,turnover,-1.0,12679
31,HS,-1,make2,2.0,10901
32,HS,assist,make2,2.0,10901
33,ShotClockViolation,-1,turnover,-1.0,8170
34,PersonalTakeFoul,DrawnBy,PersonalTakeFoul,-1.0,8103
35,LostBall,-1,turnover,-1.0,7031
36,KickBallViolation,-1,KickBallViolation,-1.0,6030
37,TechnicalFoul,-1,TechnicalFoul,-1.0,5863
38,PersonalFoul,-1,-1,-1.0,5668
39,ChargeFoul,DrawnBy,ChargeFoul,-1.0,5512
40,OutOfBoundsLB,-1,turnover,-1.0,5118
41,OutOfBounds,-1,turnover,-1.0,4516
42,DK,-1,miss2,0.0,4157
43,ShootingBlockFoul,DrawnBy,ShootingBlockingFoul,-1.0,3930
44,DefGoaltending,-1,DefGoaltending,-1.0,3287
45,JS,block,miss3,0.0,3033
46,D3SecTech,-1,-1,-1.0,2872
47,PersonalBlockFoul,DrawnBy,PersonalBlockingFoul,-1.0,2791
48,TI,-1,miss2,0.0,2396
49,DK,block,miss2,0.0,2340
50,TI,-1,make2,2.0,2023
51,3sec,-1,turnover,-1.0,1733
52,DelayOfGame,-1,DelayOfGame,-1.0,1705
53,InstantReplay,-1,RulingStands,-1.0,1697
54,HS,block,miss2,0.0,1375
55,Turnover,-1,turnover,-1.0,1348
56,LooseBallFoul,-1,LooseBallFoul,-1.0,990
57,BackCourtTurnover,-1,turnover,-1.0,960
58,OffGoaltending,-1,turnover,-1.0,900
59,JumpBallViolation,-1,JumpBallViolation,-1.0,762
60,PersonalTakeFoul,-1,PersonalTakeFoul,-1.0,538
61,AFPFoul,DrawnBy,AFPFoul,-1.0,532
62,DiscontinueDribbleTurnover,-1,turnover,-1.0,508
63,Palming,-1,turnover,-1.0,453
64,DblDribble,-1,turnover,-1.0,452
65,FlagrantFoul1,DrawnBy,FlagrantFoul1,-1.0,446
66,ClearPathFoul,-1,ClearPathFoul,-1.0,322
67,LaneViolation,-1,LaneViolation,-1.0,284
68,PersonalBlockFoul,-1,-1,-1.0,277
69,turnover,steal,turnover,-1.0,191
70,Ejection,-1,Ejection,-1.0,169
71,InboundFoul,-1,InboundFoul,-1.0,169
72,inboundTurnover,-1,turnover,-1.0,132
73,LaneViolation,-1,turnover,-1.0,105
74,Turnover5Second,-1,turnover,-1.0,91
75,KickedBallTurnover,-1,turnover,-1.0,88
76,5 sec,-1,turnover,-1.0,63
77,TechnicalFoul,-1,-1,-1.0,51
78,IllegalScreen,-1,turnover,-1.0,47
79,8 sec,-1,turnover,-1.0,41
80,FlagrantFoul1,-1,-1,-1.0,32
81,OffensiveFoul,-1,-1,-1.0,31
82,IllegalAssist,-1,turnover,-1.0,30
83,TI,block,miss2,0.0,24
84,AFPFoul,-1,AFPFoul,-1.0,22
85,JumpBallViolation,-1,turnover,-1.0,18
86,5sec,-1,turnover,-1.0,18
87,ChargeFoul,-1,-1,-1.0,18
88,ShootingFoul,-1,-1,-1.0,15
89,FlagrantFoul2,DrawnBy,FlagrantFoul2,-1.0,14
90,HS,-1,miss3,0.0,10
91,ShootingBlockFoul,-1,-1,-1.0,9
92,LU,-1,miss3,0.0,8
93,LU,block,miss3,0.0,4
94,DoublePersonal,-1,turnover,-1.0,4
95,SwingingElbows,-1,turnover,-1.0,3
96,PunchedBall,-1,turnover,-1.0,2
97,HS,block,miss3,0.0,1
98,TI,block,miss3,0.0,1
99,HS,assist,make3,3.0,1
100,LU,-1,make3,3.0,1
101,HS,-1,make3,3.0,1
102,turnover,-1,turnover,-1.0,1
103,InstantReplay,-1,Unknown,-1.0,1
104,Violation,-1,Violation,-1.0,1
