,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,NEW YORK_ACTION,LA LAKERS_SCORE,NEW YORK_SCORE
0,1,11:44.0,A. Davis misses 2-pt jump shot from 19 ft,,0,0
1,1,11:42.0,,Defensive rebound by E. Payton,0,0
2,1,11:20.0,,M. Morris misses 3-pt jump shot from 25 ft,0,0
3,1,11:18.0,Defensive rebound by D. Green,,0,0
4,1,11:07.0,L. James misses 3-pt jump shot from 24 ft,,0,0
5,1,11:05.0,,Defensive rebound by J. Randle,0,0
6,1,10:51.0,,J. Randle misses 2-pt jump shot from 19 ft,0,0
7,1,10:49.0,Defensive rebound by L. James,,0,0
8,1,10:34.0,A. Davis makes 3-pt jump shot from 27 ft (assist by D. Green),,3,0
9,1,10:21.0,,T. Gibson makes 2-pt jump shot from 18 ft (assist by E. Payton),3,2
10,1,10:07.0,D. Green misses 2-pt layup from 2 ft,,3,2
11,1,10:05.0,,Defensive rebound by R. Bullock,3,2
12,1,9:57.0,,M. Morris makes 2-pt jump shot from 10 ft (assist by J. Randle),3,4
13,1,9:35.0,A. Bradley misses 2-pt jump shot from 19 ft,,3,4
14,1,9:32.0,Offensive rebound by J. McGee,,3,4
15,1,9:27.0,L. James makes 2-pt layup from 2 ft (assist by A. Davis),,5,4
16,1,9:27.0,Shooting foul by M. Morris (drawn by L. James),,5,4
17,1,9:27.0,L. James makes free throw 1 of 1,,6,4
18,1,9:07.0,,R. Bullock misses 3-pt jump shot from 25 ft,6,4
19,1,9:06.0,,Offensive rebound by T. Gibson,6,4
20,1,8:57.0,,T. Gibson makes 2-pt jump shot from 15 ft (assist by M. Morris),6,6
21,1,8:39.0,Turnover by L. James (bad pass; steal by J. Randle),,6,6
22,1,8:36.0,,T. Gibson makes 2-pt layup at rim (assist by E. Payton),6,8
23,1,8:21.0,Shooting foul by T. Gibson (drawn by A. Davis),,6,8
24,1,8:21.0,A. Davis makes free throw 1 of 2,,7,8
25,1,8:21.0,A. Davis makes free throw 2 of 2,,8,8
26,1,8:06.0,,M. Morris makes 3-pt jump shot from 26 ft (assist by T. Gibson),8,11
27,1,7:44.0,L. James makes 2-pt jump shot from 23 ft,,10,11
28,1,7:28.0,,E. Payton makes 2-pt dunk from 1 ft,10,13
29,1,7:13.0,A. Davis makes 2-pt jump shot from 11 ft,,12,13
30,1,7:03.0,,T. Gibson makes 2-pt layup from 1 ft (assist by E. Payton),12,15
31,1,6:40.0,D. Green misses 2-pt layup from 3 ft,,12,15
32,1,6:38.0,,Defensive rebound by E. Payton,12,15
33,1,6:34.0,,Turnover by E. Payton (lost ball; steal by D. Green),12,15
34,1,6:31.0,D. Green makes 3-pt jump shot from 25 ft (assist by A. Davis),,15,15
35,1,6:11.0,,R. Bullock makes 2-pt jump shot from 21 ft,15,17
