,QUARTER,TIME_REMAINING,ATLANTA_ACTION,ORLANDO_ACTION,ATLANTA_SCORE,ORLANDO_SCORE
0,1,11:39.0,J. Collins makes 2-pt jump shot from 7 ft (assist by K. Huerter),,2,0
1,1,11:26.0,,Shooting foul by B. Fernando (drawn by J. Isaac),2,0
2,1,11:26.0,,J. Isaac misses free throw 1 of 2,2,0
3,1,11:26.0,,Offensive rebound by Team,2,0
4,1,11:26.0,,J. Isaac makes free throw 2 of 2,2,1
5,1,11:19.0,Offensive foul by J. Collins (drawn by M. Fultz),,2,1
6,1,11:19.0,Turnover by J. Collins (offensive foul),,2,1
7,1,11:06.0,,J. Isaac misses 2-pt jump shot from 19 ft,2,1
8,1,11:04.0,Defensive rebound by D. Hunter,,2,1
9,1,10:57.0,Turnover by J. Collins (traveling),,2,1
10,1,10:37.0,,M. Fultz misses 2-pt jump shot from 8 ft,2,1
11,1,10:36.0,Defensive rebound by B. Fernando,,2,1
12,1,10:26.0,K. Huerter misses 2-pt jump shot from 8 ft,,2,1
13,1,10:25.0,,Defensive rebound by N. Vučević,2,1
14,1,10:12.0,,M. Fultz misses 2-pt dunk from 4 ft,2,1
15,1,10:11.0,,Offensive rebound by J. Isaac,2,1
16,1,10:06.0,,J. Isaac misses 2-pt jump shot from 11 ft,2,1
17,1,10:05.0,Defensive rebound by B. Fernando,,2,1
18,1,10:00.0,Personal foul by J. Isaac (drawn by J. Collins),,2,1
19,1,9:42.0,D. Hunter makes 2-pt jump shot from 12 ft,,4,1
20,1,9:42.0,Shooting foul by W. Iwundu (drawn by D. Hunter),,4,1
21,1,9:42.0,D. Hunter makes free throw 1 of 1,,5,1
22,1,9:29.0,,E. Fournier misses 2-pt jump shot from 10 ft,5,1
23,1,9:26.0,Defensive rebound by D. Hunter,,5,1
24,1,9:11.0,K. Huerter misses 3-pt jump shot from 27 ft,,5,1
25,1,9:08.0,,Defensive rebound by M. Fultz,5,1
26,1,8:58.0,,J. Isaac makes 2-pt dunk from 1 ft (assist by N. Vučević),5,3
27,1,8:40.0,K. Huerter makes 3-pt jump shot from 27 ft (assist by C. Reddish),,8,3
28,1,8:14.0,,N. Vučević misses 2-pt jump shot from 13 ft,8,3
29,1,8:12.0,,Offensive rebound by W. Iwundu,8,3
30,1,8:09.0,,Shooting foul by B. Fernando (drawn by W. Iwundu),8,3
31,1,8:09.0,,W. Iwundu makes free throw 1 of 2,8,4
32,1,8:09.0,V. Carter enters the game for B. Fernando,,8,4
33,1,8:09.0,,W. Iwundu makes free throw 2 of 2,8,5
34,1,7:58.0,D. Hunter misses 3-pt jump shot from 23 ft,,8,5
35,1,7:56.0,Offensive rebound by J. Collins,,8,5
36,1,7:51.0,D. Hunter misses 2-pt jump shot from 6 ft,,8,5
37,1,7:50.0,Offensive rebound by J. Collins,,8,5
38,1,7:50.0,J. Collins misses 2-pt layup from 3 ft,,8,5
39,1,7:48.0,,Defensive rebound by M. Fultz,8,5
40,1,7:41.0,,E. Fournier misses 3-pt jump shot from 25 ft,8,5
41,1,7:37.0,Defensive rebound by K. Huerter,,8,5
42,1,7:32.0,Turnover by C. Reddish (traveling),,8,5
43,1,7:22.0,,M. Fultz makes 2-pt jump shot from 8 ft,8,7
44,1,7:03.0,Turnover by K. Huerter (bad pass; steal by M. Fultz),,8,7
45,1,7:01.0,,E. Fournier misses 2-pt layup from 2 ft,8,7
46,1,7:00.0,,Offensive rebound by J. Isaac,8,7
47,1,7:00.0,,J. Isaac makes 2-pt dunk at rim,8,9
48,1,6:46.0,K. Huerter misses 3-pt jump shot from 25 ft,,8,9
49,1,6:42.0,,Defensive rebound by N. Vučević,8,9
50,1,6:35.0,,N. Vučević makes 2-pt layup from 3 ft (assist by M. Fultz),8,11
51,1,6:35.0,Atlanta full timeout,,8,11
52,1,6:35.0,B. Goodwin enters the game for J. Collins,,8,11
53,1,6:35.0,A. Len enters the game for C. Reddish,,8,11
54,1,6:10.0,D. Hunter makes 3-pt jump shot from 26 ft (assist by A. Len),,11,11
55,1,5:59.0,,E. Fournier makes 2-pt layup from 3 ft (assist by M. Fultz),11,13
56,1,5:30.0,A. Len misses 2-pt jump shot from 6 ft,,11,13
57,1,5:28.0,,Defensive rebound by J. Isaac,11,13
58,1,5:24.0,,Shooting foul by B. Goodwin (drawn by J. Isaac),11,13
59,1,5:24.0,,J. Isaac misses free throw 1 of 2,11,13
60,1,5:24.0,,Offensive rebound by Team,11,13
61,1,5:24.0,D. Bembry enters the game for D. Hunter,,11,13
62,1,5:24.0,,M. Frazier enters the game for E. Fournier,11,13
63,1,5:24.0,,T. Ross enters the game for W. Iwundu,11,13
64,1,5:24.0,,J. Isaac misses free throw 2 of 2,11,13
65,1,5:20.0,Defensive rebound by A. Len,,11,13
66,1,5:11.0,V. Carter misses 3-pt jump shot from 27 ft,,11,13
67,1,5:09.0,,Defensive rebound by M. Fultz,11,13
68,1,5:02.0,,M. Fultz misses 2-pt jump shot from 12 ft,11,13
69,1,5:00.0,Defensive rebound by B. Goodwin,,11,13
70,1,4:56.0,D. Bembry makes 2-pt layup from 3 ft (assist by B. Goodwin),,13,13
71,1,4:27.0,,N. Vučević makes 2-pt hook shot from 7 ft,13,15
72,1,4:08.0,B. Goodwin makes 2-pt layup from 5 ft (assist by V. Carter),,15,15
73,1,3:55.0,,N. Vučević misses 3-pt jump shot from 26 ft,15,15
74,1,3:53.0,Defensive rebound by A. Len,,15,15
75,1,3:44.0,A. Len makes 2-pt hook shot from 4 ft (assist by V. Carter),,17,15
76,1,3:27.0,,N. Vučević makes 2-pt layup from 2 ft (assist by J. Isaac),17,17
77,1,3:14.0,Turnover by D. Bembry (bad pass; steal by J. Isaac),,17,17
78,1,3:09.0,,J. Isaac misses 2-pt layup from 3 ft,17,17
79,1,3:06.0,Defensive rebound by D. Bembry,,17,17
80,1,3:04.0,D. Bembry makes 2-pt layup from 4 ft,,19,17
81,1,2:56.0,,Orlando full timeout,19,17
82,1,2:56.0,J. Collins enters the game for V. Carter,,19,17
83,1,2:56.0,A. Crabbe enters the game for K. Huerter,,19,17
84,1,2:56.0,,D. Augustin enters the game for M. Fultz,19,17
85,1,2:56.0,,M. Bamba enters the game for J. Isaac,19,17
86,1,2:56.0,,W. Iwundu enters the game for N. Vučević,19,17
87,1,2:52.0,,Turnover by M. Frazier (bad pass; steal by B. Goodwin),19,17
88,1,2:49.0,B. Goodwin makes 2-pt layup from 1 ft,,21,17
89,1,2:35.0,,W. Iwundu misses 3-pt jump shot from 27 ft,21,17
90,1,2:32.0,Defensive rebound by A. Len,,21,17
91,1,2:20.0,A. Len misses 3-pt jump shot from 24 ft,,21,17
