,QUARTER,TIME_REMAINING,DALLAS_ACTION,MILWAUKEE_ACTION,DALLAS_SCORE,MILWAUKEE_SCORE
0,1,11:44.0,,B. Lopez misses 2-pt jump shot from 6 ft,0,0
1,1,11:42.0,,Offensive rebound by B. Lopez,0,0
2,1,11:39.0,,B. Lopez misses 2-pt layup from 2 ft,0,0
3,1,11:37.0,Defensive rebound by D. Powell,,0,0
4,1,11:16.0,D. Powell misses 3-pt jump shot from 23 ft,,0,0
5,1,11:13.0,,Defensive rebound by G. Antetokounmpo,0,0
6,1,11:07.0,,B. Lopez misses 3-pt jump shot from 26 ft,0,0
7,1,11:03.0,Defensive rebound by J. Brunson,,0,0
8,1,10:50.0,D. Powell misses 3-pt jump shot from 26 ft,,0,0
9,1,10:48.0,,Defensive rebound by K. Middleton,0,0
10,1,10:42.0,,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by K. Middleton),0,2
11,1,10:42.0,,Shooting foul by D. Powell (drawn by G. Antetokounmpo),0,2
12,1,10:42.0,,G. Antetokounmpo makes free throw 1 of 1,0,3
13,1,10:33.0,Def 3 sec tech foul by Team,,0,3
14,1,10:33.0,K. Porziņģis makes technical free throw,,1,3
15,1,10:28.0,K. Porziņģis misses 2-pt jump shot from 13 ft,,1,3
16,1,10:24.0,,Defensive rebound by B. Lopez,1,3
17,1,10:21.0,,D. DiVincenzo makes 2-pt dunk from 1 ft (assist by G. Antetokounmpo),1,5
18,1,10:08.0,K. Porziņģis misses 2-pt jump shot from 16 ft,,1,5
19,1,10:04.0,,Defensive rebound by B. Lopez,1,5
20,1,10:00.0,,Personal foul by T. Hardaway (drawn by G. Antetokounmpo),1,5
21,1,9:55.0,,G. Antetokounmpo makes 3-pt jump shot from 26 ft (assist by B. Lopez),1,8
22,1,9:41.0,D. Finney-Smith misses 2-pt layup from 1 ft,,1,8
23,1,9:39.0,Offensive rebound by D. Finney-Smith,,1,8
24,1,9:35.0,K. Porziņģis makes 3-pt jump shot from 28 ft (assist by J. Brunson),,4,8
25,1,9:19.0,,Offensive foul by B. Lopez (drawn by D. Finney-Smith),4,8
26,1,9:19.0,,Turnover by B. Lopez (offensive foul),4,8
27,1,9:02.0,T. Hardaway misses 2-pt jump shot from 9 ft,,4,8
28,1,8:59.0,,Defensive rebound by B. Lopez,4,8
29,1,8:57.0,,G. Antetokounmpo misses 2-pt layup from 1 ft (block by D. Powell),4,8
30,1,8:57.0,,Offensive rebound by Team,4,8
31,1,8:50.0,,G. Antetokounmpo misses 2-pt hook shot from 8 ft,4,8
32,1,8:48.0,Defensive rebound by K. Porziņģis,,4,8
33,1,8:43.0,D. Finney-Smith makes 2-pt dunk from 1 ft (assist by J. Brunson),,6,8
34,1,8:27.0,,G. Antetokounmpo misses 2-pt layup from 2 ft (block by D. Finney-Smith),6,8
35,1,8:27.0,,Offensive rebound by Team,6,8
36,1,8:14.0,,B. Lopez misses 3-pt jump shot from 27 ft,6,8
37,1,8:09.0,Defensive rebound by D. Powell,,6,8
38,1,7:53.0,D. Powell misses 2-pt layup from 2 ft,,6,8
39,1,7:49.0,Offensive rebound by J. Brunson,,6,8
40,1,7:49.0,J. Brunson makes 2-pt layup from 1 ft,,8,8
41,1,7:41.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,8,8
42,1,7:39.0,Defensive rebound by T. Hardaway,,8,8
43,1,7:32.0,J. Brunson misses 2-pt layup from 1 ft,,8,8
44,1,7:30.0,,Defensive rebound by K. Middleton,8,8
45,1,7:23.0,,D. DiVincenzo misses 3-pt jump shot from 27 ft,8,8
46,1,7:21.0,Defensive rebound by D. Powell,,8,8
47,1,7:12.0,K. Porziņģis misses 3-pt jump shot from 26 ft,,8,8
48,1,7:11.0,,Defensive rebound by D. DiVincenzo,8,8
49,1,7:06.0,,Milwaukee full timeout,8,8
50,1,6:54.0,,K. Middleton misses 2-pt jump shot from 19 ft,8,8
51,1,6:52.0,Defensive rebound by T. Hardaway,,8,8
52,1,6:40.0,K. Porziņģis misses 2-pt layup from 4 ft,,8,8
53,1,6:37.0,,Defensive rebound by D. DiVincenzo,8,8
54,1,6:27.0,,D. DiVincenzo misses 3-pt jump shot from 27 ft,8,8
55,1,6:23.0,,Offensive rebound by G. Antetokounmpo,8,8
56,1,6:21.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,8,10
57,1,6:10.0,D. Finney-Smith makes 3-pt jump shot from 23 ft (assist by J. Brunson),,11,10
58,1,5:54.0,,W. Matthews misses 2-pt jump shot from 6 ft,11,10
59,1,5:52.0,Defensive rebound by D. Powell,,11,10
60,1,5:46.0,D. Powell misses 3-pt jump shot from 27 ft,,11,10
61,1,5:42.0,Offensive rebound by K. Porziņģis,,11,10
62,1,5:41.0,K. Porziņģis makes 2-pt dunk from 2 ft,,13,10
63,1,5:21.0,,K. Middleton makes 3-pt jump shot from 27 ft,13,13
64,1,5:05.0,J. Brunson makes 3-pt jump shot from 27 ft (assist by T. Hardaway),,16,13
65,1,4:46.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,16,13
66,1,4:43.0,Defensive rebound by T. Hardaway,,16,13
67,1,4:41.0,D. Finney-Smith makes 3-pt jump shot from 27 ft,,19,13
68,1,4:18.0,,K. Middleton makes 2-pt jump shot from 10 ft (assist by D. DiVincenzo),19,15
69,1,4:08.0,Shooting foul by D. DiVincenzo (drawn by J. Brunson),,19,15
70,1,4:08.0,J. Brunson makes free throw 1 of 2,,20,15
71,1,4:08.0,S. Curry enters the game for D. Finney-Smith,,20,15
72,1,4:08.0,J. Jackson enters the game for T. Hardaway,,20,15
73,1,4:08.0,M. Kleber enters the game for D. Powell,,20,15
74,1,4:08.0,,S. Brown enters the game for G. Antetokounmpo,20,15
75,1,4:08.0,,P. Connaughton enters the game for D. DiVincenzo,20,15
76,1,4:08.0,,G. Hill enters the game for W. Matthews,20,15
77,1,4:08.0,,E. İlyasova enters the game for K. Middleton,20,15
78,1,4:08.0,J. Brunson makes free throw 2 of 2,,21,15
79,1,3:52.0,,B. Lopez misses 2-pt hook shot from 5 ft,21,15
80,1,3:50.0,Defensive rebound by K. Porziņģis,,21,15
81,1,3:36.0,J. Jackson makes 3-pt jump shot from 26 ft (assist by K. Porziņģis),,24,15
82,1,3:20.0,,S. Brown makes 2-pt jump shot from 13 ft,24,17
83,1,3:10.0,K. Porziņģis makes 3-pt jump shot from 29 ft (assist by S. Curry),,27,17
84,1,2:50.0,,P. Connaughton makes 3-pt jump shot from 25 ft (assist by B. Lopez),27,20
85,1,2:50.0,Dallas full timeout,,27,20
86,1,2:50.0,D. Wright enters the game for J. Brunson,,27,20
87,1,2:50.0,,R. Lopez enters the game for B. Lopez,27,20
88,1,2:35.0,J. Jackson makes 2-pt jump shot from 12 ft (assist by D. Wright),,29,20
89,1,2:14.0,,E. İlyasova misses 2-pt jump shot from 5 ft,29,20
