,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,MIAMI_ACTION,MINNESOTA_SCORE,MIAMI_SCORE
0,1,11:38.0,,K. Nunn misses 2-pt layup from 2 ft (block by N. Reid),0,0
1,1,11:38.0,,Offensive rebound by Team,0,0
2,1,11:37.0,,Turnover by D. Robinson (step out of bounds),0,0
3,1,11:24.0,D. Russell misses 2-pt jump shot from 18 ft,,0,0
4,1,11:22.0,,Defensive rebound by B. Adebayo,0,0
5,1,11:07.0,,B. Adebayo misses 2-pt jump shot from 16 ft,0,0
6,1,11:00.0,Defensive rebound by M. Beasley,,0,0
7,1,10:56.0,N. Reid makes 2-pt layup from 2 ft (assist by M. Beasley),,2,0
8,1,10:56.0,Shooting foul by K. Olynyk (drawn by N. Reid),,2,0
9,1,10:56.0,N. Reid misses free throw 1 of 1,,2,0
10,1,10:54.0,,Defensive rebound by K. Olynyk,2,0
11,1,10:42.0,,K. Nunn makes 2-pt jump shot from 18 ft (assist by J. Butler),2,2
12,1,10:28.0,J. Okogie makes 2-pt layup from 2 ft,,4,2
13,1,10:07.0,,B. Adebayo misses 2-pt jump shot from 4 ft,4,2
14,1,10:03.0,Defensive rebound by J. Hernangómez,,4,2
15,1,9:56.0,D. Russell makes 2-pt jump shot from 16 ft,,6,2
16,1,9:45.0,,D. Robinson misses 3-pt jump shot from 25 ft,6,2
17,1,9:41.0,Defensive rebound by J. Hernangómez,,6,2
18,1,9:31.0,J. Okogie misses 2-pt jump shot from 5 ft,,6,2
19,1,9:28.0,,Defensive rebound by K. Olynyk,6,2
20,1,9:19.0,,K. Nunn misses 2-pt layup from 3 ft (block by J. Okogie),6,2
21,1,9:17.0,Defensive rebound by D. Russell,,6,2
22,1,9:07.0,Turnover by J. Hernangómez (lost ball; steal by K. Olynyk),,6,2
23,1,9:02.0,,B. Adebayo makes 2-pt layup from 2 ft (assist by K. Nunn),6,4
24,1,8:39.0,J. Hernangómez misses 2-pt layup from 1 ft (block by B. Adebayo),,6,4
25,1,8:35.0,,Defensive rebound by J. Butler,6,4
26,1,8:27.0,,D. Robinson misses 3-pt jump shot from 24 ft,6,4
27,1,8:25.0,Defensive rebound by M. Beasley,,6,4
28,1,8:19.0,D. Russell makes 3-pt jump shot from 25 ft (assist by M. Beasley),,9,4
29,1,8:04.0,,K. Olynyk makes 3-pt jump shot from 26 ft (assist by B. Adebayo),9,7
30,1,7:50.0,M. Beasley makes 2-pt jump shot from 18 ft,,11,7
31,1,7:37.0,,K. Olynyk makes 3-pt jump shot from 26 ft (assist by B. Adebayo),11,10
32,1,7:25.0,M. Beasley makes 3-pt jump shot from 26 ft (assist by D. Russell),,14,10
33,1,7:17.0,,K. Nunn misses 3-pt jump shot from 25 ft,14,10
34,1,7:16.0,,Offensive rebound by K. Nunn,14,10
35,1,7:14.0,,K. Nunn misses 2-pt layup from 2 ft,14,10
36,1,7:11.0,Defensive rebound by J. Hernangómez,,14,10
37,1,7:08.0,D. Russell misses 3-pt jump shot from 26 ft,,14,10
38,1,7:08.0,,Defensive rebound by K. Olynyk,14,10
39,1,7:08.0,,Personal foul by N. Reid (drawn by K. Olynyk),14,10
40,1,6:59.0,,Personal foul by M. Beasley (drawn by J. Butler),14,10
41,1,6:59.0,Minnesota full timeout,,14,10
42,1,6:59.0,J. Layman enters the game for M. Beasley,,14,10
43,1,6:51.0,,J. Butler makes 2-pt layup from 1 ft (assist by K. Nunn),14,12
44,1,6:32.0,D. Russell makes 3-pt jump shot from 25 ft,,17,12
45,1,6:15.0,,K. Nunn makes 3-pt jump shot from 25 ft (assist by J. Butler),17,15
46,1,6:01.0,D. Russell misses 3-pt jump shot from 25 ft,,17,15
47,1,5:59.0,,Defensive rebound by B. Adebayo,17,15
48,1,5:49.0,,Turnover by B. Adebayo (bad pass; steal by D. Russell),17,15
49,1,5:46.0,Offensive foul by J. Hernangómez (drawn by D. Robinson),,17,15
50,1,5:46.0,Turnover by J. Hernangómez (offensive foul),,17,15
51,1,5:46.0,J. Johnson enters the game for N. Reid,,17,15
