,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,CHARLOTTE_ACTION,BROOKLYN_SCORE,CHARLOTTE_SCORE
0,1,11:46.0,T. Prince makes 3-pt jump shot from 26 ft (assist by J. Allen),,3,0
1,1,11:33.0,,Personal foul by T. Prince (drawn by C. Zeller),3,0
2,1,11:18.0,,T. Rozier misses 2-pt jump shot from 21 ft,3,0
3,1,11:12.0,Defensive rebound by J. Allen,,3,0
4,1,11:04.0,Turnover by T. Prince (traveling),,3,0
5,1,10:46.0,,C. Zeller misses 2-pt layup from 5 ft (block by T. Prince),3,0
6,1,10:43.0,Defensive rebound by T. Prince,,3,0
7,1,10:39.0,S. Dinwiddie misses 3-pt jump shot from 26 ft,,3,0
8,1,10:36.0,,Defensive rebound by P. Washington,3,0
9,1,10:31.0,,M. Bridges makes 3-pt jump shot from 25 ft,3,3
10,1,10:05.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,3,3
11,1,10:00.0,,Defensive rebound by C. Zeller,3,3
12,1,9:43.0,,C. Zeller misses 2-pt layup from 4 ft (block by J. Allen),3,3
13,1,9:32.0,Defensive rebound by S. Dinwiddie,,3,3
14,1,9:30.0,C. LeVert makes 3-pt jump shot from 23 ft,,6,3
15,1,9:18.0,,M. Bridges makes 3-pt jump shot from 23 ft (assist by P. Washington),6,6
16,1,9:07.0,T. Prince makes 3-pt jump shot from 28 ft (assist by S. Dinwiddie),,9,6
17,1,8:52.0,,M. Bridges misses 2-pt layup from 2 ft (block by J. Allen),9,6
18,1,8:47.0,Defensive rebound by S. Dinwiddie,,9,6
19,1,8:45.0,C. LeVert misses 3-pt jump shot from 26 ft,,9,6
20,1,8:45.0,,Defensive rebound by M. Bridges,9,6
21,1,8:41.0,,C. Zeller makes 2-pt layup from 1 ft (assist by M. Bridges),9,8
22,1,8:25.0,S. Dinwiddie makes 3-pt jump shot from 26 ft,,12,8
23,1,8:08.0,,D. Graham misses 2-pt jump shot from 19 ft,12,8
24,1,8:04.0,Defensive rebound by J. Allen,,12,8
25,1,8:00.0,T. Prince misses 3-pt jump shot from 26 ft,,12,8
26,1,7:56.0,,Defensive rebound by M. Bridges,12,8
27,1,7:47.0,,P. Washington misses 2-pt layup from 2 ft,12,8
28,1,7:43.0,Defensive rebound by J. Harris,,12,8
29,1,7:29.0,J. Allen makes 2-pt dunk from 2 ft (assist by J. Harris),,14,8
30,1,7:11.0,,C. Zeller makes 2-pt dunk from 1 ft (assist by P. Washington),14,10
31,1,6:58.0,C. LeVert misses 2-pt jump shot from 8 ft,,14,10
32,1,6:55.0,,Defensive rebound by C. Zeller,14,10
33,1,6:38.0,,T. Rozier makes 2-pt jump shot from 8 ft,14,12
34,1,6:38.0,Brooklyn full timeout,,14,12
35,1,6:38.0,G. Temple enters the game for C. LeVert,,14,12
36,1,6:38.0,,C. Martin enters the game for M. Bridges,14,12
37,1,6:38.0,,M. Monk enters the game for D. Graham,14,12
38,1,6:26.0,J. Harris misses 3-pt jump shot from 26 ft,,14,12
39,1,6:22.0,,Defensive rebound by C. Zeller,14,12
40,1,6:07.0,,Shooting foul by S. Dinwiddie (drawn by C. Martin),14,12
41,1,6:07.0,,C. Martin misses free throw 1 of 2,14,12
42,1,6:07.0,,Offensive rebound by Team,14,12
43,1,6:07.0,,B. Biyombo enters the game for C. Zeller,14,12
44,1,6:07.0,,C. Martin misses free throw 2 of 2,14,12
45,1,6:02.0,Defensive rebound by T. Prince,,14,12
46,1,5:51.0,T. Prince misses 3-pt jump shot from 23 ft,,14,12
