,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,DENVER_ACTION,PHILADELPHIA_SCORE,DENVER_SCORE
0,1,11:38.0,,J. Murray misses 2-pt jump shot from 14 ft,0,0
1,1,11:37.0,Defensive rebound by T. Harris,,0,0
2,1,11:19.0,T. Harris makes 2-pt jump shot from 14 ft (assist by J. Embiid),,2,0
3,1,10:56.0,,G. Harris misses 2-pt jump shot from 15 ft,2,0
4,1,10:53.0,Defensive rebound by A. Horford,,2,0
5,1,10:35.0,J. Embiid misses 2-pt jump shot from 13 ft,,2,0
6,1,10:33.0,Offensive rebound by A. Horford,,2,0
7,1,10:31.0,J. Richardson misses 3-pt jump shot from 26 ft,,2,0
8,1,10:28.0,,Defensive rebound by G. Harris,2,0
9,1,10:22.0,,P. Millsap misses 3-pt jump shot from 25 ft,2,0
10,1,10:20.0,Defensive rebound by T. Harris,,2,0
11,1,10:11.0,R. Neto makes 3-pt jump shot from 24 ft (assist by T. Harris),,5,0
12,1,9:54.0,,G. Harris misses 2-pt layup from 3 ft (block by A. Horford),5,0
13,1,9:53.0,,Offensive rebound by Team,5,0
14,1,9:50.0,,J. Murray misses 2-pt jump shot from 17 ft,5,0
15,1,9:47.0,Defensive rebound by A. Horford,,5,0
16,1,9:37.0,J. Richardson misses 2-pt layup from 3 ft (block by J. Murray),,5,0
17,1,9:34.0,,Defensive rebound by P. Millsap,5,0
18,1,9:24.0,,W. Barton makes 3-pt jump shot from 26 ft (assist by N. Jokić),5,3
19,1,9:00.0,J. Embiid misses 2-pt jump shot from 13 ft,,5,3
20,1,8:57.0,,Defensive rebound by J. Murray,5,3
21,1,8:54.0,,N. Jokić makes 2-pt jump shot from 4 ft (assist by J. Murray),5,5
22,1,8:54.0,,Shooting foul by A. Horford (drawn by N. Jokić),5,5
23,1,8:54.0,,N. Jokić makes free throw 1 of 1,5,6
24,1,8:29.0,Turnover by Team (shot clock),,5,6
25,1,8:17.0,,P. Millsap misses 2-pt hook shot from 4 ft,5,6
26,1,8:15.0,Defensive rebound by T. Harris,,5,6
27,1,8:09.0,Personal foul by J. Murray (drawn by J. Richardson),,5,6
28,1,8:05.0,Turnover by J. Richardson (bad pass; steal by N. Jokić),,5,6
29,1,8:00.0,,W. Barton makes 2-pt layup at rim (assist by N. Jokić),5,8
30,1,8:00.0,Philadelphia full timeout,,5,8
31,1,7:44.0,R. Neto makes 3-pt jump shot from 23 ft (assist by A. Horford),,8,8
32,1,7:29.0,,N. Jokić misses 3-pt jump shot from 25 ft,8,8
33,1,7:25.0,Defensive rebound by J. Embiid,,8,8
34,1,7:18.0,J. Embiid makes 3-pt jump shot from 25 ft (assist by J. Richardson),,11,8
35,1,6:54.0,,Turnover by J. Murray (lost ball; steal by T. Harris),11,8
36,1,6:48.0,Shooting foul by J. Murray (drawn by T. Harris),,11,8
37,1,6:48.0,T. Harris makes free throw 1 of 2,,12,8
38,1,6:48.0,,M. Morris enters the game for J. Murray,12,8
39,1,6:48.0,T. Harris misses free throw 2 of 2,,12,8
40,1,6:46.0,,Defensive rebound by P. Millsap,12,8
41,1,6:39.0,,Personal foul by J. Embiid (drawn by N. Jokić),12,8
42,1,6:31.0,,Offensive foul by M. Morris (drawn by R. Neto),12,8
43,1,6:31.0,,Turnover by M. Morris (offensive foul),12,8
44,1,6:12.0,Shooting foul by N. Jokić (drawn by J. Embiid),,12,8
45,1,6:12.0,J. Embiid makes free throw 1 of 2,,13,8
46,1,6:12.0,F. Korkmaz enters the game for J. Richardson,,13,8
47,1,6:12.0,J. Embiid makes free throw 2 of 2,,14,8
48,1,6:05.0,,Personal foul by T. Harris (drawn by N. Jokić),14,8
49,1,6:05.0,J. Ennis enters the game for J. Embiid,,14,8
50,1,5:58.0,,W. Barton makes 2-pt dunk from 1 ft (assist by N. Jokić),14,10
51,1,5:41.0,T. Harris makes 2-pt jump shot from 15 ft,,16,10
52,1,5:29.0,,Shooting foul by T. Harris (drawn by P. Millsap),16,10
53,1,5:29.0,,P. Millsap makes free throw 1 of 2,16,11
54,1,5:29.0,,P. Millsap makes free throw 2 of 2,16,12
55,1,5:20.0,A. Horford misses 3-pt jump shot from 25 ft,,16,12
56,1,5:17.0,,Defensive rebound by P. Millsap,16,12
57,1,5:11.0,,P. Millsap misses 2-pt layup from 1 ft (block by T. Harris),16,12
58,1,5:11.0,Defensive rebound by Team,,16,12
59,1,5:11.0,M. Scott enters the game for T. Harris,,16,12
60,1,5:11.0,,J. Grant enters the game for P. Millsap,16,12
61,1,4:57.0,A. Horford misses 2-pt jump shot from 17 ft,,16,12
62,1,4:54.0,,Defensive rebound by W. Barton,16,12
63,1,4:45.0,,W. Barton misses 2-pt layup from 4 ft,16,12
64,1,4:42.0,,Offensive rebound by N. Jokić,16,12
65,1,4:42.0,,N. Jokić misses 2-pt layup at rim,16,12
66,1,4:42.0,Defensive rebound by R. Neto,,16,12
67,1,4:32.0,F. Korkmaz misses 2-pt jump shot from 24 ft,,16,12
68,1,4:27.0,,Defensive rebound by W. Barton,16,12
69,1,4:24.0,,Turnover by N. Jokić (lost ball; steal by M. Scott),16,12
70,1,4:18.0,Turnover by F. Korkmaz (bad pass),,16,12
71,1,4:18.0,Technical foul by N. Jokić,,16,12
72,1,4:18.0,M. Scott makes technical free throw,,17,12
73,1,4:18.0,,M. Plumlee enters the game for N. Jokić,17,12
74,1,4:05.0,,J. Grant misses 2-pt jump shot from 21 ft,17,12
75,1,4:02.0,,Offensive rebound by G. Harris,17,12
76,1,3:52.0,,W. Barton makes 2-pt layup from 1 ft (assist by M. Plumlee),17,14
77,1,3:52.0,,Shooting foul by A. Horford (drawn by W. Barton),17,14
78,1,3:52.0,T. Burke enters the game for R. Neto,,17,14
79,1,3:52.0,,M. Beasley enters the game for G. Harris,17,14
80,1,3:52.0,,W. Barton misses free throw 1 of 1,17,14
81,1,3:48.0,Defensive rebound by M. Scott,,17,14
82,1,3:36.0,M. Scott misses 2-pt jump shot from 6 ft,,17,14
83,1,3:34.0,Offensive rebound by M. Scott,,17,14
84,1,3:33.0,M. Scott misses 2-pt layup from 2 ft (block by M. Plumlee),,17,14
85,1,3:33.0,,Defensive rebound by W. Barton,17,14
86,1,3:27.0,,W. Barton misses 3-pt jump shot from 24 ft,17,14
87,1,3:24.0,Defensive rebound by J. Ennis,,17,14
88,1,3:17.0,T. Burke misses 2-pt layup from 2 ft (block by M. Plumlee),,17,14
89,1,3:14.0,,Defensive rebound by M. Morris,17,14
90,1,3:11.0,,M. Morris misses 2-pt layup from 1 ft,17,14
91,1,3:09.0,Defensive rebound by J. Ennis,,17,14
92,1,3:03.0,A. Horford makes 3-pt jump shot from 25 ft (assist by J. Ennis),,20,14
93,1,2:46.0,,Turnover by M. Plumlee (bad pass; steal by A. Horford),20,14
94,1,2:36.0,M. Scott misses 3-pt jump shot from 25 ft,,20,14
95,1,2:34.0,,Defensive rebound by W. Barton,20,14
96,1,2:24.0,,W. Barton misses 2-pt jump shot from 5 ft,20,14
97,1,2:23.0,Defensive rebound by Team,,20,14
98,1,2:23.0,,Denver full timeout,20,14
99,1,2:23.0,J. Embiid enters the game for J. Ennis,,20,14
100,1,2:23.0,J. Richardson enters the game for A. Horford,,20,14
101,1,2:23.0,,T. Craig enters the game for W. Barton,20,14
