,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,TORONTO_ACTION,BROOKLYN_SCORE,TORONTO_SCORE
0,1,11:45.0,J. Harris makes 2-pt layup from 2 ft (assist by S. Dinwiddie),,2,0
1,1,11:31.0,,K. Lowry misses 2-pt jump shot from 5 ft,2,0
2,1,11:27.0,Defensive rebound by G. Temple,,2,0
3,1,11:22.0,T. Prince makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),,5,0
4,1,11:11.0,,Turnover by O. Anunoby (traveling),5,0
5,1,11:02.0,G. Temple makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),,8,0
6,1,10:49.0,,M. Gasol makes 2-pt layup from 3 ft,8,2
7,1,10:27.0,S. Dinwiddie makes 3-pt jump shot from 25 ft,,11,2
8,1,10:27.0,Shooting foul by N. Powell (drawn by S. Dinwiddie),,11,2
9,1,10:27.0,S. Dinwiddie makes free throw 1 of 1,,12,2
10,1,10:08.0,,Shooting foul by T. Prince (drawn by P. Siakam),12,2
11,1,10:08.0,,P. Siakam misses free throw 1 of 2,12,2
12,1,10:08.0,,Offensive rebound by Team,12,2
13,1,10:08.0,,P. Siakam makes free throw 2 of 2,12,3
14,1,9:54.0,T. Prince misses 3-pt jump shot from 25 ft,,12,3
15,1,9:50.0,,Defensive rebound by M. Gasol,12,3
16,1,9:40.0,,N. Powell makes 3-pt jump shot from 23 ft (assist by O. Anunoby),12,6
17,1,9:28.0,J. Allen makes 2-pt dunk from 1 ft (assist by S. Dinwiddie),,14,6
18,1,9:09.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by P. Siakam),14,9
19,1,8:54.0,J. Harris misses 3-pt jump shot from 23 ft,,14,9
20,1,8:50.0,,Defensive rebound by O. Anunoby,14,9
21,1,8:45.0,,Shooting foul by T. Prince (drawn by P. Siakam),14,9
22,1,8:45.0,,P. Siakam makes free throw 1 of 2,14,10
23,1,8:45.0,,P. Siakam makes free throw 2 of 2,14,11
24,1,8:34.0,T. Prince misses 2-pt jump shot from 17 ft,,14,11
25,1,8:33.0,,Defensive rebound by Team,14,11
26,1,8:23.0,,P. Siakam misses 2-pt jump shot from 10 ft,14,11
27,1,8:20.0,Defensive rebound by J. Allen,,14,11
28,1,8:14.0,J. Allen makes 2-pt dunk from 1 ft (assist by J. Harris),,16,11
29,1,7:56.0,,N. Powell makes 3-pt jump shot from 22 ft (assist by M. Gasol),16,14
30,1,7:42.0,S. Dinwiddie misses 2-pt layup from 2 ft,,16,14
31,1,7:40.0,,Defensive rebound by P. Siakam,16,14
32,1,7:34.0,,Turnover by K. Lowry (bad pass; steal by S. Dinwiddie),16,14
33,1,7:18.0,Turnover by G. Temple (lost ball; steal by K. Lowry),,16,14
34,1,7:11.0,,P. Siakam makes 3-pt jump shot from 25 ft (assist by M. Gasol),16,17
35,1,7:10.0,Brooklyn full timeout,,16,17
36,1,7:10.0,D. Nwaba enters the game for G. Temple,,16,17
37,1,6:58.0,Personal foul by O. Anunoby (drawn by T. Prince),,16,17
38,1,6:50.0,D. Nwaba makes 3-pt jump shot from 23 ft (assist by J. Harris),,19,17
39,1,6:36.0,,P. Siakam makes 3-pt jump shot from 25 ft,19,20
40,1,6:21.0,S. Dinwiddie misses 2-pt jump shot from 7 ft,,19,20
41,1,6:18.0,,Defensive rebound by P. Siakam,19,20
42,1,6:15.0,,O. Anunoby makes 3-pt jump shot from 25 ft (assist by P. Siakam),19,23
43,1,5:50.0,D. Nwaba misses 3-pt jump shot from 23 ft,,19,23
44,1,5:46.0,Offensive rebound by T. Prince,,19,23
45,1,5:44.0,J. Harris makes 2-pt jump shot from 17 ft (assist by T. Prince),,21,23
46,1,5:25.0,,M. Gasol misses 2-pt jump shot from 17 ft,21,23
47,1,5:23.0,Defensive rebound by T. Prince,,21,23
48,1,5:15.0,T. Prince misses 3-pt jump shot from 23 ft,,21,23
49,1,5:13.0,,Defensive rebound by M. Gasol,21,23
50,1,5:09.0,,K. Lowry makes 3-pt jump shot from 26 ft,21,26
51,1,4:54.0,J. Harris makes 2-pt layup from 2 ft (assist by S. Dinwiddie),,23,26
52,1,4:46.0,,P. Siakam misses 3-pt jump shot from 25 ft,23,26
53,1,4:40.0,Defensive rebound by D. Nwaba,,23,26
54,1,4:29.0,S. Dinwiddie misses 2-pt jump shot from 18 ft,,23,26
55,1,4:26.0,,Defensive rebound by P. Siakam,23,26
56,1,4:13.0,,N. Powell misses 2-pt layup from 4 ft,23,26
57,1,4:07.0,,Offensive rebound by N. Powell,23,26
58,1,4:07.0,,N. Powell misses 2-pt layup at rim,23,26
59,1,4:06.0,Defensive rebound by S. Dinwiddie,,23,26
60,1,4:05.0,S. Dinwiddie makes 2-pt layup from 3 ft,,25,26
61,1,3:58.0,,Offensive foul by O. Anunoby (drawn by S. Dinwiddie),25,26
62,1,3:58.0,,Turnover by O. Anunoby (offensive foul),25,26
63,1,3:58.0,D. Jordan enters the game for J. Allen,,25,26
64,1,3:58.0,R. Kurucs enters the game for J. Harris,,25,26
65,1,3:58.0,T. Luwawu-Cabarrot enters the game for T. Prince,,25,26
66,1,3:58.0,,T. Davis enters the game for O. Anunoby,25,26
67,1,3:58.0,,S. Ibaka enters the game for M. Gasol,25,26
68,1,3:58.0,,P. McCaw enters the game for K. Lowry,25,26
69,1,3:50.0,S. Dinwiddie misses 3-pt jump shot from 24 ft,,25,26
70,1,3:46.0,,Defensive rebound by S. Ibaka,25,26
71,1,3:36.0,,S. Ibaka misses 2-pt jump shot from 21 ft,25,26
72,1,3:33.0,Defensive rebound by D. Jordan,,25,26
73,1,3:12.0,Turnover by R. Kurucs (bad pass; steal by P. Siakam),,25,26
74,1,3:07.0,,P. Siakam makes 2-pt layup from 5 ft,25,28
75,1,2:52.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 24 ft,,25,28
76,1,2:49.0,,Defensive rebound by S. Ibaka,25,28
77,1,2:33.0,,N. Powell makes 3-pt jump shot from 23 ft (assist by P. Siakam),25,31
78,1,2:24.0,T. Luwawu-Cabarrot misses 3-pt jump shot from 23 ft (block by P. Siakam),,25,31
79,1,2:20.0,,Defensive rebound by S. Ibaka,25,31
80,1,2:15.0,,P. Siakam makes 3-pt jump shot from 23 ft (assist by T. Davis),25,34
81,1,1:53.0,Personal foul by N. Powell (drawn by R. Kurucs),,25,34
82,1,1:53.0,,Toronto full timeout,25,34
83,1,1:53.0,T. Pinson enters the game for S. Dinwiddie,,25,34
