,QUARTER,TIME_REMAINING,DETROIT_ACTION,ORLANDO_ACTION,DETROIT_SCORE,ORLANDO_SCORE
0,1,11:35.0,T. Maker makes 3-pt jump shot from 25 ft (assist by T. Snell),,3,0
1,1,11:16.0,,N. Vučević makes 2-pt hook shot from 6 ft (assist by M. Fultz),3,2
2,1,11:02.0,T. Maker misses 3-pt jump shot from 26 ft,,3,2
3,1,10:58.0,Offensive rebound by T. Maker,,3,2
4,1,10:57.0,T. Maker makes 2-pt dunk from 2 ft,,5,2
5,1,10:40.0,,Turnover by E. Fournier (bad pass),5,2
6,1,10:26.0,B. Brown makes 2-pt jump shot from 7 ft,,7,2
7,1,10:09.0,,Personal foul by B. Brown (drawn by A. Gordon),7,2
8,1,10:03.0,,A. Gordon misses 2-pt hook shot from 7 ft (block by C. Wood),7,2
9,1,10:01.0,Defensive rebound by B. Brown,,7,2
10,1,9:50.0,C. Wood misses 3-pt jump shot from 24 ft,,7,2
11,1,9:47.0,,Defensive rebound by N. Vučević,7,2
12,1,9:41.0,,M. Fultz makes 2-pt layup from 2 ft,7,4
13,1,9:13.0,R. Jackson makes 2-pt jump shot from 14 ft,,9,4
14,1,9:01.0,,M. Fultz misses 2-pt jump shot from 12 ft,9,4
15,1,8:57.0,Defensive rebound by B. Brown,,9,4
16,1,8:44.0,T. Snell makes 2-pt jump shot from 12 ft,,11,4
17,1,8:23.0,,M. Fultz makes 3-pt jump shot from 25 ft (assist by N. Vučević),11,7
18,1,8:13.0,Turnover by R. Jackson (bad pass; steal by M. Fultz),,11,7
19,1,8:05.0,,M. Fultz makes 2-pt layup from 1 ft (assist by A. Gordon),11,9
20,1,7:49.0,Turnover by T. Maker (lost ball; steal by E. Fournier),,11,9
21,1,7:43.0,,W. Iwundu makes 2-pt layup from 2 ft (assist by A. Gordon),11,11
22,1,7:38.0,Detroit full timeout,,11,11
23,1,7:23.0,C. Wood makes 2-pt jump shot from 15 ft,,13,11
24,1,6:58.0,,W. Iwundu makes 2-pt jump shot from 7 ft (assist by A. Gordon),13,13
25,1,6:32.0,B. Brown misses 2-pt layup from 4 ft,,13,13
26,1,6:30.0,,Defensive rebound by N. Vučević,13,13
27,1,6:25.0,,Shooting foul by C. Wood (drawn by A. Gordon),13,13
28,1,6:25.0,,A. Gordon makes free throw 1 of 2,13,14
29,1,6:25.0,,A. Gordon makes free throw 2 of 2,13,15
30,1,6:10.0,Offensive foul by T. Maker (drawn by M. Fultz),,13,15
31,1,6:10.0,Turnover by T. Maker (offensive foul),,13,15
32,1,5:56.0,,N. Vučević makes 2-pt jump shot from 17 ft (assist by A. Gordon),13,17
33,1,5:38.0,Turnover by B. Brown (bad pass; steal by E. Fournier),,13,17
34,1,5:30.0,,M. Fultz makes 2-pt layup from 3 ft (assist by W. Iwundu),13,19
35,1,5:15.0,Turnover by B. Brown (bad pass),,13,19
36,1,5:15.0,L. Galloway enters the game for B. Brown,,13,19
37,1,5:15.0,D. Rose enters the game for R. Jackson,,13,19
38,1,5:15.0,,T. Ross enters the game for W. Iwundu,13,19
39,1,4:55.0,,A. Gordon makes 3-pt jump shot from 28 ft,13,22
40,1,4:36.0,D. Rose misses 3-pt jump shot from 27 ft,,13,22
41,1,4:32.0,,Defensive rebound by N. Vučević,13,22
42,1,4:29.0,,Shooting foul by C. Wood (drawn by E. Fournier),13,22
43,1,4:29.0,,E. Fournier makes free throw 1 of 2,13,23
44,1,4:29.0,S. Doumbouya enters the game for T. Maker,,13,23
45,1,4:29.0,J. Henson enters the game for C. Wood,,13,23
46,1,4:29.0,,G. Clark enters the game for A. Gordon,13,23
47,1,4:29.0,,E. Fournier makes free throw 2 of 2,13,24
48,1,4:18.0,L. Galloway misses 3-pt jump shot from 27 ft,,13,24
49,1,4:13.0,,Defensive rebound by N. Vučević,13,24
50,1,4:06.0,,N. Vučević makes 2-pt layup from 3 ft (assist by T. Ross),13,26
51,1,3:56.0,T. Snell makes 3-pt jump shot from 23 ft (assist by D. Rose),,16,26
52,1,3:43.0,,E. Fournier makes 3-pt jump shot from 26 ft (assist by N. Vučević),16,29
53,1,3:24.0,S. Doumbouya misses 2-pt layup from 5 ft (block by N. Vučević),,16,29
54,1,3:21.0,,Defensive rebound by G. Clark,16,29
