,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,PHILADELPHIA_ACTION,CLEVELAND_SCORE,PHILADELPHIA_SCORE
0,1,11:41.0,K. Love misses 2-pt jump shot from 14 ft,,0,0
1,1,11:39.0,,Defensive rebound by J. Embiid,0,0
2,1,11:34.0,,J. Embiid misses 3-pt jump shot from 29 ft,0,0
3,1,11:30.0,Defensive rebound by D. Garland,,0,0
4,1,11:14.0,K. Love makes 2-pt jump shot from 16 ft,,2,0
5,1,10:58.0,,J. Richardson makes 2-pt layup at rim (assist by B. Simmons),2,2
6,1,10:39.0,T. Thompson misses 2-pt hook shot from 9 ft,,2,2
7,1,10:36.0,,Defensive rebound by J. Embiid,2,2
8,1,10:27.0,,T. Harris misses 3-pt jump shot from 27 ft,2,2
9,1,10:25.0,Defensive rebound by K. Love,,2,2
10,1,10:23.0,Turnover by K. Love (bad pass; steal by B. Simmons),,2,2
11,1,10:22.0,,Offensive foul by B. Simmons (drawn by K. Love),2,2
12,1,10:22.0,,Turnover by B. Simmons (offensive foul),2,2
13,1,10:04.0,C. Sexton misses 2-pt jump shot from 12 ft,,2,2
14,1,9:59.0,,Defensive rebound by F. Korkmaz,2,2
15,1,9:52.0,,Turnover by F. Korkmaz (bad pass; steal by C. Sexton),2,2
16,1,9:48.0,Shooting foul by J. Embiid (drawn by K. Love),,2,2
17,1,9:48.0,K. Love makes free throw 1 of 2,,3,2
18,1,9:48.0,K. Love makes free throw 2 of 2,,4,2
19,1,9:36.0,,J. Richardson makes 2-pt jump shot from 15 ft (assist by J. Embiid),4,4
20,1,9:12.0,T. Thompson makes 2-pt hook shot from 10 ft,,6,4
21,1,8:57.0,,B. Simmons makes 2-pt jump shot from 5 ft,6,6
22,1,8:46.0,T. Thompson makes 3-pt jump shot from 26 ft (assist by C. Sexton),,9,6
23,1,8:26.0,,T. Harris misses 3-pt jump shot from 25 ft,9,6
24,1,8:23.0,Defensive rebound by D. Garland,,9,6
25,1,8:13.0,D. Garland misses 2-pt layup from 5 ft,,9,6
26,1,8:11.0,,Defensive rebound by J. Embiid,9,6
27,1,8:06.0,,J. Richardson misses 3-pt jump shot from 24 ft,9,6
28,1,8:04.0,Defensive rebound by K. Love,,9,6
29,1,7:46.0,C. Osman makes 2-pt jump shot from 11 ft,,11,6
30,1,7:31.0,,Shooting foul by C. Osman (drawn by B. Simmons),11,6
31,1,7:31.0,,B. Simmons misses free throw 1 of 2,11,6
32,1,7:31.0,,Offensive rebound by Team,11,6
33,1,7:31.0,,B. Simmons misses free throw 2 of 2,11,6
34,1,7:29.0,Defensive rebound by K. Love,,11,6
35,1,7:13.0,C. Osman misses 2-pt layup from 5 ft,,11,6
36,1,7:09.0,Offensive rebound by T. Thompson,,11,6
37,1,7:08.0,T. Thompson makes 2-pt hook shot from 4 ft,,13,6
38,1,6:47.0,,J. Embiid makes 2-pt dunk from 1 ft,13,8
39,1,6:32.0,T. Thompson misses 2-pt hook shot from 6 ft (block by B. Simmons),,13,8
