,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,PHOENIX_ACTION,SAN ANTONIO_SCORE,PHOENIX_SCORE
0,1,11:43.0,D. DeRozan misses 2-pt jump shot from 17 ft,,0,0
1,1,11:40.0,,Defensive rebound by R. Rubio,0,0
2,1,11:33.0,,Turnover by R. Rubio (lost ball; steal by D. Murray),0,0
3,1,11:31.0,D. Murray misses 2-pt dunk from 1 ft (block by R. Rubio),,0,0
4,1,11:31.0,Offensive rebound by Team,,0,0
5,1,11:29.0,B. Forbes makes 3-pt jump shot from 23 ft (assist by D. Murray),,3,0
6,1,11:11.0,,D. Ayton misses 2-pt jump shot from 20 ft,3,0
7,1,11:09.0,Defensive rebound by D. Murray,,3,0
8,1,11:06.0,Turnover by D. DeRozan (lost ball; steal by R. Rubio),,3,0
9,1,11:02.0,,K. Oubre makes 2-pt dunk from 1 ft (assist by R. Rubio),3,2
10,1,10:41.0,T. Lyles misses 2-pt layup from 2 ft,,3,2
11,1,10:38.0,,Defensive rebound by D. Ayton,3,2
12,1,10:37.0,,Turnover by D. Ayton (bad pass; steal by D. Murray),3,2
13,1,10:33.0,T. Lyles makes 2-pt dunk from 2 ft (assist by D. Murray),,5,2
14,1,10:18.0,,D. Šarić makes 3-pt jump shot from 26 ft (assist by D. Booker),5,5
15,1,9:59.0,L. Aldridge makes 2-pt jump shot from 13 ft,,7,5
16,1,9:39.0,,K. Oubre makes 2-pt jump shot from 22 ft (assist by R. Rubio),7,7
17,1,9:21.0,L. Aldridge makes 3-pt jump shot from 25 ft (assist by B. Forbes),,10,7
18,1,9:01.0,,D. Booker makes 2-pt jump shot from 10 ft,10,9
19,1,8:49.0,L. Aldridge makes 2-pt jump shot from 14 ft,,12,9
20,1,8:40.0,,Personal foul by B. Forbes (drawn by D. Booker),12,9
21,1,8:28.0,,K. Oubre misses 3-pt jump shot from 25 ft,12,9
22,1,8:25.0,Defensive rebound by D. DeRozan,,12,9
23,1,8:17.0,Turnover by L. Aldridge (traveling),,12,9
24,1,8:06.0,,D. Booker makes 3-pt jump shot from 25 ft (assist by K. Oubre),12,12
25,1,7:49.0,D. Murray misses 2-pt jump shot from 18 ft,,12,12
26,1,7:47.0,Offensive rebound by D. DeRozan,,12,12
27,1,7:39.0,Shooting foul by D. Booker (drawn by D. DeRozan),,12,12
28,1,7:39.0,D. DeRozan makes free throw 1 of 2,,13,12
29,1,7:39.0,D. DeRozan makes free throw 2 of 2,,14,12
30,1,7:19.0,,Turnover by D. Booker (bad pass; steal by D. Murray),14,12
31,1,7:14.0,D. Murray makes 2-pt layup from 1 ft (assist by T. Lyles),,16,12
32,1,7:03.0,,D. Ayton makes 2-pt jump shot from 11 ft (assist by D. Booker),16,14
33,1,6:48.0,D. DeRozan makes 2-pt jump shot from 12 ft,,18,14
34,1,6:48.0,,Phoenix full timeout,18,14
35,1,6:37.0,,D. Booker makes 2-pt jump shot from 16 ft (assist by R. Rubio),18,16
36,1,6:21.0,L. Aldridge misses 2-pt jump shot from 14 ft,,18,16
37,1,6:17.0,,Defensive rebound by D. Šarić,18,16
38,1,6:03.0,,Turnover by R. Rubio (bad pass; steal by T. Lyles),18,16
39,1,5:58.0,Turnover by D. Murray (bad pass),,18,16
40,1,5:43.0,,D. Ayton misses 2-pt jump shot from 6 ft,18,16
41,1,5:40.0,Defensive rebound by T. Lyles,,18,16
42,1,5:35.0,D. DeRozan misses 2-pt jump shot from 14 ft,,18,16
43,1,5:32.0,,Defensive rebound by D. Šarić,18,16
44,1,5:22.0,,Turnover by D. Booker (lost ball; steal by D. DeRozan),18,16
45,1,5:19.0,Turnover by D. DeRozan (bad pass),,18,16
46,1,5:19.0,D. White enters the game for D. Murray,,18,16
47,1,5:19.0,,M. Bridges enters the game for K. Oubre,18,16
48,1,5:02.0,,D. Booker misses 2-pt jump shot from 11 ft,18,16
49,1,4:59.0,Defensive rebound by L. Aldridge,,18,16
50,1,4:48.0,B. Forbes misses 3-pt jump shot from 25 ft,,18,16
51,1,4:44.0,Offensive rebound by D. White,,18,16
52,1,4:33.0,D. White makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,21,16
53,1,4:15.0,,R. Rubio misses 3-pt jump shot from 24 ft,21,16
54,1,4:13.0,Defensive rebound by T. Lyles,,21,16
55,1,4:04.0,D. White makes 3-pt jump shot from 26 ft (assist by T. Lyles),,24,16
56,1,3:49.0,,D. Šarić misses 3-pt jump shot from 25 ft,24,16
57,1,3:47.0,Defensive rebound by D. White,,24,16
58,1,3:44.0,San Antonio full timeout,,24,16
59,1,3:44.0,M. Belinelli enters the game for D. DeRozan,,24,16
60,1,3:44.0,P. Mills enters the game for B. Forbes,,24,16
61,1,3:44.0,L. Walker enters the game for T. Lyles,,24,16
62,1,3:44.0,,E. Okobo enters the game for R. Rubio,24,16
63,1,3:44.0,,K. Oubre enters the game for D. Šarić,24,16
64,1,3:31.0,L. Aldridge misses 2-pt jump shot from 13 ft,,24,16
65,1,3:28.0,,Defensive rebound by D. Ayton,24,16
66,1,3:12.0,,K. Oubre makes 2-pt layup from 1 ft (assist by D. Booker),24,18
67,1,2:55.0,L. Aldridge misses 2-pt jump shot from 3 ft (block by K. Oubre),,24,18
68,1,2:54.0,,Defensive rebound by E. Okobo,24,18
69,1,2:45.0,,D. Ayton makes 2-pt hook shot from 6 ft,24,20
70,1,2:22.0,M. Belinelli misses 3-pt jump shot from 27 ft,,24,20
71,1,2:19.0,,Defensive rebound by K. Oubre,24,20
72,1,2:17.0,,Offensive foul by D. Booker (drawn by D. White),24,20
73,1,2:17.0,,Turnover by D. Booker (offensive foul),24,20
74,1,2:17.0,J. Poeltl enters the game for L. Aldridge,,24,20
75,1,2:17.0,,J. Carter enters the game for D. Ayton,24,20
76,1,2:17.0,,C. Diallo enters the game for D. Booker,24,20
77,1,2:06.0,P. Mills misses 3-pt jump shot from 26 ft,,24,20
78,1,2:04.0,,Defensive rebound by J. Carter,24,20
79,1,1:57.0,,C. Diallo makes 2-pt jump shot from 11 ft (assist by E. Okobo),24,22
80,1,1:40.0,M. Belinelli makes 2-pt layup at rim (assist by J. Poeltl),,26,22
81,1,1:15.0,,J. Carter misses 2-pt jump shot from 13 ft,26,22
82,1,1:13.0,,Offensive rebound by C. Diallo,26,22
83,1,1:05.0,,E. Okobo misses 2-pt jump shot from 11 ft,26,22
84,1,1:05.0,Defensive rebound by Team,,26,22
85,1,1:05.0,,Loose ball foul by C. Diallo (drawn by D. White),26,22
86,1,0:50.0,Shooting foul by E. Okobo (drawn by D. White),,26,22
87,1,0:50.0,D. White makes free throw 1 of 2,,27,22
88,1,0:50.0,D. White makes free throw 2 of 2,,28,22
89,1,0:35.0,,K. Oubre misses 3-pt jump shot from 23 ft,28,22
90,1,0:31.0,,Offensive rebound by E. Okobo,28,22
91,1,0:28.0,,M. Bridges makes 2-pt layup from 1 ft (assist by E. Okobo),28,24
92,1,0:07.0,D. White misses 2-pt jump shot from 12 ft,,28,24
93,1,0:04.0,,Defensive rebound by K. Oubre,28,24
94,1,0:02.0,,Personal take foul by D. White (drawn by K. Oubre),28,24
95,1,0:02.0,B. Forbes enters the game for J. Poeltl,,28,24
96,1,0:02.0,,D. Booker enters the game for E. Okobo,28,24
97,1,0:00.0,,C. Diallo makes 2-pt layup from 2 ft (assist by J. Carter),28,26
98,2,11:46.0,,C. Diallo misses 2-pt layup from 2 ft (block by J. Poeltl),28,26
99,2,11:43.0,Defensive rebound by M. Belinelli,,28,26
100,2,11:33.0,Personal foul by R. Rubio (drawn by J. Poeltl),,28,26
101,2,11:30.0,P. Mills misses 3-pt jump shot from 26 ft,,28,26
102,2,11:27.0,,Defensive rebound by K. Oubre,28,26
103,2,11:18.0,,Turnover by R. Rubio (bad pass; steal by J. Poeltl),28,26
104,2,11:12.0,D. White makes 2-pt layup at rim,,30,26
105,2,10:56.0,,R. Rubio makes 2-pt layup from 1 ft,30,28
106,2,10:43.0,P. Mills misses 3-pt jump shot from 25 ft,,30,28
107,2,10:40.0,,Defensive rebound by C. Diallo,30,28
108,2,10:26.0,,K. Oubre misses 3-pt jump shot from 27 ft,30,28
109,2,10:23.0,Defensive rebound by M. Belinelli,,30,28
110,2,10:10.0,J. Poeltl makes 2-pt layup from 1 ft (assist by M. Belinelli),,32,28
111,2,9:53.0,,K. Oubre misses 2-pt layup from 2 ft (block by J. Poeltl),32,28
112,2,9:53.0,,Offensive rebound by Team,32,28
113,2,9:42.0,,K. Oubre misses 3-pt jump shot from 22 ft,32,28
114,2,9:38.0,Defensive rebound by D. White,,32,28
115,2,9:31.0,J. Poeltl makes 2-pt layup from 1 ft (assist by D. White),,34,28
116,2,9:18.0,,J. Carter makes 3-pt jump shot from 25 ft (assist by C. Diallo),34,31
117,2,9:04.0,M. Belinelli misses 2-pt jump shot from 12 ft,,34,31
118,2,9:02.0,,Defensive rebound by K. Oubre,34,31
119,2,8:48.0,,R. Rubio makes 3-pt jump shot from 25 ft (assist by M. Bridges),34,34
120,2,8:46.0,San Antonio full timeout,,34,34
121,2,8:46.0,D. DeRozan enters the game for P. Mills,,34,34
122,2,8:46.0,D. Murray enters the game for D. White,,34,34
123,2,8:33.0,M. Belinelli makes 2-pt jump shot from 17 ft (assist by D. Murray),,36,34
124,2,8:12.0,,M. Bridges misses 3-pt jump shot from 25 ft,36,34
125,2,8:11.0,,Offensive rebound by C. Diallo,36,34
126,2,8:07.0,,J. Carter misses 3-pt jump shot from 26 ft,36,34
127,2,8:04.0,Defensive rebound by D. DeRozan,,36,34
128,2,7:42.0,D. Murray makes 2-pt jump shot from 17 ft,,38,34
129,2,7:27.0,,C. Diallo makes 2-pt dunk from 1 ft (assist by R. Rubio),38,36
130,2,7:09.0,L. Walker makes 3-pt jump shot from 25 ft (assist by M. Belinelli),,41,36
131,2,6:53.0,,Turnover by C. Diallo (bad pass; steal by L. Walker),41,36
132,2,6:49.0,L. Walker misses 2-pt layup from 1 ft,,41,36
133,2,6:46.0,Offensive rebound by D. Murray,,41,36
134,2,6:37.0,Turnover by D. DeRozan (out of bounds lost ball),,41,36
135,2,6:37.0,,D. Ayton enters the game for M. Bridges,41,36
136,2,6:37.0,,D. Booker enters the game for J. Carter,41,36
137,2,6:37.0,,D. Šarić enters the game for C. Diallo,41,36
138,2,6:16.0,,D. Booker misses 2-pt jump shot from 14 ft,41,36
139,2,6:15.0,,Offensive rebound by D. Booker,41,36
140,2,6:15.0,,D. Booker misses 2-pt layup from 1 ft (block by J. Poeltl),41,36
141,2,6:15.0,,Offensive rebound by Team,41,36
142,2,6:15.0,L. Aldridge enters the game for J. Poeltl,,41,36
143,2,6:05.0,,D. Šarić misses 2-pt layup from 4 ft (block by L. Aldridge),41,36
144,2,6:02.0,,Offensive rebound by R. Rubio,41,36
145,2,6:01.0,,R. Rubio misses 2-pt jump shot from 11 ft (block by L. Walker),41,36
146,2,6:01.0,,Offensive rebound by D. Šarić,41,36
147,2,6:01.0,,D. Šarić makes 2-pt layup at rim,41,38
148,2,6:01.0,,Shooting foul by L. Aldridge (drawn by D. Šarić),41,38
149,2,6:01.0,,Instant Replay (Request: Ruling Stands),41,38
150,2,6:01.0,,D. Šarić makes free throw 1 of 1,41,39
151,2,6:01.0,B. Forbes enters the game for M. Belinelli,,41,39
152,2,6:01.0,T. Lyles enters the game for L. Walker,,41,39
153,2,5:38.0,L. Aldridge misses 3-pt jump shot from 24 ft,,41,39
154,2,5:35.0,,Defensive rebound by K. Oubre,41,39
155,2,5:27.0,,D. Booker misses 2-pt jump shot from 15 ft,41,39
156,2,5:22.0,Defensive rebound by T. Lyles,,41,39
157,2,5:17.0,T. Lyles misses 3-pt jump shot from 25 ft,,41,39
158,2,5:13.0,,Defensive rebound by D. Ayton,41,39
159,2,5:02.0,,Turnover by D. Booker (bad pass; steal by L. Aldridge),41,39
160,2,4:55.0,B. Forbes makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,44,39
161,2,4:48.0,,Personal foul by D. DeRozan (drawn by K. Oubre),44,39
162,2,4:45.0,,Shooting foul by B. Forbes (drawn by D. Booker),44,39
163,2,4:45.0,,D. Booker makes free throw 1 of 2,44,40
164,2,4:45.0,,E. Okobo enters the game for R. Rubio,44,40
165,2,4:45.0,,D. Booker makes free throw 2 of 2,44,41
166,2,4:24.0,D. DeRozan makes 2-pt layup from 1 ft,,46,41
167,2,4:10.0,,Shooting foul by T. Lyles (drawn by D. Šarić),46,41
168,2,4:10.0,,D. Šarić makes free throw 1 of 2,46,42
169,2,4:10.0,,M. Bridges enters the game for K. Oubre,46,42
170,2,4:10.0,,D. Šarić makes free throw 2 of 2,46,43
171,2,3:54.0,B. Forbes makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,49,43
172,2,3:40.0,,Turnover by D. Booker (lost ball; steal by D. Murray),49,43
173,2,3:31.0,B. Forbes makes 3-pt jump shot from 23 ft (assist by D. Murray),,52,43
174,2,3:18.0,,D. Ayton makes 2-pt jump shot from 17 ft (assist by E. Okobo),52,45
175,2,3:01.0,D. DeRozan misses 2-pt jump shot from 5 ft,,52,45
176,2,2:59.0,,Defensive rebound by D. Ayton,52,45
177,2,2:42.0,,M. Bridges misses 3-pt jump shot from 23 ft,52,45
178,2,2:39.0,Defensive rebound by L. Aldridge,,52,45
179,2,2:35.0,San Antonio full timeout,,52,45
180,2,2:35.0,D. White enters the game for D. Murray,,52,45
181,2,2:35.0,,K. Oubre enters the game for M. Bridges,52,45
182,2,2:35.0,,R. Rubio enters the game for E. Okobo,52,45
183,2,2:33.0,B. Forbes makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,55,45
184,2,2:09.0,,R. Rubio misses 2-pt jump shot from 19 ft,55,45
185,2,2:09.0,Defensive rebound by Team,,55,45
186,2,2:01.0,L. Aldridge makes 2-pt dunk from 1 ft (assist by D. White),,57,45
187,2,1:48.0,,D. Booker misses 2-pt jump shot from 10 ft,57,45
188,2,1:44.0,,Offensive rebound by D. Ayton,57,45
189,2,1:44.0,,D. Ayton makes 2-pt layup at rim,57,47
190,2,1:38.0,Personal foul by D. Booker (drawn by D. White),,57,47
191,2,1:38.0,,M. Bridges enters the game for D. Booker,57,47
192,2,1:26.0,B. Forbes makes 3-pt jump shot from 26 ft,,60,47
193,2,1:16.0,,Personal foul by T. Lyles (drawn by D. Šarić),60,47
194,2,1:16.0,,D. Šarić makes free throw 1 of 2,60,48
195,2,1:16.0,,D. Šarić makes free throw 2 of 2,60,49
196,2,1:05.0,D. White makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,63,49
197,2,0:45.0,,D. Ayton makes 2-pt jump shot from 11 ft,63,51
198,2,0:28.0,L. Aldridge misses 3-pt jump shot from 23 ft,,63,51
199,2,0:26.0,,Defensive rebound by D. Šarić,63,51
200,2,0:07.0,,Turnover by M. Bridges (bad pass; steal by D. DeRozan),63,51
201,2,0:00.0,B. Forbes makes 3-pt jump shot from 27 ft (assist by D. DeRozan),,66,51
202,2,0:00.0,Instant Replay (Request: Ruling Stands),,66,51
203,3,11:41.0,,R. Rubio makes 2-pt layup from 1 ft (assist by D. Šarić),66,53
204,3,11:24.0,D. DeRozan misses 2-pt jump shot from 21 ft,,66,53
205,3,11:23.0,Offensive rebound by Team,,66,53
206,3,11:12.0,Shooting foul by R. Rubio (drawn by L. Aldridge),,66,53
207,3,11:12.0,L. Aldridge misses free throw 1 of 2,,66,53
208,3,11:12.0,Offensive rebound by Team,,66,53
209,3,11:12.0,L. Aldridge makes free throw 2 of 2,,67,53
210,3,10:57.0,,Shooting foul by B. Forbes (drawn by D. Booker),67,53
211,3,10:57.0,,D. Booker makes free throw 1 of 2,67,54
212,3,10:57.0,,D. Booker makes free throw 2 of 2,67,55
213,3,10:42.0,Shooting foul by D. Ayton (drawn by D. DeRozan),,67,55
214,3,10:42.0,D. DeRozan makes free throw 1 of 2,,68,55
215,3,10:42.0,D. DeRozan makes free throw 2 of 2,,69,55
