,QUARTER,TIME_REMAINING,DALLAS_ACTION,SACRAMENTO_ACTION,DALLAS_SCORE,SACRAMENTO_SCORE
0,1,11:45.0,,H. Barnes makes 2-pt jump shot from 6 ft (assist by N. Bjelica),0,2
1,1,11:29.0,D. Powell makes 2-pt dunk from 2 ft (assist by L. Dončić),,2,2
2,1,11:09.0,,Turnover by B. Hield (bad pass; steal by T. Hardaway),2,2
3,1,10:58.0,M. Kleber makes 3-pt jump shot from 26 ft (assist by L. Dončić),,5,2
4,1,10:47.0,,D. Fox makes 2-pt jump shot from 3 ft,5,4
5,1,10:36.0,L. Dončić makes 2-pt layup from 1 ft,,7,4
6,1,10:18.0,,N. Bjelica misses 2-pt jump shot from 4 ft,7,4
7,1,10:14.0,Defensive rebound by L. Dončić,,7,4
8,1,10:10.0,L. Dončić makes 2-pt layup from 2 ft,,9,4
9,1,10:01.0,,B. Hield makes 3-pt jump shot from 23 ft,9,7
10,1,9:49.0,L. Dončić misses 3-pt jump shot from 25 ft,,9,7
11,1,9:45.0,,Defensive rebound by N. Bjelica,9,7
12,1,9:29.0,,B. Hield misses 2-pt jump shot from 12 ft,9,7
13,1,9:25.0,Defensive rebound by L. Dončić,,9,7
14,1,9:20.0,D. Finney-Smith misses 3-pt jump shot from 25 ft,,9,7
15,1,9:20.0,Offensive rebound by Team,,9,7
16,1,9:13.0,Turnover by L. Dončić (bad pass; steal by H. Barnes),,9,7
17,1,9:06.0,,B. Hield makes 3-pt jump shot from 23 ft (assist by D. Fox),9,10
18,1,8:53.0,L. Dončić misses 3-pt jump shot from 25 ft,,9,10
19,1,8:51.0,,Defensive rebound by N. Bjelica,9,10
20,1,8:44.0,,M. Bagley makes 2-pt dunk from 1 ft (assist by D. Fox),9,12
21,1,8:23.0,T. Hardaway makes 2-pt layup from 3 ft,,11,12
22,1,8:14.0,,Turnover by B. Hield (lost ball; steal by D. Finney-Smith),11,12
23,1,8:08.0,D. Finney-Smith makes 2-pt dunk at rim (assist by T. Hardaway),,13,12
24,1,7:52.0,,H. Barnes misses 2-pt jump shot from 7 ft,13,12
25,1,7:49.0,Defensive rebound by L. Dončić,,13,12
26,1,7:41.0,M. Kleber makes 3-pt jump shot from 23 ft (assist by L. Dončić),,16,12
27,1,7:28.0,,D. Fox makes 2-pt layup from 6 ft,16,14
28,1,7:28.0,,Violation by Team (delay of game),16,14
29,1,7:13.0,D. Powell misses 2-pt layup from 4 ft,,16,14
30,1,7:11.0,,Defensive rebound by D. Fox,16,14
31,1,6:59.0,,B. Hield misses 3-pt jump shot from 25 ft,16,14
32,1,6:56.0,,Offensive rebound by N. Bjelica,16,14
33,1,6:56.0,,N. Bjelica misses 2-pt layup at rim,16,14
34,1,6:54.0,,Offensive rebound by N. Bjelica,16,14
35,1,6:54.0,,N. Bjelica misses 2-pt layup at rim,16,14
36,1,6:53.0,,Offensive rebound by D. Fox,16,14
37,1,6:52.0,,H. Barnes makes 2-pt layup from 2 ft (assist by D. Fox),16,16
38,1,6:52.0,Violation by Team (def goaltending),,16,16
39,1,6:35.0,T. Hardaway misses 3-pt jump shot from 25 ft,,16,16
40,1,6:33.0,Offensive rebound by D. Finney-Smith,,16,16
41,1,6:29.0,D. Powell makes 2-pt dunk from 2 ft (assist by L. Dončić),,18,16
42,1,6:23.0,,Sacramento full timeout,18,16
43,1,6:16.0,,M. Bagley makes 2-pt dunk from 1 ft,18,18
44,1,6:01.0,Turnover by D. Finney-Smith (bad pass; steal by D. Fox),,18,18
45,1,5:56.0,,B. Hield makes 2-pt layup from 2 ft (assist by N. Bjelica),18,20
46,1,5:37.0,T. Hardaway makes 3-pt jump shot from 26 ft,,21,20
47,1,5:31.0,,Shooting foul by D. Powell (drawn by D. Fox),21,20
48,1,5:31.0,,D. Fox misses free throw 1 of 2,21,20
49,1,5:31.0,,Offensive rebound by Team,21,20
50,1,5:31.0,J. Jackson enters the game for D. Powell,,21,20
51,1,5:31.0,,T. Ariza enters the game for M. Bagley,21,20
52,1,5:31.0,,H. Giles enters the game for H. Barnes,21,20
53,1,5:31.0,,D. Fox misses free throw 2 of 2,21,20
54,1,5:27.0,Defensive rebound by D. Finney-Smith,,21,20
55,1,5:19.0,D. Finney-Smith misses 3-pt jump shot from 23 ft,,21,20
56,1,5:14.0,Offensive rebound by M. Kleber,,21,20
57,1,5:13.0,M. Kleber makes 2-pt layup from 3 ft,,23,20
58,1,4:59.0,,N. Bjelica misses 3-pt jump shot from 27 ft,23,20
59,1,4:57.0,Defensive rebound by L. Dončić,,23,20
60,1,4:51.0,J. Jackson makes 2-pt layup from 5 ft (assist by L. Dončić),,25,20
61,1,4:43.0,,B. Hield makes 2-pt layup from 3 ft,25,22
62,1,4:28.0,L. Dončić misses 3-pt jump shot from 27 ft,,25,22
63,1,4:28.0,Offensive rebound by T. Hardaway,,25,22
64,1,4:28.0,Personal foul by H. Giles (drawn by T. Hardaway),,25,22
65,1,4:22.0,L. Dončić makes 2-pt jump shot from 15 ft,,27,22
66,1,4:22.0,Shooting foul by D. Fox (drawn by L. Dončić),,27,22
67,1,4:22.0,L. Dončić makes free throw 1 of 1,,28,22
68,1,4:12.0,,B. Hield misses 2-pt jump shot from 17 ft,28,22
69,1,4:07.0,Defensive rebound by D. Finney-Smith,,28,22
70,1,3:58.0,Turnover by L. Dončić (bad pass),,28,22
71,1,3:49.0,,D. Fox misses 3-pt jump shot from 26 ft,28,22
72,1,3:45.0,Defensive rebound by T. Hardaway,,28,22
73,1,3:38.0,J. Jackson misses 3-pt jump shot from 23 ft,,28,22
74,1,3:32.0,,Defensive rebound by H. Giles,28,22
75,1,3:27.0,,B. Hield misses 2-pt layup from 3 ft,28,22
76,1,3:24.0,Defensive rebound by D. Finney-Smith,,28,22
77,1,3:17.0,Turnover by L. Dončić (bad pass; steal by N. Bjelica),,28,22
78,1,3:16.0,,Personal foul by M. Kleber (drawn by D. Fox),28,22
79,1,3:16.0,,C. Joseph enters the game for D. Fox,28,22
80,1,3:16.0,Dallas full timeout,,28,22
81,1,3:16.0,S. Curry enters the game for D. Finney-Smith,,28,22
82,1,3:16.0,D. Powell enters the game for M. Kleber,,28,22
83,1,3:08.0,,T. Ariza misses 3-pt jump shot from 24 ft,28,22
84,1,3:03.0,,Offensive rebound by N. Bjelica,28,22
85,1,3:03.0,,N. Bjelica makes 2-pt layup at rim,28,24
86,1,2:51.0,J. Jackson misses 2-pt jump shot from 9 ft,,28,24
87,1,2:48.0,Offensive rebound by D. Powell,,28,24
88,1,2:43.0,T. Hardaway makes 2-pt layup from 2 ft (assist by D. Powell),,30,24
89,1,2:28.0,,C. Joseph misses 3-pt jump shot from 23 ft,30,24
90,1,2:25.0,Defensive rebound by T. Hardaway,,30,24
91,1,2:20.0,L. Dončić misses 3-pt jump shot from 26 ft,,30,24
92,1,2:16.0,Offensive rebound by D. Powell,,30,24
93,1,2:13.0,T. Hardaway misses 3-pt jump shot from 25 ft,,30,24
94,1,2:13.0,,Defensive rebound by Team,30,24
95,1,2:13.0,,H. Barnes enters the game for N. Bjelica,30,24
96,1,1:58.0,,C. Joseph misses 2-pt jump shot from 9 ft,30,24
97,1,1:56.0,,Offensive rebound by C. Joseph,30,24
98,1,1:55.0,,C. Joseph makes 2-pt jump shot from 6 ft,30,26
99,1,1:37.0,S. Curry makes 3-pt jump shot from 24 ft (assist by T. Hardaway),,33,26
100,1,1:28.0,,H. Barnes makes 2-pt layup from 3 ft (assist by C. Joseph),33,28
101,1,1:28.0,,Shooting foul by L. Dončić (drawn by H. Barnes),33,28
102,1,1:28.0,D. Wright enters the game for L. Dončić,,33,28
103,1,1:28.0,,H. Barnes makes free throw 1 of 1,33,29
104,1,1:08.0,D. Powell makes 2-pt layup from 1 ft (assist by D. Wright),,35,29
