,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,SAN ANTONIO_ACTION,BROOKLYN_SCORE,SAN ANTONIO_SCORE
0,1,11:41.0,,L. Aldridge misses 3-pt jump shot from 27 ft,0,0
1,1,11:37.0,Defensive rebound by J. Harris,,0,0
2,1,11:24.0,T. Prince misses 2-pt layup from 4 ft (block by L. Aldridge),,0,0
3,1,11:23.0,,Defensive rebound by Team,0,0
4,1,11:14.0,,D. DeRozan misses 2-pt jump shot from 15 ft,0,0
5,1,11:07.0,Defensive rebound by J. Harris,,0,0
6,1,11:01.0,T. Prince makes 2-pt jump shot from 10 ft,,2,0
7,1,10:47.0,,T. Lyles misses 3-pt jump shot from 24 ft,2,0
8,1,10:43.0,Defensive rebound by J. Harris,,2,0
9,1,10:30.0,J. Allen makes 2-pt dunk at rim (assist by S. Dinwiddie),,4,0
10,1,10:04.0,,L. Aldridge misses 2-pt jump shot from 6 ft,4,0
11,1,9:58.0,,Offensive rebound by T. Lyles,4,0
12,1,9:58.0,,T. Lyles makes 2-pt layup at rim,4,2
13,1,9:48.0,J. Harris makes 3-pt jump shot from 25 ft (assist by J. Allen),,7,2
14,1,9:29.0,,Turnover by L. Aldridge (bad pass; steal by G. Temple),7,2
15,1,9:24.0,S. Dinwiddie makes 3-pt jump shot from 25 ft (assist by G. Temple),,10,2
16,1,9:11.0,,Turnover by D. DeRozan (bad pass),10,2
17,1,8:58.0,J. Allen makes 2-pt dunk from 2 ft,,12,2
18,1,8:57.0,,San Antonio full timeout,12,2
19,1,8:40.0,,T. Lyles misses 3-pt jump shot from 26 ft,12,2
20,1,8:36.0,Defensive rebound by J. Allen,,12,2
21,1,8:24.0,Turnover by G. Temple (bad pass; steal by D. DeRozan),,12,2
22,1,8:15.0,,D. Murray makes 2-pt jump shot from 14 ft (assist by T. Lyles),12,4
23,1,8:05.0,T. Prince misses 3-pt jump shot from 25 ft,,12,4
24,1,8:02.0,,Defensive rebound by B. Forbes,12,4
25,1,7:55.0,,D. DeRozan misses 2-pt jump shot from 17 ft,12,4
26,1,7:50.0,Defensive rebound by J. Allen,,12,4
27,1,7:41.0,T. Prince misses 3-pt jump shot from 26 ft,,12,4
28,1,7:38.0,,Defensive rebound by D. DeRozan,12,4
29,1,7:30.0,,D. DeRozan makes 2-pt layup at rim,12,6
30,1,7:19.0,J. Harris makes 2-pt layup from 1 ft (assist by S. Dinwiddie),,14,6
31,1,7:04.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by D. Murray),14,8
32,1,6:52.0,Turnover by S. Dinwiddie (bad pass; steal by D. Murray),,14,8
33,1,6:41.0,,L. Aldridge makes 2-pt jump shot from 19 ft (assist by D. Murray),14,10
34,1,6:26.0,J. Harris makes 2-pt layup from 1 ft (assist by J. Allen),,16,10
35,1,6:13.0,,D. Murray makes 2-pt jump shot from 18 ft,16,12
36,1,6:00.0,G. Temple misses 3-pt jump shot from 25 ft,,16,12
37,1,5:57.0,,Defensive rebound by L. Aldridge,16,12
38,1,5:49.0,,D. DeRozan makes 2-pt jump shot from 10 ft,16,14
39,1,5:32.0,S. Dinwiddie makes 2-pt layup from 1 ft,,18,14
40,1,5:17.0,,D. Murray makes 3-pt jump shot from 22 ft (assist by D. DeRozan),18,17
41,1,5:07.0,S. Dinwiddie makes 3-pt jump shot from 25 ft,,21,17
42,1,4:52.0,,Shooting foul by J. Allen (drawn by T. Lyles),21,17
43,1,4:52.0,,T. Lyles makes free throw 1 of 2,21,18
44,1,4:52.0,W. Chandler enters the game for J. Allen,,21,18
45,1,4:52.0,D. Jordan enters the game for J. Harris,,21,18
46,1,4:52.0,T. Luwawu-Cabarrot enters the game for T. Prince,,21,18
47,1,4:52.0,D. Nwaba enters the game for G. Temple,,21,18
48,1,4:52.0,,P. Mills enters the game for L. Aldridge,21,18
49,1,4:52.0,,J. Poeltl enters the game for B. Forbes,21,18
50,1,4:52.0,,T. Lyles makes free throw 2 of 2,21,19
51,1,4:39.0,D. Jordan makes 2-pt dunk at rim (assist by S. Dinwiddie),,23,19
52,1,4:28.0,,T. Lyles misses 3-pt jump shot from 26 ft,23,19
53,1,4:25.0,Defensive rebound by D. Jordan,,23,19
54,1,4:16.0,S. Dinwiddie makes 2-pt layup at rim,,25,19
55,1,3:55.0,,Turnover by D. DeRozan (lost ball; steal by D. Jordan),25,19
56,1,3:53.0,Shooting foul by J. Poeltl (drawn by D. Nwaba),,25,19
57,1,3:53.0,D. Nwaba makes free throw 1 of 2,,26,19
58,1,3:53.0,,R. Gay enters the game for T. Lyles,26,19
59,1,3:53.0,,D. White enters the game for D. Murray,26,19
60,1,3:53.0,D. Nwaba makes free throw 2 of 2,,27,19
61,1,3:38.0,,P. Mills makes 3-pt jump shot from 26 ft (assist by J. Poeltl),27,22
62,1,3:25.0,S. Dinwiddie misses 2-pt layup from 6 ft (block by D. White),,27,22
63,1,3:25.0,Offensive rebound by Team,,27,22
64,1,3:25.0,Brooklyn full timeout,,27,22
65,1,3:25.0,G. Temple enters the game for S. Dinwiddie,,27,22
66,1,3:25.0,,M. Belinelli enters the game for D. DeRozan,27,22
67,1,3:20.0,W. Chandler misses 3-pt jump shot from 26 ft,,27,22
68,1,3:17.0,,Defensive rebound by M. Belinelli,27,22
69,1,3:10.0,,R. Gay misses 3-pt jump shot from 22 ft,27,22
70,1,3:08.0,Defensive rebound by D. Nwaba,,27,22
71,1,3:00.0,G. Temple misses 3-pt jump shot from 26 ft,,27,22
72,1,2:56.0,,Defensive rebound by D. White,27,22
73,1,2:51.0,,Turnover by D. White (bad pass; steal by G. Temple),27,22
74,1,2:45.0,D. Nwaba misses 3-pt jump shot from 23 ft,,27,22
75,1,2:42.0,,Defensive rebound by R. Gay,27,22
76,1,2:35.0,,D. White misses 2-pt jump shot from 21 ft,27,22
77,1,2:32.0,Defensive rebound by D. Jordan,,27,22
78,1,2:22.0,W. Chandler misses 3-pt jump shot from 25 ft,,27,22
79,1,2:19.0,,Defensive rebound by R. Gay,27,22
80,1,2:11.0,,P. Mills makes 3-pt jump shot from 24 ft (assist by J. Poeltl),27,25
81,1,2:01.0,Offensive foul by D. Jordan (drawn by D. White),,27,25
82,1,2:01.0,Turnover by D. Jordan (offensive foul),,27,25
83,1,1:53.0,,Turnover by D. White (bad pass; steal by D. Nwaba),27,25
84,1,1:49.0,W. Chandler makes 2-pt layup from 1 ft (assist by D. Nwaba),,29,25
85,1,1:34.0,,M. Belinelli makes 2-pt jump shot from 13 ft (assist by J. Poeltl),29,27
