,QUARTER,TIME_REMAINING,PHOENIX_ACTION,SAN ANTONIO_ACTION,PHOENIX_SCORE,SAN ANTONIO_SCORE
0,1,11:38.0,,T. Lyles misses 2-pt layup from 4 ft (block by K. Oubre),0,0
1,1,11:30.0,Defensive rebound by D. Ayton,,0,0
2,1,11:23.0,Shooting foul by B. Forbes (drawn by D. Booker),,0,0
3,1,11:23.0,D. Booker makes free throw 1 of 2,,1,0
4,1,11:23.0,D. Booker makes free throw 2 of 2,,2,0
5,1,11:05.0,,D. Murray makes 2-pt layup from 2 ft (assist by B. Forbes),2,2
6,1,10:47.0,D. Ayton makes 2-pt dunk from 1 ft (assist by D. Booker),,4,2
7,1,10:32.0,,D. DeRozan makes 2-pt jump shot from 13 ft,4,4
8,1,10:15.0,D. Ayton misses 2-pt jump shot from 14 ft,,4,4
9,1,10:11.0,,Defensive rebound by T. Lyles,4,4
10,1,10:06.0,,Personal foul by D. Booker (drawn by D. Murray),4,4
11,1,10:02.0,,Personal foul by D. Ayton (drawn by D. DeRozan),4,4
12,1,9:52.0,,L. Aldridge makes 2-pt jump shot from 17 ft,4,6
13,1,9:38.0,D. Šarić makes 3-pt jump shot from 26 ft (assist by D. Booker),,7,6
14,1,9:26.0,,D. Murray misses 2-pt layup from 4 ft,7,6
15,1,9:23.0,Defensive rebound by D. Ayton,,7,6
16,1,9:20.0,R. Rubio makes 2-pt jump shot from 12 ft,,9,6
17,1,9:20.0,Shooting foul by D. Murray (drawn by R. Rubio),,9,6
18,1,9:20.0,R. Rubio misses free throw 1 of 1,,9,6
19,1,9:06.0,,Defensive rebound by T. Lyles,9,6
20,1,9:00.0,,D. DeRozan makes 2-pt jump shot from 20 ft,9,8
21,1,8:45.0,R. Rubio misses 2-pt jump shot from 12 ft,,9,8
22,1,8:41.0,,Defensive rebound by L. Aldridge,9,8
23,1,8:38.0,,B. Forbes makes 3-pt jump shot from 26 ft (assist by D. Murray),9,11
24,1,8:20.0,R. Rubio misses 2-pt jump shot from 15 ft,,9,11
25,1,8:12.0,,Defensive rebound by D. Murray,9,11
26,1,7:57.0,,L. Aldridge makes 2-pt jump shot from 13 ft,9,13
27,1,7:41.0,D. Booker makes 2-pt jump shot from 13 ft,,11,13
28,1,7:20.0,,T. Lyles misses 2-pt layup from 2 ft,11,13
29,1,7:18.0,Defensive rebound by D. Booker,,11,13
