,QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,UTAH_ACTION,NEW ORLEANS_SCORE,UTAH_SCORE
0,1,11:45.0,,Shooting foul by B. Ingram (drawn by D. Mitchell),0,0
1,1,11:45.0,,D. Mitchell makes free throw 1 of 2,0,1
2,1,11:45.0,,D. Mitchell makes free throw 2 of 2,0,2
3,1,11:30.0,J. Redick misses 2-pt jump shot from 11 ft,,0,2
4,1,11:26.0,,Defensive rebound by R. O'Neale,0,2
5,1,11:19.0,,D. Mitchell makes 3-pt jump shot from 27 ft,0,5
6,1,10:58.0,Turnover by J. Hayes (traveling),,0,5
7,1,10:41.0,,B. Bogdanović makes 3-pt jump shot from 25 ft,0,8
8,1,10:30.0,B. Ingram misses 2-pt jump shot from 20 ft,,0,8
9,1,10:27.0,,Defensive rebound by T. Bradley,0,8
10,1,10:27.0,,Turnover by T. Bradley (step out of bounds),0,8
11,1,10:24.0,J. Redick misses 2-pt jump shot from 22 ft,,0,8
12,1,10:21.0,Offensive rebound by K. Williams,,0,8
13,1,10:21.0,K. Williams misses 2-pt layup at rim,,0,8
14,1,10:19.0,,Defensive rebound by D. Mitchell,0,8
15,1,10:17.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by D. Mitchell),0,11
16,1,10:07.0,New Orleans full timeout,,0,11
17,1,9:59.0,B. Ingram misses 3-pt jump shot from 25 ft,,0,11
18,1,9:57.0,,Defensive rebound by D. Mitchell,0,11
19,1,9:50.0,,D. Mitchell makes 3-pt jump shot from 25 ft,0,14
20,1,9:44.0,Personal foul by R. O'Neale (drawn by B. Ingram),,0,14
21,1,9:37.0,J. Holiday misses 2-pt layup from 2 ft,,0,14
22,1,9:33.0,Offensive rebound by J. Hayes,,0,14
23,1,9:33.0,J. Hayes makes 2-pt dunk at rim,,2,14
24,1,9:21.0,,T. Bradley makes 2-pt jump shot from 5 ft (assist by M. Conley),2,16
25,1,9:08.0,J. Holiday misses 2-pt jump shot from 7 ft,,2,16
26,1,9:06.0,,Defensive rebound by M. Conley,2,16
27,1,9:04.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,2,16
28,1,9:01.0,Defensive rebound by J. Holiday,,2,16
29,1,8:55.0,Turnover by B. Ingram (bad pass),,2,16
30,1,8:41.0,,B. Bogdanović makes 2-pt jump shot from 11 ft (assist by R. O'Neale),2,18
31,1,8:35.0,J. Redick makes 3-pt jump shot from 27 ft (assist by J. Holiday),,5,18
32,1,8:17.0,,T. Bradley makes 2-pt dunk from 2 ft (assist by M. Conley),5,20
33,1,7:57.0,B. Ingram makes 2-pt jump shot from 11 ft,,7,20
34,1,7:40.0,,D. Mitchell misses 2-pt layup from 6 ft,7,20
35,1,7:37.0,Defensive rebound by J. Hayes,,7,20
36,1,7:31.0,K. Williams misses 3-pt jump shot from 24 ft,,7,20
37,1,7:30.0,,Defensive rebound by D. Mitchell,7,20
38,1,7:27.0,,B. Bogdanović makes 2-pt dunk from 1 ft (assist by D. Mitchell),7,22
39,1,7:16.0,Personal foul by M. Conley (drawn by J. Redick),,7,22
40,1,7:07.0,B. Ingram misses 2-pt layup from 2 ft,,7,22
41,1,7:06.0,,Defensive rebound by R. O'Neale,7,22
42,1,6:52.0,,Shooting foul by B. Ingram (drawn by D. Mitchell),7,22
43,1,6:52.0,,D. Mitchell makes free throw 1 of 3,7,23
44,1,6:52.0,,D. Mitchell makes free throw 2 of 3,7,24
45,1,6:52.0,L. Ball enters the game for B. Ingram,,7,24
46,1,6:52.0,,D. Mitchell makes free throw 3 of 3,7,25
47,1,6:41.0,J. Holiday makes 2-pt layup from 2 ft,,9,25
48,1,6:29.0,,D. Mitchell makes 3-pt jump shot from 25 ft (assist by R. O'Neale),9,28
49,1,6:16.0,J. Hayes makes 2-pt layup from 2 ft (assist by L. Ball),,11,28
50,1,6:16.0,Shooting foul by T. Bradley (drawn by J. Hayes),,11,28
51,1,6:16.0,,J. Ingles enters the game for R. O'Neale,11,28
52,1,6:16.0,J. Hayes makes free throw 1 of 1,,12,28
53,1,6:04.0,,T. Bradley makes 2-pt layup from 3 ft (assist by B. Bogdanović),12,30
54,1,5:58.0,L. Ball misses 3-pt jump shot from 25 ft,,12,30
55,1,5:58.0,,Defensive rebound by T. Bradley,12,30
56,1,5:48.0,,J. Ingles misses 3-pt jump shot from 23 ft,12,30
57,1,5:45.0,Defensive rebound by J. Redick,,12,30
58,1,5:39.0,J. Redick makes 3-pt jump shot from 25 ft (assist by J. Holiday),,15,30
59,1,5:28.0,,D. Mitchell misses 3-pt jump shot from 28 ft,15,30
60,1,5:24.0,Defensive rebound by L. Ball,,15,30
61,1,5:10.0,J. Hayes makes 2-pt dunk from 2 ft (assist by L. Ball),,17,30
62,1,4:52.0,,M. Conley misses 3-pt jump shot from 23 ft,17,30
63,1,4:46.0,,Offensive rebound by T. Bradley,17,30
64,1,4:46.0,,T. Bradley misses 2-pt layup from 1 ft,17,30
65,1,4:46.0,Defensive rebound by J. Redick,,17,30
66,1,4:38.0,Shooting foul by T. Bradley (drawn by J. Hayes),,17,30
67,1,4:38.0,J. Hayes makes free throw 1 of 2,,18,30
68,1,4:38.0,,J. Green enters the game for T. Bradley,18,30
69,1,4:38.0,,E. Mudiay enters the game for M. Conley,18,30
70,1,4:38.0,,R. O'Neale enters the game for D. Mitchell,18,30
71,1,4:38.0,J. Hayes makes free throw 2 of 2,,19,30
72,1,4:30.0,,Turnover by J. Ingles (lost ball; steal by J. Holiday),19,30
73,1,4:23.0,J. Holiday makes 2-pt layup from 2 ft (assist by J. Redick),,21,30
74,1,3:57.0,,E. Mudiay makes 3-pt jump shot from 26 ft (assist by J. Ingles),21,33
75,1,3:45.0,K. Williams makes 2-pt dunk from 2 ft (assist by L. Ball),,23,33
76,1,3:27.0,,J. Green makes 2-pt jump shot from 9 ft (assist by R. O'Neale),23,35
77,1,3:17.0,L. Ball misses 2-pt jump shot from 17 ft,,23,35
78,1,3:15.0,,Defensive rebound by J. Ingles,23,35
79,1,3:00.0,,B. Bogdanović makes 2-pt layup from 2 ft (assist by J. Green),23,37
80,1,3:00.0,,Shooting foul by K. Williams (drawn by B. Bogdanović),23,37
81,1,3:00.0,N. Melli enters the game for J. Hayes,,23,37
82,1,3:00.0,,B. Bogdanović makes free throw 1 of 1,23,38
83,1,2:51.0,J. Holiday misses 3-pt jump shot from 25 ft,,23,38
84,1,2:46.0,,Defensive rebound by R. O'Neale,23,38
85,1,2:29.0,,E. Mudiay misses 3-pt jump shot from 23 ft,23,38
86,1,2:26.0,Defensive rebound by J. Redick,,23,38
87,1,2:20.0,Shooting foul by B. Bogdanović (drawn by J. Redick),,23,38
88,1,2:20.0,,Utah full timeout,23,38
89,1,2:20.0,E. Moore enters the game for J. Holiday,,23,38
90,1,2:20.0,,G. Niang enters the game for B. Bogdanović,23,38
91,1,2:20.0,J. Redick makes free throw 1 of 3,,24,38
92,1,2:20.0,J. Redick makes free throw 2 of 3,,25,38
93,1,2:20.0,J. Redick makes free throw 3 of 3,,26,38
94,1,2:10.0,,Shooting foul by E. Moore (drawn by J. Green),26,38
95,1,2:10.0,,J. Green makes free throw 1 of 2,26,39
96,1,2:10.0,F. Jackson enters the game for J. Redick,,26,39
