,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,PORTLAND_ACTION,WASHINGTON_SCORE,PORTLAND_SCORE
0,1,11:37.0,,D. Lillard misses 3-pt jump shot from 32 ft,0,0
1,1,11:34.0,Defensive rebound by J. Robinson,,0,0
2,1,11:13.0,S. Napier misses 3-pt jump shot from 29 ft,,0,0
3,1,11:11.0,,Defensive rebound by Team,0,0
4,1,11:00.0,,C. McCollum misses 2-pt jump shot from 16 ft,0,0
5,1,10:57.0,Defensive rebound by R. Hachimura,,0,0
6,1,10:51.0,R. Hachimura misses 2-pt hook shot from 5 ft,,0,0
7,1,10:50.0,,Defensive rebound by H. Whiteside,0,0
8,1,10:38.0,,Offensive foul by H. Whiteside (drawn by M. Wagner),0,0
9,1,10:38.0,,Turnover by H. Whiteside (offensive foul),0,0
10,1,10:23.0,B. Beal misses 2-pt jump shot from 18 ft,,0,0
11,1,10:20.0,Offensive rebound by M. Wagner,,0,0
12,1,10:10.0,B. Beal makes 2-pt layup from 1 ft (assist by R. Hachimura),,2,0
13,1,9:56.0,,Turnover by D. Lillard (lost ball; steal by M. Wagner),2,0
14,1,9:52.0,S. Napier misses 3-pt jump shot from 24 ft,,2,0
15,1,9:49.0,Offensive rebound by M. Wagner,,2,0
16,1,9:49.0,M. Wagner misses 2-pt layup from 1 ft (block by H. Whiteside),,2,0
17,1,9:46.0,Offensive rebound by M. Wagner,,2,0
18,1,9:36.0,J. Robinson misses 3-pt jump shot from 24 ft,,2,0
19,1,9:32.0,,Defensive rebound by H. Whiteside,2,0
20,1,9:29.0,,C. McCollum makes 2-pt jump shot from 3 ft,2,2
21,1,9:29.0,,Shooting foul by J. Robinson (drawn by C. McCollum),2,2
22,1,9:29.0,,C. McCollum misses free throw 1 of 1,2,2
23,1,9:26.0,Defensive rebound by B. Beal,,2,2
24,1,9:20.0,R. Hachimura misses 2-pt layup from 2 ft (block by H. Whiteside),,2,2
25,1,9:19.0,Offensive rebound by Team,,2,2
26,1,9:04.0,M. Wagner makes 2-pt dunk from 1 ft (assist by S. Napier),,4,2
27,1,8:48.0,,C. McCollum makes 3-pt jump shot from 23 ft,4,5
28,1,8:37.0,S. Napier makes 3-pt jump shot from 24 ft (assist by B. Beal),,7,5
29,1,8:21.0,,H. Whiteside makes 2-pt dunk from 2 ft (assist by C. McCollum),7,7
30,1,8:08.0,B. Beal misses 2-pt jump shot from 3 ft,,7,7
31,1,8:06.0,,Defensive rebound by C. McCollum,7,7
32,1,8:05.0,,Shooting foul by J. Robinson (drawn by T. Ariza),7,7
33,1,8:05.0,,T. Ariza makes free throw 1 of 2,7,8
34,1,8:05.0,,T. Ariza makes free throw 2 of 2,7,9
35,1,7:55.0,B. Beal makes 3-pt jump shot from 28 ft (assist by R. Hachimura),,10,9
36,1,7:43.0,,T. Ariza makes 3-pt jump shot from 23 ft (assist by D. Lillard),10,12
37,1,7:31.0,Turnover by B. Beal (lost ball; steal by T. Ariza),,10,12
38,1,7:27.0,,T. Ariza makes 2-pt layup from 2 ft (assist by D. Lillard),10,14
39,1,7:10.0,R. Hachimura makes 2-pt jump shot from 8 ft (assist by M. Wagner),,12,14
40,1,6:56.0,,H. Whiteside makes 2-pt hook shot from 3 ft (assist by D. Lillard),12,16
41,1,6:55.0,Washington full timeout,,12,16
42,1,6:55.0,T. Brown enters the game for J. Robinson,,12,16
43,1,6:39.0,S. Napier makes 2-pt jump shot from 14 ft,,14,16
44,1,6:24.0,,Personal foul by R. Hachimura (drawn by C. Anthony),14,16
45,1,6:10.0,,C. Anthony makes 2-pt jump shot from 10 ft,14,18
46,1,5:59.0,B. Beal makes 3-pt jump shot from 26 ft,,17,18
47,1,5:49.0,,D. Lillard makes 3-pt jump shot from 28 ft (assist by T. Ariza),17,21
48,1,5:36.0,M. Wagner makes 2-pt dunk from 1 ft (assist by B. Beal),,19,21
49,1,5:36.0,,G. Trent enters the game for C. McCollum,19,21
50,1,5:18.0,,C. Anthony misses 3-pt jump shot from 23 ft,19,21
51,1,5:16.0,,Offensive rebound by Team,19,21
52,1,5:10.0,,C. Anthony makes 2-pt jump shot from 10 ft,19,23
53,1,4:59.0,Turnover by S. Napier (bad pass),,19,23
54,1,4:44.0,,C. Anthony makes 3-pt jump shot from 23 ft (assist by G. Trent),19,26
55,1,4:31.0,B. Beal misses 2-pt layup from 3 ft (block by H. Whiteside),,19,26
56,1,4:29.0,Offensive rebound by B. Beal,,19,26
57,1,4:29.0,Personal foul by C. Anthony (drawn by M. Wagner),,19,26
58,1,4:21.0,Def 3 sec tech foul by Team,,19,26
59,1,4:21.0,B. Beal makes technical free throw,,20,26
60,1,4:14.0,B. Beal makes 3-pt jump shot from 26 ft (assist by S. Napier),,23,26
61,1,3:58.0,,G. Trent misses 3-pt jump shot from 25 ft,23,26
62,1,3:53.0,Defensive rebound by M. Wagner,,23,26
63,1,3:47.0,S. Napier misses 3-pt jump shot from 26 ft,,23,26
64,1,3:44.0,,Defensive rebound by H. Whiteside,23,26
65,1,3:32.0,,C. Anthony makes 3-pt jump shot from 24 ft (assist by H. Whiteside),23,29
66,1,3:15.0,R. Hachimura misses 2-pt jump shot from 21 ft,,23,29
67,1,3:12.0,,Defensive rebound by H. Whiteside,23,29
68,1,3:06.0,,D. Lillard misses 2-pt jump shot from 9 ft,23,29
69,1,3:04.0,Defensive rebound by T. Brown,,23,29
70,1,2:59.0,Turnover by T. Brown (lost ball; steal by D. Lillard),,23,29
71,1,2:58.0,,Personal take foul by M. Wagner (drawn by D. Lillard),23,29
72,1,2:58.0,,Portland full timeout,23,29
73,1,2:58.0,D. Bertāns enters the game for R. Hachimura,,23,29
74,1,2:58.0,I. Bonga enters the game for S. Napier,,23,29
75,1,2:58.0,,C. McCollum enters the game for D. Lillard,23,29
76,1,2:52.0,,C. Anthony makes 2-pt dunk from 1 ft (assist by T. Ariza),23,31
77,1,2:34.0,D. Bertāns misses 3-pt jump shot from 26 ft,,23,31
78,1,2:33.0,,Defensive rebound by Team,23,31
79,1,2:33.0,Loose ball foul by M. Wagner (drawn by C. McCollum),,23,31
80,1,2:33.0,,C. McCollum makes free throw 1 of 2,23,32
81,1,2:33.0,A. Pasečņiks enters the game for M. Wagner,,23,32
82,1,2:33.0,,C. McCollum misses free throw 2 of 2,23,32
