,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,DENVER_ACTION,MEMPHIS_SCORE,DENVER_SCORE
0,1,11:46.0,,Personal foul by J. Valančiūnas (drawn by N. Jokić),0,0
1,1,11:36.0,,N. Jokić makes 2-pt hook shot from 11 ft,0,2
2,1,11:18.0,Turnover by D. Brooks (lost ball; steal by M. Plumlee),,0,2
3,1,11:10.0,,N. Jokić misses 3-pt jump shot from 25 ft,0,2
4,1,11:06.0,Defensive rebound by J. Valančiūnas,,0,2
5,1,10:56.0,Turnover by J. Crowder (out of bounds lost ball),,0,2
6,1,10:35.0,,M. Plumlee makes 2-pt hook shot from 5 ft (assist by W. Barton),0,4
7,1,10:16.0,J. Jackson makes 3-pt jump shot from 23 ft (assist by J. Crowder),,3,4
8,1,10:00.0,,N. Jokić makes 2-pt layup from 1 ft (assist by G. Harris),3,6
9,1,9:47.0,Turnover by J. Crowder (out of bounds lost ball),,3,6
10,1,9:34.0,,G. Harris misses 2-pt jump shot from 18 ft (block by J. Morant),3,6
11,1,9:33.0,,Offensive rebound by Team,3,6
12,1,9:26.0,,J. Murray misses 2-pt jump shot from 9 ft,3,6
13,1,9:22.0,Defensive rebound by J. Jackson,,3,6
14,1,9:17.0,D. Brooks misses 2-pt layup from 3 ft,,3,6
15,1,9:14.0,Offensive rebound by D. Brooks,,3,6
16,1,9:06.0,J. Valančiūnas misses 2-pt hook shot from 8 ft,,3,6
17,1,9:03.0,,Defensive rebound by J. Murray,3,6
18,1,8:57.0,,W. Barton misses 3-pt jump shot from 25 ft,3,6
19,1,8:55.0,Defensive rebound by J. Morant,,3,6
20,1,8:52.0,Turnover by D. Brooks (lost ball; steal by W. Barton),,3,6
21,1,8:49.0,,W. Barton makes 2-pt dunk from 1 ft,3,8
22,1,8:33.0,J. Morant misses 2-pt jump shot from 12 ft,,3,8
23,1,8:30.0,,Defensive rebound by W. Barton,3,8
24,1,8:24.0,,W. Barton misses 2-pt layup from 1 ft,3,8
25,1,8:24.0,,Offensive rebound by M. Plumlee,3,8
26,1,8:24.0,,M. Plumlee makes 2-pt dunk from 1 ft,3,10
27,1,8:24.0,Memphis full timeout,,3,10
28,1,8:01.0,Turnover by J. Valančiūnas (out of bounds lost ball),,3,10
29,1,7:53.0,,Turnover by N. Jokić (bad pass),3,10
30,1,7:41.0,D. Brooks misses 2-pt jump shot from 17 ft,,3,10
31,1,7:37.0,,Defensive rebound by W. Barton,3,10
32,1,7:21.0,,G. Harris misses 2-pt hook shot from 4 ft,3,10
33,1,7:20.0,Defensive rebound by J. Valančiūnas,,3,10
34,1,7:08.0,J. Jackson misses 3-pt jump shot from 22 ft,,3,10
35,1,7:04.0,,Defensive rebound by G. Harris,3,10
36,1,6:58.0,,W. Barton misses 2-pt jump shot from 6 ft,3,10
37,1,6:54.0,Defensive rebound by J. Valančiūnas,,3,10
38,1,6:51.0,J. Crowder misses 3-pt jump shot from 23 ft,,3,10
39,1,6:48.0,,Defensive rebound by N. Jokić,3,10
40,1,6:34.0,,J. Murray misses 3-pt jump shot from 24 ft,3,10
41,1,6:32.0,Defensive rebound by J. Crowder,,3,10
42,1,6:20.0,J. Jackson makes 2-pt layup from 1 ft (assist by J. Morant),,5,10
43,1,6:05.0,,N. Jokić makes 2-pt jump shot from 18 ft (assist by W. Barton),5,12
44,1,5:51.0,Shooting foul by G. Harris (drawn by J. Jackson),,5,12
45,1,5:51.0,J. Jackson misses free throw 1 of 2,,5,12
46,1,5:51.0,Offensive rebound by Team,,5,12
47,1,5:51.0,B. Clarke enters the game for J. Morant,,5,12
48,1,5:51.0,T. Jones enters the game for J. Valančiūnas,,5,12
49,1,5:51.0,,J. Grant enters the game for M. Plumlee,5,12
50,1,5:51.0,J. Jackson makes free throw 2 of 2,,6,12
51,1,5:39.0,,N. Jokić makes 3-pt jump shot from 25 ft (assist by J. Murray),6,15
52,1,5:24.0,J. Jackson misses 3-pt jump shot from 27 ft,,6,15
53,1,5:20.0,,Defensive rebound by W. Barton,6,15
54,1,5:17.0,,Personal foul by J. Jackson (drawn by N. Jokić),6,15
55,1,5:17.0,K. Anderson enters the game for D. Brooks,,6,15
56,1,5:17.0,D. Melton enters the game for J. Crowder,,6,15
57,1,5:17.0,,M. Porter enters the game for G. Harris,6,15
58,1,5:12.0,,J. Murray misses 2-pt jump shot from 20 ft,6,15
59,1,5:09.0,,Offensive rebound by J. Murray,6,15
60,1,4:58.0,,N. Jokić makes 2-pt layup from 1 ft,6,17
61,1,4:44.0,T. Jones makes 2-pt layup from 1 ft (assist by K. Anderson),,8,17
62,1,4:30.0,,M. Porter misses 2-pt jump shot from 19 ft,8,17
63,1,4:27.0,Defensive rebound by B. Clarke,,8,17
64,1,4:23.0,J. Jackson misses 3-pt jump shot from 27 ft,,8,17
65,1,4:20.0,,Defensive rebound by N. Jokić,8,17
66,1,4:13.0,,N. Jokić makes 3-pt jump shot from 24 ft,8,20
67,1,3:54.0,D. Melton misses 3-pt jump shot from 24 ft,,8,20
68,1,3:52.0,,Defensive rebound by J. Murray,8,20
69,1,3:38.0,,J. Murray makes 2-pt layup from 1 ft (assist by N. Jokić),8,22
70,1,3:38.0,Memphis full timeout,,8,22
71,1,3:38.0,S. Hill enters the game for J. Jackson,,8,22
72,1,3:17.0,Shooting foul by W. Barton (drawn by D. Melton),,8,22
73,1,3:17.0,D. Melton makes free throw 1 of 2,,9,22
74,1,3:17.0,D. Melton makes free throw 2 of 2,,10,22
75,1,3:04.0,,N. Jokić misses 2-pt jump shot from 20 ft,10,22
76,1,3:03.0,,Offensive rebound by Team,10,22
77,1,3:03.0,Loose ball foul by D. Melton (drawn by J. Murray),,10,22
78,1,3:03.0,,G. Harris enters the game for W. Barton,10,22
79,1,3:03.0,,M. Morris enters the game for N. Jokić,10,22
80,1,3:03.0,,M. Plumlee enters the game for J. Murray,10,22
81,1,2:55.0,,J. Grant misses 2-pt jump shot from 9 ft,10,22
82,1,2:53.0,Defensive rebound by D. Melton,,10,22
83,1,2:44.0,Personal foul by M. Plumlee (drawn by D. Melton),,10,22
84,1,2:31.0,Turnover by D. Melton (lost ball; steal by M. Porter),,10,22
85,1,2:31.0,,Personal foul by D. Melton (drawn by M. Porter),10,22
86,1,2:31.0,G. Allen enters the game for D. Melton,,10,22
87,1,2:20.0,,M. Plumlee makes 2-pt layup at rim (assist by M. Morris),10,24
88,1,2:04.0,T. Jones misses 2-pt jump shot from 16 ft,,10,24
89,1,2:01.0,,Defensive rebound by M. Porter,10,24
90,1,1:48.0,,G. Harris misses 3-pt jump shot from 22 ft,10,24
91,1,1:44.0,Defensive rebound by B. Clarke,,10,24
92,1,1:35.0,B. Clarke misses 2-pt hook shot from 4 ft,,10,24
93,1,1:34.0,,Defensive rebound by J. Grant,10,24
94,1,1:24.0,,Turnover by M. Plumlee (bad pass; steal by T. Jones),10,24
95,1,1:19.0,Shooting foul by M. Plumlee (drawn by B. Clarke),,10,24
96,1,1:19.0,B. Clarke misses free throw 1 of 2,,10,24
97,1,1:19.0,Offensive rebound by Team,,10,24
98,1,1:19.0,J. Morant enters the game for T. Jones,,10,24
99,1,1:19.0,,J. Hernangómez enters the game for M. Plumlee,10,24
100,1,1:19.0,B. Clarke makes free throw 2 of 2,,11,24
101,1,1:00.0,,G. Harris makes 2-pt layup from 3 ft,11,26
102,1,0:49.0,Turnover by J. Morant (traveling),,11,26
103,1,0:35.0,,J. Grant misses 2-pt jump shot from 5 ft,11,26
104,1,0:33.0,Defensive rebound by G. Allen,,11,26
105,1,0:13.0,G. Allen misses 2-pt layup from 2 ft (block by G. Harris),,11,26
106,1,0:11.0,,Defensive rebound by J. Hernangómez,11,26
107,1,0:03.0,,G. Harris misses 2-pt jump shot from 3 ft,11,26
108,1,0:01.0,Defensive rebound by K. Anderson,,11,26
109,2,11:48.0,Turnover by G. Allen (bad pass; steal by M. Porter),,11,26
110,2,11:31.0,,M. Porter makes 3-pt jump shot from 25 ft (assist by J. Hernangómez),11,29
111,2,11:12.0,J. Valančiūnas misses 2-pt jump shot from 7 ft (block by M. Porter),,11,29
112,2,11:10.0,,Defensive rebound by N. Jokić,11,29
113,2,11:03.0,,G. Harris makes 2-pt layup from 2 ft (assist by J. Hernangómez),11,31
114,2,10:48.0,G. Allen misses 3-pt jump shot from 27 ft,,11,31
115,2,10:46.0,,Defensive rebound by M. Morris,11,31
116,2,10:36.0,,Turnover by M. Porter (off goaltending),11,31
117,2,10:36.0,D. Brooks enters the game for K. Anderson,,11,31
118,2,10:20.0,D. Brooks misses 3-pt jump shot from 24 ft,,11,31
119,2,10:17.0,,Defensive rebound by M. Morris,11,31
120,2,10:05.0,,Turnover by G. Harris (traveling),11,31
121,2,9:52.0,J. Morant makes 2-pt layup from 2 ft,,13,31
122,2,9:38.0,,J. Hernangómez misses 3-pt jump shot from 26 ft,13,31
123,2,9:35.0,,Offensive rebound by M. Porter,13,31
124,2,9:32.0,,G. Harris misses 3-pt jump shot from 25 ft,13,31
125,2,9:28.0,Defensive rebound by S. Hill,,13,31
126,2,9:19.0,S. Hill misses 2-pt layup from 3 ft,,13,31
127,2,9:17.0,,Defensive rebound by N. Jokić,13,31
128,2,9:11.0,,M. Porter misses 3-pt jump shot from 25 ft,13,31
129,2,9:07.0,,Offensive rebound by J. Hernangómez,13,31
130,2,9:06.0,,M. Morris misses 3-pt jump shot from 25 ft,13,31
131,2,9:03.0,Defensive rebound by G. Allen,,13,31
132,2,8:56.0,Personal foul by N. Jokić (drawn by J. Valančiūnas),,13,31
133,2,8:56.0,,M. Beasley enters the game for G. Harris,13,31
134,2,8:41.0,J. Valančiūnas misses 2-pt jump shot from 5 ft,,13,31
135,2,8:39.0,,Defensive rebound by M. Porter,13,31
136,2,8:34.0,,M. Porter makes 3-pt jump shot from 25 ft,13,34
137,2,8:33.0,Memphis full timeout,,13,34
138,2,8:33.0,J. Crowder enters the game for G. Allen,,13,34
139,2,8:33.0,J. Jackson enters the game for S. Hill,,13,34
140,2,8:33.0,,M. Plumlee enters the game for N. Jokić,13,34
141,2,8:20.0,Shooting foul by M. Plumlee (drawn by J. Jackson),,13,34
142,2,8:20.0,J. Jackson makes free throw 1 of 2,,14,34
143,2,8:20.0,J. Jackson makes free throw 2 of 2,,15,34
144,2,8:12.0,,Offensive foul by M. Beasley (drawn by D. Brooks),15,34
145,2,8:12.0,,Turnover by M. Beasley (offensive foul),15,34
146,2,8:04.0,Turnover by J. Valančiūnas (off goaltending),,15,34
147,2,7:49.0,,M. Porter misses 3-pt jump shot from 24 ft,15,34
148,2,7:44.0,Defensive rebound by J. Valančiūnas,,15,34
149,2,7:33.0,J. Morant misses 2-pt layup from 3 ft,,15,34
150,2,7:29.0,Offensive rebound by D. Brooks,,15,34
151,2,7:29.0,D. Brooks misses 2-pt layup at rim,,15,34
152,2,7:28.0,,Defensive rebound by M. Plumlee,15,34
153,2,7:26.0,,M. Porter makes 2-pt layup from 2 ft (assist by M. Beasley),15,36
154,2,7:03.0,D. Brooks makes 2-pt jump shot from 12 ft (assist by J. Morant),,17,36
155,2,6:48.0,,M. Plumlee misses 2-pt layup from 1 ft,17,36
156,2,6:45.0,Defensive rebound by J. Valančiūnas,,17,36
157,2,6:38.0,J. Jackson misses 2-pt layup from 2 ft,,17,36
158,2,6:36.0,,Defensive rebound by M. Plumlee,17,36
159,2,6:36.0,,Personal foul by D. Brooks (drawn by M. Morris),17,36
160,2,6:36.0,,W. Barton enters the game for M. Beasley,17,36
161,2,6:36.0,,J. Grant enters the game for M. Plumlee,17,36
