,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,DETROIT_ACTION,OKLAHOMA CITY_SCORE,DETROIT_SCORE
0,1,11:38.0,S. Gilgeous-Alexander makes 3-pt jump shot from 26 ft,,3,0
1,1,11:24.0,,Turnover by B. Knight (bad pass; steal by C. Paul),3,0
2,1,11:19.0,C. Paul makes 2-pt layup from 3 ft,,5,0
3,1,11:03.0,,J. Henson misses 2-pt layup from 4 ft (block by S. Gilgeous-Alexander),5,0
4,1,11:01.0,Defensive rebound by Team,,5,0
5,1,10:41.0,D. Gallinari misses 3-pt jump shot from 26 ft,,5,0
6,1,10:39.0,,Defensive rebound by J. Henson,5,0
7,1,10:27.0,,C. Wood makes 3-pt jump shot from 25 ft (assist by S. Mykhailiuk),5,3
8,1,10:02.0,Turnover by C. Paul (bad pass),,5,3
9,1,9:48.0,,Turnover by C. Wood (lost ball; steal by D. Gallinari),5,3
10,1,9:40.0,D. Gallinari misses 2-pt layup from 3 ft,,5,3
11,1,9:38.0,,Defensive rebound by J. Henson,5,3
12,1,9:29.0,,B. Knight misses 2-pt jump shot from 7 ft,5,3
13,1,9:27.0,Defensive rebound by L. Dort,,5,3
14,1,9:23.0,Personal foul by C. Wood (drawn by S. Gilgeous-Alexander),,5,3
15,1,9:14.0,C. Paul makes 2-pt layup from 2 ft (assist by D. Gallinari),,7,3
16,1,9:03.0,,S. Mykhailiuk misses 2-pt layup from 3 ft,7,3
17,1,8:58.0,,Offensive rebound by J. Henson,7,3
18,1,8:58.0,,J. Henson makes 2-pt layup at rim,7,5
19,1,8:49.0,S. Gilgeous-Alexander makes 2-pt layup from 4 ft,,9,5
20,1,8:35.0,,S. Mykhailiuk misses 3-pt jump shot from 26 ft,9,5
21,1,8:33.0,Defensive rebound by L. Dort,,9,5
22,1,8:24.0,C. Paul makes 2-pt jump shot from 18 ft,,11,5
23,1,8:16.0,,Personal foul by L. Dort (drawn by B. Knight),11,5
24,1,8:09.0,,S. Mykhailiuk makes 3-pt jump shot from 26 ft (assist by T. Snell),11,8
25,1,7:58.0,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft,,11,8
26,1,7:56.0,,Defensive rebound by C. Wood,11,8
27,1,7:41.0,,B. Knight makes 3-pt jump shot from 26 ft,11,11
28,1,7:24.0,D. Gallinari misses 3-pt jump shot from 23 ft,,11,11
29,1,7:22.0,,Defensive rebound by J. Henson,11,11
30,1,7:14.0,,J. Henson makes 2-pt layup from 3 ft (assist by T. Snell),11,13
31,1,6:58.0,S. Gilgeous-Alexander makes 3-pt jump shot from 25 ft,,14,13
32,1,6:46.0,,C. Wood makes 3-pt jump shot from 27 ft (assist by B. Knight),14,16
33,1,6:35.0,S. Gilgeous-Alexander makes 2-pt layup from 2 ft,,16,16
34,1,6:25.0,,B. Knight misses 3-pt jump shot from 27 ft,16,16
35,1,6:23.0,,Offensive rebound by C. Wood,16,16
36,1,6:15.0,,Turnover by C. Wood (bad pass; steal by C. Paul),16,16
37,1,6:04.0,L. Dort makes 3-pt jump shot from 24 ft (assist by C. Paul),,19,16
38,1,5:56.0,,Detroit full timeout,19,16
39,1,5:56.0,N. Noel enters the game for S. Adams,,19,16
40,1,5:44.0,,J. Henson makes 2-pt hook shot from 6 ft (assist by T. Snell),19,18
41,1,5:29.0,Turnover by C. Paul (lost ball; steal by T. Snell),,19,18
42,1,5:22.0,,S. Mykhailiuk makes 2-pt layup from 3 ft (assist by B. Knight),19,20
43,1,5:07.0,L. Dort misses 3-pt jump shot from 25 ft,,19,20
