,QUARTER,TIME_REMAINING,PORTLAND_ACTION,NEW ORLEANS_ACTION,PORTLAND_SCORE,NEW ORLEANS_SCORE
0,1,11:48.0,Turnover by H. Whiteside (bad pass; steal by K. Williams),,0,0
1,1,11:39.0,,J. Redick misses 3-pt jump shot from 26 ft,0,0
2,1,11:38.0,,Offensive rebound by K. Williams,0,0
3,1,11:28.0,,J. Holiday makes 2-pt jump shot from 16 ft,0,2
4,1,11:13.0,C. Anthony misses 2-pt jump shot from 19 ft,,0,2
5,1,11:08.0,,Defensive rebound by B. Ingram,0,2
6,1,11:05.0,,Shooting foul by H. Whiteside (drawn by B. Ingram),0,2
7,1,11:05.0,,B. Ingram makes free throw 1 of 2,0,3
8,1,11:05.0,,B. Ingram makes free throw 2 of 2,0,4
9,1,10:50.0,C. Anthony makes 3-pt jump shot from 26 ft (assist by C. McCollum),,3,4
10,1,10:38.0,,J. Holiday misses 2-pt jump shot from 7 ft (block by C. McCollum),3,4
11,1,10:37.0,,Offensive rebound by J. Holiday,3,4
12,1,10:32.0,,J. Hayes misses 2-pt layup from 2 ft (block by C. Anthony),3,4
13,1,10:32.0,Defensive rebound by C. Anthony,,3,4
14,1,10:24.0,C. McCollum makes 3-pt jump shot from 26 ft (assist by R. Hood),,6,4
15,1,10:11.0,,Shooting foul by C. Anthony (drawn by B. Ingram),6,4
16,1,10:11.0,,B. Ingram makes free throw 1 of 2,6,5
17,1,10:11.0,,B. Ingram makes free throw 2 of 2,6,6
18,1,10:00.0,C. McCollum misses 3-pt jump shot from 25 ft,,6,6
19,1,9:56.0,,Defensive rebound by J. Hayes,6,6
20,1,9:37.0,,Turnover by J. Holiday (step out of bounds),6,6
21,1,9:37.0,,Instant Replay (Request: Ruling Stands),6,6
22,1,9:21.0,Turnover by H. Whiteside (bad pass),,6,6
23,1,9:08.0,,J. Holiday misses 3-pt jump shot from 25 ft,6,6
24,1,9:04.0,Defensive rebound by R. Hood,,6,6
25,1,9:02.0,R. Hood misses 2-pt layup from 2 ft (block by J. Hayes),,6,6
26,1,8:59.0,,Defensive rebound by J. Holiday,6,6
27,1,8:55.0,,J. Redick makes 2-pt jump shot from 22 ft (assist by J. Holiday),6,8
28,1,8:35.0,Turnover by C. Anthony (bad pass; steal by J. Hayes),,6,8
29,1,8:28.0,,B. Ingram misses 2-pt jump shot from 22 ft,6,8
30,1,8:24.0,,Offensive rebound by K. Williams,6,8
31,1,8:22.0,,J. Redick misses 3-pt jump shot from 23 ft,6,8
32,1,8:20.0,Defensive rebound by H. Whiteside,,6,8
33,1,8:10.0,Turnover by R. Hood (bad pass; steal by B. Ingram),,6,8
34,1,8:06.0,,B. Ingram makes 2-pt dunk at rim,6,10
35,1,8:06.0,Portland full timeout,,6,10
36,1,8:06.0,Def 3 sec tech foul by Team,,6,10
37,1,8:06.0,C. McCollum misses technical free throw,,6,10
38,1,8:06.0,Offensive rebound by Team,,6,10
39,1,7:46.0,C. Anthony makes 2-pt jump shot from 12 ft,,8,10
40,1,7:23.0,,K. Williams makes 3-pt jump shot from 24 ft (assist by B. Ingram),8,13
41,1,7:08.0,C. McCollum misses 2-pt jump shot from 7 ft,,8,13
42,1,7:06.0,,Defensive rebound by K. Williams,8,13
43,1,7:01.0,,J. Holiday misses 3-pt jump shot from 25 ft,8,13
44,1,6:58.0,Defensive rebound by A. Simons,,8,13
45,1,6:49.0,A. Simons misses 2-pt jump shot from 9 ft,,8,13
46,1,6:47.0,,Defensive rebound by J. Hayes,8,13
47,1,6:39.0,,Turnover by B. Ingram (bad pass),8,13
48,1,6:39.0,,Loose ball foul by J. Holiday (drawn by R. Hood),8,13
49,1,6:25.0,C. Anthony misses 2-pt jump shot from 16 ft,,8,13
50,1,6:24.0,Offensive rebound by H. Whiteside,,8,13
51,1,6:24.0,Shooting foul by J. Hayes (drawn by H. Whiteside),,8,13
52,1,6:24.0,H. Whiteside makes free throw 1 of 2,,9,13
53,1,6:24.0,H. Whiteside makes free throw 2 of 2,,10,13
54,1,6:10.0,,Shooting foul by A. Simons (drawn by J. Redick),10,13
55,1,6:10.0,,J. Redick makes free throw 1 of 2,10,14
56,1,6:10.0,K. Bazemore enters the game for C. Anthony,,10,14
57,1,6:10.0,N. Little enters the game for A. Simons,,10,14
58,1,6:10.0,,J. Redick makes free throw 2 of 2,10,15
59,1,5:53.0,H. Whiteside makes 2-pt layup from 4 ft (assist by K. Bazemore),,12,15
60,1,5:39.0,,J. Holiday misses 2-pt layup from 2 ft,12,15
61,1,5:37.0,,Offensive rebound by J. Hayes,12,15
62,1,5:37.0,,J. Hayes makes 2-pt dunk at rim,12,17
63,1,5:37.0,,N. Alexander-Walker enters the game for J. Hayes,12,17
64,1,5:37.0,,N. Melli enters the game for B. Ingram,12,17
65,1,5:09.0,C. McCollum misses 2-pt layup from 2 ft,,12,17
66,1,5:04.0,Offensive rebound by N. Little,,12,17
67,1,5:04.0,N. Little makes 2-pt dunk from 1 ft,,14,17
68,1,4:57.0,,Turnover by K. Williams (bad pass),14,17
69,1,4:46.0,H. Whiteside misses 2-pt layup from 2 ft,,14,17
70,1,4:44.0,,Defensive rebound by K. Williams,14,17
71,1,4:39.0,,Turnover by J. Holiday (lost ball; steal by C. McCollum),14,17
72,1,4:35.0,N. Little makes 2-pt dunk from 1 ft (assist by C. McCollum),,16,17
73,1,4:20.0,,N. Alexander-Walker misses 2-pt jump shot from 9 ft,16,17
74,1,4:18.0,Defensive rebound by N. Little,,16,17
75,1,4:03.0,R. Hood misses 2-pt hook shot from 10 ft,,16,17
