,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MEMPHIS_ACTION,SAN ANTONIO_SCORE,MEMPHIS_SCORE
0,1,11:41.0,,D. Brooks misses 3-pt jump shot from 25 ft,0,0
1,1,11:38.0,,Offensive rebound by J. Jackson,0,0
2,1,11:30.0,,J. Valančiūnas makes 2-pt layup from 2 ft (assist by J. Morant),0,2
3,1,11:30.0,,Shooting foul by T. Lyles (drawn by J. Valančiūnas),0,2
4,1,11:30.0,,J. Valančiūnas makes free throw 1 of 1,0,3
5,1,11:15.0,D. DeRozan makes 2-pt jump shot from 9 ft (assist by D. Murray),,2,3
6,1,10:59.0,,D. Brooks misses 2-pt jump shot from 9 ft,2,3
7,1,10:55.0,Defensive rebound by L. Aldridge,,2,3
8,1,10:48.0,D. DeRozan makes 2-pt jump shot from 12 ft (assist by L. Aldridge),,4,3
9,1,10:26.0,,J. Morant misses 3-pt jump shot from 23 ft,4,3
10,1,10:23.0,Defensive rebound by T. Lyles,,4,3
11,1,10:15.0,T. Lyles misses 3-pt jump shot from 26 ft,,4,3
12,1,10:11.0,,Defensive rebound by J. Crowder,4,3
13,1,10:07.0,,D. Brooks misses 3-pt jump shot from 23 ft,4,3
14,1,10:04.0,Defensive rebound by B. Forbes,,4,3
15,1,9:56.0,D. DeRozan makes 2-pt jump shot from 11 ft,,6,3
16,1,9:38.0,,J. Valančiūnas makes 3-pt jump shot from 27 ft (assist by J. Morant),6,6
17,1,9:23.0,Turnover by B. Forbes (lost ball; steal by D. Brooks),,6,6
18,1,9:13.0,,J. Jackson makes 3-pt jump shot from 26 ft (assist by J. Morant),6,9
19,1,8:57.0,L. Aldridge misses 2-pt jump shot from 22 ft,,6,9
20,1,8:54.0,,Defensive rebound by J. Crowder,6,9
21,1,8:46.0,,J. Crowder misses 3-pt jump shot from 26 ft,6,9
22,1,8:44.0,Defensive rebound by D. DeRozan,,6,9
23,1,8:36.0,T. Lyles makes 2-pt jump shot from 14 ft (assist by D. DeRozan),,8,9
24,1,8:24.0,,J. Morant makes 2-pt jump shot from 8 ft (assist by D. Brooks),8,11
25,1,8:08.0,L. Aldridge makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,11,11
26,1,7:52.0,,J. Crowder misses 3-pt jump shot from 26 ft,11,11
27,1,7:49.0,,Offensive rebound by D. Brooks,11,11
28,1,7:48.0,,J. Jackson makes 3-pt jump shot from 26 ft (assist by D. Brooks),11,14
29,1,7:30.0,L. Aldridge makes 2-pt jump shot from 19 ft (assist by D. Murray),,13,14
30,1,7:12.0,,D. Brooks misses 3-pt jump shot from 24 ft,13,14
31,1,7:10.0,Defensive rebound by L. Aldridge,,13,14
32,1,7:03.0,L. Aldridge misses 3-pt jump shot from 25 ft,,13,14
33,1,7:00.0,,Defensive rebound by J. Valančiūnas,13,14
34,1,6:52.0,,Shooting foul by D. Murray (drawn by J. Valančiūnas),13,14
35,1,6:52.0,,Memphis full timeout,13,14
36,1,6:52.0,,J. Valančiūnas makes free throw 1 of 2,13,15
37,1,6:52.0,,J. Valančiūnas makes free throw 2 of 2,13,16
38,1,6:34.0,L. Aldridge makes 2-pt jump shot from 11 ft,,15,16
39,1,6:23.0,,J. Morant misses 2-pt jump shot from 16 ft,15,16
40,1,6:18.0,,Offensive rebound by J. Morant,15,16
41,1,6:08.0,,D. Brooks makes 3-pt jump shot from 27 ft (assist by J. Morant),15,19
42,1,5:56.0,B. Forbes makes 3-pt jump shot from 25 ft (assist by T. Lyles),,18,19
43,1,5:43.0,,D. Brooks makes 2-pt jump shot from 15 ft (assist by J. Valančiūnas),18,21
44,1,5:27.0,D. Murray makes 2-pt jump shot from 17 ft (assist by T. Lyles),,20,21
45,1,5:12.0,,J. Morant misses 2-pt jump shot from 7 ft,20,21
46,1,5:10.0,Defensive rebound by L. Aldridge,,20,21
47,1,5:01.0,B. Forbes misses 3-pt jump shot from 26 ft,,20,21
48,1,4:57.0,,Defensive rebound by J. Valančiūnas,20,21
49,1,4:51.0,,D. Brooks misses 2-pt layup from 3 ft (block by L. Aldridge),20,21
50,1,4:48.0,,Offensive rebound by D. Brooks,20,21
51,1,4:48.0,,Turnover by J. Jackson (step out of bounds),20,21
52,1,4:48.0,R. Gay enters the game for B. Forbes,,20,21
53,1,4:48.0,P. Mills enters the game for T. Lyles,,20,21
54,1,4:48.0,D. White enters the game for D. Murray,,20,21
55,1,4:48.0,,B. Clarke enters the game for D. Brooks,20,21
56,1,4:48.0,,T. Jones enters the game for J. Morant,20,21
57,1,4:48.0,,D. Melton enters the game for J. Valančiūnas,20,21
58,1,4:36.0,D. DeRozan misses 2-pt jump shot from 14 ft,,20,21
59,1,4:34.0,,Defensive rebound by J. Crowder,20,21
60,1,4:29.0,,Personal foul by D. DeRozan (drawn by J. Crowder),20,21
61,1,4:29.0,,K. Anderson enters the game for J. Crowder,20,21
62,1,4:20.0,,B. Clarke misses 2-pt jump shot from 12 ft,20,21
63,1,4:17.0,Defensive rebound by L. Aldridge,,20,21
64,1,4:12.0,R. Gay makes 2-pt jump shot from 17 ft (assist by D. DeRozan),,22,21
