,QUARTER,TIME_REMAINING,NEW YORK_ACTION,WASHINGTON_ACTION,NEW YORK_SCORE,WASHINGTON_SCORE
0,1,11:40.0,Turnover by J. Randle (lost ball; steal by I. Thomas),,0,0
1,1,11:34.0,,Turnover by G. Payton (traveling),0,0
2,1,11:18.0,R. Barrett misses 2-pt jump shot from 19 ft,,0,0
3,1,11:15.0,,Defensive rebound by T. Brown,0,0
4,1,11:09.0,,T. Brown misses 2-pt jump shot from 15 ft,0,0
5,1,11:07.0,,Offensive rebound by Team,0,0
6,1,11:01.0,,I. Mahinmi misses 2-pt hook shot from 7 ft,0,0
7,1,10:58.0,,Offensive rebound by I. Mahinmi,0,0
8,1,10:57.0,,I. Mahinmi misses 2-pt hook shot from 9 ft,0,0
9,1,10:55.0,Defensive rebound by J. Randle,,0,0
10,1,10:49.0,Turnover by E. Payton (bad pass; steal by T. Brown),,0,0
11,1,10:44.0,,G. Payton makes 2-pt layup from 1 ft (assist by T. Brown),0,2
12,1,10:29.0,J. Randle makes 3-pt jump shot from 24 ft (assist by E. Payton),,3,2
13,1,10:13.0,,I. Thomas misses 2-pt jump shot from 17 ft,3,2
14,1,10:10.0,Defensive rebound by T. Gibson,,3,2
15,1,10:01.0,Turnover by J. Randle (lost ball; steal by G. Payton),,3,2
16,1,9:57.0,,G. Payton makes 2-pt layup from 1 ft,3,4
17,1,9:46.0,Turnover by E. Payton (bad pass),,3,4
18,1,9:23.0,,I. Thomas misses 2-pt jump shot from 20 ft,3,4
19,1,9:21.0,,Offensive rebound by J. Williams,3,4
20,1,9:21.0,,Shooting foul by J. Randle (drawn by J. Williams),3,4
21,1,9:21.0,,J. Williams makes free throw 1 of 2,3,5
22,1,9:21.0,,J. Williams makes free throw 2 of 2,3,6
23,1,9:18.0,New York full timeout,,3,6
24,1,9:09.0,J. Randle makes 2-pt jump shot from 16 ft,,5,6
25,1,8:51.0,,T. Brown misses 2-pt jump shot from 13 ft,5,6
26,1,8:48.0,Defensive rebound by J. Randle,,5,6
27,1,8:32.0,J. Randle misses 3-pt jump shot from 27 ft,,5,6
28,1,8:30.0,,Defensive rebound by Team,5,6
29,1,8:30.0,Loose ball foul by T. Gibson (drawn by I. Mahinmi),,5,6
30,1,8:17.0,,G. Payton makes 2-pt jump shot from 16 ft (assist by J. Williams),5,8
31,1,7:58.0,R. Barrett misses 3-pt jump shot from 28 ft,,5,8
32,1,7:56.0,,Defensive rebound by I. Mahinmi,5,8
33,1,7:46.0,,I. Thomas misses 2-pt jump shot from 15 ft,5,8
34,1,7:42.0,Defensive rebound by J. Randle,,5,8
35,1,7:33.0,T. Gibson makes 2-pt layup from 2 ft (assist by J. Randle),,7,8
36,1,7:18.0,,Turnover by I. Mahinmi (traveling),7,8
37,1,7:04.0,E. Payton misses 3-pt jump shot from 25 ft,,7,8
38,1,7:01.0,,Defensive rebound by G. Payton,7,8
39,1,6:57.0,,I. Thomas misses 2-pt jump shot from 18 ft,7,8
40,1,6:57.0,Defensive rebound by Team,,7,8
41,1,6:41.0,E. Payton misses 2-pt layup from 11 ft (block by I. Mahinmi),,7,8
42,1,6:40.0,Offensive rebound by Team,,7,8
43,1,6:40.0,D. Dotson enters the game for R. Barrett,,7,8
44,1,6:40.0,M. Robinson enters the game for T. Gibson,,7,8
45,1,6:34.0,M. Robinson makes 2-pt layup from 9 ft (assist by E. Payton),,9,8
46,1,6:22.0,,Personal foul by M. Morris (drawn by T. Brown),9,8
47,1,6:15.0,,I. Mahinmi makes 2-pt layup from 6 ft (assist by J. Williams),9,10
48,1,6:15.0,,Shooting foul by M. Robinson (drawn by I. Mahinmi),9,10
49,1,6:15.0,,J. McRae enters the game for G. Payton,9,10
50,1,6:15.0,,I. Mahinmi misses free throw 1 of 1,9,10
51,1,6:12.0,Defensive rebound by M. Morris,,9,10
52,1,5:54.0,J. Randle misses 2-pt jump shot from 14 ft,,9,10
53,1,5:51.0,,Defensive rebound by J. Williams,9,10
54,1,5:45.0,,I. Thomas makes 2-pt jump shot from 11 ft,9,12
55,1,5:35.0,E. Payton makes 2-pt layup from 8 ft,,11,12
56,1,5:23.0,,J. McRae misses 2-pt jump shot from 16 ft,11,12
57,1,5:21.0,Defensive rebound by M. Robinson,,11,12
58,1,5:10.0,M. Robinson makes 2-pt dunk from 8 ft (assist by M. Morris),,13,12
59,1,5:10.0,,Washington full timeout,13,12
60,1,5:10.0,,I. Bonga enters the game for J. Williams,13,12
61,1,4:55.0,,T. Brown misses 2-pt layup from 9 ft (block by E. Payton),13,12
62,1,4:53.0,Defensive rebound by E. Payton,,13,12
63,1,4:50.0,M. Morris misses 3-pt jump shot from 27 ft,,13,12
64,1,4:47.0,,Defensive rebound by J. McRae,13,12
65,1,4:46.0,,I. Bonga makes 2-pt dunk from 7 ft (assist by J. McRae),13,14
66,1,4:27.0,M. Morris misses 2-pt jump shot from 16 ft,,13,14
67,1,4:25.0,,Defensive rebound by I. Thomas,13,14
68,1,4:18.0,,T. Brown makes 2-pt layup from 2 ft (assist by I. Thomas),13,16
69,1,4:18.0,,Shooting foul by M. Robinson (drawn by T. Brown),13,16
70,1,4:18.0,B. Portis enters the game for M. Robinson,,13,16
71,1,4:18.0,,I. Smith enters the game for I. Thomas,13,16
72,1,4:18.0,,T. Brown makes free throw 1 of 1,13,17
73,1,4:03.0,J. Randle misses 2-pt layup from 7 ft,,13,17
74,1,4:01.0,Offensive rebound by J. Randle,,13,17
75,1,4:01.0,Shooting foul by T. Brown (drawn by J. Randle),,13,17
76,1,4:01.0,J. Randle makes free throw 1 of 2,,14,17
77,1,4:01.0,F. Ntilikina enters the game for E. Payton,,14,17
78,1,4:01.0,,G. Mathews enters the game for T. Brown,14,17
79,1,4:01.0,,A. Pasečņiks enters the game for I. Mahinmi,14,17
80,1,4:01.0,J. Randle misses free throw 2 of 2,,14,17
81,1,3:59.0,,Defensive rebound by A. Pasečņiks,14,17
82,1,3:51.0,,Personal foul by M. Morris (drawn by A. Pasečņiks),14,17
83,1,3:51.0,,A. Pasečņiks makes free throw 1 of 2,14,18
84,1,3:51.0,K. Knox enters the game for M. Morris,,14,18
85,1,3:51.0,,A. Pasečņiks makes free throw 2 of 2,14,19
86,1,3:38.0,D. Dotson makes 3-pt jump shot from 27 ft (assist by J. Randle),,17,19
87,1,3:12.0,,J. McRae misses 2-pt jump shot from 18 ft,17,19
88,1,3:10.0,Defensive rebound by F. Ntilikina,,17,19
89,1,3:05.0,J. Randle makes 2-pt layup from 6 ft (assist by F. Ntilikina),,19,19
90,1,2:50.0,,Turnover by A. Pasečņiks (bad pass; steal by D. Dotson),19,19
91,1,2:47.0,B. Portis makes 2-pt layup from 3 ft (assist by F. Ntilikina),,21,19
