,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,OKLAHOMA CITY_ACTION,SACRAMENTO_SCORE,OKLAHOMA CITY_SCORE
0,1,11:44.0,,S. Adams makes 2-pt dunk from 1 ft (assist by C. Paul),0,2
1,1,11:28.0,H. Giles makes 2-pt hook shot from 7 ft (assist by H. Barnes),,2,2
2,1,11:21.0,,Personal foul by H. Giles (drawn by S. Adams),2,2
3,1,11:10.0,,D. Gallinari makes 3-pt jump shot from 25 ft,2,5
4,1,10:48.0,N. Bjelica makes 3-pt jump shot from 22 ft (assist by C. Joseph),,5,5
5,1,10:24.0,,S. Adams makes 2-pt layup from 2 ft,5,7
6,1,10:09.0,H. Giles makes 2-pt jump shot from 15 ft (assist by C. Joseph),,7,7
7,1,9:45.0,,S. Adams makes 2-pt jump shot from 8 ft (assist by S. Gilgeous-Alexander),7,9
8,1,9:32.0,B. Bogdanović makes 2-pt jump shot from 8 ft,,9,9
9,1,9:32.0,Shooting foul by L. Dort (drawn by B. Bogdanović),,9,9
10,1,9:32.0,B. Bogdanović makes free throw 1 of 1,,10,9
11,1,9:21.0,,S. Gilgeous-Alexander makes 2-pt layup from 1 ft,10,11
12,1,9:11.0,H. Barnes misses 3-pt jump shot from 26 ft,,10,11
13,1,9:08.0,,Defensive rebound by S. Adams,10,11
14,1,9:03.0,,D. Gallinari makes 3-pt jump shot from 25 ft (assist by C. Paul),10,14
15,1,8:44.0,C. Joseph makes 2-pt jump shot from 14 ft,,12,14
16,1,8:34.0,,S. Gilgeous-Alexander misses 3-pt jump shot from 26 ft,12,14
17,1,8:32.0,Defensive rebound by B. Bogdanović,,12,14
18,1,8:26.0,H. Barnes misses 2-pt layup from 3 ft (block by S. Gilgeous-Alexander),,12,14
19,1,8:26.0,Offensive rebound by Team,,12,14
20,1,8:26.0,Turnover by C. Joseph (bad pass),,12,14
21,1,8:15.0,,L. Dort misses 3-pt jump shot from 23 ft,12,14
22,1,8:12.0,Defensive rebound by H. Giles,,12,14
23,1,8:07.0,Shooting foul by S. Adams (drawn by H. Giles),,12,14
24,1,8:07.0,H. Giles makes free throw 1 of 2,,13,14
25,1,8:07.0,H. Giles makes free throw 2 of 2,,14,14
26,1,7:53.0,,D. Gallinari misses 3-pt jump shot from 25 ft,14,14
27,1,7:51.0,Defensive rebound by B. Bogdanović,,14,14
28,1,7:31.0,Personal foul by S. Adams (drawn by N. Bjelica),,14,14
29,1,7:31.0,,N. Noel enters the game for S. Adams,14,14
30,1,7:28.0,Personal foul by S. Gilgeous-Alexander (drawn by H. Barnes),,14,14
31,1,7:16.0,C. Joseph misses 2-pt layup from 4 ft,,14,14
32,1,7:14.0,,Defensive rebound by D. Gallinari,14,14
33,1,7:09.0,,Personal foul by C. Joseph (drawn by C. Paul),14,14
34,1,6:59.0,,N. Noel makes 2-pt layup from 2 ft (assist by C. Paul),14,16
35,1,6:50.0,N. Bjelica makes 3-pt jump shot from 27 ft (assist by B. Bogdanović),,17,16
36,1,6:47.0,,Oklahoma City full timeout,17,16
37,1,6:36.0,Violation by Team (kicked ball),,17,16
38,1,6:25.0,,D. Gallinari misses 2-pt jump shot from 9 ft,17,16
39,1,6:23.0,,Offensive rebound by N. Noel,17,16
40,1,6:23.0,,N. Noel makes 2-pt layup at rim,17,18
41,1,6:09.0,Shooting foul by S. Gilgeous-Alexander (drawn by H. Barnes),,17,18
