,QUARTER,TIME_REMAINING,UTAH_ACTION,PHILADELPHIA_ACTION,UTAH_SCORE,PHILADELPHIA_SCORE
0,1,11:37.0,M. Conley makes 2-pt jump shot from 12 ft,,2,0
1,1,11:24.0,,B. Simmons makes 2-pt hook shot from 6 ft,2,2
2,1,11:11.0,D. Mitchell misses 2-pt jump shot from 12 ft,,2,2
3,1,11:08.0,,Defensive rebound by B. Simmons,2,2
4,1,11:04.0,,B. Simmons misses 2-pt jump shot from 8 ft,2,2
5,1,11:01.0,Defensive rebound by D. Mitchell,,2,2
6,1,10:42.0,B. Bogdanović makes 2-pt jump shot from 15 ft (assist by M. Conley),,4,2
7,1,10:29.0,,Turnover by A. Horford (bad pass; steal by M. Conley),4,2
8,1,10:25.0,M. Conley makes 2-pt layup from 1 ft,,6,2
9,1,10:08.0,,Shooting foul by R. Gobert (drawn by J. Embiid),6,2
10,1,10:08.0,,J. Embiid makes free throw 1 of 2,6,3
11,1,10:08.0,,J. Embiid makes free throw 2 of 2,6,4
12,1,9:49.0,R. Gobert makes 2-pt layup from 3 ft (assist by R. O'Neale),,8,4
13,1,9:49.0,Shooting foul by T. Harris (drawn by R. Gobert),,8,4
14,1,9:49.0,R. Gobert makes free throw 1 of 1,,9,4
15,1,9:37.0,,A. Horford makes 2-pt hook shot from 6 ft,9,6
16,1,9:27.0,B. Bogdanović misses 2-pt jump shot from 10 ft,,9,6
17,1,9:25.0,,Defensive rebound by T. Harris,9,6
18,1,9:21.0,,Shooting foul by B. Bogdanović (drawn by B. Simmons),9,6
19,1,9:21.0,,B. Simmons misses free throw 1 of 2,9,6
20,1,9:21.0,,Offensive rebound by Team,9,6
21,1,9:21.0,,B. Simmons misses free throw 2 of 2,9,6
22,1,9:19.0,,Offensive rebound by A. Horford,9,6
23,1,9:11.0,,F. Korkmaz makes 3-pt jump shot from 26 ft (assist by A. Horford),9,9
24,1,8:49.0,D. Mitchell misses 3-pt jump shot from 27 ft,,9,9
25,1,8:47.0,,Defensive rebound by J. Embiid,9,9
26,1,8:40.0,,J. Embiid makes 3-pt jump shot from 26 ft (assist by B. Simmons),9,12
27,1,8:18.0,R. Gobert misses 2-pt layup from 3 ft,,9,12
