,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,NEW YORK_ACTION,BROOKLYN_SCORE,NEW YORK_SCORE
0,1,11:35.0,S. Dinwiddie misses 3-pt jump shot from 26 ft,,0,0
1,1,11:33.0,,Defensive rebound by J. Randle,0,0
2,1,11:22.0,,T. Gibson misses 2-pt jump shot from 19 ft,0,0
3,1,11:20.0,Defensive rebound by T. Prince,,0,0
4,1,11:14.0,T. Prince misses 3-pt jump shot from 26 ft,,0,0
5,1,11:12.0,,Defensive rebound by K. Knox,0,0
6,1,11:05.0,,F. Ntilikina misses 2-pt layup from 1 ft,0,0
7,1,11:03.0,,Offensive rebound by T. Gibson,0,0
8,1,11:01.0,,T. Gibson makes 2-pt layup from 1 ft,0,2
9,1,10:48.0,J. Allen makes 2-pt dunk from 1 ft (assist by T. Prince),,2,2
10,1,10:33.0,,J. Randle makes 3-pt jump shot from 26 ft (assist by K. Knox),2,5
11,1,10:19.0,Turnover by J. Harris (bad pass; steal by K. Knox),,2,5
12,1,10:12.0,,M. Morris misses 3-pt jump shot from 23 ft,2,5
13,1,10:10.0,Defensive rebound by J. Allen,,2,5
14,1,10:06.0,S. Dinwiddie makes 3-pt jump shot from 26 ft,,5,5
15,1,9:48.0,,J. Randle makes 2-pt jump shot from 6 ft,5,7
16,1,9:28.0,G. Temple misses 3-pt jump shot from 24 ft,,5,7
17,1,9:25.0,,Defensive rebound by Team,5,7
18,1,9:14.0,,Personal foul by T. Prince (drawn by J. Randle),5,7
19,1,9:03.0,,M. Morris misses 2-pt jump shot from 10 ft,5,7
20,1,9:00.0,,Offensive rebound by T. Gibson,5,7
21,1,8:58.0,,K. Knox misses 3-pt jump shot from 25 ft,5,7
22,1,8:57.0,,Offensive rebound by T. Gibson,5,7
23,1,8:55.0,,T. Gibson makes 2-pt layup from 1 ft,5,9
24,1,8:55.0,,Shooting foul by J. Harris (drawn by T. Gibson),5,9
25,1,8:55.0,,T. Gibson misses free throw 1 of 1,5,9
26,1,8:53.0,Defensive rebound by J. Allen,,5,9
27,1,8:44.0,T. Prince misses 3-pt jump shot from 25 ft,,5,9
28,1,8:42.0,,Defensive rebound by J. Randle,5,9
29,1,8:35.0,,Offensive foul by J. Randle (drawn by J. Allen),5,9
30,1,8:35.0,,Turnover by J. Randle (offensive foul),5,9
31,1,8:19.0,J. Allen makes 2-pt dunk from 1 ft (assist by T. Prince),,7,9
32,1,8:06.0,,F. Ntilikina makes 3-pt jump shot from 23 ft (assist by K. Knox),7,12
33,1,7:50.0,J. Harris misses 3-pt jump shot from 28 ft,,7,12
34,1,7:48.0,,Defensive rebound by K. Knox,7,12
35,1,7:42.0,,J. Randle misses 3-pt jump shot from 27 ft,7,12
36,1,7:40.0,Defensive rebound by Team,,7,12
37,1,7:22.0,G. Temple makes 3-pt jump shot from 25 ft (assist by T. Prince),,10,12
38,1,7:10.0,,F. Ntilikina misses 2-pt jump shot from 21 ft,10,12
39,1,7:08.0,Defensive rebound by T. Prince,,10,12
40,1,6:57.0,S. Dinwiddie makes 3-pt jump shot from 25 ft,,13,12
41,1,6:37.0,,F. Ntilikina misses 2-pt jump shot from 22 ft,13,12
42,1,6:35.0,Defensive rebound by T. Prince,,13,12
43,1,6:32.0,S. Dinwiddie makes 3-pt jump shot from 29 ft,,16,12
44,1,6:32.0,,New York full timeout,16,12
45,1,6:32.0,,M. Robinson enters the game for T. Gibson,16,12
46,1,6:32.0,,D. Smith enters the game for M. Morris,16,12
47,1,6:17.0,,K. Knox makes 3-pt jump shot from 23 ft (assist by F. Ntilikina),16,15
48,1,5:59.0,J. Allen makes 2-pt dunk at rim (assist by T. Prince),,18,15
49,1,5:47.0,,D. Smith misses 2-pt jump shot from 9 ft,18,15
50,1,5:45.0,Defensive rebound by T. Prince,,18,15
51,1,5:36.0,J. Harris misses 3-pt jump shot from 24 ft,,18,15
52,1,5:34.0,,Defensive rebound by K. Knox,18,15
53,1,5:19.0,,K. Knox misses 2-pt jump shot from 18 ft,18,15
54,1,5:17.0,Defensive rebound by S. Dinwiddie,,18,15
55,1,4:59.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,18,15
56,1,4:57.0,,Defensive rebound by J. Randle,18,15
57,1,4:42.0,,F. Ntilikina misses 3-pt jump shot from 25 ft,18,15
58,1,4:40.0,Defensive rebound by J. Allen,,18,15
