,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,TORONTO_ACTION,WASHINGTON_SCORE,TORONTO_SCORE
0,1,11:38.0,I. Thomas makes 2-pt jump shot from 19 ft (assist by I. Mahinmi),,2,0
1,1,11:21.0,,K. Lowry makes 3-pt jump shot from 25 ft (assist by F. VanVleet),2,3
2,1,11:05.0,D. Bertāns misses 3-pt jump shot from 25 ft,,2,3
3,1,11:04.0,,Defensive rebound by Team,2,3
4,1,10:48.0,,F. VanVleet makes 2-pt jump shot from 19 ft,2,5
5,1,10:38.0,I. Mahinmi misses 2-pt layup from 3 ft,,2,5
6,1,10:34.0,,Defensive rebound by F. VanVleet,2,5
7,1,10:24.0,,F. VanVleet misses 2-pt layup from 1 ft,2,5
8,1,10:21.0,Defensive rebound by I. Mahinmi,,2,5
9,1,10:16.0,B. Beal makes 3-pt jump shot from 25 ft (assist by I. Thomas),,5,5
10,1,10:01.0,,K. Lowry makes 2-pt jump shot from 7 ft (assist by F. VanVleet),5,7
11,1,9:52.0,B. Beal misses 2-pt jump shot from 10 ft,,5,7
12,1,9:49.0,,Defensive rebound by F. VanVleet,5,7
13,1,9:39.0,,P. McCaw makes 2-pt layup from 1 ft (assist by K. Lowry),5,9
14,1,9:18.0,B. Beal misses 2-pt jump shot from 17 ft,,5,9
15,1,9:15.0,,Defensive rebound by S. Ibaka,5,9
16,1,9:07.0,,Shooting foul by I. Mahinmi (drawn by S. Ibaka),5,9
17,1,9:07.0,,S. Ibaka makes free throw 1 of 2,5,10
18,1,9:07.0,,S. Ibaka makes free throw 2 of 2,5,11
19,1,8:51.0,I. Bonga misses 2-pt layup from 2 ft,,5,11
20,1,8:48.0,,Defensive rebound by P. McCaw,5,11
21,1,8:44.0,,O. Anunoby misses 2-pt layup from 2 ft,5,11
22,1,8:40.0,Defensive rebound by I. Mahinmi,,5,11
23,1,8:37.0,I. Thomas makes 3-pt jump shot from 25 ft (assist by B. Beal),,8,11
24,1,8:26.0,,Turnover by O. Anunoby (step out of bounds),8,11
25,1,8:18.0,D. Bertāns misses 2-pt jump shot from 17 ft,,8,11
26,1,8:15.0,,Defensive rebound by F. VanVleet,8,11
27,1,8:11.0,,Personal foul by I. Bonga (drawn by F. VanVleet),8,11
28,1,8:02.0,,O. Anunoby misses 3-pt jump shot from 25 ft,8,11
29,1,7:59.0,Defensive rebound by I. Mahinmi,,8,11
30,1,7:44.0,I. Thomas misses 2-pt jump shot from 14 ft,,8,11
31,1,7:40.0,,Defensive rebound by O. Anunoby,8,11
32,1,7:36.0,,K. Lowry makes 3-pt jump shot from 25 ft,8,14
33,1,7:34.0,Washington full timeout,,8,14
34,1,7:24.0,Turnover by I. Mahinmi (lost ball; steal by P. McCaw),,8,14
35,1,7:21.0,,P. McCaw makes 2-pt layup from 1 ft,8,16
36,1,7:08.0,I. Bonga misses 2-pt hook shot from 2 ft,,8,16
37,1,7:06.0,,Defensive rebound by K. Lowry,8,16
38,1,7:02.0,,P. McCaw makes 2-pt jump shot from 4 ft (assist by K. Lowry),8,18
39,1,6:53.0,D. Bertāns misses 3-pt jump shot from 26 ft,,8,18
40,1,6:50.0,Offensive rebound by I. Bonga,,8,18
41,1,6:46.0,Shooting foul by K. Lowry (drawn by B. Beal),,8,18
42,1,6:46.0,B. Beal makes free throw 1 of 3,,9,18
43,1,6:46.0,B. Beal makes free throw 2 of 3,,10,18
44,1,6:46.0,T. Brown enters the game for I. Bonga,,10,18
45,1,6:46.0,A. Pasečņiks enters the game for I. Mahinmi,,10,18
46,1,6:46.0,B. Beal makes free throw 3 of 3,,11,18
47,1,6:30.0,,Shooting foul by A. Pasečņiks (drawn by S. Ibaka),11,18
48,1,6:30.0,,S. Ibaka makes free throw 1 of 2,11,19
49,1,6:30.0,,S. Ibaka makes free throw 2 of 2,11,20
50,1,6:14.0,B. Beal makes 2-pt jump shot from 19 ft (assist by A. Pasečņiks),,13,20
51,1,5:56.0,,S. Ibaka makes 2-pt dunk from 1 ft (assist by O. Anunoby),13,22
52,1,5:45.0,I. Thomas misses 2-pt jump shot from 11 ft,,13,22
53,1,5:43.0,,Defensive rebound by S. Ibaka,13,22
54,1,5:36.0,,P. McCaw misses 3-pt jump shot from 23 ft,13,22
55,1,5:33.0,Defensive rebound by T. Brown,,13,22
56,1,5:18.0,T. Brown misses 2-pt layup from 3 ft (block by S. Ibaka),,13,22
57,1,5:17.0,Offensive rebound by Team,,13,22
58,1,5:17.0,I. Smith enters the game for I. Thomas,,13,22
59,1,5:17.0,,T. Davis enters the game for K. Lowry,13,22
60,1,5:12.0,B. Beal misses 3-pt jump shot from 25 ft,,13,22
61,1,5:09.0,,Defensive rebound by T. Davis,13,22
62,1,5:04.0,,Turnover by S. Ibaka (traveling),13,22
63,1,4:49.0,B. Beal misses 2-pt jump shot from 15 ft,,13,22
64,1,4:47.0,,Defensive rebound by Team,13,22
65,1,4:37.0,,Turnover by S. Ibaka (out of bounds lost ball),13,22
66,1,4:37.0,A. Schofield enters the game for D. Bertāns,,13,22
67,1,4:23.0,Shooting foul by O. Anunoby (drawn by B. Beal),,13,22
68,1,4:23.0,B. Beal makes free throw 1 of 2,,14,22
69,1,4:23.0,B. Beal makes free throw 2 of 2,,15,22
70,1,4:07.0,,O. Anunoby makes 3-pt jump shot from 25 ft (assist by F. VanVleet),15,25
71,1,3:55.0,T. Brown misses 3-pt jump shot from 26 ft,,15,25
72,1,3:52.0,,Defensive rebound by O. Anunoby,15,25
73,1,3:44.0,,T. Davis misses 3-pt jump shot from 25 ft,15,25
74,1,3:40.0,Defensive rebound by B. Beal,,15,25
75,1,3:40.0,,R. Hollis-Jefferson enters the game for P. McCaw,15,25
76,1,3:40.0,,K. Lowry enters the game for F. VanVleet,15,25
77,1,3:19.0,Turnover by Team (shot clock),,15,25
78,1,2:59.0,,O. Anunoby makes 3-pt jump shot from 23 ft (assist by R. Hollis-Jefferson),15,28
79,1,2:47.0,I. Smith makes 2-pt jump shot from 13 ft,,17,28
80,1,2:34.0,,K. Lowry makes 2-pt jump shot from 17 ft,17,30
81,1,2:21.0,A. Schofield misses 2-pt layup from 3 ft,,17,30
82,1,2:20.0,Offensive rebound by A. Pasečņiks,,17,30
83,1,2:20.0,A. Pasečņiks misses 2-pt layup at rim,,17,30
84,1,2:20.0,,Defensive rebound by Team,17,30
85,1,2:20.0,Loose ball foul by A. Schofield (drawn by S. Ibaka),,17,30
86,1,2:20.0,,Toronto full timeout,17,30
87,1,2:20.0,G. Mathews enters the game for B. Beal,,17,30
88,1,2:20.0,,C. Boucher enters the game for O. Anunoby,17,30
89,1,2:20.0,,M. Miller enters the game for S. Ibaka,17,30
90,1,2:05.0,,T. Davis makes 3-pt jump shot from 25 ft (assist by R. Hollis-Jefferson),17,33
91,1,1:54.0,I. Smith makes 2-pt layup from 2 ft,,19,33
92,1,1:48.0,,T. Davis makes 3-pt jump shot from 25 ft (assist by K. Lowry),19,36
93,1,1:38.0,I. Smith makes 2-pt jump shot from 18 ft,,21,36
94,1,1:24.0,,K. Lowry misses 2-pt layup from 2 ft,21,36
95,1,1:18.0,,Offensive rebound by C. Boucher,21,36
96,1,1:18.0,,C. Boucher misses 2-pt layup from 1 ft,21,36
97,1,1:18.0,Defensive rebound by A. Pasečņiks,,21,36
98,1,1:17.0,Shooting foul by T. Davis (drawn by I. Smith),,21,36
99,1,1:17.0,I. Smith makes free throw 1 of 2,,22,36
100,1,1:17.0,I. Bonga enters the game for A. Schofield,,22,36
101,1,1:17.0,I. Smith makes free throw 2 of 2,,23,36
102,1,1:05.0,,Personal foul by G. Mathews (drawn by R. Hollis-Jefferson),23,36
103,1,1:05.0,,R. Hollis-Jefferson makes free throw 1 of 2,23,37
104,1,1:05.0,,R. Hollis-Jefferson makes free throw 2 of 2,23,38
105,1,0:52.0,G. Mathews misses 3-pt jump shot from 27 ft,,23,38
106,1,0:49.0,,Defensive rebound by R. Hollis-Jefferson,23,38
107,1,0:33.0,,Shooting foul by A. Pasečņiks (drawn by K. Lowry),23,38
108,1,0:33.0,,K. Lowry makes free throw 1 of 2,23,39
109,1,0:33.0,,K. Lowry makes free throw 2 of 2,23,40
110,1,0:19.0,Turnover by I. Bonga (bad pass),,23,40
111,1,0:01.0,,R. Hollis-Jefferson misses 2-pt layup from 3 ft,23,40
112,1,0:00.0,Defensive rebound by A. Pasečņiks,,23,40
113,2,11:35.0,,K. Lowry misses 3-pt jump shot from 24 ft,23,40
114,2,11:32.0,Defensive rebound by I. Smith,,23,40
115,2,11:30.0,Shooting foul by C. Boucher (drawn by I. Bonga),,23,40
116,2,11:30.0,I. Bonga misses free throw 1 of 2,,23,40
117,2,11:30.0,Offensive rebound by Team,,23,40
118,2,11:30.0,I. Bonga misses free throw 2 of 2,,23,40
119,2,11:27.0,,Defensive rebound by T. Davis,23,40
120,2,11:06.0,,Shooting foul by T. Brown (drawn by R. Hollis-Jefferson),23,40
121,2,11:06.0,,R. Hollis-Jefferson misses free throw 1 of 2,23,40
122,2,11:06.0,,Offensive rebound by Team,23,40
123,2,11:06.0,D. Bertāns enters the game for I. Bonga,,23,40
124,2,11:06.0,,R. Hollis-Jefferson makes free throw 2 of 2,23,41
125,2,10:47.0,A. Pasečņiks misses 2-pt hook shot from 5 ft,,23,41
126,2,10:44.0,,Defensive rebound by C. Boucher,23,41
127,2,10:35.0,,M. Miller misses 3-pt jump shot from 25 ft,23,41
128,2,10:31.0,,Offensive rebound by C. Boucher,23,41
129,2,10:29.0,,Offensive foul by M. Miller (drawn by D. Bertāns),23,41
130,2,10:29.0,,Turnover by M. Miller (offensive foul),23,41
131,2,10:18.0,G. Mathews misses 3-pt jump shot from 25 ft,,23,41
132,2,10:15.0,,Defensive rebound by T. Davis,23,41
133,2,10:04.0,,Turnover by T. Davis (bad pass; steal by I. Smith),23,41
134,2,9:59.0,D. Bertāns misses 3-pt jump shot from 26 ft,,23,41
135,2,9:56.0,Offensive rebound by T. Brown,,23,41
136,2,9:56.0,T. Brown makes 2-pt layup at rim,,25,41
137,2,9:56.0,Shooting foul by C. Boucher (drawn by T. Brown),,25,41
138,2,9:56.0,T. Brown makes free throw 1 of 1,,26,41
139,2,9:37.0,,K. Lowry misses 2-pt jump shot from 15 ft,26,41
140,2,9:34.0,Defensive rebound by A. Pasečņiks,,26,41
141,2,9:29.0,I. Smith makes 3-pt jump shot from 25 ft (assist by G. Mathews),,29,41
142,2,9:23.0,,Turnover by K. Lowry (bad pass),29,41
143,2,9:11.0,Turnover by A. Pasečņiks (lost ball; steal by M. Miller),,29,41
144,2,9:04.0,,R. Hollis-Jefferson makes 3-pt jump shot from 25 ft (assist by K. Lowry),29,44
145,2,9:02.0,Washington full timeout,,29,44
146,2,9:02.0,B. Beal enters the game for G. Mathews,,29,44
147,2,8:48.0,D. Bertāns misses 2-pt layup from 8 ft,,29,44
148,2,8:46.0,Offensive rebound by D. Bertāns,,29,44
149,2,8:46.0,Offensive foul by T. Brown (drawn by K. Lowry),,29,44
150,2,8:46.0,Turnover by T. Brown (offensive foul),,29,44
151,2,8:46.0,,P. McCaw enters the game for T. Davis,29,44
152,2,8:24.0,,R. Hollis-Jefferson makes 2-pt jump shot from 14 ft,29,46
153,2,8:13.0,Shooting foul by R. Hollis-Jefferson (drawn by B. Beal),,29,46
154,2,8:13.0,B. Beal makes free throw 1 of 2,,30,46
155,2,8:13.0,,S. Ibaka enters the game for C. Boucher,30,46
156,2,8:13.0,,F. VanVleet enters the game for K. Lowry,30,46
157,2,8:13.0,B. Beal makes free throw 2 of 2,,31,46
158,2,7:57.0,,S. Ibaka makes 2-pt jump shot from 21 ft (assist by P. McCaw),31,48
159,2,7:44.0,B. Beal makes 2-pt jump shot from 15 ft,,33,48
160,2,7:29.0,,R. Hollis-Jefferson misses 3-pt jump shot from 24 ft,33,48
161,2,7:25.0,Defensive rebound by T. Brown,,33,48
162,2,7:16.0,A. Pasečņiks misses 2-pt hook shot from 6 ft,,33,48
163,2,7:12.0,,Defensive rebound by M. Miller,33,48
164,2,7:12.0,,O. Anunoby enters the game for M. Miller,33,48
165,2,6:54.0,,F. VanVleet misses 2-pt layup from 2 ft,33,48
166,2,6:51.0,Defensive rebound by D. Bertāns,,33,48
167,2,6:44.0,B. Beal misses 3-pt jump shot from 25 ft,,33,48
168,2,6:41.0,,Defensive rebound by R. Hollis-Jefferson,33,48
169,2,6:38.0,,F. VanVleet misses 2-pt layup from 2 ft,33,48
170,2,6:38.0,Defensive rebound by Team,,33,48
171,2,6:37.0,,Loose ball foul by R. Hollis-Jefferson (drawn by A. Pasečņiks),33,48
172,2,6:37.0,I. Thomas enters the game for T. Brown,,33,48
