,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MEMPHIS_ACTION,SACRAMENTO_SCORE,MEMPHIS_SCORE
0,1,11:46.0,H. Barnes misses 2-pt layup from 1 ft (block by J. Jackson),,0,0
1,1,11:42.0,,Defensive rebound by J. Jackson,0,0
2,1,11:35.0,,Offensive foul by J. Jackson (drawn by D. Fox),0,0
3,1,11:35.0,,Turnover by J. Jackson (offensive foul),0,0
4,1,11:23.0,R. Holmes makes 2-pt layup from 1 ft (assist by H. Barnes),,2,0
5,1,11:09.0,,J. Jackson makes 2-pt layup from 4 ft (assist by J. Crowder),2,2
6,1,10:53.0,R. Holmes makes 2-pt hook shot from 2 ft (assist by D. Fox),,4,2
7,1,10:39.0,,S. Hill makes 3-pt jump shot from 25 ft (assist by J. Crowder),4,5
8,1,10:30.0,H. Barnes misses 2-pt layup from 1 ft,,4,5
9,1,10:27.0,,Defensive rebound by J. Crowder,4,5
10,1,10:25.0,,Personal foul by R. Holmes (drawn by J. Morant),4,5
11,1,10:22.0,,Turnover by D. Brooks (bad pass; steal by D. Fox),4,5
12,1,10:17.0,D. Fox makes 2-pt dunk at rim,,6,5
13,1,9:57.0,,J. Crowder misses 2-pt jump shot from 20 ft,6,5
14,1,9:53.0,,Offensive rebound by S. Hill,6,5
15,1,9:42.0,,J. Crowder misses 3-pt jump shot from 25 ft,6,5
16,1,9:37.0,Defensive rebound by R. Holmes,,6,5
17,1,9:29.0,B. Hield misses 3-pt jump shot from 24 ft,,6,5
18,1,9:25.0,,Defensive rebound by J. Jackson,6,5
19,1,9:18.0,,D. Brooks misses 2-pt jump shot from 12 ft,6,5
20,1,9:15.0,Defensive rebound by B. Hield,,6,5
21,1,9:09.0,N. Bjelica misses 3-pt jump shot from 26 ft,,6,5
22,1,9:09.0,,Defensive rebound by J. Crowder,6,5
23,1,8:51.0,,J. Morant misses 3-pt jump shot from 26 ft,6,5
24,1,8:48.0,Defensive rebound by B. Hield,,6,5
25,1,8:33.0,B. Hield misses 3-pt jump shot from 25 ft,,6,5
26,1,8:31.0,Offensive rebound by R. Holmes,,6,5
27,1,8:31.0,Shooting foul by J. Morant (drawn by R. Holmes),,6,5
28,1,8:31.0,R. Holmes makes free throw 1 of 2,,7,5
29,1,8:31.0,,Memphis full timeout,7,5
30,1,8:31.0,R. Holmes makes free throw 2 of 2,,8,5
31,1,8:09.0,,D. Brooks makes 2-pt jump shot from 22 ft,8,7
32,1,7:54.0,B. Hield misses 2-pt jump shot from 20 ft,,8,7
33,1,7:51.0,Offensive rebound by R. Holmes,,8,7
34,1,7:47.0,R. Holmes misses 2-pt layup from 2 ft,,8,7
