,QUARTER,TIME_REMAINING,PORTLAND_ACTION,DENVER_ACTION,PORTLAND_SCORE,DENVER_SCORE
0,1,11:42.0,C. Anthony misses 2-pt jump shot from 14 ft,,0,0
1,1,11:39.0,,Defensive rebound by J. Murray,0,0
2,1,11:29.0,,W. Barton makes 3-pt jump shot from 24 ft,0,3
3,1,11:10.0,,Violation by Team (kicked ball),0,3
4,1,10:57.0,H. Whiteside makes 2-pt layup from 2 ft (assist by D. Lillard),,2,3
5,1,10:44.0,,Turnover by J. Murray (lost ball; steal by C. Anthony),2,3
6,1,10:36.0,K. Bazemore misses 3-pt jump shot from 23 ft,,2,3
7,1,10:35.0,,Defensive rebound by N. Jokić,2,3
8,1,10:16.0,,W. Barton misses 2-pt layup from 2 ft (block by H. Whiteside),2,3
9,1,10:14.0,Defensive rebound by H. Whiteside,,2,3
10,1,10:10.0,C. McCollum misses 3-pt jump shot from 25 ft,,2,3
11,1,10:08.0,Offensive rebound by H. Whiteside,,2,3
12,1,10:05.0,H. Whiteside makes 2-pt hook shot from 5 ft,,4,3
13,1,9:54.0,,J. Murray makes 3-pt jump shot from 26 ft,4,6
14,1,9:34.0,D. Lillard misses 3-pt jump shot from 27 ft,,4,6
15,1,9:31.0,,Defensive rebound by P. Millsap,4,6
16,1,9:24.0,,P. Millsap misses 2-pt layup from 2 ft (block by H. Whiteside),4,6
17,1,9:22.0,Defensive rebound by K. Bazemore,,4,6
18,1,9:14.0,H. Whiteside misses 2-pt jump shot from 21 ft,,4,6
19,1,9:11.0,,Defensive rebound by J. Murray,4,6
20,1,9:06.0,,P. Millsap makes 2-pt layup from 1 ft (assist by J. Murray),4,8
21,1,8:46.0,K. Bazemore makes 2-pt layup from 1 ft,,6,8
22,1,8:31.0,,J. Murray misses 2-pt layup from 3 ft,6,8
23,1,8:29.0,Defensive rebound by C. Anthony,,6,8
24,1,8:22.0,H. Whiteside makes 2-pt jump shot from 14 ft (assist by D. Lillard),,8,8
25,1,8:08.0,,G. Harris misses 3-pt jump shot from 25 ft,8,8
26,1,8:05.0,Defensive rebound by C. Anthony,,8,8
27,1,7:56.0,Shooting foul by P. Millsap (drawn by C. Anthony),,8,8
28,1,7:56.0,C. Anthony makes free throw 1 of 2,,9,8
29,1,7:56.0,C. Anthony makes free throw 2 of 2,,10,8
30,1,7:37.0,,N. Jokić makes 2-pt jump shot from 5 ft,10,10
31,1,7:28.0,H. Whiteside makes 2-pt dunk from 1 ft (assist by D. Lillard),,12,10
32,1,7:19.0,,G. Harris makes 3-pt jump shot from 23 ft (assist by N. Jokić),12,13
33,1,7:04.0,H. Whiteside makes 3-pt jump shot from 25 ft (assist by C. McCollum),,15,13
34,1,6:52.0,,J. Murray misses 3-pt jump shot from 26 ft,15,13
35,1,6:49.0,,Offensive rebound by W. Barton,15,13
36,1,6:49.0,,W. Barton misses 3-pt jump shot from 25 ft,15,13
37,1,6:46.0,Defensive rebound by H. Whiteside,,15,13
38,1,6:41.0,C. Anthony makes 3-pt jump shot from 25 ft,,18,13
39,1,6:39.0,,Denver full timeout,18,13
40,1,6:25.0,,J. Murray makes 3-pt jump shot from 24 ft (assist by W. Barton),18,16
41,1,6:03.0,C. Anthony misses 2-pt jump shot from 15 ft,,18,16
42,1,6:00.0,,Defensive rebound by W. Barton,18,16
43,1,5:42.0,,P. Millsap misses 2-pt jump shot from 6 ft,18,16
44,1,5:41.0,Defensive rebound by H. Whiteside,,18,16
45,1,5:30.0,C. McCollum makes 2-pt jump shot from 10 ft,,20,16
46,1,5:11.0,,G. Harris makes 3-pt jump shot from 25 ft (assist by N. Jokić),20,19
47,1,4:57.0,C. McCollum misses 3-pt jump shot from 25 ft,,20,19
48,1,4:54.0,,Defensive rebound by J. Murray,20,19
49,1,4:40.0,,W. Barton makes 2-pt layup from 1 ft (assist by N. Jokić),20,21
50,1,4:26.0,Turnover by D. Lillard (lost ball; steal by W. Barton),,20,21
51,1,4:23.0,,Shooting foul by C. McCollum (drawn by N. Jokić),20,21
52,1,4:23.0,,N. Jokić makes free throw 1 of 2,20,22
53,1,4:23.0,S. Labissière enters the game for C. Anthony,,20,22
54,1,4:23.0,A. Simons enters the game for K. Bazemore,,20,22
55,1,4:23.0,,T. Craig enters the game for W. Barton,20,22
56,1,4:23.0,,J. Grant enters the game for P. Millsap,20,22
57,1,4:23.0,,N. Jokić makes free throw 2 of 2,20,23
58,1,4:03.0,D. Lillard misses 2-pt jump shot from 15 ft,,20,23
59,1,3:57.0,,Defensive rebound by N. Jokić,20,23
60,1,3:48.0,,J. Grant makes 3-pt jump shot from 23 ft (assist by G. Harris),20,26
61,1,3:46.0,Portland full timeout,,20,26
62,1,3:28.0,A. Simons misses 2-pt jump shot from 16 ft,,20,26
63,1,3:23.0,,Defensive rebound by N. Jokić,20,26
64,1,3:14.0,,J. Murray misses 3-pt jump shot from 25 ft,20,26
65,1,3:14.0,,Offensive rebound by N. Jokić,20,26
66,1,3:14.0,,Shooting foul by H. Whiteside (drawn by N. Jokić),20,26
67,1,3:14.0,,N. Jokić misses free throw 1 of 2,20,26
68,1,3:14.0,,Offensive rebound by Team,20,26
69,1,3:14.0,G. Trent enters the game for C. McCollum,,20,26
70,1,3:14.0,,M. Morris enters the game for J. Murray,20,26
71,1,3:14.0,,N. Jokić misses free throw 2 of 2,20,26
72,1,3:12.0,Defensive rebound by H. Whiteside,,20,26
73,1,3:03.0,D. Lillard makes 2-pt layup from 1 ft,,22,26
74,1,2:47.0,,N. Jokić misses 2-pt jump shot from 19 ft,22,26
75,1,2:43.0,Defensive rebound by S. Labissière,,22,26
76,1,2:31.0,G. Trent misses 2-pt jump shot from 18 ft,,22,26
77,1,2:28.0,,Defensive rebound by J. Grant,22,26
78,1,2:20.0,,N. Jokić makes 3-pt jump shot from 26 ft (assist by G. Harris),22,29
79,1,1:57.0,H. Whiteside makes 2-pt jump shot from 16 ft,,24,29
80,1,1:43.0,,G. Harris makes 2-pt layup from 2 ft,24,31
81,1,1:20.0,H. Whiteside misses 2-pt jump shot from 5 ft,,24,31
82,1,1:16.0,Offensive rebound by S. Labissière,,24,31
83,1,1:16.0,S. Labissière misses 2-pt layup at rim,,24,31
84,1,1:15.0,,Defensive rebound by N. Jokić,24,31
85,1,1:12.0,,G. Harris misses 3-pt jump shot from 27 ft,24,31
86,1,1:09.0,Defensive rebound by H. Whiteside,,24,31
87,1,0:56.0,Shooting foul by G. Harris (drawn by A. Simons),,24,31
88,1,0:56.0,A. Simons misses free throw 1 of 2,,24,31
89,1,0:56.0,Offensive rebound by Team,,24,31
90,1,0:56.0,C. Anthony enters the game for H. Whiteside,,24,31
91,1,0:56.0,,W. Barton enters the game for G. Harris,24,31
92,1,0:56.0,,M. Plumlee enters the game for N. Jokić,24,31
93,1,0:56.0,A. Simons makes free throw 2 of 2,,25,31
94,1,0:43.0,,J. Grant misses 2-pt jump shot from 17 ft,25,31
95,1,0:40.0,,Offensive rebound by M. Plumlee,25,31
96,1,0:37.0,,J. Grant makes 2-pt dunk from 1 ft (assist by M. Plumlee),25,33
97,1,0:25.0,Personal foul by M. Plumlee (drawn by D. Lillard),,25,33
98,1,0:25.0,D. Lillard makes free throw 1 of 2,,26,33
99,1,0:25.0,,G. Harris enters the game for T. Craig,26,33
100,1,0:25.0,D. Lillard misses free throw 2 of 2,,26,33
101,1,0:21.0,,Defensive rebound by W. Barton,26,33
102,1,0:02.0,,M. Plumlee misses 2-pt dunk from 2 ft,26,33
103,1,0:00.0,Defensive rebound by G. Trent,,26,33
104,1,0:00.0,D. Lillard misses 3-pt jump shot from 30 ft,,26,33
105,1,0:00.0,Offensive rebound by Team,,26,33
106,2,11:51.0,,Shooting foul by C. Anthony (drawn by J. Grant),26,33
107,2,11:51.0,,J. Grant misses free throw 1 of 2,26,33
108,2,11:51.0,,Offensive rebound by Team,26,33
109,2,11:51.0,,J. Grant misses free throw 2 of 2,26,33
110,2,11:49.0,Defensive rebound by C. McCollum,,26,33
111,2,11:36.0,Turnover by C. McCollum (bad pass; steal by M. Morris),,26,33
112,2,11:33.0,,Shooting foul by A. Simons (drawn by M. Morris),26,33
113,2,11:33.0,,M. Morris makes free throw 1 of 2,26,34
114,2,11:33.0,M. Hezonja enters the game for G. Trent,,26,34
115,2,11:33.0,,M. Morris makes free throw 2 of 2,26,35
116,2,11:11.0,C. Anthony misses 2-pt jump shot from 10 ft,,26,35
117,2,11:10.0,,Defensive rebound by Team,26,35
118,2,11:10.0,Loose ball foul by S. Labissière (drawn by M. Plumlee),,26,35
119,2,11:00.0,,M. Porter makes 3-pt jump shot from 23 ft (assist by M. Plumlee),26,38
120,2,10:49.0,C. McCollum makes 3-pt jump shot from 25 ft,,29,38
121,2,10:32.0,,M. Morris misses 3-pt jump shot from 23 ft,29,38
122,2,10:28.0,Defensive rebound by M. Hezonja,,29,38
123,2,10:20.0,C. Anthony misses 2-pt jump shot from 6 ft,,29,38
124,2,10:19.0,,Defensive rebound by Team,29,38
125,2,9:55.0,,J. Grant makes 2-pt layup from 1 ft (assist by M. Morris),29,40
126,2,9:43.0,C. McCollum misses 3-pt jump shot from 25 ft,,29,40
127,2,9:41.0,,Defensive rebound by M. Porter,29,40
128,2,9:37.0,,M. Porter misses 3-pt jump shot from 26 ft,29,40
129,2,9:32.0,Defensive rebound by M. Hezonja,,29,40
130,2,9:14.0,M. Hezonja misses 2-pt jump shot from 12 ft,,29,40
131,2,9:11.0,,Defensive rebound by J. Grant,29,40
132,2,9:04.0,,W. Barton misses 2-pt layup from 3 ft,29,40
133,2,9:01.0,,Offensive rebound by M. Plumlee,29,40
134,2,9:01.0,,M. Plumlee misses 2-pt layup from 1 ft,29,40
135,2,9:01.0,Defensive rebound by C. Anthony,,29,40
136,2,8:52.0,C. Anthony makes 2-pt layup from 2 ft,,31,40
137,2,8:35.0,,M. Porter makes 3-pt jump shot from 22 ft (assist by M. Morris),31,43
138,2,8:33.0,Portland full timeout,,31,43
139,2,8:33.0,K. Bazemore enters the game for A. Simons,,31,43
140,2,8:19.0,C. McCollum makes 2-pt jump shot from 5 ft (assist by C. Anthony),,33,43
141,2,8:08.0,,M. Morris makes 2-pt layup from 2 ft,33,45
142,2,8:08.0,Violation by Team (def goaltending),,33,45
143,2,7:49.0,C. Anthony misses 2-pt jump shot from 14 ft,,33,45
144,2,7:46.0,Offensive rebound by S. Labissière,,33,45
145,2,7:45.0,C. McCollum makes 3-pt jump shot from 25 ft (assist by S. Labissière),,36,45
146,2,7:26.0,,Turnover by M. Porter (bad pass; steal by C. Anthony),36,45
147,2,7:22.0,C. Anthony makes 2-pt layup from 3 ft,,38,45
148,2,7:21.0,,Denver full timeout,38,45
149,2,7:21.0,,G. Harris enters the game for W. Barton,38,45
