,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,ATLANTA_ACTION,LA CLIPPERS_SCORE,ATLANTA_SCORE
0,1,11:43.0,Turnover by L. Shamet (lost ball; steal by B. Fernando),,0,0
1,1,11:39.0,,Turnover by K. Huerter (bad pass),0,0
2,1,11:27.0,L. Williams misses 3-pt jump shot from 23 ft,,0,0
3,1,11:24.0,,Defensive rebound by D. Hunter,0,0
4,1,11:15.0,,J. Collins makes 2-pt dunk from 1 ft (assist by J. Teague),0,2
5,1,11:01.0,LA Clippers full timeout,,0,2
6,1,10:46.0,L. Shamet misses 2-pt layup from 2 ft,,0,2
7,1,10:43.0,Offensive rebound by I. Zubac,,0,2
8,1,10:43.0,I. Zubac makes 2-pt dunk at rim,,2,2
9,1,10:35.0,,K. Huerter misses 2-pt jump shot from 13 ft,2,2
10,1,10:31.0,,Offensive rebound by B. Fernando,2,2
11,1,10:18.0,,J. Teague misses 2-pt jump shot from 18 ft,2,2
12,1,10:14.0,Defensive rebound by I. Zubac,,2,2
13,1,10:09.0,Turnover by L. Williams (bad pass; steal by J. Collins),,2,2
14,1,10:04.0,,J. Collins makes 2-pt layup from 1 ft (assist by K. Huerter),2,4
15,1,9:47.0,L. Williams misses 2-pt jump shot from 13 ft,,2,4
16,1,9:44.0,,Defensive rebound by K. Huerter,2,4
17,1,9:33.0,,D. Hunter makes 2-pt jump shot from 8 ft (assist by J. Teague),2,6
18,1,9:06.0,I. Zubac makes 2-pt dunk from 1 ft (assist by L. Williams),,4,6
19,1,8:49.0,,J. Collins makes 3-pt jump shot from 23 ft (assist by J. Teague),4,9
20,1,8:31.0,L. Shamet misses 2-pt jump shot from 16 ft,,4,9
21,1,8:24.0,Offensive rebound by I. Zubac,,4,9
22,1,8:24.0,I. Zubac misses 2-pt layup at rim,,4,9
23,1,8:23.0,,Defensive rebound by J. Collins,4,9
24,1,8:21.0,,K. Huerter makes 2-pt layup from 2 ft,4,11
25,1,8:03.0,I. Zubac makes 2-pt layup from 2 ft (assist by M. Harkless),,6,11
26,1,7:53.0,,Turnover by J. Teague (bad pass; steal by L. Shamet),6,11
27,1,7:48.0,L. Shamet makes 2-pt layup from 2 ft,,8,11
28,1,7:31.0,,B. Fernando misses 2-pt layup from 10 ft,8,11
29,1,7:28.0,Defensive rebound by I. Zubac,,8,11
30,1,7:27.0,Personal foul by K. Huerter (drawn by L. Williams),,8,11
31,1,7:16.0,L. Shamet makes 2-pt jump shot from 14 ft (assist by I. Zubac),,10,11
32,1,7:06.0,,Personal foul by T. Mann (drawn by J. Teague),10,11
33,1,6:51.0,,Shooting foul by L. Shamet (drawn by D. Hunter),10,11
34,1,6:51.0,,D. Hunter makes free throw 1 of 2,10,12
35,1,6:51.0,,D. Hunter misses free throw 2 of 2,10,12
36,1,6:48.0,Defensive rebound by I. Zubac,,10,12
37,1,6:40.0,L. Williams makes 2-pt jump shot from 11 ft,,12,12
38,1,6:26.0,,Turnover by D. Hunter (bad pass),12,12
