,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,NEW YORK_ACTION,CHARLOTTE_SCORE,NEW YORK_SCORE
0,1,11:44.0,,M. Morris makes 2-pt jump shot from 20 ft (assist by F. Ntilikina),0,2
1,1,11:17.0,Shooting foul by J. Randle (drawn by C. Zeller),,0,2
2,1,11:17.0,C. Zeller makes free throw 1 of 3,,1,2
3,1,11:17.0,C. Zeller makes free throw 2 of 3,,2,2
4,1,11:17.0,C. Zeller misses free throw 3 of 3,,2,2
5,1,11:15.0,,Defensive rebound by T. Gibson,2,2
6,1,11:00.0,,R. Barrett misses 2-pt layup from 1 ft,2,2
7,1,10:55.0,,Offensive rebound by R. Barrett,2,2
8,1,10:55.0,,R. Barrett misses 2-pt layup from 1 ft,2,2
9,1,10:54.0,,Offensive rebound by T. Gibson,2,2
10,1,10:54.0,,T. Gibson makes 2-pt dunk from 1 ft,2,4
11,1,10:40.0,M. Bridges misses 2-pt layup from 3 ft,,2,4
12,1,10:38.0,,Defensive rebound by J. Randle,2,4
13,1,10:25.0,,T. Gibson misses 3-pt jump shot from 23 ft,2,4
14,1,10:23.0,Defensive rebound by D. Graham,,2,4
15,1,10:16.0,C. Zeller misses 2-pt hook shot from 6 ft,,2,4
16,1,10:14.0,,Defensive rebound by M. Morris,2,4
17,1,10:04.0,,T. Gibson misses 2-pt jump shot from 3 ft,2,4
18,1,10:02.0,Defensive rebound by C. Zeller,,2,4
19,1,9:57.0,M. Bridges misses 3-pt jump shot from 27 ft,,2,4
20,1,9:53.0,,Defensive rebound by J. Randle,2,4
21,1,9:35.0,,M. Morris misses 2-pt jump shot from 8 ft,2,4
22,1,9:32.0,,Offensive rebound by T. Gibson,2,4
23,1,9:31.0,,T. Gibson makes 2-pt layup from 1 ft,2,6
24,1,9:08.0,Turnover by D. Graham (bad pass; steal by F. Ntilikina),,2,6
25,1,9:05.0,,R. Barrett makes 2-pt dunk from 1 ft (assist by F. Ntilikina),2,8
26,1,9:04.0,Charlotte full timeout,,2,8
27,1,8:39.0,M. Bridges misses 3-pt jump shot from 23 ft,,2,8
28,1,8:34.0,Offensive rebound by C. Zeller,,2,8
29,1,8:31.0,Shooting foul by T. Gibson (drawn by C. Zeller),,2,8
30,1,8:31.0,C. Zeller makes free throw 1 of 2,,3,8
31,1,8:31.0,C. Zeller makes free throw 2 of 2,,4,8
32,1,8:13.0,,Turnover by R. Barrett (bad pass),4,8
33,1,7:59.0,D. Graham makes 3-pt jump shot from 28 ft,,7,8
34,1,7:45.0,,Personal foul by M. Bridges (drawn by M. Morris),7,8
35,1,7:35.0,,J. Randle misses 3-pt jump shot from 26 ft,7,8
36,1,7:32.0,Defensive rebound by P. Washington,,7,8
37,1,7:27.0,T. Rozier misses 2-pt layup from 3 ft,,7,8
38,1,7:25.0,,Defensive rebound by M. Morris,7,8
39,1,7:18.0,,M. Morris misses 2-pt jump shot from 16 ft,7,8
40,1,7:15.0,,Offensive rebound by T. Gibson,7,8
41,1,7:11.0,,M. Morris misses 3-pt jump shot from 27 ft,7,8
42,1,7:11.0,Defensive rebound by Team,,7,8
43,1,7:11.0,,Loose ball foul by T. Gibson (drawn by P. Washington),7,8
44,1,7:11.0,M. Monk enters the game for D. Graham,,7,8
45,1,7:11.0,,M. Robinson enters the game for T. Gibson,7,8
46,1,6:58.0,T. Rozier misses 3-pt jump shot from 25 ft,,7,8
47,1,6:53.0,,Defensive rebound by M. Robinson,7,8
48,1,6:41.0,,J. Randle misses 2-pt layup from 2 ft,7,8
49,1,6:39.0,Defensive rebound by M. Bridges,,7,8
50,1,6:35.0,M. Monk makes 3-pt jump shot from 31 ft (assist by M. Bridges),,10,8
51,1,6:15.0,,F. Ntilikina misses 2-pt jump shot from 16 ft,10,8
52,1,6:12.0,Defensive rebound by M. Bridges,,10,8
53,1,6:08.0,M. Bridges misses 2-pt layup from 1 ft,,10,8
54,1,6:03.0,,Defensive rebound by M. Robinson,10,8
55,1,5:52.0,,F. Ntilikina makes 2-pt jump shot from 12 ft (assist by M. Robinson),10,10
56,1,5:36.0,M. Monk misses 3-pt jump shot from 26 ft,,10,10
57,1,5:35.0,,Defensive rebound by Team,10,10
