,QUARTER,TIME_REMAINING,PORTLAND_ACTION,LA CLIPPERS_ACTION,PORTLAND_SCORE,LA CLIPPERS_SCORE
0,1,11:42.0,,P. George makes 2-pt layup from 3 ft (assist by K. Leonard),0,2
1,1,11:21.0,D. Lillard makes 2-pt jump shot from 15 ft (assist by C. McCollum),,2,2
2,1,11:05.0,,Shooting foul by R. Hood (drawn by K. Leonard),2,2
3,1,11:05.0,,K. Leonard makes free throw 1 of 2,2,3
4,1,11:05.0,,K. Leonard makes free throw 2 of 2,2,4
5,1,10:43.0,C. McCollum misses 2-pt jump shot from 14 ft,,2,4
6,1,10:40.0,,Defensive rebound by P. George,2,4
7,1,10:40.0,,Turnover by P. George (bad pass),2,4
8,1,10:34.0,D. Lillard makes 3-pt jump shot from 27 ft,,5,4
9,1,10:19.0,,K. Leonard makes 3-pt jump shot from 25 ft (assist by P. George),5,7
10,1,10:07.0,Turnover by D. Lillard (bad pass; steal by K. Leonard),,5,7
11,1,10:00.0,,P. Beverley makes 2-pt jump shot from 7 ft,5,9
12,1,9:45.0,C. Anthony misses 2-pt jump shot from 18 ft,,5,9
13,1,9:42.0,,Defensive rebound by P. George,5,9
14,1,9:34.0,,P. Beverley misses 3-pt jump shot from 28 ft,5,9
15,1,9:31.0,Defensive rebound by D. Lillard,,5,9
16,1,9:20.0,H. Whiteside makes 2-pt dunk from 2 ft (assist by D. Lillard),,7,9
17,1,9:19.0,Violation by Team (delay of game),,7,9
18,1,9:09.0,,P. George makes 3-pt jump shot from 23 ft,7,12
19,1,8:52.0,Shooting foul by I. Zubac (drawn by H. Whiteside),,7,12
20,1,8:52.0,H. Whiteside misses free throw 1 of 2,,7,12
21,1,8:52.0,Offensive rebound by Team,,7,12
22,1,8:52.0,H. Whiteside makes free throw 2 of 2,,8,12
23,1,8:28.0,,P. Beverley makes 3-pt jump shot from 25 ft (assist by K. Leonard),8,15
24,1,8:14.0,C. McCollum makes 2-pt jump shot from 15 ft,,10,15
25,1,8:03.0,,P. George makes 3-pt jump shot from 26 ft (assist by K. Leonard),10,18
26,1,7:49.0,D. Lillard misses 3-pt jump shot from 26 ft,,10,18
27,1,7:47.0,,Defensive rebound by I. Zubac,10,18
28,1,7:37.0,,K. Leonard misses 3-pt jump shot from 26 ft,10,18
29,1,7:34.0,Defensive rebound by C. Anthony,,10,18
30,1,7:24.0,D. Lillard misses 2-pt layup from 3 ft (block by I. Zubac),,10,18
31,1,7:22.0,Offensive rebound by H. Whiteside,,10,18
32,1,7:17.0,R. Hood misses 2-pt jump shot from 8 ft,,10,18
33,1,7:15.0,,Defensive rebound by P. George,10,18
34,1,7:12.0,,K. Leonard misses 2-pt jump shot from 14 ft,10,18
35,1,7:12.0,Defensive rebound by R. Hood,,10,18
36,1,6:55.0,C. McCollum misses 3-pt jump shot from 24 ft,,10,18
37,1,6:51.0,,Defensive rebound by K. Leonard,10,18
38,1,6:51.0,,Personal foul by C. McCollum (drawn by M. Harkless),10,18
39,1,6:51.0,,LA Clippers full timeout,10,18
40,1,6:40.0,,P. George misses 2-pt jump shot from 21 ft,10,18
41,1,6:38.0,Defensive rebound by C. Anthony,,10,18
42,1,6:28.0,Shooting foul by M. Harkless (drawn by C. Anthony),,10,18
43,1,6:28.0,C. Anthony makes free throw 1 of 2,,11,18
44,1,6:28.0,C. Anthony makes free throw 2 of 2,,12,18
45,1,6:14.0,,K. Leonard misses 3-pt jump shot from 25 ft,12,18
46,1,6:10.0,Defensive rebound by C. McCollum,,12,18
47,1,5:55.0,H. Whiteside makes 2-pt dunk from 1 ft (assist by D. Lillard),,14,18
48,1,5:36.0,,I. Zubac misses 2-pt layup from 1 ft,14,18
49,1,5:32.0,,Offensive rebound by K. Leonard,14,18
50,1,5:31.0,,K. Leonard misses 2-pt hook shot from 5 ft,14,18
51,1,5:29.0,Defensive rebound by H. Whiteside,,14,18
52,1,5:12.0,C. McCollum makes 2-pt jump shot from 14 ft,,16,18
53,1,4:50.0,,I. Zubac misses 2-pt hook shot from 2 ft,16,18
54,1,4:48.0,Defensive rebound by H. Whiteside,,16,18
55,1,4:44.0,Shooting foul by P. Beverley (drawn by D. Lillard),,16,18
56,1,4:44.0,D. Lillard makes free throw 1 of 3,,17,18
57,1,4:44.0,D. Lillard misses free throw 2 of 3,,17,18
58,1,4:44.0,Offensive rebound by Team,,17,18
