,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,ORLANDO_ACTION,WASHINGTON_SCORE,ORLANDO_SCORE
0,1,11:50.0,,M. Fultz misses 2-pt layup from 5 ft,0,0
1,1,11:47.0,Defensive rebound by I. Mahinmi,,0,0
2,1,11:32.0,I. Mahinmi misses 2-pt jump shot from 15 ft,,0,0
3,1,11:30.0,,Defensive rebound by A. Gordon,0,0
4,1,11:13.0,,N. Vučević misses 3-pt jump shot from 26 ft,0,0
5,1,11:12.0,,Offensive rebound by Team,0,0
6,1,11:06.0,,A. Gordon misses 3-pt jump shot from 26 ft,0,0
7,1,11:03.0,,Offensive rebound by N. Vučević,0,0
8,1,10:51.0,,Shooting foul by I. Bonga (drawn by N. Vučević),0,0
9,1,10:51.0,,N. Vučević misses free throw 1 of 2,0,0
10,1,10:51.0,,Offensive rebound by Team,0,0
11,1,10:51.0,,N. Vučević makes free throw 2 of 2,0,1
12,1,10:35.0,J. McRae misses 2-pt jump shot from 11 ft,,0,1
13,1,10:34.0,Offensive rebound by I. Mahinmi,,0,1
14,1,10:34.0,I. Mahinmi makes 2-pt layup from 1 ft,,2,1
15,1,10:13.0,,K. Birch makes 2-pt layup from 6 ft (assist by N. Vučević),2,3
16,1,10:13.0,,Shooting foul by I. Mahinmi (drawn by K. Birch),2,3
17,1,10:13.0,A. Schofield enters the game for I. Bonga,,2,3
18,1,10:13.0,,K. Birch misses free throw 1 of 1,2,3
19,1,10:09.0,Defensive rebound by I. Mahinmi,,2,3
20,1,9:56.0,A. Schofield makes 2-pt layup from 5 ft (assist by I. Mahinmi),,4,3
21,1,9:45.0,,Turnover by M. Fultz (bad pass),4,3
22,1,9:39.0,I. Thomas misses 2-pt jump shot from 13 ft,,4,3
23,1,9:36.0,,Defensive rebound by A. Gordon,4,3
24,1,9:21.0,,Turnover by M. Fultz (bad pass; steal by G. Payton),4,3
25,1,9:13.0,Turnover by G. Payton (traveling),,4,3
26,1,9:04.0,,Shooting foul by I. Mahinmi (drawn by K. Birch),4,3
27,1,9:04.0,,K. Birch makes free throw 1 of 2,4,4
28,1,9:04.0,A. Pasečņiks enters the game for I. Mahinmi,,4,4
29,1,9:04.0,,K. Birch makes free throw 2 of 2,4,5
30,1,8:52.0,J. McRae misses 2-pt jump shot from 18 ft,,4,5
31,1,8:50.0,,Defensive rebound by M. Fultz,4,5
32,1,8:47.0,,E. Fournier makes 3-pt jump shot from 26 ft (assist by M. Fultz),4,8
33,1,8:36.0,I. Thomas misses 3-pt jump shot from 25 ft,,4,8
34,1,8:33.0,,Defensive rebound by N. Vučević,4,8
35,1,8:25.0,,M. Fultz makes 2-pt layup from 9 ft,4,10
36,1,8:13.0,A. Pasečņiks makes 2-pt layup from 4 ft (assist by G. Payton),,6,10
37,1,8:13.0,Shooting foul by A. Gordon (drawn by A. Pasečņiks),,6,10
38,1,8:13.0,A. Pasečņiks makes free throw 1 of 1,,7,10
39,1,7:58.0,,N. Vučević makes 2-pt jump shot from 13 ft (assist by A. Gordon),7,12
40,1,7:44.0,I. Thomas misses 2-pt jump shot from 12 ft,,7,12
41,1,7:41.0,,Defensive rebound by K. Birch,7,12
42,1,7:34.0,,E. Fournier misses 3-pt jump shot from 23 ft,7,12
43,1,7:31.0,Defensive rebound by A. Schofield,,7,12
44,1,7:22.0,J. McRae misses 2-pt jump shot from 7 ft,,7,12
45,1,7:19.0,,Defensive rebound by M. Fultz,7,12
46,1,7:18.0,,Turnover by M. Fultz (bad pass; steal by G. Payton),7,12
47,1,7:18.0,Washington full timeout,,7,12
48,1,7:14.0,I. Thomas misses 2-pt jump shot from 12 ft,,7,12
