,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,DENVER_ACTION,CLEVELAND_SCORE,DENVER_SCORE
0,1,11:37.0,D. Garland misses 3-pt jump shot from 23 ft,,0,0
1,1,11:34.0,Offensive rebound by T. Thompson,,0,0
2,1,11:34.0,T. Thompson makes 2-pt layup from 1 ft,,2,0
3,1,11:34.0,Shooting foul by N. Jokić (drawn by T. Thompson),,2,0
4,1,11:34.0,T. Thompson makes free throw 1 of 1,,3,0
5,1,11:18.0,,W. Barton misses 2-pt jump shot from 15 ft,3,0
6,1,11:15.0,Defensive rebound by K. Love,,3,0
7,1,11:02.0,K. Love makes 3-pt jump shot from 25 ft (assist by C. Osman),,6,0
8,1,10:46.0,,Personal foul by C. Sexton (drawn by N. Jokić),6,0
9,1,10:44.0,,G. Harris misses 3-pt jump shot from 25 ft,6,0
10,1,10:40.0,,Offensive rebound by J. Murray,6,0
11,1,10:32.0,,G. Harris misses 2-pt jump shot from 6 ft,6,0
12,1,10:30.0,,Offensive rebound by J. Grant,6,0
13,1,10:29.0,,W. Barton misses 3-pt jump shot from 26 ft,6,0
14,1,10:26.0,,Offensive rebound by J. Murray,6,0
15,1,10:13.0,,J. Murray misses 3-pt jump shot from 24 ft,6,0
16,1,10:10.0,,Offensive rebound by N. Jokić,6,0
17,1,10:08.0,,N. Jokić makes 2-pt hook shot from 2 ft,6,2
18,1,9:53.0,K. Love misses 3-pt jump shot from 25 ft,,6,2
19,1,9:50.0,,Defensive rebound by N. Jokić,6,2
20,1,9:41.0,,J. Murray makes 2-pt jump shot from 5 ft,6,4
21,1,9:21.0,Turnover by C. Osman (lost ball; steal by W. Barton),,6,4
22,1,9:10.0,,J. Murray misses 2-pt jump shot from 6 ft,6,4
23,1,9:09.0,Defensive rebound by K. Love,,6,4
24,1,9:01.0,C. Sexton misses 2-pt jump shot from 7 ft (block by G. Harris),,6,4
25,1,9:01.0,Offensive rebound by Team,,6,4
26,1,8:57.0,K. Love makes 2-pt jump shot from 15 ft (assist by C. Osman),,8,4
27,1,8:40.0,,W. Barton makes 2-pt jump shot from 4 ft,8,6
28,1,8:29.0,K. Love misses 3-pt jump shot from 26 ft,,8,6
29,1,8:27.0,,Defensive rebound by N. Jokić,8,6
30,1,8:21.0,,J. Grant makes 2-pt jump shot from 14 ft,8,8
31,1,8:07.0,C. Sexton makes 3-pt jump shot from 26 ft,,11,8
32,1,7:47.0,,J. Grant misses 3-pt jump shot from 25 ft,11,8
33,1,7:44.0,Defensive rebound by K. Love,,11,8
34,1,7:40.0,C. Sexton misses 2-pt jump shot from 18 ft,,11,8
35,1,7:35.0,,Defensive rebound by J. Grant,11,8
36,1,7:32.0,,G. Harris misses 3-pt jump shot from 25 ft,11,8
37,1,7:27.0,Defensive rebound by K. Love,,11,8
38,1,7:09.0,T. Thompson makes 2-pt dunk from 2 ft (assist by D. Garland),,13,8
39,1,6:41.0,,W. Barton misses 2-pt jump shot from 6 ft,13,8
40,1,6:40.0,Defensive rebound by K. Love,,13,8
41,1,6:36.0,Turnover by K. Love (out of bounds lost ball),,13,8
42,1,6:36.0,,Denver full timeout,13,8
43,1,6:36.0,B. Knight enters the game for D. Garland,,13,8
44,1,6:27.0,,J. Murray misses 2-pt layup from 2 ft,13,8
45,1,6:26.0,Defensive rebound by K. Love,,13,8
46,1,6:21.0,C. Osman makes 2-pt layup from 1 ft (assist by B. Knight),,15,8
47,1,6:04.0,,G. Harris misses 2-pt jump shot from 20 ft,15,8
48,1,6:02.0,Defensive rebound by C. Osman,,15,8
49,1,5:48.0,C. Sexton misses 3-pt jump shot from 24 ft,,15,8
50,1,5:43.0,,Defensive rebound by W. Barton,15,8
51,1,5:36.0,,J. Grant makes 2-pt dunk from 1 ft (assist by G. Harris),15,10
52,1,5:14.0,K. Love makes 2-pt layup from 3 ft,,17,10
53,1,4:50.0,,J. Grant misses 2-pt jump shot from 6 ft,17,10
54,1,4:48.0,Defensive rebound by T. Thompson,,17,10
55,1,4:35.0,T. Thompson misses 2-pt hook shot from 5 ft,,17,10
56,1,4:33.0,,Defensive rebound by W. Barton,17,10
57,1,4:27.0,,W. Barton makes 2-pt layup from 2 ft,17,12
58,1,4:11.0,C. Osman misses 3-pt jump shot from 22 ft,,17,12
59,1,4:08.0,,Defensive rebound by N. Jokić,17,12
60,1,4:02.0,,Personal foul by B. Knight (drawn by J. Murray),17,12
61,1,4:02.0,D. Garland enters the game for C. Osman,,17,12
62,1,4:02.0,A. McKinnie enters the game for C. Sexton,,17,12
63,1,3:54.0,,J. Murray misses 3-pt jump shot from 24 ft,17,12
64,1,3:50.0,Defensive rebound by A. McKinnie,,17,12
65,1,3:40.0,D. Garland makes 2-pt jump shot from 9 ft,,19,12
66,1,3:25.0,,G. Harris misses 2-pt layup from 2 ft,19,12
67,1,3:24.0,Defensive rebound by T. Thompson,,19,12
68,1,3:05.0,A. McKinnie misses 3-pt jump shot from 22 ft,,19,12
69,1,3:02.0,,Defensive rebound by J. Murray,19,12
70,1,2:54.0,,J. Grant misses 3-pt jump shot from 25 ft,19,12
71,1,2:51.0,Defensive rebound by K. Love,,19,12
72,1,2:43.0,K. Love misses 2-pt jump shot from 17 ft,,19,12
73,1,2:39.0,Offensive rebound by T. Thompson,,19,12
74,1,2:39.0,T. Thompson misses 2-pt layup from 1 ft,,19,12
75,1,2:39.0,,Defensive rebound by J. Murray,19,12
76,1,2:30.0,,N. Jokić makes 2-pt jump shot from 5 ft (assist by W. Barton),19,14
77,1,2:11.0,B. Knight misses 3-pt jump shot from 26 ft,,19,14
78,1,2:08.0,,Defensive rebound by W. Barton,19,14
79,1,1:58.0,,J. Grant misses 2-pt layup from 4 ft,19,14
80,1,1:56.0,Defensive rebound by K. Love,,19,14
81,1,1:47.0,D. Garland misses 3-pt jump shot from 24 ft,,19,14
82,1,1:44.0,Offensive rebound by A. McKinnie,,19,14
83,1,1:34.0,K. Love misses 2-pt jump shot from 21 ft,,19,14
84,1,1:29.0,,Defensive rebound by W. Barton,19,14
85,1,1:23.0,,W. Barton makes 2-pt layup from 2 ft,19,16
86,1,1:22.0,Cleveland full timeout,,19,16
87,1,1:22.0,C. Osman enters the game for K. Love,,19,16
88,1,1:22.0,A. Žižić enters the game for T. Thompson,,19,16
89,1,1:22.0,,M. Beasley enters the game for J. Grant,19,16
90,1,1:22.0,,M. Morris enters the game for G. Harris,19,16
91,1,1:22.0,,M. Plumlee enters the game for N. Jokić,19,16
92,1,1:22.0,,M. Porter enters the game for J. Murray,19,16
93,1,1:00.0,A. McKinnie makes 2-pt layup from 2 ft (assist by B. Knight),,21,16
94,1,0:50.0,,M. Porter misses 3-pt jump shot from 25 ft,21,16
95,1,0:48.0,Defensive rebound by A. Žižić,,21,16
96,1,0:36.0,A. Žižić misses 2-pt hook shot from 4 ft,,21,16
97,1,0:34.0,,Defensive rebound by M. Plumlee,21,16
98,1,0:20.0,,W. Barton misses 2-pt jump shot from 6 ft,21,16
99,1,0:19.0,,Offensive rebound by W. Barton,21,16
100,1,0:18.0,,W. Barton misses 2-pt layup from 1 ft,21,16
101,1,0:15.0,,Offensive rebound by W. Barton,21,16
102,1,0:14.0,,W. Barton makes 2-pt layup from 2 ft,21,18
103,1,0:05.0,Personal take foul by M. Morris (drawn by D. Garland),,21,18
104,1,0:05.0,K. Love enters the game for A. Žižić,,21,18
105,1,0:00.0,D. Garland makes 2-pt jump shot from 9 ft,,23,18
106,1,0:00.0,Instant Replay (Request: Ruling Stands),,23,18
107,2,11:42.0,,Turnover by M. Beasley (bad pass; steal by D. Garland),23,18
108,2,11:36.0,C. Osman makes 2-pt layup from 2 ft,,25,18
109,2,11:36.0,Shooting foul by M. Porter (drawn by C. Osman),,25,18
110,2,11:36.0,C. Osman makes free throw 1 of 1,,26,18
111,2,11:19.0,,Turnover by M. Porter (lost ball; steal by A. McKinnie),26,18
112,2,11:15.0,A. McKinnie makes 2-pt dunk from 2 ft,,28,18
113,2,11:15.0,,Denver full timeout,28,18
114,2,11:01.0,,M. Beasley misses 3-pt jump shot from 25 ft,28,18
115,2,10:57.0,,Offensive rebound by M. Plumlee,28,18
116,2,10:57.0,,Shooting foul by A. Žižić (drawn by M. Plumlee),28,18
117,2,10:57.0,,M. Plumlee misses free throw 1 of 2,28,18
118,2,10:57.0,,Offensive rebound by Team,28,18
119,2,10:57.0,,M. Plumlee makes free throw 2 of 2,28,19
120,2,10:33.0,A. Žižić makes 2-pt dunk from 1 ft (assist by D. Garland),,30,19
121,2,10:14.0,,M. Morris makes 2-pt jump shot from 17 ft (assist by M. Plumlee),30,21
122,2,10:05.0,Personal foul by M. Plumlee (drawn by A. Žižić),,30,21
123,2,10:05.0,,G. Harris enters the game for M. Porter,30,21
124,2,9:57.0,Turnover by D. Garland (lost ball; steal by G. Harris),,30,21
125,2,9:53.0,,G. Harris makes 2-pt dunk from 2 ft (assist by M. Morris),30,23
126,2,9:26.0,A. McKinnie misses 3-pt jump shot from 24 ft,,30,23
127,2,9:25.0,,Defensive rebound by Team,30,23
128,2,9:25.0,Loose ball foul by A. Žižić (drawn by M. Plumlee),,30,23
129,2,9:15.0,,M. Morris misses 3-pt jump shot from 23 ft,30,23
130,2,9:10.0,Defensive rebound by A. Žižić,,30,23
131,2,9:05.0,D. Garland makes 2-pt jump shot from 16 ft,,32,23
132,2,8:57.0,,J. Hernangómez misses 2-pt jump shot from 7 ft,32,23
133,2,8:55.0,,Offensive rebound by J. Hernangómez,32,23
134,2,8:55.0,,Shooting foul by A. McKinnie (drawn by J. Hernangómez),32,23
135,2,8:55.0,,J. Hernangómez misses free throw 1 of 2,32,23
136,2,8:55.0,,Offensive rebound by Team,32,23
137,2,8:55.0,,J. Hernangómez misses free throw 2 of 2,32,23
138,2,8:53.0,Defensive rebound by A. Žižić,,32,23
139,2,8:44.0,Turnover by D. Garland (bad pass; steal by G. Harris),,32,23
140,2,8:39.0,,M. Morris makes 3-pt jump shot from 23 ft (assist by G. Harris),32,26
141,2,8:12.0,A. McKinnie makes 2-pt layup from 4 ft (assist by C. Osman),,34,26
142,2,8:05.0,,M. Beasley misses 3-pt jump shot from 24 ft,34,26
143,2,8:03.0,Defensive rebound by A. Žižić,,34,26
144,2,7:48.0,Offensive foul by C. Osman (drawn by M. Plumlee),,34,26
145,2,7:48.0,Turnover by C. Osman (offensive foul),,34,26
146,2,7:48.0,K. Love enters the game for D. Garland,,34,26
147,2,7:48.0,C. Sexton enters the game for A. McKinnie,,34,26
148,2,7:48.0,T. Thompson enters the game for A. Žižić,,34,26
149,2,7:48.0,,J. Grant enters the game for M. Beasley,34,26
150,2,7:48.0,,J. Murray enters the game for J. Hernangómez,34,26
151,2,7:30.0,,G. Harris makes 2-pt dunk at rim (assist by M. Plumlee),34,28
