,QUARTER,TIME_REMAINING,HOUSTON_ACTION,BROOKLYN_ACTION,HOUSTON_SCORE,BROOKLYN_SCORE
0,1,11:48.0,,Shooting foul by R. Westbrook (drawn by J. Allen),0,0
1,1,11:48.0,,J. Allen misses free throw 1 of 2,0,0
2,1,11:48.0,,Offensive rebound by Team,0,0
3,1,11:48.0,,J. Allen misses free throw 2 of 2,0,0
4,1,11:46.0,Defensive rebound by C. Capela,,0,0
5,1,11:37.0,Turnover by J. Harden (bad pass; steal by J. Harris),,0,0
6,1,11:24.0,,J. Harris makes 3-pt jump shot from 25 ft (assist by K. Irving),0,3
7,1,11:03.0,J. Harden misses 3-pt jump shot from 25 ft,,0,3
8,1,11:00.0,,Defensive rebound by T. Prince,0,3
9,1,10:56.0,,Turnover by K. Irving (bad pass),0,3
10,1,10:48.0,C. Capela makes 2-pt dunk from 1 ft (assist by R. Westbrook),,2,3
11,1,10:30.0,,J. Allen makes 2-pt dunk from 2 ft (assist by K. Irving),2,5
12,1,10:11.0,R. Westbrook misses 2-pt jump shot from 9 ft,,2,5
13,1,10:09.0,Offensive rebound by D. House,,2,5
14,1,9:59.0,P. Tucker makes 3-pt jump shot from 22 ft (assist by R. Westbrook),,5,5
15,1,9:40.0,,T. Prince makes 3-pt jump shot from 23 ft (assist by C. LeVert),5,8
16,1,9:28.0,Shooting foul by C. LeVert (drawn by J. Harden),,5,8
17,1,9:28.0,J. Harden makes free throw 1 of 2,,6,8
18,1,9:28.0,J. Harden makes free throw 2 of 2,,7,8
19,1,9:18.0,,T. Prince makes 3-pt jump shot from 25 ft (assist by C. LeVert),7,11
20,1,8:57.0,C. Capela makes 2-pt hook shot from 2 ft (assist by R. Westbrook),,9,11
21,1,8:47.0,,Turnover by K. Irving (bad pass; steal by C. Capela),9,11
22,1,8:43.0,R. Westbrook makes 2-pt layup from 1 ft,,11,11
23,1,8:30.0,,T. Prince misses 3-pt jump shot from 25 ft,11,11
24,1,8:30.0,Defensive rebound by R. Westbrook,,11,11
25,1,8:21.0,J. Harden misses 3-pt jump shot from 25 ft,,11,11
26,1,8:21.0,,Defensive rebound by T. Prince,11,11
27,1,8:16.0,,Turnover by C. LeVert (dbl dribble),11,11
28,1,8:03.0,C. Capela misses 2-pt hook shot from 5 ft,,11,11
29,1,8:01.0,,Defensive rebound by T. Prince,11,11
30,1,7:46.0,,Turnover by K. Irving (bad pass; steal by P. Tucker),11,11
31,1,7:36.0,C. Capela misses 2-pt layup from 1 ft,,11,11
32,1,7:35.0,,Defensive rebound by T. Prince,11,11
33,1,7:30.0,,T. Prince makes 2-pt layup from 2 ft,11,13
34,1,7:09.0,,Instant Replay (Request: Ruling Stands),11,13
35,1,7:09.0,Turnover by J. Harden (step out of bounds),,11,13
36,1,7:08.0,,Brooklyn full timeout,11,13
37,1,7:08.0,E. Gordon enters the game for D. House,,11,13
38,1,7:08.0,,G. Temple enters the game for C. LeVert,11,13
39,1,6:56.0,,J. Harris misses 2-pt layup from 4 ft,11,13
40,1,6:55.0,,Offensive rebound by J. Harris,11,13
41,1,6:55.0,,J. Harris misses 2-pt layup from 1 ft,11,13
42,1,6:52.0,,Offensive rebound by J. Harris,11,13
43,1,6:52.0,,J. Harris makes 2-pt layup from 1 ft,11,15
44,1,6:47.0,R. Westbrook misses 2-pt layup from 1 ft (block by J. Allen),,11,15
45,1,6:45.0,,Defensive rebound by J. Allen,11,15
46,1,6:42.0,,T. Prince makes 2-pt layup from 2 ft (assist by K. Irving),11,17
47,1,6:30.0,R. Westbrook misses 2-pt jump shot from 17 ft,,11,17
48,1,6:27.0,,Defensive rebound by T. Prince,11,17
49,1,6:14.0,,G. Temple misses 3-pt jump shot from 25 ft,11,17
50,1,6:12.0,Defensive rebound by E. Gordon,,11,17
51,1,6:02.0,C. Capela makes 2-pt dunk from 1 ft (assist by J. Harden),,13,17
