,QUARTER,TIME_REMAINING,MIAMI_ACTION,CLEVELAND_ACTION,MIAMI_SCORE,CLEVELAND_SCORE
0,1,11:44.0,D. Robinson makes 3-pt jump shot from 28 ft (assist by K. Olynyk),,3,0
1,1,11:24.0,,Turnover by A. Drummond (back court),3,0
2,1,11:06.0,K. Nunn makes 2-pt jump shot from 21 ft (assist by K. Olynyk),,5,0
3,1,10:45.0,,K. Love misses 3-pt jump shot from 27 ft,5,0
4,1,10:43.0,Defensive rebound by B. Adebayo,,5,0
5,1,10:28.0,K. Nunn makes 2-pt jump shot from 19 ft (assist by K. Olynyk),,7,0
6,1,10:06.0,,C. Osman misses 3-pt jump shot from 25 ft,7,0
7,1,10:04.0,Defensive rebound by K. Nunn,,7,0
8,1,9:55.0,B. Adebayo misses 2-pt jump shot from 20 ft,,7,0
9,1,9:52.0,,Defensive rebound by K. Love,7,0
10,1,9:48.0,,Turnover by K. Love (bad pass; steal by D. Jones),7,0
11,1,9:43.0,B. Adebayo makes 2-pt layup from 2 ft (assist by D. Robinson),,9,0
12,1,9:43.0,Shooting foul by A. Drummond (drawn by B. Adebayo),,9,0
13,1,9:43.0,B. Adebayo makes free throw 1 of 1,,10,0
14,1,9:28.0,,K. Love misses 2-pt jump shot from 18 ft,10,0
15,1,9:24.0,Defensive rebound by B. Adebayo,,10,0
16,1,9:22.0,K. Olynyk misses 3-pt jump shot from 30 ft,,10,0
17,1,9:20.0,,Defensive rebound by A. Drummond,10,0
18,1,9:05.0,,Turnover by K. Love (bad pass; steal by B. Adebayo),10,0
19,1,9:00.0,Turnover by B. Adebayo (bad pass; steal by D. Garland),,10,0
20,1,8:54.0,,C. Osman makes 3-pt jump shot from 26 ft (assist by D. Garland),10,3
21,1,8:43.0,K. Nunn misses 2-pt layup from 1 ft,,10,3
22,1,8:39.0,,Defensive rebound by K. Love,10,3
23,1,8:18.0,,K. Love makes 3-pt jump shot from 23 ft (assist by D. Garland),10,6
24,1,8:08.0,K. Olynyk makes 3-pt jump shot from 28 ft (assist by B. Adebayo),,13,6
25,1,8:02.0,,Personal foul by K. Olynyk (drawn by A. Drummond),13,6
26,1,7:52.0,,Shooting foul by K. Olynyk (drawn by K. Love),13,6
27,1,7:52.0,,K. Love misses free throw 1 of 3,13,6
28,1,7:52.0,,Offensive rebound by Team,13,6
29,1,7:52.0,,K. Love makes free throw 2 of 3,13,7
30,1,7:52.0,J. Crowder enters the game for K. Olynyk,,13,7
31,1,7:52.0,,K. Love makes free throw 3 of 3,13,8
32,1,7:42.0,D. Robinson makes 3-pt jump shot from 27 ft,,16,8
33,1,7:30.0,,A. Drummond misses 2-pt dunk from 1 ft,16,8
34,1,7:27.0,Defensive rebound by D. Jones,,16,8
35,1,7:21.0,K. Nunn misses 3-pt jump shot from 26 ft,,16,8
36,1,7:18.0,,Defensive rebound by K. Love,16,8
37,1,7:03.0,,C. Sexton misses 2-pt jump shot from 7 ft (block by B. Adebayo),16,8
38,1,7:00.0,Defensive rebound by D. Robinson,,16,8
39,1,6:46.0,B. Adebayo makes 2-pt layup from 1 ft (assist by K. Nunn),,18,8
40,1,6:45.0,,Cleveland full timeout,18,8
41,1,6:45.0,,K. Porter enters the game for C. Sexton,18,8
42,1,6:31.0,,D. Garland makes 2-pt jump shot from 7 ft (assist by K. Porter),18,10
43,1,6:06.0,B. Adebayo misses 2-pt jump shot from 7 ft,,18,10
44,1,6:04.0,,Defensive rebound by C. Osman,18,10
45,1,5:58.0,,A. Drummond misses 3-pt jump shot from 27 ft,18,10
46,1,5:55.0,Defensive rebound by J. Crowder,,18,10
47,1,5:43.0,Shooting foul by C. Osman (drawn by J. Crowder),,18,10
48,1,5:43.0,J. Crowder makes free throw 1 of 3,,19,10
49,1,5:43.0,J. Crowder misses free throw 2 of 3,,19,10
50,1,5:43.0,Offensive rebound by Team,,19,10
51,1,5:43.0,G. Dragić enters the game for D. Robinson,,19,10
52,1,5:43.0,J. Crowder makes free throw 3 of 3,,20,10
53,1,5:34.0,,Turnover by D. Garland (bad pass),20,10
54,1,5:20.0,J. Crowder misses 3-pt jump shot from 27 ft (block by A. Drummond),,20,10
55,1,5:15.0,,Defensive rebound by K. Love,20,10
56,1,5:08.0,,K. Love misses 3-pt jump shot from 25 ft,20,10
57,1,5:01.0,Defensive rebound by J. Crowder,,20,10
58,1,4:53.0,K. Nunn misses 2-pt jump shot from 17 ft,,20,10
59,1,4:51.0,,Defensive rebound by A. Drummond,20,10
60,1,4:42.0,,D. Garland misses 2-pt jump shot from 23 ft,20,10
61,1,4:40.0,Defensive rebound by J. Crowder,,20,10
62,1,4:15.0,B. Adebayo makes 2-pt jump shot from 16 ft,,22,10
63,1,4:07.0,,A. Drummond misses 2-pt layup at rim,22,10
64,1,4:04.0,Defensive rebound by J. Crowder,,22,10
65,1,3:58.0,G. Dragić misses 3-pt jump shot from 33 ft,,22,10
66,1,3:55.0,,Defensive rebound by K. Love,22,10
67,1,3:46.0,,D. Garland misses 2-pt jump shot from 13 ft,22,10
68,1,3:44.0,Defensive rebound by G. Dragić,,22,10
69,1,3:39.0,Miami full timeout,,22,10
70,1,3:39.0,A. Iguodala enters the game for B. Adebayo,,22,10
71,1,3:39.0,C. Silva enters the game for D. Jones,,22,10
72,1,3:39.0,,D. Exum enters the game for A. Drummond,22,10
73,1,3:39.0,,L. Nance enters the game for D. Garland,22,10
74,1,3:39.0,,C. Sexton enters the game for K. Love,22,10
75,1,3:39.0,,T. Thompson enters the game for C. Osman,22,10
76,1,3:28.0,A. Iguodala misses 2-pt hook shot from 6 ft,,22,10
77,1,3:28.0,Offensive rebound by C. Silva,,22,10
78,1,3:28.0,Shooting foul by T. Thompson (drawn by C. Silva),,22,10
79,1,3:28.0,C. Silva makes free throw 1 of 2,,23,10
80,1,3:28.0,C. Silva makes free throw 2 of 2,,24,10
81,1,3:15.0,,K. Porter makes 3-pt jump shot from 25 ft (assist by C. Sexton),24,13
82,1,3:02.0,C. Silva misses 2-pt hook shot from 7 ft,,24,13
83,1,3:00.0,Offensive rebound by G. Dragić,,24,13
84,1,2:57.0,J. Crowder misses 3-pt jump shot from 23 ft,,24,13
85,1,2:53.0,,Defensive rebound by L. Nance,24,13
86,1,2:42.0,,L. Nance misses 2-pt layup from 2 ft,24,13
