,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,ATLANTA_ACTION,GOLDEN STATE_SCORE,ATLANTA_SCORE
0,1,11:44.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by A. Burks),,2,0
1,1,11:31.0,,D. Jones misses 2-pt hook shot from 6 ft,2,0
2,1,11:26.0,Defensive rebound by E. Paschall,,2,0
3,1,11:19.0,K. Looney misses 2-pt jump shot from 16 ft,,2,0
4,1,11:15.0,,Defensive rebound by J. Parker,2,0
5,1,11:05.0,,D. Jones makes 2-pt dunk from 1 ft (assist by J. Parker),2,2
6,1,10:40.0,G. Robinson misses 2-pt jump shot from 19 ft,,2,2
7,1,10:37.0,Offensive rebound by E. Paschall,,2,2
8,1,10:31.0,Shooting foul by D. Jones (drawn by E. Paschall),,2,2
9,1,10:31.0,E. Paschall misses free throw 1 of 2,,2,2
10,1,10:31.0,Offensive rebound by Team,,2,2
11,1,10:31.0,E. Paschall makes free throw 2 of 2,,3,2
12,1,10:19.0,,T. Young makes 2-pt layup from 1 ft,3,4
13,1,10:09.0,A. Burks misses 2-pt layup from 10 ft,,3,4
14,1,10:09.0,Offensive rebound by Team,,3,4
15,1,9:58.0,Turnover by W. Cauley-Stein (traveling),,3,4
16,1,9:47.0,,J. Parker misses 2-pt jump shot from 19 ft,3,4
17,1,9:44.0,Defensive rebound by E. Paschall,,3,4
18,1,9:37.0,E. Paschall makes 2-pt layup from 1 ft,,5,4
19,1,9:15.0,,D. Bembry misses 2-pt layup from 1 ft,5,4
20,1,9:13.0,Defensive rebound by W. Cauley-Stein,,5,4
21,1,9:01.0,A. Burks misses 2-pt jump shot from 12 ft,,5,4
22,1,8:58.0,,Defensive rebound by D. Jones,5,4
23,1,8:50.0,,J. Parker misses 3-pt jump shot from 24 ft,5,4
24,1,8:47.0,,Offensive rebound by D. Jones,5,4
25,1,8:46.0,,Shooting foul by W. Cauley-Stein (drawn by D. Jones),5,4
26,1,8:46.0,,D. Jones makes free throw 1 of 2,5,5
27,1,8:46.0,,D. Jones makes free throw 2 of 2,5,6
