,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,PORTLAND_ACTION,SAN ANTONIO_SCORE,PORTLAND_SCORE
0,1,11:43.0,L. Aldridge misses 3-pt jump shot from 24 ft,,0,0
1,1,11:40.0,,Defensive rebound by H. Whiteside,0,0
2,1,11:22.0,,H. Whiteside makes 2-pt dunk from 1 ft (assist by D. Lillard),0,2
3,1,11:11.0,B. Forbes misses 2-pt layup from 11 ft (block by C. McCollum),,0,2
4,1,11:11.0,,Defensive rebound by Team,0,2
5,1,10:47.0,,Turnover by H. Whiteside (bad pass; steal by L. Aldridge),0,2
6,1,10:42.0,D. DeRozan makes 2-pt layup from 2 ft (assist by D. Murray),,2,2
7,1,10:32.0,,C. McCollum makes 2-pt jump shot from 9 ft,2,4
8,1,10:15.0,L. Aldridge misses 2-pt jump shot from 20 ft,,2,4
9,1,10:14.0,,Defensive rebound by H. Whiteside,2,4
10,1,10:01.0,,D. Lillard makes 2-pt layup from 1 ft,2,6
11,1,9:43.0,L. Aldridge makes 2-pt jump shot from 11 ft,,4,6
12,1,9:29.0,,C. McCollum makes 2-pt jump shot from 13 ft,4,8
13,1,9:10.0,D. Murray misses 2-pt jump shot from 21 ft,,4,8
14,1,9:07.0,,Defensive rebound by T. Ariza,4,8
15,1,9:01.0,,D. Lillard misses 3-pt jump shot from 28 ft,4,8
16,1,8:58.0,Defensive rebound by T. Lyles,,4,8
17,1,8:45.0,T. Lyles misses 3-pt jump shot from 23 ft,,4,8
18,1,8:43.0,,Defensive rebound by C. Anthony,4,8
19,1,8:32.0,,C. Anthony makes 2-pt jump shot from 15 ft (assist by T. Ariza),4,10
20,1,8:31.0,San Antonio full timeout,,4,10
21,1,8:07.0,D. Murray misses 2-pt jump shot from 5 ft,,4,10
22,1,8:04.0,Offensive rebound by L. Aldridge,,4,10
23,1,8:04.0,L. Aldridge makes 2-pt layup from 1 ft,,6,10
24,1,7:52.0,,Turnover by H. Whiteside (lost ball; steal by D. DeRozan),6,10
25,1,7:39.0,B. Forbes misses 2-pt jump shot from 22 ft,,6,10
26,1,7:38.0,,Defensive rebound by H. Whiteside,6,10
27,1,7:31.0,,T. Ariza misses 3-pt jump shot from 24 ft,6,10
28,1,7:28.0,Defensive rebound by T. Lyles,,6,10
29,1,7:21.0,D. DeRozan misses 2-pt jump shot from 17 ft,,6,10
30,1,7:19.0,,Defensive rebound by H. Whiteside,6,10
31,1,7:02.0,,D. Lillard misses 2-pt jump shot from 17 ft,6,10
32,1,6:59.0,Defensive rebound by T. Lyles,,6,10
33,1,6:56.0,Shooting foul by C. McCollum (drawn by D. Murray),,6,10
34,1,6:56.0,D. Murray makes free throw 1 of 2,,7,10
35,1,6:56.0,D. Murray makes free throw 2 of 2,,8,10
36,1,6:41.0,,C. McCollum makes 3-pt jump shot from 23 ft (assist by C. Anthony),8,13
37,1,6:29.0,T. Lyles makes 3-pt jump shot from 26 ft (assist by L. Aldridge),,11,13
38,1,6:15.0,,H. Whiteside makes 2-pt layup at rim (assist by D. Lillard),11,15
39,1,6:15.0,,Shooting foul by B. Forbes (drawn by H. Whiteside),11,15
40,1,6:15.0,,H. Whiteside misses free throw 1 of 1,11,15
41,1,6:12.0,Defensive rebound by T. Lyles,,11,15
42,1,6:03.0,Personal foul by C. Anthony (drawn by T. Lyles),,11,15
43,1,5:54.0,B. Forbes makes 3-pt jump shot from 27 ft (assist by D. DeRozan),,14,15
44,1,5:33.0,,C. McCollum misses 2-pt jump shot from 21 ft,14,15
45,1,5:31.0,Defensive rebound by D. Murray,,14,15
46,1,5:25.0,L. Aldridge makes 3-pt jump shot from 25 ft (assist by D. Murray),,17,15
47,1,5:10.0,,C. Anthony misses 3-pt jump shot from 24 ft,17,15
48,1,5:06.0,Defensive rebound by D. DeRozan,,17,15
49,1,4:56.0,Shooting foul by C. McCollum (drawn by B. Forbes),,17,15
50,1,4:56.0,B. Forbes makes free throw 1 of 3,,18,15
51,1,4:56.0,B. Forbes makes free throw 2 of 3,,19,15
52,1,4:56.0,D. White enters the game for D. Murray,,19,15
53,1,4:56.0,,G. Trent enters the game for C. McCollum,19,15
54,1,4:56.0,B. Forbes makes free throw 3 of 3,,20,15
55,1,4:43.0,,D. Lillard makes 2-pt jump shot from 18 ft,20,17
56,1,4:30.0,T. Lyles makes 2-pt jump shot from 17 ft (assist by L. Aldridge),,22,17
57,1,4:15.0,,G. Trent makes 3-pt jump shot from 22 ft (assist by C. Anthony),22,20
58,1,3:57.0,L. Aldridge misses 3-pt jump shot from 24 ft,,22,20
59,1,3:55.0,,Defensive rebound by T. Ariza,22,20
60,1,3:45.0,,C. Anthony misses 2-pt layup from 2 ft (block by L. Aldridge),22,20
61,1,3:44.0,Defensive rebound by L. Aldridge,,22,20
62,1,3:25.0,D. DeRozan makes 2-pt jump shot from 9 ft,,24,20
63,1,3:23.0,,Portland full timeout,24,20
64,1,3:23.0,R. Gay enters the game for B. Forbes,,24,20
65,1,3:23.0,P. Mills enters the game for T. Lyles,,24,20
66,1,3:23.0,,M. Hezonja enters the game for C. Anthony,24,20
67,1,3:14.0,,D. Lillard makes 3-pt jump shot from 33 ft,24,23
68,1,2:48.0,L. Aldridge misses 2-pt layup from 1 ft,,24,23
69,1,2:47.0,Offensive rebound by L. Aldridge,,24,23
70,1,2:47.0,L. Aldridge misses 2-pt hook shot from 2 ft,,24,23
71,1,2:45.0,,Defensive rebound by D. Lillard,24,23
72,1,2:37.0,,D. Lillard misses 3-pt jump shot from 26 ft,24,23
73,1,2:33.0,,Offensive rebound by H. Whiteside,24,23
74,1,2:20.0,,G. Trent misses 3-pt jump shot from 24 ft,24,23
75,1,2:17.0,Defensive rebound by L. Aldridge,,24,23
76,1,2:10.0,P. Mills makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,27,23
77,1,1:52.0,,Turnover by T. Ariza (out of bounds lost ball),27,23
78,1,1:52.0,L. Walker enters the game for D. DeRozan,,27,23
79,1,1:52.0,,A. Simons enters the game for T. Ariza,27,23
80,1,1:40.0,L. Aldridge misses 2-pt jump shot from 16 ft (block by H. Whiteside),,27,23
81,1,1:37.0,Offensive rebound by L. Aldridge,,27,23
82,1,1:35.0,L. Aldridge makes 2-pt jump shot from 1 ft,,29,23
83,1,1:23.0,,D. Lillard makes 2-pt layup from 1 ft,29,25
84,1,1:12.0,L. Aldridge makes 3-pt jump shot from 25 ft (assist by D. White),,32,25
85,1,0:51.0,,H. Whiteside misses 2-pt layup from 4 ft (block by L. Walker),32,25
86,1,0:51.0,,Offensive rebound by Team,32,25
87,1,0:48.0,,H. Whiteside misses 2-pt jump shot from 21 ft,32,25
88,1,0:46.0,Defensive rebound by Team,,32,25
89,1,0:34.0,D. White makes 2-pt jump shot from 7 ft,,34,25
90,1,0:34.0,Shooting foul by D. Lillard (drawn by D. White),,34,25
91,1,0:34.0,D. White makes free throw 1 of 1,,35,25
92,1,0:13.0,,D. Lillard misses 2-pt jump shot from 21 ft,35,25
93,1,0:11.0,,Offensive rebound by H. Whiteside,35,25
94,1,0:11.0,,H. Whiteside makes 2-pt layup from 2 ft,35,27
95,1,0:01.0,L. Walker misses 2-pt layup from 2 ft,,35,27
96,1,0:01.0,,Defensive rebound by H. Whiteside,35,27
97,2,11:38.0,,A. Simons misses 3-pt jump shot from 25 ft,35,27
98,2,11:36.0,Defensive rebound by R. Gay,,35,27
99,2,11:23.0,P. Mills misses 3-pt jump shot from 25 ft,,35,27
100,2,11:22.0,,Defensive rebound by C. Swanigan,35,27
101,2,11:13.0,,C. McCollum misses 3-pt jump shot from 26 ft,35,27
102,2,11:11.0,Defensive rebound by J. Poeltl,,35,27
103,2,11:03.0,R. Gay makes 2-pt jump shot from 22 ft (assist by J. Poeltl),,37,27
104,2,10:44.0,,C. Anthony misses 3-pt jump shot from 25 ft,37,27
105,2,10:43.0,Defensive rebound by Team,,37,27
106,2,10:32.0,J. Poeltl misses 2-pt layup from 4 ft,,37,27
107,2,10:31.0,,Defensive rebound by C. McCollum,37,27
108,2,10:25.0,,C. McCollum makes 2-pt jump shot from 7 ft,37,29
109,2,10:13.0,L. Walker makes 2-pt layup from 1 ft (assist by P. Mills),,39,29
110,2,10:13.0,,Portland full timeout,39,29
111,2,9:52.0,,G. Trent makes 3-pt jump shot from 26 ft,39,32
112,2,9:36.0,Shooting foul by C. Anthony (drawn by J. Poeltl),,39,32
113,2,9:36.0,J. Poeltl misses free throw 1 of 2,,39,32
114,2,9:36.0,Offensive rebound by Team,,39,32
115,2,9:36.0,J. Poeltl misses free throw 2 of 2,,39,32
116,2,9:34.0,,Defensive rebound by C. Anthony,39,32
117,2,9:19.0,,C. McCollum misses 3-pt jump shot from 25 ft,39,32
118,2,9:16.0,Defensive rebound by P. Mills,,39,32
119,2,9:10.0,P. Mills misses 2-pt jump shot from 20 ft,,39,32
120,2,9:08.0,,Defensive rebound by C. Anthony,39,32
121,2,9:01.0,,A. Simons makes 3-pt jump shot from 25 ft,39,35
122,2,8:46.0,R. Gay makes 2-pt jump shot from 19 ft (assist by J. Poeltl),,41,35
123,2,8:31.0,,Turnover by C. McCollum (bad pass; steal by R. Gay),41,35
124,2,8:26.0,R. Gay misses 2-pt layup from 3 ft (block by G. Trent),,41,35
125,2,8:24.0,,Defensive rebound by C. Anthony,41,35
126,2,8:19.0,,C. Swanigan makes 2-pt layup from 1 ft (assist by G. Trent),41,37
127,2,8:01.0,D. White misses 2-pt jump shot from 2 ft,,41,37
128,2,8:00.0,,Defensive rebound by C. Swanigan,41,37
129,2,7:54.0,,A. Simons misses 3-pt jump shot from 23 ft,41,37
130,2,7:52.0,Defensive rebound by L. Walker,,41,37
131,2,7:49.0,Personal foul by G. Trent (drawn by L. Walker),,41,37
132,2,7:49.0,D. DeRozan enters the game for L. Walker,,41,37
133,2,7:49.0,D. Murray enters the game for D. White,,41,37
134,2,7:49.0,,T. Ariza enters the game for G. Trent,41,37
135,2,7:40.0,D. DeRozan misses 2-pt jump shot from 7 ft,,41,37
136,2,7:38.0,Offensive rebound by Team,,41,37
137,2,7:35.0,D. DeRozan misses 2-pt jump shot from 16 ft,,41,37
138,2,7:32.0,,Defensive rebound by C. Swanigan,41,37
139,2,7:24.0,,C. McCollum makes 2-pt layup at rim,41,39
140,2,7:24.0,San Antonio full timeout,,41,39
141,2,7:24.0,B. Forbes enters the game for P. Mills,,41,39
142,2,7:12.0,Turnover by D. DeRozan (traveling),,41,39
143,2,6:52.0,,A. Simons makes 3-pt jump shot from 26 ft (assist by C. McCollum),41,42
144,2,6:36.0,D. Murray makes 2-pt jump shot from 2 ft (assist by B. Forbes),,43,42
145,2,6:18.0,,C. Anthony makes 2-pt jump shot from 5 ft,43,44
146,2,6:03.0,B. Forbes makes 2-pt jump shot from 3 ft (assist by R. Gay),,45,44
147,2,5:47.0,,A. Simons makes 2-pt jump shot from 15 ft (assist by C. Swanigan),45,46
148,2,5:37.0,Offensive foul by B. Forbes (drawn by A. Simons),,45,46
149,2,5:37.0,Turnover by B. Forbes (offensive foul),,45,46
150,2,5:37.0,L. Aldridge enters the game for R. Gay,,45,46
151,2,5:37.0,T. Lyles enters the game for J. Poeltl,,45,46
152,2,5:37.0,,M. Hezonja enters the game for C. Anthony,45,46
153,2,5:37.0,,D. Lillard enters the game for C. McCollum,45,46
