,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,MINNESOTA_ACTION,CLEVELAND_SCORE,MINNESOTA_SCORE
0,1,11:44.0,T. Thompson misses 2-pt jump shot from 9 ft,,0,0
1,1,11:42.0,,Defensive rebound by G. Dieng,0,0
2,1,11:32.0,,Turnover by S. Napier (bad pass),0,0
3,1,11:17.0,Turnover by D. Garland (bad pass; steal by R. Covington),,0,0
4,1,11:12.0,,J. Culver makes 2-pt layup from 4 ft (assist by R. Covington),0,2
5,1,10:55.0,C. Sexton misses 2-pt jump shot from 15 ft,,0,2
6,1,10:54.0,Offensive rebound by T. Thompson,,0,2
7,1,10:53.0,Shooting foul by G. Dieng (drawn by T. Thompson),,0,2
8,1,10:53.0,T. Thompson makes free throw 1 of 2,,1,2
9,1,10:53.0,T. Thompson makes free throw 2 of 2,,2,2
10,1,10:41.0,,S. Napier misses 3-pt jump shot from 26 ft,2,2
11,1,10:39.0,Defensive rebound by C. Sexton,,2,2
12,1,10:32.0,D. Garland makes 3-pt jump shot from 23 ft (assist by C. Osman),,5,2
13,1,10:15.0,,Turnover by T. Graham (step out of bounds),5,2
14,1,10:03.0,C. Sexton makes 2-pt jump shot from 10 ft,,7,2
15,1,9:49.0,,J. Culver misses 2-pt jump shot from 11 ft,7,2
16,1,9:48.0,,Offensive rebound by G. Dieng,7,2
17,1,9:48.0,,G. Dieng makes 2-pt layup from 1 ft,7,4
18,1,9:48.0,,Shooting foul by D. Garland (drawn by G. Dieng),7,4
19,1,9:48.0,,G. Dieng makes free throw 1 of 1,7,5
20,1,9:43.0,L. Nance makes 3-pt jump shot from 25 ft (assist by D. Garland),,10,5
21,1,9:24.0,,S. Napier misses 2-pt jump shot from 14 ft,10,5
22,1,9:22.0,Defensive rebound by T. Thompson,,10,5
23,1,9:13.0,C. Sexton makes 2-pt jump shot from 9 ft,,12,5
24,1,8:49.0,,S. Napier makes 3-pt jump shot from 25 ft,12,8
25,1,8:32.0,C. Sexton misses 3-pt jump shot from 25 ft,,12,8
26,1,8:31.0,,Defensive rebound by S. Napier,12,8
27,1,8:23.0,,S. Napier makes 2-pt layup at rim,12,10
