,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,NEW ORLEANS_ACTION,LA LAKERS_SCORE,NEW ORLEANS_SCORE
0,1,11:46.0,A. Davis misses 2-pt jump shot from 19 ft,,0,0
1,1,11:42.0,,Defensive rebound by B. Ingram,0,0
2,1,11:29.0,,J. Redick misses 2-pt jump shot from 14 ft,0,0
3,1,11:26.0,Defensive rebound by A. Davis,,0,0
4,1,11:18.0,D. Green makes 2-pt layup from 2 ft (assist by A. Davis),,2,0
5,1,11:00.0,,Turnover by J. Hayes (bad pass; steal by D. Green),2,0
6,1,10:55.0,A. Davis makes 2-pt dunk from 1 ft (assist by L. James),,4,0
7,1,10:49.0,,B. Ingram makes 3-pt jump shot from 26 ft,4,3
8,1,10:43.0,Turnover by L. James (bad pass; steal by J. Holiday),,4,3
9,1,10:38.0,,Turnover by J. Holiday (lost ball; steal by L. James),4,3
10,1,10:30.0,Turnover by J. McGee (bad pass; steal by J. Holiday),,4,3
11,1,10:26.0,,J. Holiday makes 3-pt jump shot from 26 ft,4,6
12,1,10:12.0,A. Davis misses 2-pt jump shot from 15 ft,,4,6
13,1,10:08.0,,Defensive rebound by B. Ingram,4,6
14,1,9:58.0,,J. Holiday misses 2-pt jump shot from 9 ft,4,6
15,1,9:55.0,Defensive rebound by J. McGee,,4,6
16,1,9:37.0,A. Davis misses 2-pt jump shot from 12 ft,,4,6
17,1,9:35.0,,Defensive rebound by B. Ingram,4,6
18,1,9:31.0,,Offensive foul by B. Ingram (drawn by D. Green),4,6
19,1,9:31.0,,Turnover by B. Ingram (offensive foul),4,6
20,1,9:17.0,Turnover by D. Green (bad pass),,4,6
21,1,9:05.0,,J. Holiday misses 2-pt layup from 3 ft,4,6
22,1,9:00.0,Defensive rebound by J. McGee,,4,6
23,1,8:56.0,L. James makes 2-pt layup from 2 ft,,6,6
24,1,8:45.0,,B. Ingram misses 3-pt jump shot from 25 ft,6,6
25,1,8:42.0,,Offensive rebound by K. Williams,6,6
26,1,8:37.0,,J. Redick misses 2-pt jump shot from 18 ft,6,6
27,1,8:37.0,Defensive rebound by Team,,6,6
