,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,SACRAMENTO_ACTION,MINNESOTA_SCORE,SACRAMENTO_SCORE
0,1,11:44.0,S. Napier misses 3-pt jump shot from 26 ft,,0,0
1,1,11:39.0,,Defensive rebound by N. Bjelica,0,0
2,1,11:29.0,,Shooting foul by S. Napier (drawn by D. Fox),0,0
3,1,11:29.0,,D. Fox makes free throw 1 of 2,0,1
4,1,11:29.0,,D. Fox misses free throw 2 of 2,0,1
5,1,11:25.0,,Offensive rebound by D. Dedmon,0,1
6,1,11:14.0,,H. Barnes misses 2-pt hook shot from 10 ft,0,1
7,1,11:11.0,,Offensive rebound by D. Dedmon,0,1
8,1,11:03.0,,D. Fox makes 2-pt dunk at rim (assist by D. Dedmon),0,3
9,1,10:45.0,R. Covington makes 2-pt jump shot from 8 ft (assist by S. Napier),,2,3
10,1,10:31.0,,H. Barnes misses 2-pt layup from 8 ft (block by R. Covington),2,3
11,1,10:31.0,,Offensive rebound by Team,2,3
12,1,10:21.0,,B. Bogdanović misses 2-pt jump shot from 12 ft,2,3
13,1,10:17.0,,Offensive rebound by N. Bjelica,2,3
14,1,10:17.0,,N. Bjelica misses 2-pt layup at rim,2,3
15,1,10:16.0,Defensive rebound by J. Culver,,2,3
16,1,10:13.0,J. Culver misses 2-pt layup from 4 ft,,2,3
17,1,10:11.0,,Defensive rebound by D. Dedmon,2,3
18,1,10:07.0,,D. Fox misses 2-pt layup from 3 ft (block by K. Towns),2,3
19,1,10:05.0,Defensive rebound by A. Wiggins,,2,3
20,1,10:05.0,Personal take foul by B. Bogdanović (drawn by A. Wiggins),,2,3
21,1,9:43.0,J. Culver misses 2-pt jump shot from 11 ft,,2,3
22,1,9:41.0,,Defensive rebound by H. Barnes,2,3
23,1,9:27.0,,D. Dedmon makes 2-pt jump shot from 12 ft (assist by D. Fox),2,5
24,1,9:15.0,S. Napier misses 3-pt jump shot from 27 ft,,2,5
25,1,9:12.0,,Defensive rebound by D. Dedmon,2,5
