,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,INDIANA_ACTION,CHARLOTTE_SCORE,INDIANA_SCORE
0,1,11:40.0,C. Zeller misses 2-pt layup from 2 ft,,0,0
1,1,11:36.0,Offensive rebound by C. Zeller,,0,0
2,1,11:36.0,C. Zeller makes 2-pt layup at rim,,2,0
3,1,11:17.0,,M. Brogdon misses 2-pt jump shot from 19 ft,2,0
4,1,11:14.0,Defensive rebound by D. Graham,,2,0
5,1,11:08.0,Turnover by D. Graham (bad pass; steal by J. Lamb),,2,0
6,1,11:04.0,,J. Lamb misses 2-pt layup from 3 ft (block by D. Graham),2,0
7,1,11:01.0,Defensive rebound by T. Rozier,,2,0
8,1,10:58.0,M. Bridges misses 3-pt jump shot from 24 ft,,2,0
9,1,10:54.0,,Defensive rebound by D. Sabonis,2,0
10,1,10:45.0,,D. Sabonis misses 2-pt jump shot from 16 ft,2,0
11,1,10:41.0,Defensive rebound by D. Graham,,2,0
12,1,10:31.0,T. Rozier misses 2-pt jump shot from 14 ft,,2,0
13,1,10:28.0,,Defensive rebound by T. Warren,2,0
14,1,10:19.0,,T. Warren misses 2-pt jump shot from 21 ft,2,0
15,1,10:16.0,Defensive rebound by B. Biyombo,,2,0
16,1,10:09.0,D. Graham misses 3-pt jump shot from 25 ft,,2,0
17,1,10:05.0,Offensive rebound by B. Biyombo,,2,0
18,1,9:55.0,M. Bridges makes 3-pt jump shot from 23 ft (assist by B. Biyombo),,5,0
19,1,9:34.0,,M. Brogdon makes 2-pt jump shot from 20 ft,5,2
20,1,9:12.0,B. Biyombo misses 2-pt layup from 2 ft (block by M. Turner),,5,2
21,1,9:09.0,Offensive rebound by C. Zeller,,5,2
22,1,9:06.0,Turnover by Team (shot clock),,5,2
23,1,8:55.0,,D. Sabonis makes 2-pt layup from 2 ft (assist by J. Lamb),5,4
24,1,8:40.0,Shooting foul by D. Sabonis (drawn by C. Zeller),,5,4
25,1,8:40.0,C. Zeller makes free throw 1 of 2,,6,4
26,1,8:40.0,C. Zeller misses free throw 2 of 2,,6,4
27,1,8:38.0,,Defensive rebound by D. Sabonis,6,4
28,1,8:27.0,,M. Turner makes 2-pt layup from 2 ft (assist by M. Brogdon),6,6
29,1,8:16.0,C. Zeller misses 3-pt jump shot from 25 ft,,6,6
30,1,8:12.0,,Defensive rebound by M. Turner,6,6
31,1,8:07.0,,Shooting foul by T. Rozier (drawn by J. Lamb),6,6
32,1,8:07.0,,J. Lamb makes free throw 1 of 2,6,7
33,1,8:07.0,,J. Lamb makes free throw 2 of 2,6,8
34,1,7:44.0,D. Graham misses 2-pt jump shot from 13 ft,,6,8
35,1,7:41.0,,Defensive rebound by D. Sabonis,6,8
36,1,7:37.0,,J. Lamb misses 2-pt layup from 1 ft (block by C. Zeller),6,8
37,1,7:34.0,Defensive rebound by M. Bridges,,6,8
38,1,7:28.0,B. Biyombo misses 2-pt jump shot from 10 ft,,6,8
39,1,7:26.0,,Defensive rebound by M. Turner,6,8
40,1,7:12.0,,Turnover by M. Turner (bad pass; steal by D. Graham),6,8
41,1,6:57.0,B. Biyombo makes 2-pt layup from 2 ft (assist by T. Rozier),,8,8
42,1,6:44.0,,M. Turner misses 3-pt jump shot from 27 ft,8,8
43,1,6:41.0,Defensive rebound by T. Rozier,,8,8
44,1,6:35.0,Turnover by T. Rozier (lost ball; steal by J. Lamb),,8,8
45,1,6:32.0,,Shooting foul by T. Rozier (drawn by T. Warren),8,8
46,1,6:32.0,,Indiana full timeout,8,8
47,1,6:32.0,M. Kidd-Gilchrist enters the game for T. Rozier,,8,8
48,1,6:32.0,C. Martin enters the game for C. Zeller,,8,8
49,1,6:32.0,,T. Warren makes free throw 1 of 2,8,9
50,1,6:32.0,,T. Warren makes free throw 2 of 2,8,10
51,1,6:19.0,D. Graham makes 3-pt jump shot from 23 ft (assist by C. Martin),,11,10
52,1,6:04.0,,D. Sabonis makes 2-pt layup from 2 ft (assist by M. Brogdon),11,12
53,1,5:46.0,M. Kidd-Gilchrist misses 2-pt jump shot from 6 ft,,11,12
54,1,5:44.0,,Defensive rebound by M. Turner,11,12
55,1,5:38.0,,Shooting foul by D. Graham (drawn by M. Brogdon),11,12
56,1,5:38.0,,M. Brogdon makes free throw 1 of 2,11,13
57,1,5:38.0,,M. Brogdon makes free throw 2 of 2,11,14
58,1,5:21.0,D. Graham misses 3-pt jump shot from 24 ft,,11,14
59,1,5:19.0,Offensive rebound by C. Martin,,11,14
60,1,5:17.0,D. Graham misses 3-pt jump shot from 25 ft,,11,14
61,1,5:14.0,,Defensive rebound by J. Lamb,11,14
62,1,5:05.0,,M. Turner makes 2-pt jump shot from 14 ft (assist by M. Brogdon),11,16
