,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,DENVER_ACTION,MINNESOTA_SCORE,DENVER_SCORE
0,1,11:44.0,,N. Jokić makes 2-pt jump shot from 12 ft (assist by P. Millsap),0,2
1,1,11:21.0,J. Okogie makes 2-pt layup from 3 ft,,2,2
2,1,11:07.0,,Shooting foul by A. Wiggins (drawn by J. Murray),2,2
3,1,11:07.0,,J. Murray makes free throw 1 of 2,2,3
4,1,11:07.0,,J. Murray makes free throw 2 of 2,2,4
5,1,10:53.0,R. Covington misses 3-pt jump shot from 24 ft,,2,4
6,1,10:51.0,,Defensive rebound by N. Jokić,2,4
7,1,10:34.0,,G. Harris makes 2-pt layup from 2 ft (assist by P. Millsap),2,6
8,1,10:20.0,R. Covington makes 2-pt layup from 1 ft (assist by S. Napier),,4,6
9,1,10:10.0,,J. Murray makes 3-pt jump shot from 27 ft (assist by N. Jokić),4,9
10,1,9:56.0,G. Dieng misses 3-pt jump shot from 23 ft,,4,9
11,1,9:55.0,,Defensive rebound by Team,4,9
12,1,9:44.0,,W. Barton makes 3-pt jump shot from 25 ft,4,12
13,1,9:29.0,G. Dieng misses 2-pt layup from 2 ft (block by P. Millsap),,4,12
14,1,9:27.0,Offensive rebound by G. Dieng,,4,12
15,1,9:26.0,G. Dieng misses 2-pt layup from 2 ft,,4,12
16,1,9:25.0,,Defensive rebound by N. Jokić,4,12
17,1,9:21.0,,J. Murray misses 3-pt jump shot from 25 ft,4,12
18,1,9:16.0,Defensive rebound by G. Dieng,,4,12
19,1,9:07.0,J. Okogie misses 3-pt jump shot from 22 ft,,4,12
20,1,9:05.0,,Defensive rebound by P. Millsap,4,12
21,1,8:49.0,,N. Jokić makes 2-pt hook shot from 2 ft,4,14
22,1,8:49.0,Minnesota full timeout,,4,14
23,1,8:36.0,R. Covington misses 3-pt jump shot from 25 ft,,4,14
24,1,8:33.0,,Defensive rebound by W. Barton,4,14
25,1,8:29.0,,Turnover by W. Barton (out of bounds lost ball),4,14
26,1,8:09.0,G. Dieng makes 3-pt jump shot from 24 ft (assist by J. Okogie),,7,14
27,1,7:44.0,,P. Millsap makes 3-pt jump shot from 25 ft (assist by N. Jokić),7,17
28,1,7:30.0,Turnover by S. Napier (bad pass; steal by P. Millsap),,7,17
29,1,7:22.0,,W. Barton makes 2-pt layup from 1 ft,7,19
30,1,7:07.0,G. Dieng makes 2-pt dunk from 1 ft (assist by A. Wiggins),,9,19
31,1,6:46.0,,Turnover by G. Harris (lost ball; steal by S. Napier),9,19
