,QUARTER,TIME_REMAINING,INDIANA_ACTION,CLEVELAND_ACTION,INDIANA_SCORE,CLEVELAND_SCORE
0,1,11:39.0,D. Sabonis makes 2-pt layup from 1 ft (assist by T. Warren),,2,0
1,1,11:20.0,,A. Drummond makes 2-pt layup from 1 ft (assist by D. Garland),2,2
2,1,11:06.0,T. Warren makes 3-pt jump shot from 23 ft (assist by D. Sabonis),,5,2
3,1,10:56.0,,A. Drummond makes 2-pt layup from 1 ft (assist by C. Sexton),5,4
4,1,10:35.0,Shooting foul by A. Drummond (drawn by D. Sabonis),,5,4
5,1,10:35.0,D. Sabonis misses free throw 1 of 2,,5,4
6,1,10:35.0,Offensive rebound by Team,,5,4
7,1,10:35.0,D. Sabonis makes free throw 2 of 2,,6,4
8,1,10:15.0,,A. Drummond makes 2-pt hook shot from 2 ft (assist by C. Sexton),6,6
9,1,10:05.0,M. Brogdon misses 2-pt jump shot from 14 ft,,6,6
10,1,10:03.0,,Defensive rebound by C. Osman,6,6
11,1,9:54.0,,Personal foul by M. Brogdon (drawn by A. Drummond),6,6
12,1,9:48.0,,C. Sexton misses 2-pt jump shot from 9 ft,6,6
13,1,9:45.0,,Offensive rebound by C. Sexton,6,6
14,1,9:45.0,,C. Sexton misses 2-pt layup from 1 ft,6,6
15,1,9:44.0,Defensive rebound by M. Turner,,6,6
16,1,9:44.0,Shooting foul by D. Garland (drawn by V. Oladipo),,6,6
17,1,9:44.0,V. Oladipo makes free throw 1 of 2,,7,6
18,1,9:44.0,V. Oladipo makes free throw 2 of 2,,8,6
19,1,9:30.0,,D. Garland makes 2-pt jump shot from 4 ft,8,8
20,1,9:20.0,M. Turner makes 3-pt jump shot from 26 ft (assist by D. Sabonis),,11,8
21,1,9:04.0,,D. Garland misses 2-pt layup at rim,11,8
22,1,9:03.0,,Offensive rebound by D. Garland,11,8
23,1,9:01.0,,A. Drummond misses 3-pt jump shot from 26 ft,11,8
24,1,8:59.0,Defensive rebound by D. Sabonis,,11,8
25,1,8:47.0,M. Turner misses 2-pt layup from 1 ft,,11,8
26,1,8:45.0,Offensive rebound by M. Turner,,11,8
27,1,8:42.0,M. Turner misses 2-pt jump shot from 6 ft,,11,8
28,1,8:42.0,,Defensive rebound by K. Love,11,8
29,1,8:37.0,,C. Osman makes 2-pt layup from 1 ft (assist by K. Love),11,10
30,1,8:20.0,M. Turner misses 3-pt jump shot from 26 ft,,11,10
31,1,8:18.0,Offensive rebound by D. Sabonis,,11,10
32,1,8:16.0,M. Brogdon makes 2-pt layup from 5 ft (assist by D. Sabonis),,13,10
33,1,7:46.0,,C. Sexton misses 2-pt layup from 1 ft (block by M. Turner),13,10
34,1,7:45.0,,Offensive rebound by Team,13,10
35,1,7:42.0,,D. Garland misses 2-pt jump shot from 9 ft,13,10
36,1,7:40.0,Defensive rebound by D. Sabonis,,13,10
37,1,7:33.0,V. Oladipo misses 2-pt jump shot from 16 ft,,13,10
38,1,7:30.0,,Defensive rebound by A. Drummond,13,10
39,1,7:14.0,,A. Drummond makes 2-pt layup from 1 ft,13,12
40,1,7:00.0,M. Brogdon makes 2-pt layup from 1 ft,,15,12
41,1,6:39.0,,A. Drummond misses 3-pt jump shot from 26 ft,15,12
42,1,6:37.0,Defensive rebound by D. Sabonis,,15,12
43,1,6:34.0,V. Oladipo misses 3-pt jump shot from 26 ft,,15,12
44,1,6:31.0,,Defensive rebound by D. Garland,15,12
45,1,6:29.0,,Cleveland full timeout,15,12
46,1,6:29.0,,L. Nance enters the game for K. Love,15,12
47,1,6:29.0,,K. Porter enters the game for C. Sexton,15,12
48,1,6:11.0,,A. Drummond makes 2-pt layup at rim (assist by D. Garland),15,14
49,1,5:59.0,T. Warren misses 2-pt jump shot from 17 ft,,15,14
50,1,5:54.0,,Defensive rebound by A. Drummond,15,14
51,1,5:37.0,,Turnover by K. Porter (bad pass; steal by V. Oladipo),15,14
52,1,5:15.0,T. Warren makes 2-pt layup from 1 ft,,17,14
53,1,4:55.0,,D. Garland makes 2-pt jump shot from 4 ft (assist by A. Drummond),17,16
54,1,4:27.0,M. Turner makes 2-pt jump shot from 12 ft,,19,16
55,1,4:07.0,,C. Osman misses 3-pt jump shot from 28 ft,19,16
56,1,4:04.0,Defensive rebound by M. Turner,,19,16
57,1,4:00.0,T. Warren misses 2-pt layup from 1 ft,,19,16
58,1,3:58.0,,Defensive rebound by A. Drummond,19,16
59,1,3:53.0,,K. Porter misses 2-pt jump shot from 2 ft (block by D. Sabonis),19,16
60,1,3:50.0,Defensive rebound by D. Sabonis,,19,16
61,1,3:44.0,V. Oladipo misses 2-pt jump shot from 3 ft,,19,16
62,1,3:41.0,,Defensive rebound by A. Drummond,19,16
63,1,3:39.0,,K. Porter makes 3-pt jump shot from 24 ft (assist by D. Garland),19,19
64,1,3:31.0,Indiana full timeout,,19,19
65,1,3:31.0,A. Holiday enters the game for V. Oladipo,,19,19
66,1,3:31.0,J. Holiday enters the game for D. Sabonis,,19,19
67,1,3:31.0,,M. Dellavedova enters the game for A. Drummond,19,19
68,1,3:31.0,,K. Love enters the game for D. Garland,19,19
69,1,3:31.0,,C. Sexton enters the game for C. Osman,19,19
70,1,3:24.0,M. Brogdon makes 2-pt jump shot from 17 ft,,21,19
71,1,3:03.0,,L. Nance misses 2-pt hook shot from 5 ft,21,19
72,1,3:00.0,Defensive rebound by T. Warren,,21,19
73,1,2:52.0,A. Holiday makes 3-pt jump shot from 29 ft (assist by T. Warren),,24,19
74,1,2:32.0,,K. Love makes 2-pt jump shot from 6 ft (assist by M. Dellavedova),24,21
75,1,2:19.0,M. Brogdon makes 2-pt layup from 3 ft (assist by A. Holiday),,26,21
76,1,2:02.0,,K. Love makes 2-pt layup from 1 ft (assist by M. Dellavedova),26,23
77,1,2:02.0,,Shooting foul by T. Warren (drawn by K. Love),26,23
78,1,2:02.0,G. Bitadze enters the game for M. Brogdon,,26,23
79,1,2:02.0,T. McConnell enters the game for M. Turner,,26,23
