,QUARTER,TIME_REMAINING,DENVER_ACTION,LA LAKERS_ACTION,DENVER_SCORE,LA LAKERS_SCORE
0,1,11:45.0,,A. Bradley misses 2-pt hook shot from 8 ft,0,0
1,1,11:41.0,,Offensive rebound by A. Bradley,0,0
2,1,11:37.0,,R. Rondo misses 2-pt layup from 5 ft (block by N. Jokić),0,0
3,1,11:35.0,Defensive rebound by N. Jokić,,0,0
4,1,11:33.0,J. Murray makes 2-pt jump shot from 10 ft,,2,0
5,1,11:07.0,,A. Davis makes 2-pt jump shot from 11 ft,2,2
6,1,10:52.0,Personal foul by J. McGee (drawn by J. Murray),,2,2
7,1,10:42.0,P. Millsap misses 2-pt jump shot from 10 ft,,2,2
8,1,10:39.0,,Defensive rebound by D. Green,2,2
9,1,10:32.0,,Personal foul by P. Millsap (drawn by A. Davis),2,2
10,1,10:27.0,,A. Davis makes 2-pt layup from 2 ft,2,4
11,1,10:10.0,N. Jokić makes 2-pt layup from 3 ft (assist by G. Harris),,4,4
12,1,10:10.0,,Violation by Team (def goaltending),4,4
13,1,9:45.0,,D. Green misses 2-pt jump shot from 21 ft,4,4
14,1,9:43.0,Defensive rebound by W. Barton,,4,4
15,1,9:37.0,W. Barton misses 2-pt jump shot from 15 ft,,4,4
16,1,9:34.0,Offensive rebound by N. Jokić,,4,4
17,1,9:27.0,W. Barton misses 2-pt layup from 4 ft,,4,4
18,1,9:24.0,,Defensive rebound by A. Davis,4,4
19,1,9:16.0,,J. McGee makes 2-pt layup from 2 ft,4,6
20,1,9:16.0,,Shooting foul by N. Jokić (drawn by J. McGee),4,6
21,1,9:16.0,,J. McGee misses free throw 1 of 1,4,6
22,1,9:15.0,Defensive rebound by Team,,4,6
23,1,9:09.0,N. Jokić makes 3-pt jump shot from 27 ft (assist by J. Murray),,7,6
24,1,8:57.0,,D. Green misses 3-pt jump shot from 24 ft,7,6
25,1,8:52.0,,Offensive rebound by J. McGee,7,6
26,1,8:48.0,,Turnover by D. Green (bad pass; steal by J. Murray),7,6
27,1,8:43.0,P. Millsap misses 2-pt layup from 4 ft,,7,6
28,1,8:41.0,,Defensive rebound by A. Davis,7,6
29,1,8:35.0,,A. Bradley misses 3-pt jump shot from 23 ft,7,6
30,1,8:32.0,Defensive rebound by J. Murray,,7,6
31,1,8:27.0,N. Jokić makes 2-pt layup from 2 ft (assist by J. Murray),,9,6
32,1,8:15.0,,A. Davis misses 2-pt jump shot from 17 ft,9,6
33,1,8:12.0,Defensive rebound by W. Barton,,9,6
34,1,8:09.0,W. Barton misses 3-pt jump shot from 27 ft,,9,6
35,1,8:06.0,Offensive rebound by W. Barton,,9,6
36,1,8:06.0,W. Barton misses 2-pt jump shot from 8 ft,,9,6
37,1,8:06.0,Offensive rebound by N. Jokić,,9,6
38,1,8:01.0,G. Harris misses 3-pt jump shot from 23 ft,,9,6
39,1,8:01.0,,Defensive rebound by J. McGee,9,6
40,1,7:42.0,,A. Davis misses 2-pt jump shot from 5 ft,9,6
41,1,7:39.0,,Offensive rebound by J. McGee,9,6
42,1,7:39.0,,J. McGee misses 2-pt layup from 1 ft,9,6
43,1,7:38.0,Defensive rebound by N. Jokić,,9,6
44,1,7:38.0,G. Harris makes 2-pt layup from 2 ft (assist by N. Jokić),,11,6
45,1,7:37.0,,LA Lakers full timeout,11,6
46,1,7:21.0,,Personal foul by P. Millsap (drawn by A. Davis),11,6
47,1,7:21.0,J. Grant enters the game for P. Millsap,,11,6
48,1,7:11.0,,R. Rondo misses 3-pt jump shot from 26 ft,11,6
49,1,7:07.0,Defensive rebound by W. Barton,,11,6
50,1,6:57.0,Turnover by J. Grant (lost ball; steal by R. Rondo),,11,6
51,1,6:37.0,,A. Bradley makes 3-pt jump shot from 23 ft (assist by R. Rondo),11,9
52,1,6:17.0,Turnover by J. Murray (lost ball; steal by R. Rondo),,11,9
53,1,6:14.0,,R. Rondo makes 2-pt layup from 1 ft,11,11
54,1,5:59.0,J. Murray misses 2-pt jump shot from 11 ft,,11,11
55,1,5:56.0,Offensive rebound by J. Murray,,11,11
56,1,5:51.0,Turnover by J. Murray (bad pass; steal by R. Rondo),,11,11
57,1,5:47.0,,Turnover by R. Rondo (bad pass; steal by N. Jokić),11,11
58,1,5:37.0,J. Grant misses 3-pt jump shot from 23 ft,,11,11
59,1,5:34.0,,Defensive rebound by J. McGee,11,11
60,1,5:13.0,,A. Bradley misses 3-pt jump shot from 23 ft,11,11
61,1,5:08.0,,Offensive rebound by D. Green,11,11
62,1,5:07.0,,R. Rondo makes 3-pt jump shot from 25 ft (assist by D. Green),11,14
63,1,5:06.0,Denver full timeout,,11,14
64,1,5:06.0,M. Porter enters the game for G. Harris,,11,14
65,1,5:06.0,,K. Caldwell-Pope enters the game for D. Green,11,14
66,1,5:06.0,,K. Kuzma enters the game for J. McGee,11,14
67,1,4:54.0,Shooting foul by A. Bradley (drawn by N. Jokić),,11,14
68,1,4:54.0,N. Jokić makes free throw 1 of 2,,12,14
69,1,4:54.0,N. Jokić makes free throw 2 of 2,,13,14
70,1,4:43.0,,A. Davis makes 2-pt layup from 2 ft (assist by R. Rondo),13,16
71,1,4:19.0,J. Murray makes 2-pt layup from 3 ft (assist by N. Jokić),,15,16
72,1,3:57.0,,K. Kuzma misses 2-pt jump shot from 20 ft,15,16
73,1,3:53.0,Defensive rebound by M. Porter,,15,16
74,1,3:35.0,J. Murray misses 3-pt jump shot from 27 ft,,15,16
75,1,3:31.0,,Defensive rebound by R. Rondo,15,16
76,1,3:26.0,,R. Rondo misses 2-pt layup from 2 ft,15,16
77,1,3:23.0,,Offensive rebound by A. Davis,15,16
78,1,3:23.0,,A. Davis makes 2-pt layup from 1 ft,15,18
79,1,3:08.0,M. Porter misses 2-pt jump shot from 6 ft (block by K. Kuzma),,15,18
80,1,3:06.0,,Defensive rebound by R. Rondo,15,18
81,1,2:48.0,,K. Caldwell-Pope misses 2-pt layup from 1 ft,15,18
82,1,2:46.0,Defensive rebound by N. Jokić,,15,18
83,1,2:40.0,J. Grant misses 2-pt jump shot from 7 ft,,15,18
84,1,2:39.0,Offensive rebound by N. Jokić,,15,18
85,1,2:39.0,Shooting foul by A. Davis (drawn by N. Jokić),,15,18
