,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,ORLANDO_ACTION,SAN ANTONIO_SCORE,ORLANDO_SCORE
0,1,11:40.0,B. Forbes makes 3-pt jump shot from 27 ft (assist by D. Murray),,3,0
1,1,11:16.0,,A. Gordon misses 2-pt layup from 4 ft,3,0
2,1,11:16.0,,Offensive rebound by Team,3,0
3,1,11:08.0,,A. Gordon makes 2-pt dunk from 2 ft (assist by A. Aminu),3,2
4,1,10:51.0,D. DeRozan makes 2-pt jump shot from 18 ft,,5,2
5,1,10:36.0,,E. Fournier makes 2-pt jump shot from 19 ft,5,4
6,1,10:12.0,L. Aldridge misses 2-pt jump shot from 17 ft,,5,4
7,1,10:09.0,,Defensive rebound by A. Gordon,5,4
8,1,9:59.0,,A. Gordon misses 3-pt jump shot from 24 ft,5,4
9,1,9:57.0,Defensive rebound by T. Lyles,,5,4
10,1,9:37.0,B. Forbes misses 2-pt jump shot from 20 ft,,5,4
11,1,9:33.0,Offensive rebound by T. Lyles,,5,4
12,1,9:28.0,T. Lyles misses 3-pt jump shot from 24 ft,,5,4
13,1,9:24.0,,Defensive rebound by N. Vučević,5,4
14,1,9:18.0,,Shooting foul by L. Aldridge (drawn by M. Fultz),5,4
15,1,9:18.0,,M. Fultz makes free throw 1 of 2,5,5
16,1,9:18.0,,M. Fultz makes free throw 2 of 2,5,6
17,1,9:01.0,T. Lyles makes 3-pt jump shot from 25 ft (assist by L. Aldridge),,8,6
18,1,8:42.0,,E. Fournier makes 2-pt layup from 2 ft (assist by N. Vučević),8,8
19,1,8:22.0,D. Murray makes 2-pt layup from 2 ft,,10,8
20,1,8:06.0,,A. Gordon makes 3-pt jump shot from 26 ft (assist by M. Fultz),10,11
21,1,7:50.0,B. Forbes makes 3-pt jump shot from 25 ft (assist by D. Murray),,13,11
22,1,7:38.0,,Personal foul by D. Murray (drawn by N. Vučević),13,11
23,1,7:29.0,,A. Aminu misses 3-pt jump shot from 25 ft,13,11
24,1,7:28.0,Defensive rebound by Team,,13,11
25,1,7:06.0,Turnover by D. Murray (bad pass; steal by M. Fultz),,13,11
26,1,7:00.0,,A. Aminu makes 2-pt layup from 2 ft (assist by A. Gordon),13,13
27,1,6:39.0,Personal foul by N. Vučević (drawn by L. Aldridge),,13,13
28,1,6:39.0,,Orlando full timeout,13,13
29,1,6:25.0,L. Aldridge misses 3-pt jump shot from 26 ft,,13,13
30,1,6:21.0,,Defensive rebound by E. Fournier,13,13
31,1,6:09.0,,Turnover by A. Gordon (bad pass; steal by D. Murray),13,13
32,1,5:57.0,D. DeRozan makes 2-pt jump shot from 10 ft (assist by D. Murray),,15,13
33,1,5:37.0,,Turnover by E. Fournier (bad pass; steal by B. Forbes),15,13
34,1,5:33.0,D. Murray makes 2-pt dunk from 1 ft (assist by D. DeRozan),,17,13
35,1,5:18.0,,M. Fultz misses 2-pt jump shot from 9 ft,17,13
36,1,5:16.0,Defensive rebound by D. Murray,,17,13
37,1,5:08.0,L. Aldridge misses 2-pt jump shot from 17 ft,,17,13
38,1,5:04.0,,Defensive rebound by A. Aminu,17,13
39,1,4:53.0,,E. Fournier misses 2-pt jump shot from 8 ft,17,13
40,1,4:53.0,Defensive rebound by T. Lyles,,17,13
41,1,4:40.0,D. DeRozan misses 2-pt jump shot from 14 ft,,17,13
42,1,4:36.0,,Defensive rebound by E. Fournier,17,13
43,1,4:34.0,,A. Gordon makes 2-pt dunk from 1 ft (assist by E. Fournier),17,15
