,QUARTER,TIME_REMAINING,NEW YORK_ACTION,MIAMI_ACTION,NEW YORK_SCORE,MIAMI_SCORE
0,1,11:37.0,,M. Leonard makes 2-pt hook shot from 5 ft (assist by K. Nunn),0,2
1,1,11:15.0,T. Gibson misses 2-pt jump shot from 14 ft,,0,2
2,1,11:12.0,,Defensive rebound by M. Leonard,0,2
3,1,11:01.0,,K. Nunn misses 2-pt jump shot from 17 ft,0,2
4,1,10:59.0,Defensive rebound by T. Gibson,,0,2
5,1,10:52.0,F. Ntilikina misses 2-pt jump shot from 18 ft,,0,2
6,1,10:50.0,,Defensive rebound by B. Adebayo,0,2
7,1,10:40.0,,B. Adebayo makes 2-pt dunk from 1 ft (assist by J. Butler),0,4
8,1,10:26.0,M. Morris makes 2-pt jump shot from 15 ft,,2,4
9,1,10:09.0,,K. Nunn misses 3-pt jump shot from 23 ft,2,4
10,1,10:07.0,Defensive rebound by T. Gibson,,2,4
11,1,9:56.0,J. Randle makes 2-pt jump shot from 9 ft,,4,4
12,1,9:37.0,,K. Nunn makes 3-pt jump shot from 26 ft (assist by J. Butler),4,7
13,1,9:23.0,R. Barrett misses 3-pt jump shot from 26 ft,,4,7
14,1,9:21.0,Offensive rebound by T. Gibson,,4,7
15,1,9:17.0,R. Barrett makes 2-pt jump shot from 13 ft,,6,7
16,1,8:58.0,,D. Robinson makes 3-pt jump shot from 25 ft (assist by B. Adebayo),6,10
17,1,8:45.0,J. Randle misses 3-pt jump shot from 25 ft,,6,10
18,1,8:43.0,,Defensive rebound by M. Leonard,6,10
19,1,8:39.0,,Personal foul by F. Ntilikina (drawn by M. Leonard),6,10
20,1,8:29.0,,K. Nunn makes 2-pt jump shot from 17 ft (assist by B. Adebayo),6,12
21,1,8:15.0,R. Barrett misses 3-pt jump shot from 26 ft,,6,12
22,1,8:13.0,Offensive rebound by F. Ntilikina,,6,12
23,1,8:11.0,M. Morris misses 3-pt jump shot from 26 ft,,6,12
24,1,8:09.0,,Defensive rebound by B. Adebayo,6,12
25,1,8:03.0,,Personal foul by M. Morris (drawn by B. Adebayo),6,12
26,1,7:52.0,,D. Robinson makes 3-pt jump shot from 23 ft (assist by J. Butler),6,15
27,1,7:46.0,New York full timeout,,6,15
28,1,7:32.0,J. Randle makes 2-pt layup from 2 ft,,8,15
29,1,7:12.0,,M. Leonard makes 2-pt layup from 2 ft (assist by J. Butler),8,17
30,1,7:02.0,Turnover by F. Ntilikina (bad pass),,8,17
31,1,6:45.0,,K. Nunn misses 3-pt jump shot from 23 ft,8,17
32,1,6:43.0,Defensive rebound by M. Morris,,8,17
33,1,6:32.0,Turnover by T. Gibson (out of bounds lost ball),,8,17
34,1,6:32.0,M. Robinson enters the game for T. Gibson,,8,17
35,1,6:22.0,,D. Robinson misses 3-pt jump shot from 25 ft,8,17
36,1,6:19.0,Defensive rebound by M. Robinson,,8,17
37,1,6:09.0,R. Barrett misses 2-pt layup from 6 ft,,8,17
38,1,6:05.0,,Defensive rebound by M. Leonard,8,17
39,1,5:54.0,,Shooting foul by J. Randle (drawn by B. Adebayo),8,17
40,1,5:54.0,,B. Adebayo makes free throw 1 of 2,8,18
41,1,5:54.0,,B. Adebayo makes free throw 2 of 2,8,19
42,1,5:42.0,Turnover by F. Ntilikina (bad pass; steal by K. Nunn),,8,19
43,1,5:37.0,,J. Butler makes 2-pt dunk from 1 ft (assist by D. Robinson),8,21
44,1,5:21.0,Turnover by J. Randle (lost ball; steal by B. Adebayo),,8,21
45,1,5:10.0,,K. Nunn makes 2-pt layup from 1 ft (assist by J. Butler),8,23
46,1,5:02.0,New York full timeout,,8,23
47,1,5:02.0,E. Payton enters the game for F. Ntilikina,,8,23
48,1,5:02.0,,D. Jones enters the game for B. Adebayo,8,23
49,1,4:48.0,M. Morris makes 2-pt jump shot from 14 ft,,10,23
50,1,4:21.0,,J. Butler makes 3-pt jump shot from 26 ft (assist by K. Nunn),10,26
51,1,4:10.0,M. Robinson makes 2-pt dunk from 2 ft (assist by E. Payton),,12,26
52,1,3:58.0,,M. Leonard misses 3-pt jump shot from 25 ft,12,26
53,1,3:56.0,Defensive rebound by R. Barrett,,12,26
54,1,3:47.0,R. Barrett misses 2-pt layup from 1 ft,,12,26
55,1,3:44.0,,Defensive rebound by K. Nunn,12,26
56,1,3:39.0,,D. Jones makes 2-pt dunk from 2 ft (assist by J. Butler),12,28
57,1,3:31.0,Personal foul by D. Jones (drawn by M. Robinson),,12,28
58,1,3:31.0,D. Dotson enters the game for R. Barrett,,12,28
59,1,3:31.0,B. Portis enters the game for J. Randle,,12,28
60,1,3:31.0,,G. Dragić enters the game for K. Nunn,12,28
61,1,3:31.0,,T. Herro enters the game for D. Robinson,12,28
62,1,3:25.0,B. Portis misses 2-pt jump shot from 16 ft,,12,28
63,1,3:23.0,,Defensive rebound by J. Butler,12,28
64,1,3:01.0,,D. Jones misses 2-pt jump shot from 9 ft,12,28
65,1,2:58.0,Defensive rebound by B. Portis,,12,28
66,1,2:57.0,B. Portis makes 2-pt dunk at rim (assist by E. Payton),,14,28
67,1,2:57.0,,Miami full timeout,14,28
68,1,2:46.0,,D. Jones makes 2-pt dunk from 2 ft (assist by G. Dragić),14,30
69,1,2:23.0,D. Dotson misses 3-pt jump shot from 26 ft,,14,30
70,1,2:21.0,,Defensive rebound by M. Leonard,14,30
71,1,2:12.0,,Shooting foul by M. Robinson (drawn by J. Butler),14,30
72,1,2:12.0,,J. Butler makes free throw 1 of 2,14,31
73,1,2:12.0,K. Knox enters the game for M. Morris,,14,31
74,1,2:12.0,,K. Olynyk enters the game for M. Leonard,14,31
75,1,2:12.0,,J. Butler makes free throw 2 of 2,14,32
76,1,2:00.0,E. Payton misses 2-pt layup at rim,,14,32
77,1,2:00.0,Offensive rebound by Team,,14,32
78,1,2:00.0,,B. Adebayo enters the game for J. Butler,14,32
79,1,1:57.0,K. Knox misses 2-pt jump shot from 16 ft,,14,32
80,1,1:54.0,,Defensive rebound by T. Herro,14,32
81,1,1:45.0,,T. Herro makes 2-pt jump shot from 7 ft (assist by K. Olynyk),14,34
