,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,LA CLIPPERS_ACTION,CLEVELAND_SCORE,LA CLIPPERS_SCORE
0,1,11:41.0,C. Osman misses 3-pt jump shot from 26 ft,,0,0
1,1,11:37.0,Offensive rebound by A. McKinnie,,0,0
2,1,11:28.0,C. Osman makes 3-pt jump shot from 29 ft (assist by A. McKinnie),,3,0
3,1,11:10.0,,L. Shamet misses 3-pt jump shot from 27 ft,3,0
4,1,11:07.0,Defensive rebound by A. McKinnie,,3,0
5,1,11:01.0,Turnover by D. Garland (traveling),,3,0
6,1,10:50.0,,M. Harkless makes 2-pt layup from 1 ft (assist by P. Beverley),3,2
7,1,10:37.0,C. Sexton misses 3-pt jump shot from 26 ft,,3,2
8,1,10:34.0,,Defensive rebound by I. Zubac,3,2
9,1,10:24.0,,K. Leonard misses 2-pt layup from 2 ft,3,2
10,1,10:21.0,,Offensive rebound by M. Harkless,3,2
11,1,10:13.0,,P. Beverley makes 3-pt jump shot from 27 ft (assist by L. Shamet),3,5
12,1,9:53.0,C. Osman makes 2-pt hook shot from 4 ft,,5,5
13,1,9:40.0,,P. Beverley misses 3-pt jump shot from 26 ft,5,5
14,1,9:37.0,Defensive rebound by C. Osman,,5,5
15,1,9:27.0,C. Sexton misses 2-pt layup from 2 ft (block by I. Zubac),,5,5
16,1,9:24.0,,Defensive rebound by M. Harkless,5,5
17,1,9:21.0,,K. Leonard makes 2-pt dunk from 1 ft (assist by P. Beverley),5,7
18,1,9:06.0,D. Garland misses 2-pt layup from 3 ft (block by I. Zubac),,5,7
19,1,9:04.0,,Defensive rebound by P. Beverley,5,7
20,1,9:03.0,,L. Shamet misses 3-pt jump shot from 26 ft,5,7
21,1,8:59.0,Defensive rebound by C. Osman,,5,7
22,1,8:47.0,D. Garland makes 2-pt jump shot from 16 ft,,7,7
23,1,8:34.0,,P. Beverley misses 2-pt layup from 3 ft,7,7
24,1,8:30.0,,Offensive rebound by I. Zubac,7,7
25,1,8:30.0,,I. Zubac misses 2-pt layup at rim,7,7
26,1,8:30.0,,Offensive rebound by I. Zubac,7,7
27,1,8:27.0,,I. Zubac makes 2-pt hook shot from 5 ft,7,9
28,1,8:20.0,T. Thompson misses 2-pt layup from 5 ft (block by I. Zubac),,7,9
29,1,8:20.0,Offensive rebound by Team,,7,9
30,1,8:13.0,A. McKinnie makes 3-pt jump shot from 24 ft (assist by C. Osman),,10,9
31,1,8:00.0,,P. Beverley makes 3-pt jump shot from 25 ft (assist by K. Leonard),10,12
32,1,7:46.0,C. Sexton makes 2-pt jump shot from 8 ft,,12,12
33,1,7:32.0,,Personal foul by C. Osman (drawn by I. Zubac),12,12
34,1,7:32.0,B. Knight enters the game for D. Garland,,12,12
35,1,7:32.0,L. Nance enters the game for A. McKinnie,,12,12
36,1,7:26.0,,K. Leonard makes 2-pt jump shot from 16 ft (assist by P. Beverley),12,14
37,1,7:09.0,Shooting foul by L. Shamet (drawn by C. Osman),,12,14
38,1,7:09.0,C. Osman makes free throw 1 of 2,,13,14
39,1,7:09.0,C. Osman makes free throw 2 of 2,,14,14
40,1,6:59.0,,P. Beverley misses 3-pt jump shot from 27 ft,14,14
41,1,6:55.0,,Offensive rebound by P. Beverley,14,14
42,1,6:54.0,,K. Leonard misses 3-pt jump shot from 25 ft,14,14
43,1,6:50.0,,Offensive rebound by P. Beverley,14,14
44,1,6:48.0,,L. Shamet misses 3-pt jump shot from 24 ft,14,14
45,1,6:45.0,,Offensive rebound by P. Beverley,14,14
46,1,6:43.0,,K. Leonard makes 3-pt jump shot from 27 ft (assist by P. Beverley),14,17
47,1,6:32.0,Personal foul by P. Beverley (drawn by B. Knight),,14,17
48,1,6:32.0,,LA Clippers full timeout,14,17
49,1,6:24.0,C. Sexton misses 2-pt jump shot from 10 ft,,14,17
50,1,6:19.0,,Defensive rebound by L. Shamet,14,17
51,1,6:12.0,,Turnover by I. Zubac (traveling),14,17
52,1,5:49.0,C. Sexton makes 2-pt layup from 2 ft,,16,17
53,1,5:34.0,,L. Shamet makes 3-pt jump shot from 26 ft (assist by I. Zubac),16,20
54,1,5:08.0,C. Osman misses 2-pt jump shot from 21 ft,,16,20
55,1,5:05.0,,Defensive rebound by M. Harkless,16,20
56,1,4:55.0,,Shooting foul by B. Knight (drawn by K. Leonard),16,20
57,1,4:55.0,,K. Leonard makes free throw 1 of 2,16,21
58,1,4:55.0,,L. Williams enters the game for P. Beverley,16,21
59,1,4:55.0,,K. Leonard makes free throw 2 of 2,16,22
60,1,4:47.0,C. Sexton makes 2-pt layup from 2 ft (assist by L. Nance),,18,22
61,1,4:35.0,,Turnover by L. Williams (bad pass; steal by L. Nance),18,22
62,1,4:30.0,C. Sexton makes 2-pt layup from 1 ft (assist by L. Nance),,20,22
63,1,4:20.0,,L. Williams makes 2-pt jump shot from 10 ft (assist by K. Leonard),20,24
64,1,4:03.0,Turnover by C. Sexton (out of bounds lost ball),,20,24
65,1,4:03.0,,LA Clippers full timeout,20,24
66,1,4:03.0,D. Garland enters the game for B. Knight,,20,24
67,1,4:03.0,A. McKinnie enters the game for C. Osman,,20,24
68,1,4:03.0,,M. Harrell enters the game for I. Zubac,20,24
69,1,3:55.0,,K. Leonard makes 2-pt jump shot from 14 ft (assist by L. Williams),20,26
70,1,3:55.0,,J. Green enters the game for M. Harkless,20,26
71,1,3:55.0,,R. McGruder enters the game for K. Leonard,20,26
72,1,3:33.0,T. Thompson misses 2-pt hook shot from 6 ft,,20,26
73,1,3:31.0,,Defensive rebound by L. Shamet,20,26
74,1,3:20.0,,Turnover by R. McGruder (step out of bounds),20,26
75,1,3:11.0,D. Garland misses 3-pt jump shot from 28 ft,,20,26
76,1,3:07.0,,Defensive rebound by L. Shamet,20,26
77,1,2:52.0,,Personal foul by L. Nance (drawn by L. Williams),20,26
78,1,2:52.0,J. Henson enters the game for T. Thompson,,20,26
79,1,2:52.0,,J. Robinson enters the game for L. Shamet,20,26
80,1,2:45.0,,L. Williams misses 3-pt jump shot from 27 ft,20,26
81,1,2:41.0,Defensive rebound by C. Sexton,,20,26
82,1,2:25.0,C. Sexton misses 2-pt layup from 3 ft,,20,26
83,1,2:24.0,Offensive rebound by L. Nance,,20,26
84,1,2:17.0,J. Henson makes 2-pt jump shot from 4 ft (assist by C. Sexton),,22,26
85,1,2:04.0,,M. Harrell misses 2-pt jump shot from 8 ft,22,26
86,1,2:02.0,Defensive rebound by J. Henson,,22,26
87,1,1:52.0,D. Garland makes 2-pt jump shot from 3 ft,,24,26
88,1,1:37.0,,L. Williams makes 2-pt jump shot from 11 ft (assist by M. Harrell),24,28
89,1,1:18.0,J. Henson misses 2-pt hook shot from 8 ft,,24,28
90,1,1:16.0,,Defensive rebound by L. Williams,24,28
91,1,1:09.0,,J. Robinson misses 2-pt jump shot from 17 ft,24,28
92,1,1:06.0,Defensive rebound by J. Henson,,24,28
93,1,0:49.0,Offensive foul by C. Sexton (drawn by J. Green),,24,28
94,1,0:49.0,Turnover by C. Sexton (offensive foul),,24,28
95,1,0:49.0,D. Exum enters the game for L. Nance,,24,28
96,1,0:49.0,C. Osman enters the game for C. Sexton,,24,28
97,1,0:26.0,,L. Williams makes 3-pt jump shot from 25 ft (assist by J. Robinson),24,31
98,1,0:03.0,J. Henson makes 2-pt dunk from 1 ft (assist by D. Garland),,26,31
99,2,11:44.0,,Turnover by M. Harrell (lost ball; steal by D. Garland),26,31
100,2,11:40.0,D. Garland misses 2-pt layup from 2 ft (block by R. McGruder),,26,31
101,2,11:40.0,Offensive rebound by Team,,26,31
102,2,11:38.0,C. Osman misses 2-pt jump shot from 16 ft (block by J. Green),,26,31
103,2,11:36.0,,Defensive rebound by J. Robinson,26,31
104,2,11:36.0,,Personal foul by A. McKinnie (drawn by L. Williams),26,31
105,2,11:24.0,,M. Harrell makes 2-pt layup from 2 ft (assist by L. Williams),26,33
106,2,11:02.0,D. Garland misses 2-pt jump shot from 4 ft,,26,33
107,2,11:00.0,,Defensive rebound by M. Harrell,26,33
108,2,10:54.0,,M. Harrell misses 2-pt layup from 4 ft,26,33
109,2,10:51.0,Defensive rebound by C. Osman,,26,33
110,2,10:25.0,D. Garland makes 3-pt jump shot from 27 ft (assist by J. Henson),,29,33
111,2,10:09.0,,J. Robinson misses 3-pt jump shot from 25 ft,29,33
112,2,10:07.0,Defensive rebound by A. McKinnie,,29,33
113,2,9:58.0,A. McKinnie makes 2-pt jump shot from 4 ft (assist by D. Garland),,31,33
114,2,9:43.0,,Turnover by L. Williams (bad pass),31,33
115,2,9:43.0,,P. Beverley enters the game for J. Robinson,31,33
116,2,9:29.0,C. Osman makes 3-pt jump shot from 25 ft (assist by D. Garland),,34,33
117,2,9:11.0,,M. Harrell misses 2-pt jump shot from 4 ft (block by J. Henson),34,33
118,2,9:10.0,,Offensive rebound by P. Beverley,34,33
119,2,9:10.0,,Shooting foul by C. Osman (drawn by P. Beverley),34,33
120,2,9:10.0,,P. Beverley makes free throw 1 of 2,34,34
121,2,9:10.0,B. Knight enters the game for C. Osman,,34,34
122,2,9:10.0,,P. Beverley misses free throw 2 of 2,34,34
123,2,9:09.0,Defensive rebound by J. Henson,,34,34
124,2,9:01.0,D. Garland misses 3-pt jump shot from 26 ft,,34,34
125,2,8:57.0,,Defensive rebound by J. Green,34,34
126,2,8:51.0,,L. Williams makes 2-pt jump shot from 6 ft (assist by P. Beverley),34,36
127,2,8:29.0,J. Henson misses 2-pt hook shot from 4 ft,,34,36
128,2,8:28.0,,Defensive rebound by M. Harrell,34,36
129,2,8:24.0,,L. Williams misses 2-pt layup from 1 ft (block by J. Henson),34,36
130,2,8:23.0,,Offensive rebound by Team,34,36
131,2,8:23.0,,K. Leonard enters the game for R. McGruder,34,36
132,2,8:20.0,,P. Beverley makes 2-pt layup from 2 ft (assist by L. Williams),34,38
133,2,8:20.0,Violation by Team (def goaltending),,34,38
