,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,NEW ORLEANS_ACTION,MEMPHIS_SCORE,NEW ORLEANS_SCORE
0,1,11:45.0,,J. Holiday misses 2-pt jump shot from 9 ft,0,0
1,1,11:41.0,Defensive rebound by D. Brooks,,0,0
2,1,11:29.0,J. Morant misses 3-pt jump shot from 27 ft,,0,0
3,1,11:25.0,,Defensive rebound by Z. Williamson,0,0
4,1,11:19.0,,Turnover by Z. Williamson (out of bounds lost ball),0,0
5,1,11:07.0,D. Brooks makes 3-pt jump shot from 25 ft,,3,0
6,1,10:51.0,,Turnover by J. Holiday (bad pass),3,0
7,1,10:41.0,Turnover by S. Hill (bad pass; steal by J. Holiday),,3,0
8,1,10:34.0,,B. Ingram makes 2-pt layup from 1 ft,3,2
9,1,10:17.0,D. Brooks misses 2-pt layup from 3 ft,,3,2
10,1,10:15.0,,Defensive rebound by D. Favors,3,2
11,1,10:06.0,,L. Ball misses 2-pt layup from 3 ft (block by J. Valančiūnas),3,2
12,1,10:03.0,,Offensive rebound by D. Favors,3,2
13,1,10:02.0,,J. Holiday misses 3-pt jump shot from 25 ft,3,2
14,1,9:58.0,,Offensive rebound by D. Favors,3,2
15,1,9:51.0,,B. Ingram misses 3-pt jump shot from 26 ft,3,2
16,1,9:47.0,,Offensive rebound by Z. Williamson,3,2
17,1,9:45.0,,B. Ingram misses 3-pt jump shot from 25 ft,3,2
18,1,9:41.0,,Offensive rebound by J. Holiday,3,2
19,1,9:31.0,,Z. Williamson makes 2-pt dunk from 1 ft (assist by B. Ingram),3,4
20,1,9:16.0,Turnover by J. Morant (bad pass; steal by J. Holiday),,3,4
21,1,9:12.0,,Personal foul by S. Hill (drawn by Z. Williamson),3,4
22,1,9:06.0,,B. Ingram makes 2-pt layup from 2 ft,3,6
23,1,9:04.0,Memphis full timeout,,3,6
24,1,8:56.0,D. Brooks makes 2-pt jump shot from 16 ft,,5,6
25,1,8:26.0,,J. Holiday misses 2-pt jump shot from 13 ft,5,6
26,1,8:26.0,,Offensive rebound by Team,5,6
27,1,8:18.0,,Z. Williamson makes 2-pt layup from 3 ft (assist by B. Ingram),5,8
28,1,7:59.0,J. Crowder misses 3-pt jump shot from 26 ft,,5,8
29,1,7:57.0,,Defensive rebound by L. Ball,5,8
30,1,7:48.0,,B. Ingram misses 3-pt jump shot from 23 ft,5,8
31,1,7:45.0,Defensive rebound by J. Morant,,5,8
32,1,7:31.0,Turnover by J. Valančiūnas (lost ball; steal by D. Favors),,5,8
33,1,7:25.0,,L. Ball makes 2-pt layup from 2 ft,5,10
34,1,7:18.0,D. Brooks misses 3-pt jump shot from 26 ft,,5,10
35,1,7:18.0,,Defensive rebound by J. Holiday,5,10
36,1,7:05.0,,J. Holiday makes 2-pt layup from 3 ft (assist by L. Ball),5,12
