,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,LA CLIPPERS_ACTION,OKLAHOMA CITY_SCORE,LA CLIPPERS_SCORE
0,1,11:40.0,,P. George makes 2-pt hook shot from 5 ft (assist by M. Harkless),0,2
1,1,11:25.0,S. Gilgeous-Alexander makes 2-pt dunk from 3 ft (assist by C. Paul),,2,2
2,1,11:05.0,,Turnover by I. Zubac (bad pass; steal by S. Adams),2,2
3,1,10:52.0,D. Gallinari misses 2-pt jump shot from 19 ft,,2,2
4,1,10:50.0,,Defensive rebound by T. Mann,2,2
5,1,10:41.0,,T. Mann misses 2-pt layup from 4 ft,2,2
6,1,10:37.0,Defensive rebound by S. Adams,,2,2
7,1,10:27.0,D. Gallinari misses 3-pt jump shot from 24 ft,,2,2
8,1,10:24.0,,Defensive rebound by P. Beverley,2,2
9,1,10:17.0,,P. George makes 2-pt jump shot from 18 ft,2,4
10,1,9:47.0,S. Adams makes 2-pt layup from 3 ft (assist by D. Gallinari),,4,4
11,1,9:38.0,,Personal foul by D. Gallinari (drawn by M. Harkless),4,4
12,1,9:27.0,,Turnover by P. George (bad pass; steal by S. Adams),4,4
13,1,9:17.0,C. Paul misses 2-pt jump shot from 13 ft,,4,4
14,1,9:12.0,,Defensive rebound by I. Zubac,4,4
15,1,9:07.0,,P. George makes 2-pt jump shot from 20 ft,4,6
16,1,8:43.0,S. Gilgeous-Alexander misses 2-pt layup from 2 ft,,4,6
17,1,8:40.0,,Defensive rebound by P. George,4,6
18,1,8:30.0,,M. Harkless misses 3-pt jump shot from 24 ft,4,6
19,1,8:28.0,Defensive rebound by T. Ferguson,,4,6
20,1,8:20.0,D. Gallinari misses 2-pt layup from 3 ft (block by M. Harkless),,4,6
21,1,8:17.0,,Defensive rebound by M. Harkless,4,6
22,1,8:14.0,,P. Beverley misses 3-pt jump shot from 24 ft,4,6
23,1,8:12.0,,Offensive rebound by I. Zubac,4,6
24,1,8:10.0,,I. Zubac makes 2-pt layup from 1 ft,4,8
25,1,7:59.0,D. Gallinari misses 2-pt jump shot from 21 ft,,4,8
26,1,7:56.0,,Defensive rebound by P. George,4,8
27,1,7:40.0,,P. Beverley misses 3-pt jump shot from 25 ft,4,8
28,1,7:37.0,Defensive rebound by D. Gallinari,,4,8
29,1,7:30.0,S. Gilgeous-Alexander makes 2-pt jump shot from 10 ft (assist by S. Adams),,6,8
30,1,7:06.0,,I. Zubac misses 3-pt jump shot from 27 ft,6,8
31,1,7:03.0,Defensive rebound by C. Paul,,6,8
32,1,6:59.0,S. Adams misses 2-pt hook shot from 5 ft,,6,8
33,1,6:56.0,,Defensive rebound by T. Mann,6,8
34,1,6:45.0,,P. George misses 3-pt jump shot from 26 ft,6,8
35,1,6:43.0,Defensive rebound by C. Paul,,6,8
36,1,6:29.0,S. Adams makes 2-pt dunk at rim (assist by C. Paul),,8,8
37,1,6:15.0,,M. Harkless misses 2-pt jump shot from 21 ft,8,8
38,1,6:12.0,Defensive rebound by S. Adams,,8,8
39,1,5:58.0,S. Adams misses 2-pt layup from 3 ft,,8,8
40,1,5:55.0,,Defensive rebound by I. Zubac,8,8
41,1,5:52.0,,LA Clippers full timeout,8,8
42,1,5:52.0,N. Noel enters the game for S. Adams,,8,8
43,1,5:52.0,D. Schröder enters the game for C. Paul,,8,8
44,1,5:40.0,,I. Zubac makes 2-pt dunk from 2 ft (assist by P. George),8,10
45,1,5:24.0,S. Gilgeous-Alexander makes 2-pt jump shot from 11 ft,,10,10
46,1,5:08.0,,P. George misses 3-pt jump shot from 27 ft,10,10
47,1,5:07.0,Defensive rebound by Team,,10,10
48,1,5:07.0,,J. Green enters the game for P. George,10,10
49,1,5:07.0,,L. Williams enters the game for M. Harkless,10,10
50,1,4:50.0,D. Gallinari misses 3-pt jump shot from 31 ft,,10,10
51,1,4:48.0,Offensive rebound by N. Noel,,10,10
52,1,4:45.0,T. Ferguson misses 3-pt jump shot from 23 ft,,10,10
53,1,4:43.0,,Defensive rebound by I. Zubac,10,10
54,1,4:22.0,,T. Mann misses 2-pt layup from 4 ft,10,10
55,1,4:17.0,,Offensive rebound by I. Zubac,10,10
56,1,4:17.0,,I. Zubac makes 2-pt layup from 1 ft,10,12
57,1,4:04.0,Turnover by S. Gilgeous-Alexander (bad pass; steal by P. Beverley),,10,12
58,1,3:53.0,,J. Green misses 3-pt jump shot from 27 ft,10,12
59,1,3:50.0,Defensive rebound by N. Noel,,10,12
60,1,3:40.0,D. Schröder makes 2-pt jump shot from 18 ft,,12,12
61,1,3:18.0,,T. Mann misses 3-pt jump shot from 22 ft,12,12
62,1,3:18.0,,Offensive rebound by I. Zubac,12,12
63,1,3:18.0,,Shooting foul by N. Noel (drawn by I. Zubac),12,12
64,1,3:18.0,,I. Zubac makes free throw 1 of 2,12,13
65,1,3:18.0,D. Bazley enters the game for D. Gallinari,,12,13
66,1,3:18.0,A. Nader enters the game for S. Gilgeous-Alexander,,12,13
67,1,3:18.0,,R. McGruder enters the game for P. Beverley,12,13
68,1,3:18.0,,J. Robinson enters the game for T. Mann,12,13
69,1,3:18.0,,I. Zubac makes free throw 2 of 2,12,14
70,1,2:59.0,A. Nader makes 2-pt layup from 3 ft (assist by N. Noel),,14,14
