,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,PHOENIX_ACTION,BROOKLYN_SCORE,PHOENIX_SCORE
0,1,11:50.0,Offensive foul by J. Harris (drawn by R. Rubio),,0,0
1,1,11:50.0,Turnover by J. Harris (offensive foul),,0,0
2,1,11:36.0,,D. Šarić misses 3-pt jump shot from 26 ft,0,0
3,1,11:32.0,Defensive rebound by J. Allen,,0,0
4,1,11:25.0,Shooting foul by A. Baynes (drawn by J. Allen),,0,0
5,1,11:25.0,J. Allen makes free throw 1 of 2,,1,0
6,1,11:25.0,J. Allen misses free throw 2 of 2,,1,0
7,1,11:22.0,,Defensive rebound by A. Baynes,1,0
8,1,11:01.0,,A. Baynes makes 3-pt jump shot from 25 ft (assist by R. Rubio),1,3
9,1,10:47.0,C. LeVert misses 2-pt jump shot from 11 ft,,1,3
10,1,10:45.0,,Defensive rebound by D. Šarić,1,3
11,1,10:40.0,,R. Rubio makes 2-pt jump shot from 11 ft,1,5
12,1,10:28.0,K. Irving misses 2-pt jump shot from 9 ft,,1,5
13,1,10:28.0,,Defensive rebound by R. Rubio,1,5
14,1,10:19.0,,A. Baynes makes 2-pt dunk from 1 ft (assist by R. Rubio),1,7
15,1,10:05.0,J. Harris misses 3-pt jump shot from 25 ft,,1,7
16,1,10:03.0,,Defensive rebound by D. Šarić,1,7
17,1,9:54.0,,A. Baynes makes 3-pt jump shot from 25 ft (assist by R. Rubio),1,10
18,1,9:53.0,Brooklyn full timeout,,1,10
19,1,9:29.0,C. LeVert makes 2-pt jump shot from 8 ft,,3,10
20,1,9:16.0,,K. Oubre makes 2-pt dunk at rim (assist by A. Baynes),3,12
21,1,9:03.0,J. Harris misses 3-pt jump shot from 26 ft,,3,12
22,1,9:01.0,,Defensive rebound by R. Rubio,3,12
23,1,8:54.0,,D. Booker makes 2-pt jump shot from 15 ft,3,14
24,1,8:42.0,K. Irving makes 3-pt jump shot from 25 ft (assist by C. LeVert),,6,14
25,1,8:28.0,,D. Šarić makes 2-pt layup from 2 ft (assist by R. Rubio),6,16
26,1,8:18.0,K. Irving makes 2-pt jump shot from 9 ft,,8,16
27,1,8:05.0,,R. Rubio makes 3-pt jump shot from 25 ft,8,19
28,1,7:50.0,T. Prince makes 3-pt jump shot from 27 ft (assist by K. Irving),,11,19
29,1,7:29.0,,A. Baynes makes 2-pt dunk from 1 ft (assist by R. Rubio),11,21
30,1,7:16.0,K. Irving misses 2-pt jump shot from 4 ft,,11,21
31,1,7:12.0,,Defensive rebound by D. Šarić,11,21
32,1,7:09.0,,K. Oubre makes 3-pt jump shot from 23 ft (assist by R. Rubio),11,24
33,1,6:55.0,Offensive foul by J. Allen (drawn by R. Rubio),,11,24
34,1,6:55.0,Turnover by J. Allen (offensive foul),,11,24
35,1,6:55.0,G. Temple enters the game for C. LeVert,,11,24
36,1,6:39.0,,A. Baynes misses 2-pt hook shot from 4 ft,11,24
37,1,6:37.0,,Offensive rebound by K. Oubre,11,24
38,1,6:36.0,,Personal foul by K. Irving (drawn by K. Oubre),11,24
39,1,6:25.0,,R. Rubio misses 3-pt jump shot from 25 ft,11,24
40,1,6:22.0,Defensive rebound by K. Irving,,11,24
41,1,6:14.0,G. Temple misses 3-pt jump shot from 27 ft,,11,24
42,1,6:11.0,,Defensive rebound by K. Oubre,11,24
43,1,6:03.0,,Turnover by K. Oubre (lost ball; steal by G. Temple),11,24
44,1,5:52.0,Shooting foul by A. Baynes (drawn by J. Allen),,11,24
45,1,5:52.0,J. Allen makes free throw 1 of 2,,12,24
46,1,5:52.0,S. Dinwiddie enters the game for T. Prince,,12,24
47,1,5:52.0,,F. Kaminsky enters the game for A. Baynes,12,24
48,1,5:52.0,J. Allen makes free throw 2 of 2,,13,24
49,1,5:32.0,,F. Kaminsky misses 3-pt jump shot from 23 ft,13,24
50,1,5:31.0,,Offensive rebound by D. Šarić,13,24
51,1,5:31.0,,Shooting foul by K. Irving (drawn by D. Šarić),13,24
52,1,5:31.0,,D. Šarić makes free throw 1 of 2,13,25
53,1,5:31.0,,D. Šarić makes free throw 2 of 2,13,26
54,1,5:15.0,Turnover by K. Irving (lost ball; steal by R. Rubio),,13,26
55,1,5:10.0,,D. Booker makes 3-pt jump shot from 24 ft (assist by R. Rubio),13,29
56,1,5:00.0,Offensive foul by J. Allen (drawn by K. Oubre),,13,29
57,1,5:00.0,Turnover by J. Allen (offensive foul),,13,29
58,1,5:00.0,,C. Johnson enters the game for K. Oubre,13,29
59,1,5:00.0,,T. Johnson enters the game for R. Rubio,13,29
60,1,4:46.0,,C. Johnson makes 3-pt jump shot from 23 ft (assist by D. Booker),13,32
61,1,4:35.0,Offensive foul by J. Allen (drawn by C. Johnson),,13,32
62,1,4:35.0,Turnover by J. Allen (offensive foul),,13,32
63,1,4:35.0,Brooklyn full timeout,,13,32
64,1,4:35.0,,Technical foul by K. Atkinson,13,32
65,1,4:35.0,D. Jordan enters the game for J. Allen,,13,32
66,1,4:35.0,D. Nwaba enters the game for J. Harris,,13,32
67,1,4:35.0,,D. Booker makes technical free throw,13,33
68,1,4:18.0,,D. Booker misses 2-pt jump shot from 9 ft,13,33
69,1,4:16.0,Defensive rebound by D. Jordan,,13,33
70,1,4:10.0,S. Dinwiddie misses 2-pt layup from 1 ft,,13,33
71,1,4:10.0,,Defensive rebound by F. Kaminsky,13,33
72,1,4:03.0,,T. Johnson misses 2-pt jump shot from 5 ft,13,33
73,1,4:03.0,,Offensive rebound by Team,13,33
74,1,4:03.0,,M. Bridges enters the game for D. Šarić,13,33
75,1,4:00.0,,C. Johnson misses 2-pt jump shot from 22 ft,13,33
76,1,3:57.0,Defensive rebound by D. Jordan,,13,33
