,QUARTER,TIME_REMAINING,DETROIT_ACTION,MIAMI_ACTION,DETROIT_SCORE,MIAMI_SCORE
0,1,11:40.0,T. Snell misses 3-pt jump shot from 27 ft,,0,0
1,1,11:37.0,,Defensive rebound by B. Adebayo,0,0
2,1,11:22.0,,D. Robinson makes 2-pt jump shot from 7 ft,0,2
3,1,11:05.0,T. Snell misses 3-pt jump shot from 26 ft,,0,2
4,1,11:03.0,,Defensive rebound by B. Adebayo,0,2
5,1,10:54.0,,K. Nunn makes 2-pt layup from 1 ft (assist by J. Butler),0,4
6,1,10:28.0,Personal foul by B. Adebayo (drawn by M. Morris),,0,4
7,1,10:18.0,A. Drummond misses 2-pt jump shot from 16 ft,,0,4
8,1,10:15.0,,Defensive rebound by B. Adebayo,0,4
9,1,9:59.0,,B. Adebayo makes 2-pt jump shot from 10 ft (assist by K. Nunn),0,6
10,1,9:54.0,Detroit full timeout,,0,6
11,1,9:42.0,L. Kennard misses 2-pt jump shot from 14 ft,,0,6
12,1,9:39.0,,Defensive rebound by J. Butler,0,6
13,1,9:20.0,,K. Nunn misses 2-pt jump shot from 13 ft,0,6
14,1,9:17.0,Defensive rebound by M. Morris,,0,6
15,1,9:12.0,A. Drummond makes 2-pt layup from 2 ft (assist by B. Brown),,2,6
16,1,8:51.0,,D. Robinson makes 3-pt jump shot from 23 ft (assist by J. Butler),2,9
17,1,8:40.0,Turnover by L. Kennard (bad pass),,2,9
18,1,8:30.0,,D. Robinson makes 3-pt jump shot from 28 ft (assist by J. Butler),2,12
19,1,8:14.0,Turnover by A. Drummond (bad pass; steal by K. Nunn),,2,12
20,1,8:08.0,,D. Robinson misses 3-pt jump shot from 25 ft,2,12
21,1,8:08.0,,Offensive rebound by B. Adebayo,2,12
22,1,8:08.0,,Personal foul by L. Kennard (drawn by B. Adebayo),2,12
23,1,8:00.0,,J. Butler makes 2-pt dunk from 1 ft,2,14
24,1,7:50.0,B. Brown misses 2-pt jump shot from 7 ft,,2,14
25,1,7:47.0,Offensive rebound by A. Drummond,,2,14
26,1,7:44.0,Turnover by A. Drummond (lost ball; steal by J. Butler),,2,14
27,1,7:39.0,,Personal foul by B. Brown (drawn by M. Leonard),2,14
28,1,7:39.0,T. Frazier enters the game for B. Brown,,2,14
29,1,7:39.0,L. Galloway enters the game for M. Morris,,2,14
30,1,7:39.0,C. Wood enters the game for T. Snell,,2,14
31,1,7:29.0,,Turnover by M. Leonard (bad pass),2,14
32,1,7:11.0,L. Kennard misses 3-pt jump shot from 26 ft,,2,14
33,1,7:07.0,,Defensive rebound by M. Leonard,2,14
34,1,7:01.0,,Turnover by K. Nunn (bad pass; steal by T. Frazier),2,14
35,1,6:57.0,C. Wood makes 2-pt dunk from 1 ft (assist by T. Frazier),,4,14
36,1,6:34.0,,K. Nunn misses 2-pt jump shot from 19 ft,4,14
37,1,6:31.0,Defensive rebound by L. Galloway,,4,14
38,1,6:26.0,L. Kennard misses 2-pt layup from 1 ft,,4,14
39,1,6:23.0,,Defensive rebound by M. Leonard,4,14
40,1,6:20.0,,Turnover by D. Robinson (step out of bounds),4,14
41,1,5:54.0,L. Kennard misses 3-pt jump shot from 25 ft,,4,14
42,1,5:52.0,,Defensive rebound by D. Robinson,4,14
43,1,5:48.0,,B. Adebayo misses 2-pt layup from 2 ft (block by C. Wood),4,14
44,1,5:48.0,,Offensive rebound by Team,4,14
45,1,5:48.0,,G. Dragić enters the game for D. Robinson,4,14
46,1,5:35.0,,Turnover by K. Nunn (bad pass; steal by L. Kennard),4,14
47,1,5:29.0,C. Wood makes 2-pt layup from 1 ft (assist by L. Kennard),,6,14
48,1,5:21.0,,Personal foul by L. Galloway (drawn by J. Butler),6,14
49,1,5:08.0,,B. Adebayo makes 2-pt hook shot from 7 ft (assist by K. Nunn),6,16
50,1,4:50.0,L. Kennard misses 3-pt jump shot from 26 ft,,6,16
51,1,4:47.0,Offensive rebound by A. Drummond,,6,16
52,1,4:45.0,L. Galloway misses 2-pt layup from 1 ft,,6,16
53,1,4:43.0,Offensive rebound by C. Wood,,6,16
54,1,4:43.0,C. Wood makes 2-pt dunk from 1 ft,,8,16
55,1,4:26.0,,J. Butler makes 2-pt jump shot from 6 ft (assist by G. Dragić),8,18
56,1,4:04.0,A. Drummond misses 2-pt hook shot from 8 ft,,8,18
57,1,4:04.0,Offensive rebound by A. Drummond,,8,18
58,1,3:58.0,A. Drummond makes 2-pt jump shot from 12 ft,,10,18
59,1,3:48.0,,Personal foul by L. Galloway (drawn by J. Butler),10,18
60,1,3:48.0,,Miami full timeout,10,18
61,1,3:48.0,S. Mykhailiuk enters the game for L. Kennard,,10,18
62,1,3:43.0,,Turnover by M. Leonard (bad pass; steal by A. Drummond),10,18
63,1,3:31.0,S. Mykhailiuk makes 3-pt jump shot from 23 ft (assist by T. Frazier),,13,18
64,1,3:25.0,,Offensive foul by B. Adebayo (drawn by T. Frazier),13,18
65,1,3:25.0,,Turnover by B. Adebayo (offensive foul),13,18
66,1,3:25.0,,D. Robinson enters the game for B. Adebayo,13,18
67,1,3:25.0,,C. Silva enters the game for K. Nunn,13,18
68,1,3:16.0,Turnover by T. Frazier (bad pass; steal by J. Butler),,13,18
69,1,3:11.0,,J. Butler makes 2-pt dunk from 1 ft,13,20
70,1,2:54.0,L. Galloway misses 2-pt jump shot from 10 ft,,13,20
71,1,2:53.0,Offensive rebound by A. Drummond,,13,20
72,1,2:53.0,Shooting foul by C. Silva (drawn by A. Drummond),,13,20
73,1,2:53.0,A. Drummond misses free throw 1 of 2,,13,20
74,1,2:53.0,Offensive rebound by Team,,13,20
75,1,2:53.0,,K. Olynyk enters the game for M. Leonard,13,20
76,1,2:53.0,A. Drummond makes free throw 2 of 2,,14,20
77,1,2:43.0,,G. Dragić misses 3-pt jump shot from 23 ft,14,20
78,1,2:40.0,Defensive rebound by S. Mykhailiuk,,14,20
79,1,2:33.0,Turnover by S. Mykhailiuk (traveling),,14,20
80,1,2:16.0,,C. Silva makes 2-pt dunk from 1 ft (assist by J. Butler),14,22
81,1,2:04.0,L. Galloway misses 3-pt jump shot from 27 ft,,14,22
82,1,2:01.0,,Defensive rebound by J. Butler,14,22
83,1,1:51.0,,C. Silva makes 2-pt jump shot from 12 ft (assist by K. Olynyk),14,24
84,1,1:29.0,S. Mykhailiuk misses 2-pt layup from 2 ft,,14,24
