,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,MILWAUKEE_ACTION,OKLAHOMA CITY_SCORE,MILWAUKEE_SCORE
0,1,11:42.0,,W. Matthews misses 3-pt jump shot from 27 ft,0,0
1,1,11:39.0,Defensive rebound by S. Adams,,0,0
2,1,11:33.0,S. Gilgeous-Alexander makes 3-pt jump shot from 28 ft,,3,0
3,1,11:16.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by E. Bledsoe),3,2
4,1,10:52.0,S. Adams makes 2-pt layup from 1 ft (assist by C. Paul),,5,2
5,1,10:41.0,,D. DiVincenzo misses 2-pt jump shot from 17 ft,5,2
6,1,10:39.0,Defensive rebound by C. Paul,,5,2
7,1,10:29.0,C. Paul makes 2-pt jump shot from 1 ft,,7,2
8,1,10:29.0,Shooting foul by W. Matthews (drawn by C. Paul),,7,2
9,1,10:29.0,C. Paul makes free throw 1 of 1,,8,2
10,1,10:18.0,,W. Matthews misses 3-pt jump shot from 26 ft,8,2
11,1,10:15.0,Defensive rebound by S. Adams,,8,2
12,1,10:08.0,S. Gilgeous-Alexander misses 2-pt layup from 1 ft,,8,2
13,1,10:06.0,,Defensive rebound by G. Antetokounmpo,8,2
14,1,9:59.0,,W. Matthews makes 3-pt jump shot from 23 ft (assist by D. DiVincenzo),8,5
15,1,9:47.0,C. Paul misses 2-pt jump shot from 15 ft,,8,5
16,1,9:44.0,,Defensive rebound by D. DiVincenzo,8,5
17,1,9:38.0,,B. Lopez misses 3-pt jump shot from 26 ft,8,5
18,1,9:35.0,,Offensive rebound by E. Bledsoe,8,5
19,1,9:30.0,,Offensive foul by B. Lopez (drawn by L. Dort),8,5
20,1,9:30.0,,Turnover by B. Lopez (offensive foul),8,5
21,1,9:17.0,S. Adams misses 2-pt layup from 3 ft,,8,5
22,1,9:15.0,,Defensive rebound by W. Matthews,8,5
23,1,8:59.0,,E. Bledsoe makes 3-pt jump shot from 27 ft (assist by D. DiVincenzo),8,8
24,1,8:45.0,C. Paul misses 2-pt jump shot from 12 ft,,8,8
25,1,8:42.0,,Defensive rebound by G. Antetokounmpo,8,8
26,1,8:41.0,,Personal foul by H. Diallo (drawn by G. Antetokounmpo),8,8
27,1,8:33.0,,G. Antetokounmpo misses 2-pt jump shot from 13 ft,8,8
28,1,8:31.0,,Offensive rebound by W. Matthews,8,8
29,1,8:26.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,8,8
30,1,8:24.0,Defensive rebound by C. Paul,,8,8
31,1,8:21.0,L. Dort misses 3-pt jump shot from 26 ft,,8,8
32,1,8:16.0,,Defensive rebound by W. Matthews,8,8
33,1,8:12.0,,Turnover by G. Antetokounmpo (traveling),8,8
34,1,8:03.0,S. Adams makes 2-pt jump shot from 9 ft (assist by C. Paul),,10,8
35,1,7:50.0,,G. Antetokounmpo makes 2-pt hook shot from 2 ft (assist by E. Bledsoe),10,10
36,1,7:50.0,,Shooting foul by H. Diallo (drawn by G. Antetokounmpo),10,10
37,1,7:50.0,N. Noel enters the game for S. Adams,,10,10
