,QUARTER,TIME_REMAINING,DALLAS_ACTION,MEMPHIS_ACTION,DALLAS_SCORE,MEMPHIS_SCORE
0,1,11:39.0,M. Kleber makes 3-pt jump shot from 26 ft (assist by L. Dončić),,3,0
1,1,11:17.0,,J. Crowder makes 3-pt jump shot from 23 ft (assist by T. Jones),3,3
2,1,11:03.0,L. Dončić makes 2-pt jump shot from 14 ft (assist by B. Marjanović),,5,3
3,1,10:50.0,,D. Brooks makes 3-pt jump shot from 25 ft (assist by J. Valančiūnas),5,6
4,1,10:34.0,S. Curry misses 3-pt jump shot from 25 ft,,5,6
5,1,10:33.0,,Defensive rebound by J. Crowder,5,6
6,1,10:24.0,,J. Jackson misses 2-pt layup from 5 ft (block by M. Kleber),5,6
7,1,10:24.0,,Offensive rebound by Team,5,6
8,1,10:19.0,,J. Valančiūnas misses 3-pt jump shot from 26 ft,5,6
9,1,10:15.0,Defensive rebound by L. Dončić,,5,6
10,1,10:13.0,Personal foul by J. Valančiūnas (drawn by B. Marjanović),,5,6
11,1,9:59.0,L. Dončić misses 3-pt jump shot from 26 ft,,5,6
12,1,9:55.0,,Defensive rebound by T. Jones,5,6
13,1,9:49.0,,T. Jones makes 2-pt jump shot from 5 ft,5,8
14,1,9:35.0,S. Curry makes 3-pt jump shot from 26 ft (assist by L. Dončić),,8,8
15,1,9:20.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by J. Valančiūnas),8,11
16,1,9:04.0,S. Curry makes 3-pt jump shot from 25 ft (assist by L. Dončić),,11,11
17,1,8:55.0,,J. Jackson misses 3-pt jump shot from 25 ft,11,11
18,1,8:49.0,Defensive rebound by L. Dončić,,11,11
19,1,8:43.0,S. Curry makes 3-pt jump shot from 24 ft,,14,11
20,1,8:42.0,,Memphis full timeout,14,11
21,1,8:31.0,,Personal foul by M. Kleber (drawn by J. Jackson),14,11
22,1,8:26.0,,J. Crowder misses 3-pt jump shot from 25 ft,14,11
23,1,8:24.0,,Offensive rebound by D. Brooks,14,11
24,1,8:22.0,,T. Jones makes 3-pt jump shot from 26 ft (assist by D. Brooks),14,14
25,1,8:08.0,S. Curry misses 3-pt jump shot from 26 ft,,14,14
26,1,8:05.0,,Defensive rebound by J. Valančiūnas,14,14
27,1,7:56.0,,J. Valančiūnas makes 2-pt jump shot from 20 ft,14,16
28,1,7:41.0,Personal foul by D. Brooks (drawn by B. Marjanović),,14,16
29,1,7:27.0,M. Kleber misses 3-pt jump shot from 26 ft,,14,16
30,1,7:23.0,Offensive rebound by L. Dončić,,14,16
31,1,7:22.0,L. Dončić misses 2-pt layup from 1 ft (block by J. Valančiūnas),,14,16
32,1,7:18.0,,Defensive rebound by T. Jones,14,16
33,1,7:16.0,,J. Crowder misses 3-pt jump shot from 26 ft,14,16
34,1,7:12.0,Defensive rebound by B. Marjanović,,14,16
35,1,7:11.0,Turnover by B. Marjanović (bad pass; steal by J. Crowder),,14,16
36,1,7:06.0,,J. Crowder makes 2-pt layup from 3 ft,14,18
37,1,6:46.0,B. Marjanović misses 2-pt hook shot from 10 ft,,14,18
38,1,6:44.0,Offensive rebound by Team,,14,18
39,1,6:44.0,,D. Melton enters the game for T. Jones,14,18
40,1,6:44.0,Turnover by Team (shot clock),,14,18
41,1,6:28.0,,J. Valančiūnas misses 2-pt jump shot from 5 ft,14,18
42,1,6:25.0,Defensive rebound by M. Kleber,,14,18
43,1,6:12.0,L. Dončić makes 2-pt layup from 3 ft,,16,18
44,1,5:57.0,,Personal foul by S. Curry (drawn by J. Valančiūnas),16,18
45,1,5:57.0,D. Powell enters the game for B. Marjanović,,16,18
46,1,5:53.0,,Turnover by D. Melton (bad pass; steal by D. Finney-Smith),16,18
47,1,5:49.0,D. Finney-Smith makes 2-pt dunk at rim (assist by S. Curry),,18,18
48,1,5:33.0,,D. Brooks misses 2-pt jump shot from 16 ft,18,18
49,1,5:31.0,Defensive rebound by L. Dončić,,18,18
50,1,5:22.0,L. Dončić makes 2-pt jump shot from 4 ft,,20,18
51,1,5:08.0,,J. Valančiūnas makes 2-pt hook shot from 7 ft,20,20
52,1,4:50.0,L. Dončić makes 2-pt layup from 3 ft,,22,20
53,1,4:50.0,,Violation by Team (def goaltending),22,20
54,1,4:50.0,Shooting foul by D. Brooks (drawn by L. Dončić),,22,20
55,1,4:50.0,T. Hardaway enters the game for M. Kleber,,22,20
56,1,4:50.0,,K. Anderson enters the game for D. Brooks,22,20
57,1,4:50.0,,M. Guduric enters the game for J. Crowder,22,20
58,1,4:50.0,,S. Hill enters the game for J. Valančiūnas,22,20
59,1,4:50.0,L. Dončić makes free throw 1 of 1,,23,20
60,1,4:30.0,,D. Melton makes 3-pt jump shot from 25 ft (assist by M. Guduric),23,23
61,1,4:14.0,S. Curry misses 2-pt jump shot from 8 ft,,23,23
62,1,4:12.0,,Defensive rebound by M. Guduric,23,23
63,1,4:09.0,,M. Guduric makes 2-pt layup from 1 ft,23,25
64,1,4:09.0,,Shooting foul by T. Hardaway (drawn by M. Guduric),23,25
65,1,4:09.0,,B. Caboclo enters the game for J. Jackson,23,25
66,1,4:09.0,Dallas full timeout,,23,25
67,1,4:09.0,,M. Guduric makes free throw 1 of 1,23,26
68,1,3:58.0,T. Hardaway misses 3-pt jump shot from 27 ft,,23,26
69,1,3:55.0,,Defensive rebound by D. Melton,23,26
70,1,3:36.0,,M. Guduric makes 2-pt jump shot from 8 ft,23,28
71,1,3:26.0,Shooting foul by K. Anderson (drawn by S. Curry),,23,28
72,1,3:26.0,S. Curry makes free throw 1 of 2,,24,28
73,1,3:26.0,J. Jackson enters the game for L. Dončić,,24,28
74,1,3:26.0,D. Wright enters the game for D. Finney-Smith,,24,28
75,1,3:26.0,S. Curry makes free throw 2 of 2,,25,28
76,1,3:16.0,,M. Guduric misses 2-pt layup at rim,25,28
77,1,3:14.0,Defensive rebound by D. Powell,,25,28
78,1,3:09.0,S. Curry misses 3-pt jump shot from 23 ft,,25,28
