,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,PORTLAND_ACTION,MINNESOTA_SCORE,PORTLAND_SCORE
0,1,11:40.0,,D. Lillard makes 3-pt jump shot from 26 ft,0,3
1,1,11:21.0,A. Wiggins makes 2-pt layup from 1 ft (assist by G. Dieng),,2,3
2,1,11:12.0,,D. Lillard misses 3-pt jump shot from 29 ft,2,3
3,1,11:11.0,Defensive rebound by A. Wiggins,,2,3
4,1,11:04.0,J. Okogie makes 2-pt layup from 1 ft (assist by A. Wiggins),,4,3
5,1,10:48.0,,K. Bazemore makes 2-pt jump shot from 20 ft,4,5
6,1,10:38.0,G. Dieng misses 3-pt jump shot from 24 ft,,4,5
7,1,10:35.0,,Defensive rebound by H. Whiteside,4,5
8,1,10:29.0,,C. McCollum misses 3-pt jump shot from 25 ft,4,5
9,1,10:27.0,Defensive rebound by R. Covington,,4,5
10,1,10:21.0,Turnover by S. Napier (traveling),,4,5
11,1,10:06.0,,K. Bazemore misses 2-pt layup from 2 ft,4,5
12,1,10:06.0,,Offensive rebound by Team,4,5
13,1,10:02.0,,C. McCollum misses 2-pt jump shot from 3 ft,4,5
14,1,10:00.0,,Offensive rebound by A. Tolliver,4,5
15,1,10:00.0,,A. Tolliver misses 2-pt layup from 1 ft,4,5
16,1,10:00.0,,Offensive rebound by H. Whiteside,4,5
17,1,9:58.0,,H. Whiteside makes 2-pt layup from 1 ft,4,7
18,1,9:49.0,S. Napier misses 3-pt jump shot from 27 ft,,4,7
19,1,9:46.0,,Defensive rebound by D. Lillard,4,7
20,1,9:41.0,,D. Lillard misses 3-pt jump shot from 25 ft,4,7
21,1,9:38.0,Defensive rebound by R. Covington,,4,7
22,1,9:29.0,A. Wiggins makes 3-pt jump shot from 25 ft,,7,7
23,1,9:13.0,,Shooting foul by J. Okogie (drawn by C. McCollum),7,7
24,1,9:13.0,,C. McCollum misses free throw 1 of 2,7,7
25,1,9:13.0,,Offensive rebound by Team,7,7
26,1,9:13.0,,C. McCollum makes free throw 2 of 2,7,8
27,1,8:59.0,R. Covington misses 3-pt jump shot from 26 ft,,7,8
28,1,8:57.0,,Defensive rebound by Team,7,8
