,QUARTER,TIME_REMAINING,ORLANDO_ACTION,NEW YORK_ACTION,ORLANDO_SCORE,NEW YORK_SCORE
0,1,11:41.0,M. Fultz makes 2-pt layup from 1 ft,,2,0
1,1,11:27.0,,E. Payton misses 2-pt layup from 1 ft,2,0
2,1,11:25.0,,Offensive rebound by Team,2,0
3,1,11:15.0,,T. Gibson makes 2-pt jump shot from 6 ft,2,2
4,1,10:50.0,Turnover by A. Gordon (bad pass; steal by E. Payton),,2,2
5,1,10:45.0,,R. Bullock makes 2-pt layup from 2 ft,2,4
6,1,10:32.0,N. Vučević makes 2-pt jump shot from 5 ft (assist by M. Fultz),,4,4
7,1,10:16.0,,R. Bullock misses 2-pt jump shot from 19 ft,4,4
8,1,10:15.0,Defensive rebound by K. Birch,,4,4
9,1,10:06.0,M. Fultz misses 2-pt jump shot from 9 ft,,4,4
10,1,10:04.0,,Defensive rebound by J. Randle,4,4
11,1,9:58.0,,E. Payton makes 2-pt layup from 1 ft,4,6
12,1,9:35.0,Turnover by K. Birch (lost ball; steal by E. Payton),,4,6
13,1,9:25.0,,J. Randle misses 2-pt layup from 1 ft,4,6
14,1,9:23.0,Defensive rebound by K. Birch,,4,6
15,1,9:18.0,A. Gordon misses 3-pt jump shot from 26 ft,,4,6
16,1,9:16.0,,Defensive rebound by J. Randle,4,6
17,1,9:07.0,,Personal foul by A. Gordon (drawn by R. Bullock),4,6
18,1,9:01.0,,J. Randle makes 2-pt jump shot from 6 ft (assist by E. Payton),4,8
19,1,8:43.0,A. Gordon misses 2-pt jump shot from 15 ft,,4,8
20,1,8:41.0,,Defensive rebound by E. Payton,4,8
21,1,8:37.0,Violation by Team (kicked ball),,4,8
22,1,8:30.0,,Shooting foul by K. Birch (drawn by J. Randle),4,8
23,1,8:30.0,,J. Randle makes free throw 1 of 2,4,9
24,1,8:30.0,,J. Randle makes free throw 2 of 2,4,10
25,1,8:19.0,Personal foul by T. Gibson (drawn by N. Vučević),,4,10
26,1,8:11.0,A. Gordon misses 3-pt jump shot from 25 ft,,4,10
27,1,8:09.0,,Defensive rebound by J. Randle,4,10
28,1,8:01.0,,Turnover by E. Payton (bad pass; steal by N. Vučević),4,10
29,1,7:55.0,M. Fultz makes 2-pt dunk from 1 ft (assist by A. Gordon),,6,10
