,QUARTER,TIME_REMAINING,CHICAGO_ACTION,NEW ORLEANS_ACTION,CHICAGO_SCORE,NEW ORLEANS_SCORE
0,1,11:48.0,,J. Redick misses 3-pt jump shot from 26 ft,0,0
1,1,11:44.0,,Offensive rebound by D. Favors,0,0
2,1,11:34.0,,L. Ball misses 3-pt jump shot from 26 ft,0,0
3,1,11:30.0,Defensive rebound by Z. LaVine,,0,0
4,1,11:14.0,T. Young misses 2-pt layup from 3 ft (block by D. Favors),,0,0
5,1,11:10.0,Offensive rebound by T. Young,,0,0
6,1,11:09.0,T. Young misses 2-pt layup from 3 ft,,0,0
7,1,11:09.0,,Defensive rebound by B. Ingram,0,0
8,1,10:46.0,,L. Ball makes 2-pt layup from 1 ft (assist by J. Redick),0,2
9,1,10:21.0,L. Markkanen misses 2-pt jump shot from 20 ft,,0,2
10,1,10:17.0,,Defensive rebound by B. Ingram,0,2
11,1,10:06.0,,D. Favors makes 2-pt layup from 2 ft (assist by B. Ingram),0,4
12,1,9:53.0,T. Satoranský misses 2-pt layup from 5 ft,,0,4
13,1,9:51.0,,Defensive rebound by D. Favors,0,4
14,1,9:38.0,,L. Ball misses 3-pt jump shot from 23 ft,0,4
15,1,9:35.0,Defensive rebound by L. Markkanen,,0,4
16,1,9:30.0,Z. LaVine makes 2-pt layup from 1 ft (assist by T. Satoranský),,2,4
17,1,9:17.0,,Turnover by L. Ball (bad pass; steal by K. Dunn),2,4
18,1,9:12.0,Z. LaVine makes 2-pt layup from 1 ft (assist by K. Dunn),,4,4
19,1,8:59.0,,D. Favors makes 2-pt dunk from 1 ft,4,6
20,1,8:44.0,T. Young misses 3-pt jump shot from 23 ft,,4,6
21,1,8:42.0,,Defensive rebound by B. Ingram,4,6
22,1,8:31.0,,B. Ingram makes 2-pt jump shot from 7 ft,4,8
23,1,8:21.0,L. Markkanen makes 3-pt jump shot from 26 ft (assist by Z. LaVine),,7,8
24,1,8:08.0,,B. Ingram misses 3-pt jump shot from 26 ft,7,8
25,1,8:05.0,Defensive rebound by Z. LaVine,,7,8
26,1,7:56.0,K. Dunn makes 3-pt jump shot from 25 ft (assist by Z. LaVine),,10,8
27,1,7:37.0,,Offensive foul by D. Favors (drawn by T. Young),10,8
28,1,7:37.0,,Turnover by D. Favors (offensive foul),10,8
29,1,7:31.0,T. Satoranský misses 2-pt layup from 3 ft,,10,8
30,1,7:28.0,,Defensive rebound by D. Favors,10,8
31,1,7:22.0,,B. Ingram misses 2-pt jump shot from 10 ft,10,8
32,1,7:20.0,,Offensive rebound by Team,10,8
33,1,7:20.0,Loose ball foul by L. Markkanen (drawn by D. Favors),,10,8
34,1,7:17.0,,Personal foul by T. Satoranský (drawn by L. Ball),10,8
35,1,7:10.0,,B. Ingram misses 3-pt jump shot from 23 ft,10,8
36,1,7:06.0,Defensive rebound by T. Satoranský,,10,8
37,1,7:01.0,K. Dunn misses 3-pt jump shot from 25 ft,,10,8
38,1,6:58.0,,Defensive rebound by L. Ball,10,8
39,1,6:44.0,,Turnover by L. Ball (bad pass; steal by K. Dunn),10,8
40,1,6:33.0,T. Satoranský misses 3-pt jump shot from 23 ft,,10,8
41,1,6:29.0,,Defensive rebound by D. Favors,10,8
42,1,6:24.0,,Turnover by B. Ingram (bad pass; steal by T. Young),10,8
43,1,6:18.0,Z. LaVine misses 2-pt layup from 3 ft (block by B. Ingram),,10,8
44,1,6:15.0,,Defensive rebound by B. Ingram,10,8
45,1,6:12.0,,J. Redick misses 3-pt jump shot from 25 ft,10,8
46,1,6:07.0,Defensive rebound by T. Satoranský,,10,8
47,1,6:05.0,,New Orleans full timeout,10,8
48,1,6:05.0,C. White enters the game for T. Satoranský,,10,8
49,1,5:51.0,T. Young misses 2-pt layup from 5 ft,,10,8
50,1,5:48.0,,Defensive rebound by D. Favors,10,8
51,1,5:33.0,,J. Hart misses 3-pt jump shot from 23 ft,10,8
52,1,5:31.0,,Offensive rebound by J. Hart,10,8
53,1,5:29.0,,J. Redick misses 3-pt jump shot from 26 ft,10,8
54,1,5:26.0,Defensive rebound by K. Dunn,,10,8
55,1,5:21.0,K. Dunn misses 2-pt jump shot from 18 ft,,10,8
56,1,5:16.0,Offensive rebound by C. White,,10,8
57,1,5:10.0,Z. LaVine misses 3-pt jump shot from 22 ft,,10,8
58,1,5:05.0,,Defensive rebound by J. Redick,10,8
