,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MEMPHIS_ACTION,WASHINGTON_SCORE,MEMPHIS_SCORE
0,1,11:34.0,,Turnover by J. Valančiūnas (lost ball; steal by I. Smith),0,0
1,1,11:30.0,I. Smith makes 2-pt layup at rim,,2,0
2,1,11:12.0,,D. Brooks makes 2-pt layup from 3 ft,2,2
3,1,10:52.0,B. Beal makes 3-pt jump shot from 23 ft (assist by I. Smith),,5,2
4,1,10:37.0,,Turnover by J. Valančiūnas (off goaltending),5,2
5,1,10:20.0,B. Beal misses 3-pt jump shot from 25 ft,,5,2
6,1,10:17.0,,Defensive rebound by J. Jackson,5,2
7,1,10:11.0,,J. Jackson makes 2-pt layup from 1 ft,5,4
8,1,9:58.0,I. Smith makes 3-pt jump shot from 23 ft,,8,4
9,1,9:43.0,,D. Brooks misses 2-pt jump shot from 22 ft,8,4
10,1,9:39.0,Defensive rebound by R. Hachimura,,8,4
11,1,9:35.0,R. Hachimura makes 2-pt layup from 1 ft,,10,4
12,1,9:35.0,,Memphis full timeout,10,4
13,1,9:11.0,,Turnover by J. Valančiūnas (lost ball; steal by B. Beal),10,4
14,1,9:07.0,Turnover by I. Bonga (lost ball; steal by D. Brooks),,10,4
15,1,9:03.0,,D. Brooks makes 2-pt layup from 1 ft,10,6
16,1,8:40.0,B. Beal makes 3-pt jump shot from 25 ft,,13,6
17,1,8:25.0,,J. Valančiūnas misses 2-pt hook shot from 3 ft,13,6
18,1,8:24.0,Defensive rebound by I. Smith,,13,6
19,1,8:16.0,R. Hachimura misses 2-pt jump shot from 13 ft,,13,6
20,1,8:13.0,Offensive rebound by I. Bonga,,13,6
21,1,8:10.0,I. Mahinmi misses 2-pt layup from 4 ft,,13,6
22,1,8:10.0,,Defensive rebound by Team,13,6
23,1,7:56.0,,D. Brooks makes 2-pt layup from 2 ft,13,8
24,1,7:56.0,,Shooting foul by I. Bonga (drawn by D. Brooks),13,8
25,1,7:56.0,,D. Brooks misses free throw 1 of 1,13,8
26,1,7:54.0,,Offensive rebound by J. Valančiūnas,13,8
27,1,7:54.0,,J. Valančiūnas misses 2-pt layup at rim,13,8
28,1,7:54.0,,Offensive rebound by Team,13,8
29,1,7:48.0,,J. Morant misses 2-pt layup from 2 ft,13,8
30,1,7:48.0,,Offensive rebound by J. Valančiūnas,13,8
31,1,7:46.0,,J. Valančiūnas makes 2-pt layup at rim,13,10
32,1,7:41.0,Turnover by I. Smith (bad pass; steal by J. Morant),,13,10
33,1,7:40.0,,Shooting foul by I. Mahinmi (drawn by J. Morant),13,10
34,1,7:40.0,,J. Morant makes free throw 1 of 2,13,11
35,1,7:40.0,,J. Morant makes free throw 2 of 2,13,12
36,1,7:21.0,B. Beal misses 2-pt jump shot from 11 ft (block by J. Valančiūnas),,13,12
37,1,7:21.0,Offensive rebound by B. Beal,,13,12
38,1,7:21.0,B. Beal misses 3-pt jump shot from 23 ft,,13,12
39,1,7:18.0,Offensive rebound by I. Mahinmi,,13,12
40,1,7:15.0,I. Smith misses 2-pt jump shot from 20 ft,,13,12
41,1,7:12.0,,Defensive rebound by J. Valančiūnas,13,12
42,1,7:00.0,,J. Jackson misses 3-pt jump shot from 25 ft,13,12
43,1,6:56.0,Defensive rebound by B. Beal,,13,12
44,1,6:56.0,Personal foul by D. Brooks (drawn by B. Beal),,13,12
45,1,6:39.0,R. Hachimura misses 2-pt jump shot from 20 ft,,13,12
46,1,6:36.0,,Defensive rebound by J. Morant,13,12
47,1,6:28.0,,Turnover by K. Anderson (lost ball; steal by I. Smith),13,12
48,1,6:24.0,Shooting foul by D. Brooks (drawn by B. Beal),,13,12
49,1,6:24.0,B. Beal makes free throw 1 of 2,,14,12
50,1,6:24.0,D. Bertāns enters the game for I. Mahinmi,,14,12
51,1,6:24.0,,B. Clarke enters the game for D. Brooks,14,12
52,1,6:24.0,,T. Jones enters the game for J. Morant,14,12
53,1,6:24.0,,D. Melton enters the game for J. Valančiūnas,14,12
54,1,6:24.0,B. Beal misses free throw 2 of 2,,14,12
