,QUARTER,TIME_REMAINING,UTAH_ACTION,NEW YORK_ACTION,UTAH_SCORE,NEW YORK_SCORE
0,1,11:41.0,R. O'Neale makes 3-pt jump shot from 25 ft (assist by M. Conley),,3,0
1,1,11:24.0,,Turnover by R. Barrett (bad pass; steal by D. Mitchell),3,0
2,1,11:19.0,Shooting foul by M. Harkless (drawn by B. Bogdanović),,3,0
3,1,11:19.0,B. Bogdanović makes free throw 1 of 2,,4,0
4,1,11:19.0,B. Bogdanović misses free throw 2 of 2,,4,0
5,1,11:17.0,,Defensive rebound by M. Harkless,4,0
6,1,11:03.0,,J. Randle makes 2-pt layup from 3 ft,4,2
7,1,11:03.0,,Shooting foul by R. O'Neale (drawn by J. Randle),4,2
8,1,11:03.0,,J. Randle makes free throw 1 of 1,4,3
9,1,10:49.0,B. Bogdanović makes 2-pt layup from 1 ft,,6,3
10,1,10:34.0,,Turnover by T. Gibson (out of bounds lost ball),6,3
11,1,10:21.0,R. O'Neale misses 3-pt jump shot from 26 ft,,6,3
12,1,10:19.0,,Defensive rebound by E. Payton,6,3
13,1,10:11.0,,M. Harkless misses 2-pt layup from 4 ft,6,3
14,1,10:10.0,,Offensive rebound by J. Randle,6,3
15,1,10:09.0,,Shooting foul by D. Mitchell (drawn by J. Randle),6,3
16,1,10:09.0,,J. Randle makes free throw 1 of 2,6,4
17,1,10:09.0,,J. Randle misses free throw 2 of 2,6,4
18,1,10:07.0,Defensive rebound by R. Gobert,,6,4
19,1,9:49.0,D. Mitchell misses 2-pt jump shot from 16 ft,,6,4
20,1,9:47.0,Offensive rebound by R. Gobert,,6,4
21,1,9:42.0,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by D. Mitchell),,9,4
22,1,9:22.0,,R. Barrett misses 2-pt jump shot from 14 ft,9,4
23,1,9:20.0,Defensive rebound by B. Bogdanović,,9,4
24,1,9:15.0,D. Mitchell makes 2-pt jump shot from 9 ft,,11,4
25,1,9:15.0,Shooting foul by R. Barrett (drawn by D. Mitchell),,11,4
26,1,9:15.0,D. Mitchell makes free throw 1 of 1,,12,4
27,1,9:04.0,,J. Randle makes 3-pt jump shot from 24 ft (assist by R. Barrett),12,7
28,1,8:41.0,D. Mitchell misses 3-pt jump shot from 28 ft,,12,7
29,1,8:39.0,,Defensive rebound by T. Gibson,12,7
30,1,8:28.0,,E. Payton makes 2-pt layup from 2 ft,12,9
31,1,8:16.0,D. Mitchell misses 2-pt jump shot from 17 ft,,12,9
32,1,8:14.0,Offensive rebound by M. Conley,,12,9
33,1,8:05.0,B. Bogdanović misses 2-pt jump shot from 8 ft,,12,9
34,1,8:03.0,,Defensive rebound by J. Randle,12,9
35,1,7:54.0,,J. Randle misses 2-pt jump shot from 9 ft,12,9
36,1,7:52.0,Defensive rebound by R. Gobert,,12,9
