,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,NEW YORK_ACTION,OKLAHOMA CITY_SCORE,NEW YORK_SCORE
0,1,11:42.0,S. Adams misses 2-pt hook shot from 8 ft,,0,0
1,1,11:40.0,,Defensive rebound by J. Randle,0,0
2,1,11:25.0,,J. Randle makes 2-pt jump shot from 12 ft (assist by E. Payton),0,2
3,1,11:06.0,C. Paul misses 2-pt jump shot from 15 ft,,0,2
4,1,11:05.0,,Defensive rebound by E. Payton,0,2
5,1,10:54.0,,T. Gibson misses 2-pt layup at rim,0,2
6,1,10:52.0,Defensive rebound by D. Gallinari,,0,2
7,1,10:46.0,D. Gallinari misses 3-pt jump shot from 25 ft,,0,2
8,1,10:44.0,,Defensive rebound by J. Randle,0,2
9,1,10:33.0,,R. Barrett misses 2-pt layup from 2 ft,0,2
10,1,10:31.0,Defensive rebound by S. Adams,,0,2
11,1,10:14.0,S. Adams makes 2-pt dunk from 1 ft (assist by C. Paul),,2,2
12,1,9:56.0,,Shooting foul by S. Gilgeous-Alexander (drawn by E. Payton),2,2
13,1,9:56.0,,E. Payton makes free throw 1 of 2,2,3
14,1,9:56.0,,Turnover by T. Gibson (lane violation),2,3
15,1,9:48.0,S. Adams misses 2-pt layup from 1 ft,,2,3
16,1,9:47.0,,Defensive rebound by T. Gibson,2,3
17,1,9:44.0,,E. Payton misses 2-pt layup from 1 ft,2,3
18,1,9:42.0,,Offensive rebound by T. Gibson,2,3
19,1,9:37.0,,M. Harkless makes 2-pt layup from 1 ft (assist by E. Payton),2,5
20,1,9:15.0,L. Dort misses 3-pt jump shot from 27 ft,,2,5
21,1,9:13.0,,Defensive rebound by E. Payton,2,5
22,1,9:04.0,,T. Gibson makes 2-pt hook shot from 2 ft (assist by M. Harkless),2,7
23,1,8:51.0,D. Gallinari misses 3-pt jump shot from 27 ft,,2,7
24,1,8:49.0,Offensive rebound by S. Adams,,2,7
25,1,8:41.0,Shooting foul by M. Harkless (drawn by S. Gilgeous-Alexander),,2,7
26,1,8:41.0,S. Gilgeous-Alexander makes free throw 1 of 2,,3,7
27,1,8:41.0,S. Gilgeous-Alexander makes free throw 2 of 2,,4,7
28,1,8:26.0,,Shooting foul by S. Gilgeous-Alexander (drawn by E. Payton),4,7
29,1,8:26.0,,E. Payton makes free throw 1 of 2,4,8
30,1,8:26.0,,E. Payton makes free throw 2 of 2,4,9
31,1,8:04.0,C. Paul makes 3-pt jump shot from 26 ft (assist by L. Dort),,7,9
32,1,7:44.0,,T. Gibson makes 2-pt layup from 1 ft (assist by E. Payton),7,11
33,1,7:28.0,C. Paul makes 3-pt jump shot from 25 ft (assist by S. Gilgeous-Alexander),,10,11
34,1,7:12.0,,R. Barrett misses 3-pt jump shot from 26 ft,10,11
35,1,7:11.0,Defensive rebound by Team,,10,11
36,1,7:11.0,D. Schröder enters the game for S. Gilgeous-Alexander,,10,11
37,1,6:53.0,D. Schröder misses 2-pt jump shot from 22 ft,,10,11
38,1,6:51.0,,Defensive rebound by R. Barrett,10,11
39,1,6:42.0,,E. Payton misses 2-pt jump shot from 10 ft,10,11
40,1,6:40.0,Defensive rebound by S. Adams,,10,11
41,1,6:25.0,S. Adams makes 2-pt hook shot from 5 ft,,12,11
42,1,6:19.0,,New York full timeout,12,11
43,1,6:19.0,N. Noel enters the game for S. Adams,,12,11
44,1,6:19.0,,M. Robinson enters the game for T. Gibson,12,11
45,1,6:09.0,,J. Randle makes 2-pt jump shot from 20 ft,12,13
46,1,6:02.0,L. Dort makes 2-pt layup from 1 ft (assist by C. Paul),,14,13
47,1,5:45.0,,R. Barrett misses 3-pt jump shot from 26 ft,14,13
48,1,5:44.0,Defensive rebound by Team,,14,13
49,1,5:27.0,D. Schröder misses 2-pt layup from 1 ft,,14,13
50,1,5:25.0,Offensive rebound by L. Dort,,14,13
51,1,5:12.0,N. Noel misses 2-pt jump shot from 12 ft (block by M. Robinson),,14,13
52,1,5:10.0,,Defensive rebound by J. Randle,14,13
53,1,4:51.0,,E. Payton makes 2-pt jump shot from 9 ft,14,15
54,1,4:37.0,D. Schröder misses 2-pt jump shot from 9 ft,,14,15
55,1,4:35.0,,Defensive rebound by E. Payton,14,15
56,1,4:30.0,,R. Barrett misses 2-pt jump shot from 8 ft,14,15
57,1,4:28.0,Defensive rebound by C. Paul,,14,15
58,1,4:23.0,L. Dort misses 2-pt layup from 1 ft,,14,15
59,1,4:21.0,,Defensive rebound by E. Payton,14,15
60,1,4:15.0,,M. Robinson makes 2-pt dunk from 1 ft,14,17
61,1,4:15.0,Oklahoma City full timeout,,14,17
62,1,4:15.0,T. Ferguson enters the game for C. Paul,,14,17
63,1,4:15.0,,W. Ellington enters the game for R. Barrett,14,17
64,1,3:59.0,Shooting foul by M. Robinson (drawn by D. Gallinari),,14,17
65,1,3:59.0,D. Gallinari makes free throw 1 of 2,,15,17
66,1,3:59.0,D. Gallinari makes free throw 2 of 2,,16,17
67,1,3:39.0,,J. Randle misses 3-pt jump shot from 26 ft,16,17
68,1,3:37.0,Defensive rebound by Team,,16,17
69,1,3:37.0,H. Diallo enters the game for L. Dort,,16,17
70,1,3:29.0,Shooting foul by J. Randle (drawn by D. Gallinari),,16,17
71,1,3:29.0,D. Gallinari misses free throw 1 of 2,,16,17
72,1,3:29.0,Offensive rebound by Team,,16,17
73,1,3:29.0,D. Gallinari makes free throw 2 of 2,,17,17
74,1,3:10.0,,M. Robinson makes 2-pt dunk from 1 ft (assist by E. Payton),17,19
75,1,2:53.0,T. Ferguson misses 3-pt jump shot from 25 ft,,17,19
76,1,2:51.0,,Defensive rebound by E. Payton,17,19
77,1,2:46.0,,W. Ellington misses 3-pt jump shot from 26 ft,17,19
78,1,2:44.0,Defensive rebound by D. Schröder,,17,19
79,1,2:38.0,H. Diallo misses 2-pt dunk from 1 ft,,17,19
80,1,2:36.0,Offensive rebound by N. Noel,,17,19
81,1,2:27.0,D. Gallinari makes 2-pt hook shot from 2 ft,,19,19
82,1,2:09.0,,M. Harkless misses 3-pt jump shot from 23 ft,19,19
83,1,2:08.0,Defensive rebound by Team,,19,19
84,1,2:08.0,,K. Knox enters the game for M. Harkless,19,19
85,1,2:08.0,,F. Ntilikina enters the game for E. Payton,19,19
86,1,1:48.0,D. Gallinari makes 2-pt layup from 2 ft,,21,19
87,1,1:37.0,,J. Randle misses 2-pt jump shot from 7 ft,21,19
88,1,1:35.0,Defensive rebound by D. Schröder,,21,19
89,1,1:30.0,N. Noel makes 2-pt dunk from 1 ft (assist by D. Schröder),,23,19
90,1,1:15.0,,Personal foul by D. Schröder (drawn by F. Ntilikina),23,19
91,1,1:15.0,A. Nader enters the game for D. Gallinari,,23,19
92,1,1:15.0,,B. Portis enters the game for J. Randle,23,19
93,1,1:06.0,,W. Ellington misses 2-pt jump shot from 17 ft,23,19
94,1,1:04.0,,Offensive rebound by K. Knox,23,19
95,1,0:57.0,,K. Knox misses 3-pt jump shot from 25 ft,23,19
96,1,0:56.0,Defensive rebound by Team,,23,19
97,1,0:39.0,Shooting foul by F. Ntilikina (drawn by D. Schröder),,23,19
98,1,0:39.0,D. Schröder makes free throw 1 of 3,,24,19
99,1,0:39.0,D. Schröder misses free throw 2 of 3,,24,19
100,1,0:39.0,Offensive rebound by Team,,24,19
101,1,0:39.0,D. Schröder makes free throw 3 of 3,,25,19
102,1,0:31.0,,F. Ntilikina misses 2-pt dunk from 1 ft (block by N. Noel),25,19
103,1,0:29.0,Defensive rebound by D. Schröder,,25,19
104,1,0:27.0,Shooting foul by W. Ellington (drawn by H. Diallo),,25,19
105,1,0:27.0,H. Diallo misses free throw 1 of 2,,25,19
106,1,0:27.0,Offensive rebound by Team,,25,19
107,1,0:27.0,H. Diallo misses free throw 2 of 2,,25,19
108,1,0:27.0,,Defensive rebound by B. Portis,25,19
109,1,0:11.0,,Personal foul by H. Diallo (drawn by K. Knox),25,19
110,1,0:11.0,C. Paul enters the game for T. Ferguson,,25,19
111,1,0:11.0,,K. Knox misses free throw 1 of 2,25,19
112,1,0:11.0,,Offensive rebound by Team,25,19
113,1,0:11.0,,K. Knox makes free throw 2 of 2,25,20
114,1,0:01.0,C. Paul makes 2-pt jump shot from 16 ft,,27,20
115,2,11:35.0,,F. Ntilikina misses 3-pt jump shot from 27 ft,27,20
116,2,11:33.0,Defensive rebound by C. Paul,,27,20
117,2,11:29.0,,Violation by Team (kicked ball),27,20
118,2,11:22.0,D. Schröder misses 2-pt jump shot from 17 ft,,27,20
119,2,11:20.0,,Defensive rebound by B. Portis,27,20
120,2,11:09.0,,K. Knox misses 3-pt jump shot from 26 ft,27,20
