,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MEMPHIS_ACTION,GOLDEN STATE_SCORE,MEMPHIS_SCORE
0,1,11:44.0,,J. Valančiūnas misses 2-pt jump shot from 13 ft,0,0
1,1,11:40.0,Defensive rebound by A. Burks,,0,0
2,1,11:31.0,A. Burks misses 2-pt jump shot from 20 ft,,0,0
3,1,11:27.0,,Defensive rebound by J. Valančiūnas,0,0
4,1,11:12.0,,D. Brooks misses 2-pt jump shot from 13 ft,0,0
5,1,11:10.0,Defensive rebound by D. Russell,,0,0
6,1,11:02.0,O. Spellman makes 3-pt jump shot from 23 ft (assist by D. Green),,3,0
7,1,10:47.0,,J. Jackson misses 3-pt jump shot from 26 ft (block by D. Green),3,0
8,1,10:43.0,Defensive rebound by G. Robinson,,3,0
9,1,10:33.0,D. Russell misses 2-pt jump shot from 13 ft (block by J. Jackson),,3,0
10,1,10:31.0,,Defensive rebound by J. Jackson,3,0
11,1,10:31.0,,Personal take foul by D. Green (drawn by J. Morant),3,0
12,1,10:24.0,,Turnover by J. Morant (bad pass; steal by O. Spellman),3,0
13,1,10:09.0,A. Burks makes 3-pt jump shot from 28 ft (assist by O. Spellman),,6,0
14,1,9:55.0,,J. Jackson misses 3-pt jump shot from 23 ft,6,0
15,1,9:50.0,Defensive rebound by D. Russell,,6,0
16,1,9:48.0,G. Robinson misses 3-pt jump shot from 26 ft,,6,0
17,1,9:45.0,,Defensive rebound by J. Valančiūnas,6,0
18,1,9:40.0,,J. Morant makes 2-pt layup from 1 ft,6,2
19,1,9:19.0,D. Green makes 3-pt jump shot from 25 ft (assist by O. Spellman),,9,2
20,1,8:58.0,,J. Morant misses 2-pt layup from 1 ft (block by O. Spellman),9,2
21,1,8:56.0,Defensive rebound by O. Spellman,,9,2
22,1,8:52.0,Turnover by D. Green (bad pass),,9,2
23,1,8:38.0,,J. Morant makes 3-pt jump shot from 25 ft (assist by J. Crowder),9,5
24,1,8:23.0,D. Green misses 2-pt jump shot from 17 ft,,9,5
25,1,8:19.0,,Defensive rebound by J. Morant,9,5
26,1,8:13.0,,J. Morant misses 2-pt layup from 4 ft,9,5
27,1,8:12.0,,Offensive rebound by J. Valančiūnas,9,5
28,1,8:12.0,,Shooting foul by G. Robinson (drawn by J. Valančiūnas),9,5
29,1,8:12.0,,J. Valančiūnas makes free throw 1 of 2,9,6
30,1,8:12.0,,J. Valančiūnas makes free throw 2 of 2,9,7
31,1,8:02.0,D. Russell misses 3-pt jump shot from 31 ft,,9,7
32,1,7:59.0,Offensive rebound by D. Green,,9,7
33,1,7:58.0,Turnover by D. Green (bad pass; steal by J. Crowder),,9,7
34,1,7:54.0,,J. Jackson makes 2-pt dunk at rim (assist by J. Morant),9,9
35,1,7:37.0,Shooting foul by D. Brooks (drawn by O. Spellman),,9,9
36,1,7:37.0,O. Spellman misses free throw 1 of 2,,9,9
37,1,7:37.0,Offensive rebound by Team,,9,9
38,1,7:37.0,O. Spellman makes free throw 2 of 2,,10,9
39,1,7:29.0,,D. Brooks makes 2-pt jump shot from 14 ft (assist by J. Morant),10,11
40,1,7:14.0,Shooting foul by J. Jackson (drawn by O. Spellman),,10,11
41,1,7:14.0,O. Spellman misses free throw 1 of 2,,10,11
42,1,7:14.0,Offensive rebound by Team,,10,11
43,1,7:14.0,J. Evans enters the game for A. Burks,,10,11
44,1,7:14.0,O. Spellman makes free throw 2 of 2,,11,11
45,1,6:58.0,,J. Crowder misses 3-pt jump shot from 27 ft,11,11
46,1,6:53.0,,Offensive rebound by J. Jackson,11,11
47,1,6:49.0,,J. Crowder misses 2-pt jump shot from 5 ft,11,11
48,1,6:48.0,,Offensive rebound by J. Crowder,11,11
