,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,SACRAMENTO_ACTION,PHILADELPHIA_SCORE,SACRAMENTO_SCORE
0,1,11:45.0,A. Horford makes 2-pt layup from 2 ft (assist by M. Scott),,2,0
1,1,11:25.0,,H. Giles makes 2-pt hook shot from 7 ft (assist by D. Fox),2,2
2,1,11:07.0,M. Scott misses 3-pt jump shot from 26 ft,,2,2
3,1,11:05.0,,Defensive rebound by D. Fox,2,2
4,1,10:43.0,,D. Fox misses 3-pt jump shot from 25 ft,2,2
5,1,10:41.0,Defensive rebound by M. Scott,,2,2
6,1,10:35.0,Turnover by T. Harris (bad pass; steal by H. Giles),,2,2
7,1,10:25.0,,Turnover by H. Giles (bad pass; steal by S. Milton),2,2
8,1,10:20.0,S. Milton makes 2-pt layup from 3 ft,,4,2
9,1,10:07.0,,N. Bjelica misses 3-pt jump shot from 29 ft,4,2
10,1,10:05.0,Defensive rebound by T. Harris,,4,2
11,1,9:57.0,T. Harris makes 3-pt jump shot from 26 ft,,7,2
12,1,9:37.0,,H. Giles makes 2-pt layup from 3 ft,7,4
13,1,9:19.0,M. Scott makes 2-pt layup from 2 ft (assist by S. Milton),,9,4
14,1,9:09.0,,N. Bjelica misses 2-pt jump shot from 4 ft,9,4
15,1,9:06.0,Defensive rebound by T. Harris,,9,4
16,1,8:59.0,A. Horford makes 3-pt jump shot from 23 ft (assist by T. Harris),,12,4
17,1,8:41.0,,H. Barnes misses 2-pt dunk from 1 ft,12,4
18,1,8:39.0,,Offensive rebound by H. Barnes,12,4
19,1,8:37.0,,H. Giles makes 2-pt jump shot from 17 ft (assist by H. Barnes),12,6
20,1,8:16.0,A. Horford misses 2-pt hook shot from 6 ft,,12,6
21,1,8:14.0,,Defensive rebound by B. Bogdanović,12,6
22,1,8:02.0,,H. Giles misses 2-pt jump shot from 16 ft,12,6
23,1,8:00.0,Defensive rebound by M. Scott,,12,6
24,1,7:49.0,T. Harris makes 3-pt jump shot from 24 ft,,15,6
25,1,7:48.0,,Sacramento full timeout,15,6
26,1,7:30.0,,B. Bogdanović makes 2-pt jump shot from 18 ft,15,8
27,1,7:10.0,A. Horford misses 2-pt hook shot from 7 ft,,15,8
28,1,7:07.0,Offensive rebound by M. Scott,,15,8
29,1,7:06.0,S. Milton makes 3-pt jump shot from 25 ft (assist by M. Scott),,18,8
30,1,6:50.0,,D. Fox makes 2-pt layup from 2 ft,18,10
31,1,6:50.0,,Personal foul by M. Thybulle (drawn by D. Fox),18,10
32,1,6:50.0,,D. Fox misses free throw 1 of 1,18,10
33,1,6:47.0,Defensive rebound by T. Harris,,18,10
34,1,6:36.0,T. Harris makes 2-pt jump shot from 3 ft (assist by A. Horford),,20,10
35,1,6:23.0,,Shooting foul by S. Milton (drawn by B. Bogdanović),20,10
36,1,6:23.0,,B. Bogdanović makes free throw 1 of 2,20,11
37,1,6:23.0,F. Korkmaz enters the game for M. Scott,,20,11
38,1,6:23.0,G. Robinson enters the game for M. Thybulle,,20,11
39,1,6:23.0,,K. Bazemore enters the game for N. Bjelica,20,11
40,1,6:23.0,,A. Len enters the game for H. Giles,20,11
41,1,6:23.0,,B. Bogdanović makes free throw 2 of 2,20,12
42,1,6:12.0,S. Milton misses 2-pt jump shot from 14 ft,,20,12
43,1,6:10.0,,Defensive rebound by A. Len,20,12
44,1,6:07.0,,D. Fox misses 2-pt jump shot from 14 ft,20,12
45,1,6:05.0,Defensive rebound by T. Harris,,20,12
46,1,5:55.0,T. Harris misses 2-pt jump shot from 16 ft,,20,12
47,1,5:53.0,,Defensive rebound by B. Bogdanović,20,12
48,1,5:45.0,,Shooting foul by A. Horford (drawn by H. Barnes),20,12
49,1,5:45.0,,H. Barnes misses free throw 1 of 2,20,12
50,1,5:45.0,,Offensive rebound by Team,20,12
51,1,5:45.0,,H. Barnes makes free throw 2 of 2,20,13
52,1,5:36.0,A. Horford misses 3-pt jump shot from 26 ft,,20,13
