,QUARTER,TIME_REMAINING,UTAH_ACTION,DALLAS_ACTION,UTAH_SCORE,DALLAS_SCORE
0,1,11:41.0,,T. Hardaway makes 3-pt jump shot from 26 ft (assist by J. Brunson),0,3
1,1,11:13.0,D. Mitchell makes 3-pt jump shot from 26 ft,,3,3
2,1,10:55.0,,M. Kleber misses 2-pt hook shot from 5 ft,3,3
3,1,10:52.0,Defensive rebound by R. Gobert,,3,3
4,1,10:44.0,R. Gobert makes 2-pt dunk from 1 ft (assist by J. Ingles),,5,3
5,1,10:31.0,,T. Hardaway makes 2-pt jump shot from 22 ft,5,5
6,1,10:10.0,D. Mitchell misses 3-pt jump shot from 26 ft,,5,5
7,1,10:06.0,,Defensive rebound by K. Porziņģis,5,5
8,1,10:00.0,,Personal foul by D. Mitchell (drawn by J. Brunson),5,5
9,1,9:50.0,,K. Porziņģis misses 3-pt jump shot from 25 ft,5,5
10,1,9:48.0,Defensive rebound by R. Gobert,,5,5
11,1,9:41.0,J. Ingles misses 3-pt jump shot from 25 ft,,5,5
12,1,9:38.0,,Defensive rebound by D. Finney-Smith,5,5
13,1,9:30.0,,M. Kleber makes 2-pt hook shot from 1 ft (assist by J. Brunson),5,7
14,1,9:11.0,B. Bogdanović misses 3-pt jump shot from 24 ft,,5,7
15,1,9:08.0,,Defensive rebound by M. Kleber,5,7
16,1,9:01.0,,K. Porziņģis misses 3-pt jump shot from 32 ft,5,7
17,1,8:57.0,Defensive rebound by J. Ingles,,5,7
18,1,8:52.0,B. Bogdanović makes 2-pt jump shot from 5 ft (assist by J. Ingles),,7,7
19,1,8:42.0,,M. Kleber misses 3-pt jump shot from 26 ft,7,7
20,1,8:40.0,Defensive rebound by Team,,7,7
21,1,8:27.0,B. Bogdanović makes 2-pt layup from 3 ft (assist by J. Ingles),,9,7
22,1,8:16.0,,T. Hardaway makes 3-pt jump shot from 25 ft,9,10
23,1,7:55.0,B. Bogdanović misses 2-pt jump shot from 9 ft,,9,10
24,1,7:52.0,,Defensive rebound by T. Hardaway,9,10
25,1,7:47.0,,T. Hardaway misses 3-pt jump shot from 28 ft,9,10
26,1,7:44.0,Defensive rebound by R. Gobert,,9,10
27,1,7:24.0,D. Mitchell makes 2-pt jump shot from 9 ft (assist by J. Ingles),,11,10
28,1,7:24.0,,Dallas full timeout,11,10
29,1,7:24.0,J. Clarkson enters the game for J. Ingles,,11,10
30,1,7:04.0,,K. Porziņģis misses 2-pt jump shot from 6 ft,11,10
31,1,7:03.0,,Offensive rebound by Team,11,10
32,1,6:57.0,,J. Brunson misses 2-pt jump shot from 12 ft,11,10
33,1,6:52.0,Defensive rebound by R. Gobert,,11,10
34,1,6:43.0,Turnover by D. Mitchell (bad pass; steal by D. Finney-Smith),,11,10
35,1,6:36.0,,T. Hardaway makes 2-pt layup from 2 ft (assist by J. Brunson),11,12
36,1,6:17.0,J. Clarkson misses 3-pt jump shot from 25 ft,,11,12
37,1,6:14.0,Offensive rebound by R. O'Neale,,11,12
38,1,6:05.0,D. Mitchell makes 3-pt jump shot from 25 ft,,14,12
39,1,5:52.0,,Offensive foul by D. Finney-Smith (drawn by J. Clarkson),14,12
40,1,5:52.0,,Turnover by D. Finney-Smith (offensive foul),14,12
41,1,5:35.0,B. Bogdanović makes 2-pt layup from 3 ft,,16,12
42,1,5:26.0,,M. Kleber misses 2-pt layup from 4 ft,16,12
43,1,5:23.0,Defensive rebound by R. O'Neale,,16,12
44,1,5:20.0,R. Gobert makes 2-pt layup from 4 ft (assist by J. Clarkson),,18,12
45,1,5:20.0,Shooting foul by K. Porziņģis (drawn by R. Gobert),,18,12
46,1,5:20.0,,S. Curry enters the game for J. Brunson,18,12
47,1,5:20.0,,D. Wright enters the game for D. Finney-Smith,18,12
48,1,5:20.0,R. Gobert makes free throw 1 of 1,,19,12
49,1,5:07.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by M. Kleber),19,15
50,1,4:53.0,Turnover by D. Mitchell (bad pass; steal by K. Porziņģis),,19,15
51,1,4:46.0,,D. Wright misses 3-pt jump shot from 26 ft,19,15
52,1,4:43.0,Defensive rebound by R. O'Neale,,19,15
53,1,4:36.0,J. Clarkson makes 2-pt jump shot from 6 ft,,21,15
