,QUARTER,TIME_REMAINING,ATLANTA_ACTION,PHILADELPHIA_ACTION,ATLANTA_SCORE,PHILADELPHIA_SCORE
0,1,11:37.0,,T. Harris misses 2-pt layup from 4 ft,0,0
1,1,11:35.0,Defensive rebound by D. Dedmon,,0,0
2,1,11:28.0,D. Dedmon makes 3-pt jump shot from 26 ft (assist by T. Young),,3,0
3,1,11:13.0,,J. Richardson misses 2-pt layup from 4 ft (block by K. Huerter),3,0
4,1,11:13.0,,Offensive rebound by Team,3,0
5,1,11:02.0,,S. Milton makes 3-pt jump shot from 26 ft (assist by J. Embiid),3,3
6,1,10:46.0,Shooting foul by J. Richardson (drawn by T. Young),,3,3
7,1,10:46.0,T. Young makes free throw 1 of 2,,4,3
8,1,10:46.0,T. Young makes free throw 2 of 2,,5,3
9,1,10:37.0,,Personal foul by D. Dedmon (drawn by J. Embiid),5,3
10,1,10:25.0,,J. Richardson misses 2-pt jump shot from 11 ft,5,3
11,1,10:22.0,Defensive rebound by K. Huerter,,5,3
12,1,10:15.0,J. Collins misses 2-pt jump shot from 16 ft,,5,3
13,1,10:12.0,,Defensive rebound by J. Embiid,5,3
14,1,10:05.0,,T. Harris makes 2-pt layup from 2 ft,5,5
15,1,9:53.0,D. Dedmon misses 3-pt jump shot from 27 ft,,5,5
16,1,9:50.0,,Defensive rebound by A. Horford,5,5
17,1,9:42.0,,J. Embiid makes 2-pt jump shot from 7 ft (assist by T. Harris),5,7
18,1,9:25.0,Turnover by J. Collins (bad pass; steal by S. Milton),,5,7
19,1,9:20.0,,S. Milton makes 2-pt layup from 2 ft,5,9
20,1,9:03.0,Turnover by D. Hunter (lost ball; steal by J. Embiid),,5,9
21,1,8:50.0,,T. Harris makes 3-pt jump shot from 24 ft (assist by S. Milton),5,12
22,1,8:40.0,T. Young misses 3-pt jump shot from 27 ft,,5,12
23,1,8:36.0,,Defensive rebound by T. Harris,5,12
24,1,8:28.0,,J. Embiid makes 2-pt layup from 2 ft (assist by T. Harris),5,14
25,1,8:28.0,Atlanta full timeout,,5,14
26,1,8:28.0,C. Reddish enters the game for D. Dedmon,,5,14
27,1,8:14.0,K. Huerter misses 2-pt jump shot from 8 ft,,5,14
28,1,8:12.0,,Defensive rebound by J. Embiid,5,14
29,1,8:01.0,,J. Embiid makes 2-pt layup from 3 ft (assist by S. Milton),5,16
30,1,8:01.0,,Shooting foul by J. Collins (drawn by J. Embiid),5,16
31,1,8:01.0,,J. Embiid makes free throw 1 of 1,5,17
32,1,7:51.0,T. Young makes 2-pt layup from 1 ft,,7,17
33,1,7:34.0,,Turnover by A. Horford (bad pass; steal by J. Collins),7,17
34,1,7:28.0,C. Reddish misses 3-pt jump shot from 23 ft,,7,17
35,1,7:22.0,Offensive rebound by D. Hunter,,7,17
36,1,7:22.0,D. Hunter misses 2-pt layup from 1 ft,,7,17
37,1,7:22.0,Offensive rebound by D. Hunter,,7,17
38,1,7:19.0,D. Hunter makes 2-pt layup from 1 ft,,9,17
39,1,7:13.0,,Personal foul by C. Reddish (drawn by T. Harris),9,17
40,1,7:13.0,,F. Korkmaz enters the game for J. Embiid,9,17
41,1,7:13.0,,M. Thybulle enters the game for J. Richardson,9,17
42,1,7:00.0,,A. Horford makes 2-pt layup from 2 ft (assist by M. Thybulle),9,19
43,1,6:50.0,T. Young makes 2-pt jump shot from 6 ft,,11,19
44,1,6:30.0,,Shooting foul by C. Reddish (drawn by T. Harris),11,19
45,1,6:30.0,,T. Harris makes free throw 1 of 2,11,20
46,1,6:30.0,J. Teague enters the game for C. Reddish,,11,20
47,1,6:30.0,,T. Harris makes free throw 2 of 2,11,21
48,1,6:16.0,T. Young misses 2-pt jump shot from 6 ft,,11,21
49,1,6:14.0,,Defensive rebound by A. Horford,11,21
50,1,6:09.0,,T. Harris makes 3-pt jump shot from 26 ft (assist by A. Horford),11,24
51,1,5:58.0,J. Collins misses 3-pt jump shot from 26 ft,,11,24
52,1,5:54.0,,Defensive rebound by S. Milton,11,24
53,1,5:40.0,,F. Korkmaz misses 3-pt jump shot from 27 ft,11,24
54,1,5:38.0,Defensive rebound by J. Collins,,11,24
55,1,5:29.0,K. Huerter makes 2-pt jump shot from 4 ft,,13,24
56,1,5:10.0,,F. Korkmaz makes 3-pt jump shot from 23 ft (assist by A. Horford),13,27
57,1,4:55.0,J. Teague misses 2-pt jump shot from 2 ft,,13,27
58,1,4:52.0,,Defensive rebound by F. Korkmaz,13,27
59,1,4:50.0,,Turnover by S. Milton (out of bounds lost ball),13,27
60,1,4:41.0,J. Collins makes 3-pt jump shot from 26 ft (assist by T. Young),,16,27
61,1,4:14.0,,Shooting foul by J. Teague (drawn by F. Korkmaz),16,27
62,1,4:14.0,,F. Korkmaz makes free throw 1 of 2,16,28
63,1,4:14.0,D. Dedmon enters the game for J. Collins,,16,28
64,1,4:14.0,,F. Korkmaz makes free throw 2 of 2,16,29
65,1,4:04.0,D. Hunter misses 3-pt jump shot from 26 ft,,16,29
66,1,4:01.0,Offensive rebound by Team,,16,29
67,1,4:01.0,,Loose ball foul by S. Milton (drawn by K. Huerter),16,29
68,1,4:01.0,,J. Embiid enters the game for A. Horford,16,29
69,1,3:55.0,Turnover by T. Young (bad pass; steal by M. Thybulle),,16,29
70,1,3:55.0,T. Graham enters the game for D. Hunter,,16,29
71,1,3:55.0,,G. Robinson enters the game for T. Harris,16,29
72,1,3:37.0,,J. Embiid makes 2-pt jump shot from 11 ft,16,31
73,1,3:20.0,D. Dedmon misses 3-pt jump shot from 26 ft,,16,31
74,1,3:16.0,,Defensive rebound by S. Milton,16,31
75,1,3:16.0,,Personal foul by D. Dedmon (drawn by J. Embiid),16,31
76,1,3:16.0,,J. Embiid makes free throw 1 of 2,16,32
77,1,3:16.0,B. Fernando enters the game for D. Dedmon,,16,32
78,1,3:16.0,C. Reddish enters the game for T. Young,,16,32
79,1,3:16.0,,J. Richardson enters the game for S. Milton,16,32
80,1,3:16.0,,J. Embiid makes free throw 2 of 2,16,33
81,1,3:07.0,Shooting foul by M. Thybulle (drawn by K. Huerter),,16,33
82,1,3:07.0,K. Huerter makes free throw 1 of 3,,17,33
83,1,3:07.0,K. Huerter makes free throw 2 of 3,,18,33
84,1,3:07.0,K. Huerter misses free throw 3 of 3,,18,33
85,1,3:04.0,,Defensive rebound by J. Embiid,18,33
86,1,2:49.0,,J. Embiid makes 2-pt jump shot from 11 ft,18,35
87,1,2:34.0,T. Graham misses 2-pt layup from 5 ft,,18,35
88,1,2:31.0,,Defensive rebound by J. Richardson,18,35
89,1,2:24.0,,G. Robinson makes 2-pt layup from 3 ft (assist by J. Richardson),18,37
90,1,2:18.0,B. Fernando misses 2-pt layup from 1 ft (block by J. Embiid),,18,37
91,1,2:18.0,,Defensive rebound by F. Korkmaz,18,37
92,1,2:09.0,,J. Embiid misses 3-pt jump shot from 26 ft,18,37
93,1,2:09.0,Defensive rebound by T. Graham,,18,37
94,1,2:05.0,Turnover by T. Graham (bad pass),,18,37
95,1,2:05.0,,Philadelphia full timeout,18,37
96,1,2:05.0,J. Collins enters the game for K. Huerter,,18,37
97,1,1:50.0,,J. Richardson makes 2-pt jump shot from 6 ft,18,39
98,1,1:39.0,Turnover by J. Teague (bad pass; steal by J. Embiid),,18,39
99,1,1:34.0,,Turnover by J. Embiid (bad pass; steal by T. Graham),18,39
100,1,1:24.0,T. Graham misses 2-pt layup from 3 ft,,18,39
101,1,1:24.0,Offensive rebound by T. Graham,,18,39
102,1,1:24.0,T. Graham makes 2-pt jump shot from 6 ft,,20,39
103,1,1:24.0,Shooting foul by M. Thybulle (drawn by T. Graham),,20,39
104,1,1:24.0,T. Graham makes free throw 1 of 1,,21,39
105,1,1:11.0,,F. Korkmaz misses 2-pt jump shot from 8 ft,21,39
106,1,1:07.0,Defensive rebound by B. Fernando,,21,39
107,1,1:00.0,B. Fernando makes 3-pt jump shot from 27 ft (assist by J. Teague),,24,39
108,1,0:47.0,,G. Robinson makes 2-pt layup from 3 ft (assist by J. Richardson),24,41
109,1,0:30.0,Turnover by C. Reddish (bad pass),,24,41
110,1,0:30.0,T. Young enters the game for C. Reddish,,24,41
111,1,0:15.0,,J. Embiid misses 2-pt jump shot from 12 ft,24,41
112,1,0:13.0,Defensive rebound by J. Teague,,24,41
113,1,0:01.0,B. Fernando misses 3-pt jump shot from 23 ft,,24,41
114,1,0:01.0,Offensive rebound by T. Graham,,24,41
115,1,0:00.0,T. Graham misses 2-pt layup from 1 ft (block by J. Richardson),,24,41
116,1,0:00.0,Offensive rebound by Team,,24,41
117,2,11:45.0,Turnover by K. Huerter (bad pass; steal by F. Korkmaz),,24,41
118,2,11:39.0,,A. Burks makes 3-pt jump shot from 27 ft (assist by F. Korkmaz),24,44
119,2,11:22.0,D. Hunter misses 3-pt jump shot from 25 ft,,24,44
120,2,11:18.0,Offensive rebound by K. Huerter,,24,44
121,2,11:11.0,Turnover by J. Collins (bad pass; steal by G. Robinson),,24,44
122,2,10:57.0,,G. Robinson misses 3-pt jump shot from 27 ft (block by V. Carter),24,44
123,2,10:53.0,Defensive rebound by T. Young,,24,44
124,2,10:48.0,D. Hunter makes 2-pt layup from 2 ft (assist by T. Young),,26,44
125,2,10:48.0,Shooting foul by J. Richardson (drawn by D. Hunter),,26,44
126,2,10:48.0,D. Hunter makes free throw 1 of 1,,27,44
127,2,10:32.0,,A. Burks misses 3-pt jump shot from 26 ft,27,44
128,2,10:29.0,Defensive rebound by V. Carter,,27,44
129,2,10:26.0,Offensive foul by D. Hunter (drawn by A. Burks),,27,44
130,2,10:26.0,Turnover by D. Hunter (offensive foul),,27,44
131,2,10:13.0,,Personal foul by D. Hunter (drawn by J. Richardson),27,44
132,2,10:01.0,,J. Embiid makes 2-pt layup from 2 ft (assist by G. Robinson),27,46
133,2,9:48.0,J. Collins makes 2-pt layup from 1 ft (assist by T. Young),,29,46
134,2,9:48.0,Shooting foul by J. Embiid (drawn by J. Collins),,29,46
135,2,9:48.0,J. Collins misses free throw 1 of 1,,29,46
136,2,9:45.0,,Defensive rebound by G. Robinson,29,46
137,2,9:38.0,,J. Richardson misses 3-pt jump shot from 26 ft,29,46
138,2,9:27.0,,Offensive rebound by J. Embiid,29,46
139,2,9:27.0,,J. Embiid makes 2-pt dunk at rim,29,48
140,2,9:18.0,J. Collins makes 2-pt dunk from 1 ft (assist by K. Huerter),,31,48
141,2,9:03.0,,Personal foul by V. Carter (drawn by J. Embiid),31,48
142,2,8:50.0,,J. Richardson misses 3-pt jump shot from 26 ft,31,48
143,2,8:46.0,Defensive rebound by D. Hunter,,31,48
144,2,8:31.0,Turnover by J. Collins (bad pass; steal by J. Embiid),,31,48
145,2,8:23.0,,Turnover by A. Burks (bad pass; steal by J. Collins),31,48
146,2,8:18.0,J. Collins misses 2-pt dunk from 2 ft,,31,48
147,2,8:18.0,Offensive rebound by K. Huerter,,31,48
148,2,8:18.0,K. Huerter makes 2-pt layup from 1 ft,,33,48
149,2,8:18.0,,Philadelphia full timeout,33,48
150,2,8:18.0,,T. Harris enters the game for J. Embiid,33,48
151,2,8:18.0,,A. Horford enters the game for F. Korkmaz,33,48
152,2,8:18.0,,M. Thybulle enters the game for G. Robinson,33,48
153,2,8:10.0,,T. Harris misses 3-pt jump shot from 25 ft,33,48
154,2,8:06.0,Defensive rebound by J. Collins,,33,48
155,2,8:00.0,K. Huerter makes 3-pt jump shot from 23 ft (assist by T. Young),,36,48
156,2,7:33.0,,T. Harris misses 2-pt layup from 2 ft,36,48
157,2,7:31.0,Defensive rebound by T. Young,,36,48
158,2,7:21.0,Turnover by T. Young (lost ball; steal by M. Thybulle),,36,48
159,2,7:09.0,,A. Horford makes 3-pt jump shot from 28 ft (assist by A. Burks),36,51
160,2,6:51.0,K. Huerter misses 3-pt jump shot from 26 ft,,36,51
161,2,6:49.0,,Defensive rebound by A. Horford,36,51
162,2,6:31.0,,M. Thybulle misses 2-pt jump shot from 8 ft,36,51
163,2,6:28.0,,Offensive rebound by M. Thybulle,36,51
164,2,6:17.0,,T. Harris misses 2-pt jump shot from 16 ft,36,51
165,2,6:14.0,Defensive rebound by T. Young,,36,51
166,2,6:12.0,Personal foul by M. Thybulle (drawn by T. Young),,36,51
167,2,6:12.0,D. Dedmon enters the game for V. Carter,,36,51
168,2,6:12.0,C. Reddish enters the game for J. Collins,,36,51
169,2,6:12.0,,S. Milton enters the game for M. Thybulle,36,51
170,2,6:03.0,T. Young makes 2-pt layup from 1 ft,,38,51
171,2,5:53.0,,Shooting foul by D. Dedmon (drawn by J. Richardson),38,51
172,2,5:53.0,,J. Richardson makes free throw 1 of 2,38,52
173,2,5:53.0,B. Fernando enters the game for D. Dedmon,,38,52
174,2,5:53.0,,J. Richardson makes free throw 2 of 2,38,53
175,2,5:44.0,T. Young misses 3-pt jump shot from 26 ft,,38,53
176,2,5:40.0,,Defensive rebound by A. Burks,38,53
177,2,5:39.0,,J. Richardson makes 2-pt dunk at rim (assist by A. Burks),38,55
178,2,5:39.0,Atlanta full timeout,,38,55
179,2,5:18.0,K. Huerter misses 2-pt jump shot from 7 ft (block by A. Horford),,38,55
180,2,5:18.0,Offensive rebound by Team,,38,55
181,2,5:15.0,D. Hunter misses 3-pt jump shot from 24 ft,,38,55
182,2,5:11.0,,Defensive rebound by T. Harris,38,55
183,2,5:04.0,,S. Milton misses 2-pt jump shot from 3 ft,38,55
184,2,5:02.0,Defensive rebound by B. Fernando,,38,55
185,2,5:02.0,,F. Korkmaz enters the game for A. Burks,38,55
186,2,4:52.0,K. Huerter misses 3-pt jump shot from 26 ft,,38,55
187,2,4:49.0,,Defensive rebound by T. Harris,38,55
188,2,4:41.0,,S. Milton misses 3-pt jump shot from 26 ft,38,55
189,2,4:38.0,Defensive rebound by T. Young,,38,55
190,2,4:32.0,Shooting foul by A. Horford (drawn by D. Hunter),,38,55
191,2,4:32.0,D. Hunter misses free throw 1 of 2,,38,55
192,2,4:32.0,Offensive rebound by Team,,38,55
193,2,4:32.0,J. Collins enters the game for K. Huerter,,38,55
194,2,4:32.0,J. Teague enters the game for T. Young,,38,55
195,2,4:32.0,D. Hunter makes free throw 2 of 2,,39,55
196,2,4:20.0,,A. Horford misses 3-pt jump shot from 25 ft,39,55
197,2,4:17.0,Defensive rebound by J. Collins,,39,55
