,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,DENVER_ACTION,LA LAKERS_SCORE,DENVER_SCORE
0,1,11:32.0,,J. Murray misses 2-pt layup from 2 ft,0,0
1,1,11:32.0,,Offensive rebound by Team,0,0
2,1,11:32.0,,Turnover by Team (shot clock),0,0
3,1,11:12.0,L. James makes 2-pt jump shot from 9 ft,,2,0
4,1,10:57.0,,Personal foul by J. McGee (drawn by J. Murray),2,0
5,1,10:50.0,,G. Harris misses 2-pt layup from 3 ft (block by J. McGee),2,0
6,1,10:47.0,Defensive rebound by L. James,,2,0
7,1,10:44.0,L. James makes 2-pt layup from 1 ft,,4,0
8,1,10:35.0,,Personal foul by A. Bradley (drawn by J. Grant),4,0
9,1,10:32.0,,J. Grant misses 2-pt jump shot from 14 ft,4,0
10,1,10:28.0,Defensive rebound by L. James,,4,0
11,1,10:25.0,Shooting foul by T. Craig (drawn by L. James),,4,0
12,1,10:25.0,L. James misses free throw 1 of 2,,4,0
13,1,10:25.0,Offensive rebound by Team,,4,0
14,1,10:25.0,L. James misses free throw 2 of 2,,4,0
15,1,10:22.0,,Defensive rebound by T. Craig,4,0
16,1,10:15.0,,N. Jokić makes 2-pt hook shot from 3 ft (assist by J. Murray),4,2
17,1,10:01.0,J. McGee makes 2-pt layup from 1 ft (assist by A. Bradley),,6,2
18,1,9:51.0,,T. Craig misses 3-pt jump shot from 23 ft,6,2
19,1,9:48.0,Defensive rebound by J. McGee,,6,2
20,1,9:43.0,D. Green misses 3-pt jump shot from 22 ft,,6,2
21,1,9:40.0,,Defensive rebound by J. Murray,6,2
22,1,9:39.0,,Personal foul by J. McGee (drawn by J. Murray),6,2
23,1,9:21.0,,T. Craig makes 3-pt jump shot from 24 ft (assist by G. Harris),6,5
24,1,9:08.0,Turnover by A. Bradley (bad pass; steal by J. Grant),,6,5
25,1,9:03.0,,J. Murray makes 2-pt layup from 1 ft (assist by T. Craig),6,7
26,1,8:56.0,A. Davis misses 2-pt jump shot from 18 ft,,6,7
27,1,8:54.0,,Defensive rebound by J. Grant,6,7
28,1,8:46.0,,N. Jokić makes 3-pt jump shot from 24 ft (assist by T. Craig),6,10
29,1,8:44.0,LA Lakers full timeout,,6,10
30,1,8:31.0,L. James misses 2-pt jump shot from 14 ft,,6,10
31,1,8:28.0,,Defensive rebound by J. Grant,6,10
32,1,8:22.0,,Personal foul by A. Davis (drawn by N. Jokić),6,10
33,1,8:11.0,,G. Harris misses 2-pt layup from 3 ft,6,10
34,1,8:10.0,Defensive rebound by A. Davis,,6,10
35,1,8:03.0,L. James makes 2-pt layup from 2 ft (assist by A. Davis),,8,10
36,1,7:49.0,,J. Murray makes 2-pt jump shot from 19 ft,8,12
37,1,7:42.0,J. McGee makes 2-pt layup from 2 ft (assist by L. James),,10,12
38,1,7:15.0,,N. Jokić makes 2-pt jump shot from 19 ft (assist by J. Murray),10,14
39,1,7:04.0,Turnover by A. Davis (lost ball; steal by N. Jokić),,10,14
40,1,7:00.0,,J. Murray makes 3-pt jump shot from 26 ft,10,17
41,1,6:38.0,A. Bradley misses 3-pt jump shot from 24 ft,,10,17
42,1,6:35.0,,Defensive rebound by J. Grant,10,17
43,1,6:19.0,,Turnover by N. Jokić (lost ball; steal by J. McGee),10,17
44,1,6:12.0,A. Davis makes 2-pt dunk at rim (assist by L. James),,12,17
45,1,5:47.0,,N. Jokić misses 2-pt jump shot from 17 ft,12,17
46,1,5:44.0,Defensive rebound by A. Davis,,12,17
47,1,5:33.0,A. Davis misses 2-pt layup from 2 ft,,12,17
48,1,5:31.0,,Defensive rebound by T. Craig,12,17
49,1,5:27.0,,T. Craig makes 2-pt layup from 2 ft,12,19
50,1,5:06.0,J. McGee misses 2-pt layup from 3 ft,,12,19
51,1,4:59.0,Offensive rebound by A. Bradley,,12,19
52,1,4:59.0,A. Bradley misses 2-pt layup at rim,,12,19
53,1,4:59.0,,Defensive rebound by T. Craig,12,19
