,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,MILWAUKEE_ACTION,SAN ANTONIO_SCORE,MILWAUKEE_SCORE
0,1,11:48.0,D. White makes 2-pt jump shot from 17 ft,,2,0
1,1,11:30.0,,B. Lopez makes 2-pt layup from 1 ft (assist by E. Bledsoe),2,2
2,1,11:14.0,T. Lyles misses 3-pt jump shot from 26 ft,,2,2
3,1,11:11.0,,Defensive rebound by E. Bledsoe,2,2
4,1,11:03.0,,W. Matthews misses 3-pt jump shot from 25 ft,2,2
5,1,11:00.0,Defensive rebound by T. Lyles,,2,2
6,1,10:49.0,L. Aldridge misses 3-pt jump shot from 29 ft,,2,2
7,1,10:46.0,,Defensive rebound by G. Antetokounmpo,2,2
8,1,10:42.0,,G. Antetokounmpo misses 3-pt jump shot from 30 ft,2,2
9,1,10:40.0,Defensive rebound by Team,,2,2
10,1,10:26.0,D. DeRozan makes 2-pt jump shot from 10 ft,,4,2
11,1,10:10.0,,E. Bledsoe makes 2-pt jump shot from 16 ft,4,4
12,1,9:53.0,L. Aldridge misses 2-pt jump shot from 18 ft,,4,4
13,1,9:49.0,Offensive rebound by T. Lyles,,4,4
14,1,9:46.0,L. Walker misses 3-pt jump shot from 25 ft,,4,4
15,1,9:44.0,,Defensive rebound by W. Matthews,4,4
16,1,9:38.0,,K. Middleton misses 2-pt jump shot from 19 ft,4,4
17,1,9:36.0,Defensive rebound by L. Aldridge,,4,4
18,1,9:26.0,L. Aldridge makes 3-pt jump shot from 27 ft (assist by D. DeRozan),,7,4
19,1,9:11.0,,G. Antetokounmpo makes 3-pt jump shot from 26 ft (assist by K. Middleton),7,7
20,1,8:53.0,Turnover by L. Walker (bad pass; steal by E. Bledsoe),,7,7
21,1,8:43.0,,K. Middleton misses 3-pt jump shot from 24 ft,7,7
22,1,8:41.0,Defensive rebound by D. White,,7,7
23,1,8:29.0,T. Lyles misses 2-pt dunk from 5 ft (block by B. Lopez),,7,7
24,1,8:25.0,,Defensive rebound by G. Antetokounmpo,7,7
25,1,8:24.0,,Shooting foul by L. Walker (drawn by G. Antetokounmpo),7,7
26,1,8:24.0,,Instant Replay (Request: Ruling Stands),7,7
27,1,8:24.0,,G. Antetokounmpo makes free throw 1 of 2,7,8
28,1,8:24.0,,G. Antetokounmpo misses free throw 2 of 2,7,8
29,1,8:24.0,Defensive rebound by Team,,7,8
30,1,7:58.0,L. Aldridge makes 3-pt jump shot from 27 ft,,10,8
31,1,7:48.0,,G. Antetokounmpo makes 3-pt jump shot from 29 ft (assist by E. Bledsoe),10,11
32,1,7:21.0,D. White makes 3-pt jump shot from 26 ft,,13,11
33,1,7:11.0,,Turnover by K. Middleton (bad pass; steal by D. White),13,11
34,1,6:58.0,D. White misses 3-pt jump shot from 27 ft,,13,11
35,1,6:53.0,,Defensive rebound by G. Antetokounmpo,13,11
36,1,6:46.0,,K. Middleton makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),13,14
37,1,6:30.0,Turnover by D. White (traveling),,13,14
38,1,6:30.0,,Milwaukee full timeout,13,14
39,1,6:30.0,,G. Hill enters the game for E. Bledsoe,13,14
40,1,6:18.0,,K. Middleton misses 2-pt jump shot from 13 ft,13,14
41,1,6:15.0,Defensive rebound by L. Aldridge,,13,14
42,1,6:02.0,D. DeRozan misses 2-pt jump shot from 10 ft,,13,14
43,1,6:00.0,,Defensive rebound by G. Antetokounmpo,13,14
44,1,5:54.0,,W. Matthews misses 2-pt jump shot from 16 ft,13,14
45,1,5:51.0,Defensive rebound by T. Lyles,,13,14
46,1,5:41.0,L. Aldridge makes 3-pt jump shot from 26 ft (assist by D. DeRozan),,16,14
47,1,5:15.0,,K. Middleton misses 2-pt jump shot from 15 ft,16,14
48,1,5:13.0,Defensive rebound by T. Lyles,,16,14
49,1,5:07.0,L. Aldridge makes 3-pt jump shot from 27 ft (assist by D. DeRozan),,19,14
50,1,4:52.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,19,14
